region_code,region_descriptor,min_lat,min_lon,max_lat,max_lon
1,Alameda,37.44,-122.38,37.91,-121.46
2,Alpine,38.31,-120.18,38.94,-119.50
3,Amador,38.20,-121.03,38.71,-120.00
4,Butte,39.28,-122.10,40.16,-121.00
5,Calaveras,37.82,-121.00,38.52,-120.00
6,Colusa,38.91,-122.79,39.42,-121.79
7,Contra_Costa,37.71,-122.45,38.10,-121.53
8,Del_Norte,41.35,-124.61,42.10,-123.50
9,El_Dorado,38.50,-121.15,39.07,-119.87
10,Fresno,35.90,-120.92,37.59,-118.35
11,Glenn,39.37,-122.94,39.80,-121.84
12,Humboldt,39.89,-124.61,41.49,-123.40
13,Imperial,32.51,-116.11,33.49,-114.45
14,Inyo,35.77,-118.80,37.47,-115.63
15,Kern,34.78,-120.20,35.80,-117.61
16,Kings,35.77,-120.32,36.49,-119.47
17,Lake,38.66,-123.10,39.59,-122.34
18,Lassen,39.70,-121.34,41.22,-119.90
19,Los_Angeles,33.67,-118.98,34.88,-117.60
20,Madera,36.76,-120.55,37.78,-119.02
21,Marin,37.79,-123.06,38.37,-122.44
22,Mariposa,37.19,-120.40,37.91,-119.30
23,Mendocino,38.67,-123.99,40.09,-122.82
24,Merced,36.74,-121.25,37.64,-120.05
25,Modoc,41.15,-121.47,42.05,-119.93
26,Mono,37.46,-119.66,38.72,-117.83
27,Monterey,35.74,-122.16,36.99,-120.15
28,Napa,38.15,-122.65,38.87,-122.06
29,Nevada,39.00,-121.28,39.53,-120.00
30,Orange,33.35,-118.14,33.95,-117.40
31,Placer,38.71,-121.49,39.32,-120.00
32,Plumas,39.59,-121.50,40.45,-120.09
33,Riverside,33.42,-117.68,34.08,-114.43
34,Sacramento,38.00,-121.87,38.74,-121.02
35,San_Benito,36.19,-121.65,36.99,-120.59
36,San_Bernardino,33.86,-117.81,35.81,-114.13
37,San_Diego,32.50,-117.70,33.51,-115.98
38,San_Francisco,37.69,-122.53,37.83,-122.35
39,San_Joaquin,37.48,-121.59,38.31,-120.92
40,San_Luis_Obispo,34.89,-121.64,35.80,-119.37
41,San_Mateo,36.97,-122.70,37.83,-122.08
42,Santa_Barbara,33.70,-121.15,35.12,-118.96
43,Santa_Clara,36.89,-122.21,37.49,-121.20
44,Santa_Cruz,36.79,-122.35,37.29,-121.58
45,Shasta,40.28,-123.07,41.19,-121.31
46,Sierra,39.39,-121.06,39.78,-120.00
47,Siskiyou,40.99,-123.72,42.01,-121.44
48,Solano,38.03,-122.41,38.54,-121.59
49,Sonoma,38.07,-123.65,38.86,-122.34
50,Stanislaus,37.13,-121.49,38.08,-120.38
51,Sutter,38.73,-121.95,39.31,-121.41
52,Tehama,39.79,-123.07,40.46,-121.34
53,Trinity,39.97,-123.63,41.37,-122.44
54,Tulare,35.78,-119.58,36.75,-117.98
55,Tuolumne,37.63,-120.66,38.44,-119.19
56,Ventura,33.97,-119.50,34.91,-118.58
57,Yolo,38.31,-122.43,38.93,-121.50
58,Yuba,38.91,-121.64,39.64,-121.00
