FYEAR,CO,AB,DIS,FACID,DEV,PROID,SCC,SIC,EIC,POL,EMS
2017,3,MC,AMA,0,0,71070611000000,71070611000000,71070611000000,71070611000000,7664417,0.001453743
2017,3,MC,AMA,0,0,71073411000000,71073411000000,71073411000000,71073411000000,7664417,5.71575193
2017,3,MC,AMA,0,0,71076412100000,71076412100000,71076412100000,71076412100000,7664417,0.007442875
2017,3,MC,AMA,0,0,72270611000000,72270611000000,72270611000000,72270611000000,7664417,0.001367919
2017,3,MC,AMA,0,0,72273411000000,72273411000000,72273411000000,72273411000000,7664417,1.028590317
2017,3,MC,AMA,0,0,72276412100000,72276412100000,72276412100000,72276412100000,7664417,0.000070331
2017,3,MC,AMA,0,0,72370611000000,72370611000000,72370611000000,72370611000000,7664417,0.000567041
2017,3,MC,AMA,0,0,72373411000000,72373411000000,72373411000000,72373411000000,7664417,3.423178637
2017,3,MC,AMA,0,0,72376412100000,72376412100000,72376412100000,72376412100000,7664417,0.000256704
2017,3,MC,AMA,0,0,72470611000000,72470611000000,72470611000000,72470611000000,7664417,0.000844574
2017,3,MC,AMA,0,0,72473411000000,72473411000000,72473411000000,72473411000000,7664417,3.935578585
2017,3,MC,AMA,0,0,72476412100000,72476412100000,72476412100000,72476412100000,7664417,0.003161901
2017,3,MC,AMA,0,0,73270611000000,73270611000000,73270611000000,73270611000000,7664417,0.000099098
2017,3,MC,AMA,0,0,73273411000000,73273411000000,73273411000000,73273411000000,7664417,1.331410205
2017,3,MC,AMA,0,0,73370611000000,73370611000000,73370611000000,73370611000000,7664417,0.0000003
2017,3,MC,AMA,0,0,73373411000000,73373411000000,73373411000000,73373411000000,7664417,0.10644279
2017,3,MC,AMA,0,0,73470611000000,73470611000000,73470611000000,73470611000000,7664417,0.000045346
2017,3,MC,AMA,0,0,73473411000000,73473411000000,73473411000000,73473411000000,7664417,0.04433428
2017,3,MC,AMA,0,0,73670611000000,73670611000000,73670611000000,73670611000000,7664417,0.000009347
2017,3,MC,AMA,0,0,73673411000000,73673411000000,73673411000000,73673411000000,7664417,0.006373669
2017,3,MC,AMA,0,0,74276412100000,74276412100000,74276412100000,74276412100000,7664417,0.060614816
