FYEAR,CO,AB,DIS,FACID,DEV,PROID,SCC,SIC,EIC,POL,EMS
2012,1,SF,BA,0,0,71070111000000,71070111000000,71070111000000,71070111000000,42101,364.325035422346113
2012,1,SF,BA,0,0,71070611000000,71070611000000,71070611000000,71070611000000,42101,2362.881265338724552
2012,1,SF,BA,0,0,71070611000000,71070611000000,71070611000000,71070611000000,7664417,0.157689083
2012,1,SF,BA,0,0,71073111000000,71073111000000,71073111000000,71073111000000,42101,6483.47850720310489
2012,1,SF,BA,0,0,71073411000000,71073411000000,71073411000000,71073411000000,42101,10863.14025868084065
2012,1,SF,BA,0,0,71073411000000,71073411000000,71073411000000,71073411000000,7664417,250.456610098
2012,1,SF,BA,0,0,71076412100000,71076412100000,71076412100000,71076412100000,42101,35.865965058284855
2012,1,SF,BA,0,0,71076412100000,71076412100000,71076412100000,71076412100000,7664417,0.189693259
2012,1,SF,BA,0,0,72270111000000,72270111000000,72270111000000,72270111000000,42101,82.49993462220699918
2012,1,SF,BA,0,0,72270611000000,72270611000000,72270611000000,72270611000000,42101,591.747481615748321
2012,1,SF,BA,0,0,72270611000000,72270611000000,72270611000000,72270611000000,7664417,0.040101281
2012,1,SF,BA,0,0,72273111000000,72273111000000,72273111000000,72273111000000,42101,1194.3233653055357309
2012,1,SF,BA,0,0,72273411000000,72273411000000,72273411000000,72273411000000,42101,2155.881605098998392
2012,1,SF,BA,0,0,72273411000000,72273411000000,72273411000000,72273411000000,7664417,29.848599084
2012,1,SF,BA,0,0,72276412100000,72276412100000,72276412100000,72276412100000,42101,1.588880864570921059
2012,1,SF,BA,0,0,72276412100000,72276412100000,72276412100000,72276412100000,7664417,0.003167541
2012,1,SF,BA,0,0,72370111000000,72370111000000,72370111000000,72370111000000,42101,78.90239393685295079
2012,1,SF,BA,0,0,72370611000000,72370611000000,72370611000000,72370611000000,42101,572.5148131958266242
2012,1,SF,BA,0,0,72370611000000,72370611000000,72370611000000,72370611000000,7664417,0.038656015
2012,1,SF,BA,0,0,72373111000000,72373111000000,72373111000000,72373111000000,42101,2362.734194207510082
2012,1,SF,BA,0,0,72373411000000,72373411000000,72373411000000,72373411000000,42101,4458.951090263137859
2012,1,SF,BA,0,0,72373411000000,72373411000000,72373411000000,72373411000000,7664417,124.832313251
2012,1,SF,BA,0,0,72376412100000,72376412100000,72376412100000,72376412100000,42101,0.308473860294972863
2012,1,SF,BA,0,0,72376412100000,72376412100000,72376412100000,72376412100000,7664417,0.006387311
2012,1,SF,BA,0,0,72470111000000,72470111000000,72470111000000,72470111000000,42101,70.74786859976128945
2012,1,SF,BA,0,0,72470611000000,72470611000000,72470611000000,72470611000000,42101,549.8404606600844457
2012,1,SF,BA,0,0,72470611000000,72470611000000,72470611000000,72470611000000,7664417,0.020602552
2012,1,SF,BA,0,0,72473111000000,72473111000000,72473111000000,72473111000000,42101,2169.874278212822998
2012,1,SF,BA,0,0,72473411000000,72473411000000,72473411000000,72473411000000,42101,3711.846462492505254
2012,1,SF,BA,0,0,72473411000000,72473411000000,72473411000000,72473411000000,7664417,109.794558151
2012,1,SF,BA,0,0,72476412100000,72476412100000,72476412100000,72476412100000,42101,2.895502813420643695
2012,1,SF,BA,0,0,72476412100000,72476412100000,72476412100000,72476412100000,7664417,0.032292177
2012,1,SF,BA,0,0,73270111000000,73270111000000,73270111000000,73270111000000,42101,17.999385567239428902
2012,1,SF,BA,0,0,73270611000000,73270611000000,73270611000000,73270611000000,42101,49.03999376149370625
2012,1,SF,BA,0,0,73270611000000,73270611000000,73270611000000,73270611000000,7664417,0.002069828
