REGION,DOW,HR,LD,LM,HH,SBUS
1,sun,0,0.020204,0.040504,0.060651,0
1,sun,1,0.012772,0.038892,0.055813,0
1,sun,2,0.00986,0.038501,0.0522,0
1,sun,3,0.006584,0.037756,0.048567,0
1,sun,4,0.006506,0.037444,0.046205,0
1,sun,5,0.009763,0.038018,0.044442,0
1,sun,6,0.015564,0.038325,0.043227,0
1,sun,7,0.02219,0.038699,0.041915,0
1,sun,8,0.032363,0.040249,0.041221,0
1,sun,9,0.046428,0.043009,0.040924,0
1,sun,10,0.059497,0.045598,0.040662,0
1,sun,11,0.065401,0.047205,0.039092,0
1,sun,12,0.068788,0.047981,0.037568,0
1,sun,13,0.071111,0.048646,0.035934,0
1,sun,14,0.07183,0.049004,0.034897,0
1,sun,15,0.070717,0.048605,0.033773,0
1,sun,16,0.070353,0.048252,0.033145,0
1,sun,17,0.068931,0.04776,0.033527,0
1,sun,18,0.063308,0.045442,0.033271,0
1,sun,19,0.056977,0.043335,0.0345,0
1,sun,20,0.052019,0.040515,0.036409,0
1,sun,21,0.044754,0.036864,0.039251,0
1,sun,22,0.033201,0.032122,0.043493,0
1,sun,23,0.020881,0.027272,0.049314,0
1,mon,0,0.008525,0.025906,0.031502,0
1,mon,1,0.004293,0.026623,0.032001,0
1,mon,2,0.003307,0.028222,0.033226,0
1,mon,3,0.005015,0.030091,0.035122,0
1,mon,4,0.014362,0.033309,0.038723,0
1,mon,5,0.034135,0.039116,0.043821,0
1,mon,6,0.051369,0.046024,0.048214,0.166666
1,mon,7,0.06407,0.052577,0.051664,0.166668
1,mon,8,0.06352,0.054599,0.053448,0.166666
1,mon,9,0.058031,0.053902,0.054217,0
1,mon,10,0.053052,0.053062,0.05387,0
1,mon,11,0.051494,0.054244,0.054414,0
1,mon,12,0.052403,0.055656,0.054473,0
1,mon,13,0.054197,0.056914,0.053673,0
1,mon,14,0.06111,0.058583,0.053364,0
1,mon,15,0.066293,0.058724,0.051496,0.166666
1,mon,16,0.068766,0.056862,0.048125,0.166668
1,mon,17,0.069709,0.052986,0.043713,0.166666
1,mon,18,0.061685,0.044548,0.037356,0
1,mon,19,0.047785,0.035262,0.030757,0
1,mon,20,0.035905,0.027688,0.025661,0
1,mon,21,0.031013,0.022452,0.023446,0
1,mon,22,0.024462,0.018143,0.022971,0
1,mon,23,0.015502,0.014509,0.024744,0
1,tuth,0,0.007746,0.026071,0.033681,0
1,tuth,1,0.004058,0.027137,0.03415,0
1,tuth,2,0.003347,0.028405,0.035086,0
1,tuth,3,0.005045,0.030287,0.03691,0
1,tuth,4,0.01432,0.033598,0.040537,0
1,tuth,5,0.035406,0.039878,0.045863,0
1,tuth,6,0.054875,0.047163,0.050034,0.166666
1,tuth,7,0.066517,0.054197,0.053271,0.166668
1,tuth,8,0.064125,0.056076,0.054387,0.166666
1,tuth,9,0.057463,0.05436,0.054547,0
1,tuth,10,0.051338,0.053431,0.053928,0
1,tuth,11,0.049458,0.053986,0.053723,0
1,tuth,12,0.050339,0.055321,0.053545,0
1,tuth,13,0.052976,0.056368,0.052642,0
1,tuth,14,0.059787,0.057656,0.05174,0
1,tuth,15,0.06432,0.058292,0.04983,0.166666
1,tuth,16,0.066745,0.056395,0.046516,0.166668
1,tuth,17,0.067069,0.05231,0.042273,0.166666
1,tuth,18,0.06141,0.044355,0.036105,0
1,tuth,19,0.04988,0.034883,0.029617,0
1,tuth,20,0.038107,0.027164,0.02472,0
1,tuth,21,0.033154,0.021645,0.022198,0
1,tuth,22,0.026049,0.017286,0.021556,0
1,tuth,23,0.016468,0.013736,0.023142,0
1,fri,0,0.008836,0.026639,0.036194,0
1,fri,1,0.005039,0.027682,0.036654,0
1,fri,2,0.004227,0.02893,0.037513,0
1,fri,3,0.005348,0.030629,0.038914,0
1,fri,4,0.013209,0.033992,0.042667,0
1,fri,5,0.031905,0.039619,0.047874,0
1,fri,6,0.049137,0.046059,0.051632,0.166666
1,fri,7,0.060315,0.051989,0.054621,0.166668
1,fri,8,0.05928,0.053708,0.055599,0.166666
