REGION,DOW,HR,LD,LM,HH,SBUS
1,sun,0,0.010251,0.014314,0.031505,0
1,sun,1,0.007435,0.010949,0.024310,0
1,sun,2,0.005407,0.010759,0.022315,0
1,sun,3,0.004313,0.009565,0.021223,0
1,sun,4,0.004214,0.009999,0.019712,0
1,sun,5,0.007332,0.013145,0.021178,0
1,sun,6,0.011997,0.018928,0.025732,0
1,sun,7,0.019045,0.022607,0.029027,0
1,sun,8,0.032384,0.035474,0.037654,0
1,sun,9,0.051073,0.051104,0.052897,0
1,sun,10,0.067497,0.067255,0.071390,0
1,sun,11,0.080466,0.081038,0.085122,0
1,sun,12,0.083435,0.081029,0.075763,0
1,sun,13,0.085171,0.082077,0.074454,0
1,sun,14,0.084869,0.083009,0.068632,0
1,sun,15,0.084210,0.080930,0.066396,0
1,sun,16,0.082009,0.079128,0.060323,0
1,sun,17,0.075694,0.070292,0.053260,0
1,sun,18,0.063687,0.056250,0.042628,0
1,sun,19,0.049469,0.043496,0.035090,0
1,sun,20,0.037674,0.033037,0.023925,0
1,sun,21,0.025752,0.021651,0.020154,0
1,sun,22,0.016875,0.013961,0.017201,0
1,sun,23,0.009740,0.010003,0.020111,0
1,mon,0,0.006368,0.009902,0.016726,0
1,mon,1,0.004184,0.008840,0.015799,0
1,mon,2,0.002840,0.009021,0.016084,0
1,mon,3,0.004689,0.010989,0.019267,0
1,mon,4,0.007608,0.017147,0.023514,0
1,mon,5,0.019173,0.027677,0.035667,0
1,mon,6,0.036249,0.041357,0.049550,0.166666
1,mon,7,0.051031,0.044467,0.065163,0.166668
1,mon,8,0.052780,0.055525,0.068258,0.166666
1,mon,9,0.058768,0.065170,0.080142,0
1,mon,10,0.066899,0.073808,0.087104,0
1,mon,11,0.070999,0.075101,0.082495,0
1,mon,12,0.074241,0.073964,0.079964,0
1,mon,13,0.073998,0.075445,0.074598,0
1,mon,14,0.077497,0.075617,0.065470,0
1,mon,15,0.081663,0.075713,0.057774,0.166666
1,mon,16,0.080800,0.072577,0.045188,0.166668
1,mon,17,0.071071,0.059177,0.034524,0.166666
1,mon,18,0.052104,0.041769,0.023133,0
1,mon,19,0.036523,0.029854,0.016957,0
1,mon,20,0.026865,0.021859,0.012676,0
1,mon,21,0.020210,0.016474,0.010160,0
1,mon,22,0.014777,0.011676,0.009497,0
1,mon,23,0.008663,0.006871,0.010292,0
1,tuth,0,0.005034,0.009069,0.017550,0
1,tuth,1,0.003365,0.008126,0.017022,0
1,tuth,2,0.001826,0.008669,0.017405,0
1,tuth,3,0.002550,0.009851,0.021723,0
1,tuth,4,0.005844,0.013867,0.025375,0
1,tuth,5,0.018107,0.027590,0.038917,0
1,tuth,6,0.037164,0.041928,0.052620,0.166666
1,tuth,7,0.052993,0.046905,0.063975,0.166668
1,tuth,8,0.053805,0.056582,0.070580,0.166666
1,tuth,9,0.059230,0.064693,0.076370,0
1,tuth,10,0.064088,0.068778,0.081193,0
1,tuth,11,0.067465,0.069642,0.077169,0
1,tuth,12,0.068724,0.071217,0.074019,0
1,tuth,13,0.071881,0.073500,0.074027,0
1,tuth,14,0.076569,0.076374,0.067038,0
1,tuth,15,0.083484,0.078373,0.057907,0.166666
1,tuth,16,0.082307,0.074635,0.048190,0.166668
1,tuth,17,0.073710,0.061262,0.036731,0.166666
1,tuth,18,0.053245,0.043873,0.023401,0
1,tuth,19,0.038159,0.031225,0.016376,0
1,tuth,20,0.029495,0.024620,0.012247,0
1,tuth,21,0.023291,0.018123,0.009948,0
1,tuth,22,0.017384,0.013035,0.009728,0
1,tuth,23,0.010278,0.008061,0.010490,0
1,fri,0,0.004893,0.009302,0.018954,0
1,fri,1,0.002891,0.007737,0.019240,0
1,fri,2,0.002179,0.008259,0.018863,0
1,fri,3,0.002450,0.008308,0.020794,0
1,fri,4,0.004993,0.012581,0.024194,0
1,fri,5,0.013137,0.023205,0.036986,0
1,fri,6,0.026213,0.035404,0.049245,0.166666
1,fri,7,0.039031,0.039628,0.059621,0.166668
1,fri,8,0.042572,0.048881,0.067855,0.166666
1,fri,9,0.049238,0.057173,0.072653,0
1,fri,10,0.057710,0.063420,0.078325,0
1,fri,11,0.064281,0.068534,0.077137,0
1,fri,12,0.066363,0.070937,0.075594,0
1,fri,13,0.071117,0.074431,0.076791,0
1,fri,14,0.075662,0.076917,0.069595,0
1,fri,15,0.083098,0.078668,0.060406,0.166666
1,fri,16,0.082573,0.077227,0.049953,0.166668
1,fri,17,0.075225,0.064086,0.037681,0.166666
1,fri,18,0.061802,0.050822,0.025364,0
1,fri,19,0.049548,0.039491,0.018108,0
1,fri,20,0.041028,0.029571,0.012801,0
1,fri,21,0.036414,0.024511,0.010387,0
1,fri,22,0.029997,0.018913,0.010578,0
1,fri,23,0.017586,0.011994,0.008876,0
1,sat,0,0.009738,0.014539,0.026710,0
1,sat,1,0.006586,0.011830,0.022681,0
1,sat,2,0.005133,0.010736,0.022484,0
1,sat,3,0.004301,0.010125,0.024598,0
1,sat,4,0.005453,0.013462,0.028336,0
1,sat,5,0.009657,0.020780,0.034214,0
1,sat,6,0.016931,0.027703,0.039287,0
1,sat,7,0.028986,0.035711,0.052798,0
1,sat,8,0.043928,0.044922,0.060251,0
1,sat,9,0.058573,0.060648,0.071171,0
1,sat,10,0.072768,0.073946,0.077992,0
1,sat,11,0.080546,0.076806,0.083049,0
1,sat,12,0.078354,0.076783,0.074564,0
1,sat,13,0.075360,0.072298,0.060341,0
1,sat,14,0.075105,0.068219,0.054666,0
1,sat,15,0.075068,0.067910,0.052071,0
1,sat,16,0.072089,0.069707,0.046559,0
1,sat,17,0.066469,0.063128,0.039637,0
1,sat,18,0.057507,0.051774,0.030903,0
1,sat,19,0.046857,0.040986,0.025559,0
1,sat,20,0.038471,0.030695,0.019622,0
1,sat,21,0.031371,0.024832,0.016375,0
1,sat,22,0.024567,0.019925,0.018169,0
1,sat,23,0.016181,0.012536,0.017961,0
1,holi,0,0.007653,0.010522,0.019949,0
1,holi,1,0.004762,0.008617,0.018004,0
1,holi,2,0.003492,0.010059,0.018008,0
1,holi,3,0.003650,0.010065,0.021365,0
1,holi,4,0.004541,0.012088,0.020044,0
1,holi,5,0.009312,0.018207,0.030808,0
1,holi,6,0.017652,0.023241,0.038460,0
1,holi,7,0.028530,0.030712,0.042703,0
1,holi,8,0.041413,0.044216,0.055732,0
1,holi,9,0.058298,0.057450,0.075170,0
1,holi,10,0.076475,0.083061,0.087250,0
1,holi,11,0.084445,0.086358,0.088068,0
1,holi,12,0.085433,0.086502,0.089425,0
1,holi,13,0.083163,0.080625,0.078381,0
1,holi,14,0.079603,0.074489,0.068107,0
1,holi,15,0.078161,0.073712,0.060498,0
1,holi,16,0.077839,0.071825,0.048569,0
1,holi,17,0.070865,0.066342,0.041386,0
1,holi,18,0.057366,0.048895,0.032610,0
1,holi,19,0.042883,0.039541,0.022181,0
1,holi,20,0.032904,0.025675,0.012763,0
1,holi,21,0.024097,0.017530,0.011168,0
1,holi,22,0.017283,0.012495,0.008901,0
1,holi,23,0.010182,0.007774,0.010451,0
2,sun,0,0.010251,0.014314,0.031505,0
2,sun,1,0.007435,0.010949,0.024310,0
2,sun,2,0.005407,0.010759,0.022315,0
2,sun,3,0.004313,0.009565,0.021223,0
2,sun,4,0.004214,0.009999,0.019712,0
2,sun,5,0.007332,0.013145,0.021178,0
2,sun,6,0.011997,0.018928,0.025732,0
2,sun,7,0.019045,0.022607,0.029027,0
2,sun,8,0.032384,0.035474,0.037654,0
2,sun,9,0.051073,0.051104,0.052897,0
2,sun,10,0.067497,0.067255,0.071390,0
2,sun,11,0.080466,0.081038,0.085122,0
2,sun,12,0.083435,0.081029,0.075763,0
2,sun,13,0.085171,0.082077,0.074454,0
2,sun,14,0.084869,0.083009,0.068632,0
2,sun,15,0.084210,0.080930,0.066396,0
2,sun,16,0.082009,0.079128,0.060323,0
2,sun,17,0.075694,0.070292,0.053260,0
2,sun,18,0.063687,0.056250,0.042628,0
2,sun,19,0.049469,0.043496,0.035090,0
2,sun,20,0.037674,0.033037,0.023925,0
2,sun,21,0.025752,0.021651,0.020154,0
2,sun,22,0.016875,0.013961,0.017201,0
2,sun,23,0.009740,0.010003,0.020111,0
2,mon,0,0.006368,0.009902,0.016726,0
2,mon,1,0.004184,0.008840,0.015799,0
2,mon,2,0.002840,0.009021,0.016084,0
2,mon,3,0.004689,0.010989,0.019267,0
2,mon,4,0.007608,0.017147,0.023514,0
2,mon,5,0.019173,0.027677,0.035667,0
2,mon,6,0.036249,0.041357,0.049550,0.166666
2,mon,7,0.051031,0.044467,0.065163,0.166668
2,mon,8,0.052780,0.055525,0.068258,0.166666
2,mon,9,0.058768,0.065170,0.080142,0
2,mon,10,0.066899,0.073808,0.087104,0
2,mon,11,0.070999,0.075101,0.082495,0
2,mon,12,0.074241,0.073964,0.079964,0
2,mon,13,0.073998,0.075445,0.074598,0
2,mon,14,0.077497,0.075617,0.065470,0
2,mon,15,0.081663,0.075713,0.057774,0.166666
2,mon,16,0.080800,0.072577,0.045188,0.166668
2,mon,17,0.071071,0.059177,0.034524,0.166666
2,mon,18,0.052104,0.041769,0.023133,0
2,mon,19,0.036523,0.029854,0.016957,0
2,mon,20,0.026865,0.021859,0.012676,0
2,mon,21,0.020210,0.016474,0.010160,0
2,mon,22,0.014777,0.011676,0.009497,0
2,mon,23,0.008663,0.006871,0.010292,0
2,tuth,0,0.005034,0.009069,0.017550,0
2,tuth,1,0.003365,0.008126,0.017022,0
2,tuth,2,0.001826,0.008669,0.017405,0
2,tuth,3,0.002550,0.009851,0.021723,0
2,tuth,4,0.005844,0.013867,0.025375,0
2,tuth,5,0.018107,0.027590,0.038917,0
2,tuth,6,0.037164,0.041928,0.052620,0.166666
2,tuth,7,0.052993,0.046905,0.063975,0.166668
2,tuth,8,0.053805,0.056582,0.070580,0.166666
2,tuth,9,0.059230,0.064693,0.076370,0
2,tuth,10,0.064088,0.068778,0.081193,0
2,tuth,11,0.067465,0.069642,0.077169,0
2,tuth,12,0.068724,0.071217,0.074019,0
2,tuth,13,0.071881,0.073500,0.074027,0
2,tuth,14,0.076569,0.076374,0.067038,0
2,tuth,15,0.083484,0.078373,0.057907,0.166666
2,tuth,16,0.082307,0.074635,0.048190,0.166668
