REGION,Day,DOW,LD,LM,HH,SBUS
1,1,sun,0.932602,0.500295,0.393336,0
1,2,mon,0.983979,0.917706,0.907683,1
1,3,tuth,1,1,1,1
1,6,fri,1.12786,1.086452,0.976213,1
1,7,sat,1.035008,0.656542,0.46637,0
1,8,holi,0.907295,0.769997,0.756659,0
2,1,sun,1.201409,0.820507,0.415201,0
2,2,mon,1.007016,0.945166,0.907689,1
2,3,tuth,1,1,1,1
2,6,fri,1.246719,1.082234,1.007269,1
2,7,sat,1.218706,0.802617,0.441794,0
2,8,holi,1.117868,0.935065,0.83151,0
3,1,sun,1.201409,0.820507,0.415201,0
3,2,mon,1.007016,0.945166,0.907689,1
3,3,tuth,1,1,1,1
3,6,fri,1.246719,1.082234,1.007269,1
3,7,sat,1.218706,0.802617,0.441794,0
3,8,holi,1.117868,0.935065,0.83151,0
4,1,sun,0.849813,0.492698,0.326021,0
4,2,mon,0.960583,0.950204,0.915046,1
4,3,tuth,1,1,1,1
4,6,fri,1.030552,1.004259,0.932415,1
4,7,sat,0.923594,0.618866,0.376133,0
4,8,holi,0.769507,0.618683,0.526726,0
5,1,sun,1.250354,0.756803,0.569270,0
5,2,mon,1.042957,0.988416,0.895836,1
5,3,tuth,1,1,1,1
5,6,fri,1.280916,1.048226,0.897675,1
5,7,sat,1.350747,0.839289,0.616791,0
5,8,holi,1.124734,1.084267,0.983138,0
6,1,sun,1.533444,0.608905,0.513353,0
6,2,mon,1.114477,0.990149,0.883046,1
6,3,tuth,1,1,1,1
6,6,fri,1.462857,0.991718,0.865718,1
6,7,sat,1.671515,0.694514,0.566935,0
6,8,holi,1.236593,1.033004,0.922541,0
7,1,sun,0.932602,0.500295,0.393336,0
7,2,mon,0.983979,0.917706,0.907683,1
7,3,tuth,1,1,1,1
7,6,fri,1.12786,1.086452,0.976213,1
7,7,sat,1.035008,0.656542,0.46637,0
7,8,holi,0.907295,0.769997,0.756659,0
8,1,sun,0.932602,0.500295,0.393336,0
8,2,mon,0.983979,0.917706,0.907683,1
8,3,tuth,1,1,1,1
