REGION,Day,DOW,LD,LM,HH,SBUS
1,1,sun,1.200535,0.823616,0.418047,0.0
1,2,mon,1.006282,0.948747,0.91391,1.0
1,3,tuth,1.0,1.0,1.0,1.0
1,6,fri,1.245811,1.086336,1.014173,1.0
1,7,sat,1.217818,0.805659,0.444822,0.0
1,8,holi,1.117054,0.938608,0.83721,0.0
2,1,sun,1.200535,0.823616,0.418047,0.0
2,2,mon,1.006282,0.948747,0.91391,1.0
2,3,tuth,1.0,1.0,1.0,1.0
2,6,fri,1.245811,1.086336,1.014173,1.0
2,7,sat,1.217818,0.805659,0.444822,0.0
2,8,holi,1.117054,0.938608,0.83721,0.0
3,1,sun,1.200535,0.823616,0.418047,0.0
3,2,mon,1.006282,0.948747,0.91391,1.0
3,3,tuth,1.0,1.0,1.0,1.0
3,6,fri,1.245811,1.086336,1.014173,1.0
3,7,sat,1.217818,0.805659,0.444822,0.0
3,8,holi,1.117054,0.938608,0.83721,0.0
4,1,sun,0.849813,0.492698,0.326021,0.0
4,2,mon,0.960583,0.950204,0.915046,1.0
4,3,tuth,1.0,1.0,1.0,1.0
4,6,fri,1.030552,1.004259,0.932415,1.0
4,7,sat,0.923594,0.618866,0.376133,0.0
4,8,holi,0.769507,0.618683,0.526726,0.0
5,1,sun,1.043349,0.679567,0.558337,0.0
5,2,mon,0.996895,0.966558,0.9022,1.0
5,3,tuth,1.0,1.0,1.0,1.0
5,6,fri,1.196826,1.008284,0.875975,1.0
5,7,sat,1.148504,0.761693,0.590696,0.0
5,8,holi,1.050339,1.045175,0.983042,0.0
6,1,sun,1.068468,0.550011,0.495583,0.0
6,2,mon,1.045505,0.99734,0.904548,1.0
6,3,tuth,1.0,1.0,1.0,1.0
6,6,fri,1.169541,0.923049,0.827783,1.0
6,7,sat,1.163726,0.618878,0.520592,0.0
6,8,holi,1.123505,1.029536,0.93117,0.0
7,1,sun,1.200535,0.823616,0.418047,0.0
7,2,mon,1.006282,0.948747,0.91391,1.0
7,3,tuth,1.0,1.0,1.0,1.0
7,6,fri,1.245811,1.086336,1.014173,1.0
7,7,sat,1.217818,0.805659,0.444822,0.0
7,8,holi,1.117054,0.938608,0.83721,0.0
8,1,sun,1.200535,0.823616,0.418047,0.0
8,2,mon,1.006282,0.948747,0.91391,1.0
8,3,tuth,1.0,1.0,1.0,1.0
8,6,fri,1.245811,1.086336,1.014173,1.0
8,7,sat,1.217818,0.805659,0.444822,0.0
8,8,holi,1.117054,0.938608,0.83721,0.0
9,1,sun,0.971756,0.667865,0.602143,0.0
9,2,mon,0.988014,0.977286,0.942518,1.0
9,3,tuth,1.0,1.0,1.0,1.0
9,6,fri,1.177729,1.100838,0.962929,1.0
9,7,sat,1.037113,0.786044,0.575321,0.0
9,8,holi,0.97057,0.93275,0.92117,0.0
10,1,sun,1.200535,0.823616,0.418047,0.0
10,2,mon,1.006282,0.948747,0.91391,1.0
10,3,tuth,1.0,1.0,1.0,1.0
10,6,fri,1.245811,1.086336,1.014173,1.0
10,7,sat,1.217818,0.805659,0.444822,0.0
10,8,holi,1.117054,0.938608,0.83721,0.0
11,1,sun,0.971756,0.667865,0.602143,0.0
11,2,mon,0.988014,0.977286,0.942518,1.0
11,3,tuth,1.0,1.0,1.0,1.0
11,6,fri,1.177729,1.100838,0.962929,1.0
11,7,sat,1.037113,0.786044,0.575321,0.0
11,8,holi,0.97057,0.93275,0.92117,0.0
12,1,sun,0.971756,0.667865,0.602143,0.0
12,2,mon,0.988014,0.977286,0.942518,1.0
12,3,tuth,1.0,1.0,1.0,1.0
12,6,fri,1.177729,1.100838,0.962929,1.0
12,7,sat,1.037113,0.786044,0.575321,0.0
12,8,holi,0.97057,0.93275,0.92117,0.0
13,1,sun,0.650927,0.441875,0.63090366,0.0
13,2,mon,0.964202,0.959953,0.98218125,1.0
13,3,tuth,1.0,1.0,1.0,1.0
13,6,fri,1.008339,1.015146,1.0226122,1.0
13,7,sat,0.770501,0.603844,0.76392066,0.0
13,8,holi,0.730854,0.6564,0.7038684,0.0
14,1,sun,0.971756,0.667865,0.602143,0.0
14,2,mon,0.988014,0.977286,0.942518,1.0
14,3,tuth,1.0,1.0,1.0,1.0
14,6,fri,1.177729,1.100838,0.962929,1.0
14,7,sat,1.037113,0.786044,0.575321,0.0
14,8,holi,0.97057,0.93275,0.92117,0.0
15,1,sun,1.200535,0.823616,0.418047,0.0
15,2,mon,1.006282,0.948747,0.91391,1.0
15,3,tuth,1.0,1.0,1.0,1.0
15,6,fri,1.245811,1.086336,1.014173,1.0
