calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2018,July,Alameda (SF),LDA,Gas,RUNEX,CAT,CO,23.362975687829785
2018,July,Alameda (SF),LDA,Gas,RUNEX,CAT,NOx,1.5232624847420033
2018,July,Alameda (SF),LDA,Gas,RUNEX,CAT,SOx,0.06976643036823009
2018,July,Alameda (SF),LDA,Gas,RUNEX,CAT,PM,0.04051866218721762
2018,July,Alameda (SF),LDA,Gas,RUNEX,CAT,TOG,0.6737170878514571
2018,July,Alameda (SF),LDA,Gas,RUNEX,CAT,PM10,0.03622688666953741
2018,July,Alameda (SF),LDA,Gas,RUNEX,CAT,PM2_5,0.03331088142305202
2018,July,Alameda (SF),LDA,Gas,RUNEX,NCAT,CO,0.21361830342022
2018,July,Alameda (SF),LDA,Gas,RUNEX,NCAT,NOx,0.018322232862951905
2018,July,Alameda (SF),LDA,Gas,RUNEX,NCAT,SOx,2.2221795037346985e-05
2018,July,Alameda (SF),LDA,Gas,RUNEX,NCAT,PM,0.00022138659921998508
2018,July,Alameda (SF),LDA,Gas,RUNEX,NCAT,TOG,0.020516021551478296
2018,July,Alameda (SF),LDA,Gas,RUNEX,NCAT,PM10,0.00020954984768552215
2018,July,Alameda (SF),LDA,Gas,RUNEX,NCAT,PM2_5,0.0001984704063255635
2018,July,Alameda (SF),LDA,Gas,STREX,CAT,CO,6.864683002841033
2018,July,Alameda (SF),LDA,Gas,STREX,CAT,NOx,0.7680365671880218
2018,July,Alameda (SF),LDA,Gas,STREX,CAT,SOx,0.0018070379747620528
2018,July,Alameda (SF),LDA,Gas,STREX,CAT,PM,0.0071143311982620585
2018,July,Alameda (SF),LDA,Gas,STREX,CAT,TOG,1.1610648350933455
2018,July,Alameda (SF),LDA,Gas,STREX,CAT,PM10,0.00636158893727953
2018,July,Alameda (SF),LDA,Gas,STREX,CAT,PM2_5,0.005849932489346913
2018,July,Alameda (SF),LDA,Gas,STREX,NCAT,CO,0.0381756772587299
2018,July,Alameda (SF),LDA,Gas,STREX,NCAT,NOx,0.0019957198908963194
2018,July,Alameda (SF),LDA,Gas,STREX,NCAT,SOx,3.2969651058226205e-06
2018,July,Alameda (SF),LDA,Gas,STREX,NCAT,PM,9.274285645142215e-05
2018,July,Alameda (SF),LDA,Gas,STREX,NCAT,TOG,0.006113358328794365
2018,July,Alameda (SF),LDA,Gas,STREX,NCAT,PM10,8.774903901656861e-05
2018,July,Alameda (SF),LDA,Gas,STREX,NCAT,PM2_5,8.30929549904531e-05
2018,July,Alameda (SF),LDA,Gas,HOTSOAK,CAT,TOG,0.45157712241218634
2018,July,Alameda (SF),LDA,Gas,HOTSOAK,NCAT,TOG,0.004833150776122462
2018,July,Alameda (SF),LDA,Gas,RUNLOSS,CAT,TOG,0.7773759547694387
2018,July,Alameda (SF),LDA,Gas,RUNLOSS,NCAT,TOG,0.01700895459070926
2018,July,Alameda (SF),LDA,Gas,RESTLOSS,CAT,TOG,0.2035852124713282
2018,July,Alameda (SF),LDA,Gas,RESTLOSS,NCAT,TOG,0.0033576761377371953
2018,July,Alameda (SF),LDA,Gas,DIURN,CAT,TOG,0.3560847977883426
2018,July,Alameda (SF),LDA,Gas,DIURN,NCAT,TOG,0.006007839950816639
2018,July,Alameda (SF),LDA,Gas,PMTW,CAT,PM,0.1894998966668772
2018,July,Alameda (SF),LDA,Gas,PMTW,CAT,PM10,0.1894998966668772
2018,July,Alameda (SF),LDA,Gas,PMTW,CAT,PM2_5,0.0473749741667193
2018,July,Alameda (SF),LDA,Gas,PMTW,NCAT,PM,2.962450744026178e-05
2018,July,Alameda (SF),LDA,Gas,PMTW,NCAT,PM10,2.962450744026178e-05
2018,July,Alameda (SF),LDA,Gas,PMTW,NCAT,PM2_5,7.406126860065445e-06
2018,July,Alameda (SF),LDA,Gas,PMBW,CAT,PM,0.8882807656259881
2018,July,Alameda (SF),LDA,Gas,PMBW,CAT,PM10,0.870515150313468
2018,July,Alameda (SF),LDA,Gas,PMBW,CAT,PM2_5,0.37307792156291464
2018,July,Alameda (SF),LDA,Gas,PMBW,NCAT,PM,0.00013886487862622708
2018,July,Alameda (SF),LDA,Gas,PMBW,NCAT,PM10,0.0001360875810537025
2018,July,Alameda (SF),LDA,Gas,PMBW,NCAT,PM2_5,5.8323249023015334e-05
2018,July,Alameda (SF),LDA,Dsl,RUNEX,DSL,CO,0.06836162160407955
2018,July,Alameda (SF),LDA,Dsl,RUNEX,DSL,NOx,0.04539998724122222
2018,July,Alameda (SF),LDA,Dsl,RUNEX,DSL,SOx,0.0005360385634573941
2018,July,Alameda (SF),LDA,Dsl,RUNEX,DSL,PM,0.0038986062035324992
2018,July,Alameda (SF),LDA,Dsl,RUNEX,DSL,TOG,0.007061001635381359
2018,July,Alameda (SF),LDA,Dsl,RUNEX,DSL,PM10,0.0038752145663112996
2018,July,Alameda (SF),LDA,Dsl,RUNEX,DSL,PM2_5,0.0037075744995594046
2018,July,Alameda (SF),LDA,Dsl,PMTW,DSL,PM,0.0019835793954236388
2018,July,Alameda (SF),LDA,Dsl,PMTW,DSL,PM10,0.0019835793954236388
2018,July,Alameda (SF),LDA,Dsl,PMTW,DSL,PM2_5,0.0004958948488559097
2018,July,Alameda (SF),LDA,Dsl,PMBW,DSL,PM,0.009298028416048309
2018,July,Alameda (SF),LDA,Dsl,PMBW,DSL,PM10,0.009112067847727341
2018,July,Alameda (SF),LDA,Dsl,PMBW,DSL,PM2_5,0.0039051719347402898
2018,July,Alameda (SF),LDA,Elec,HOTSOAK,CAT,TOG,0.00033897562307902857
2018,July,Alameda (SF),LDA,Elec,RESTLOSS,CAT,TOG,9.948768060259176e-05
2018,July,Alameda (SF),LDA,Elec,DIURN,CAT,TOG,0.000490106818390249
2018,July,Alameda (SF),LDA,Elec,PMTW,CAT,PM,0.004075522622281933
2018,July,Alameda (SF),LDA,Elec,PMTW,CAT,PM10,0.004075522622281933
2018,July,Alameda (SF),LDA,Elec,PMTW,CAT,PM2_5,0.0010188806555704833
2018,July,Alameda (SF),LDA,Elec,PMBW,CAT,PM,0.019104012291946554
2018,July,Alameda (SF),LDA,Elec,PMBW,CAT,PM10,0.018721932046107607
2018,July,Alameda (SF),LDA,Elec,PMBW,CAT,PM2_5,0.008023685162617554
2018,July,Alameda (SF),LDT1,Gas,RUNEX,CAT,CO,4.133008301923418
2018,July,Alameda (SF),LDT1,Gas,RUNEX,CAT,NOx,0.34008733045025463
2018,July,Alameda (SF),LDT1,Gas,RUNEX,CAT,SOx,0.008084273154583583
2018,July,Alameda (SF),LDT1,Gas,RUNEX,CAT,PM,0.006237583868753875
2018,July,Alameda (SF),LDT1,Gas,RUNEX,CAT,TOG,0.14006086351967004
2018,July,Alameda (SF),LDT1,Gas,RUNEX,CAT,PM10,0.005577756981728953
2018,July,Alameda (SF),LDT1,Gas,RUNEX,CAT,PM2_5,0.005129218048936328
2018,July,Alameda (SF),LDT1,Gas,RUNEX,NCAT,CO,0.07532447063678942
2018,July,Alameda (SF),LDT1,Gas,RUNEX,NCAT,NOx,0.006134684097793206
2018,July,Alameda (SF),LDT1,Gas,RUNEX,NCAT,SOx,7.50269024823798e-06
2018,July,Alameda (SF),LDT1,Gas,RUNEX,NCAT,PM,7.552529354868389e-05
2018,July,Alameda (SF),LDT1,Gas,RUNEX,NCAT,TOG,0.006936818638351645
2018,July,Alameda (SF),LDT1,Gas,RUNEX,NCAT,PM10,7.122280403730186e-05
2018,July,Alameda (SF),LDT1,Gas,RUNEX,NCAT,PM2_5,6.733258536349492e-05
2018,July,Alameda (SF),LDT1,Gas,STREX,CAT,CO,0.7518109377055584
2018,July,Alameda (SF),LDT1,Gas,STREX,CAT,NOx,0.10524839862465557
2018,July,Alameda (SF),LDT1,Gas,STREX,CAT,SOx,0.00021348747455302713
2018,July,Alameda (SF),LDT1,Gas,STREX,CAT,PM,0.0010725112049962046
