calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2018,July,Colusa (SV),LDA,Gas,RUNEX,CAT,CO,1.4182512223075072
2018,July,Colusa (SV),LDA,Gas,RUNEX,CAT,NOx,0.08038256018175816
2018,July,Colusa (SV),LDA,Gas,RUNEX,CAT,SOx,0.0036932968449053263
2018,July,Colusa (SV),LDA,Gas,RUNEX,CAT,PM,0.001963883115608706
2018,July,Colusa (SV),LDA,Gas,RUNEX,CAT,TOG,0.03806473976212184
2018,July,Colusa (SV),LDA,Gas,RUNEX,CAT,PM10,0.0017558817341695606
2018,July,Colusa (SV),LDA,Gas,RUNEX,CAT,PM2_5,0.0016145532902461918
2018,July,Colusa (SV),LDA,Gas,RUNEX,NCAT,CO,0.014222398523489829
2018,July,Colusa (SV),LDA,Gas,RUNEX,NCAT,NOx,0.0009878493166729273
2018,July,Colusa (SV),LDA,Gas,RUNEX,NCAT,SOx,1.2601193730625408e-06
2018,July,Colusa (SV),LDA,Gas,RUNEX,NCAT,PM,1.1429184103978577e-05
2018,July,Colusa (SV),LDA,Gas,RUNEX,NCAT,TOG,0.0011479704100491235
2018,July,Colusa (SV),LDA,Gas,RUNEX,NCAT,PM10,1.0813217108545968e-05
2018,July,Colusa (SV),LDA,Gas,RUNEX,NCAT,PM2_5,1.0239192607514674e-05
2018,July,Colusa (SV),LDA,Gas,STREX,CAT,CO,0.28787220229201227
2018,July,Colusa (SV),LDA,Gas,STREX,CAT,NOx,0.03318516617881735
2018,July,Colusa (SV),LDA,Gas,STREX,CAT,SOx,7.882811069398974e-05
2018,July,Colusa (SV),LDA,Gas,STREX,CAT,PM,0.0003257139864624916
2018,July,Colusa (SV),LDA,Gas,STREX,CAT,TOG,0.04542826217975237
2018,July,Colusa (SV),LDA,Gas,STREX,CAT,PM10,0.00029127143072887077
2018,July,Colusa (SV),LDA,Gas,STREX,CAT,PM2_5,0.0002678547632749036
2018,July,Colusa (SV),LDA,Gas,STREX,NCAT,CO,0.0025590393415174787
2018,July,Colusa (SV),LDA,Gas,STREX,NCAT,NOx,0.00011740074771004238
2018,July,Colusa (SV),LDA,Gas,STREX,NCAT,SOx,2.040404989105516e-07
2018,July,Colusa (SV),LDA,Gas,STREX,NCAT,PM,5.635964705915584e-06
2018,July,Colusa (SV),LDA,Gas,STREX,NCAT,TOG,0.0003654091504049591
2018,July,Colusa (SV),LDA,Gas,STREX,NCAT,PM10,5.333035250982137e-06
2018,July,Colusa (SV),LDA,Gas,STREX,NCAT,PM2_5,5.050313232589362e-06
2018,July,Colusa (SV),LDA,Gas,HOTSOAK,CAT,TOG,0.026799663194244556
2018,July,Colusa (SV),LDA,Gas,HOTSOAK,NCAT,TOG,0.0004221930495952388
2018,July,Colusa (SV),LDA,Gas,RUNLOSS,CAT,TOG,0.038004152778729254
2018,July,Colusa (SV),LDA,Gas,RUNLOSS,NCAT,TOG,0.0010802482973571868
2018,July,Colusa (SV),LDA,Gas,RESTLOSS,CAT,TOG,0.017816435364507794
2018,July,Colusa (SV),LDA,Gas,RESTLOSS,NCAT,TOG,0.0004275801199033747
2018,July,Colusa (SV),LDA,Gas,DIURN,CAT,TOG,0.03974665190312288
2018,July,Colusa (SV),LDA,Gas,DIURN,NCAT,TOG,0.0009961358016457936
2018,July,Colusa (SV),LDA,Gas,PMTW,CAT,PM,0.009080656295307186
2018,July,Colusa (SV),LDA,Gas,PMTW,CAT,PM10,0.009080656295307186
2018,July,Colusa (SV),LDA,Gas,PMTW,CAT,PM2_5,0.0022701640738267965
2018,July,Colusa (SV),LDA,Gas,PMTW,NCAT,PM,1.551566760696268e-06
2018,July,Colusa (SV),LDA,Gas,PMTW,NCAT,PM10,1.551566760696268e-06
2018,July,Colusa (SV),LDA,Gas,PMTW,NCAT,PM2_5,3.87891690174067e-07
2018,July,Colusa (SV),LDA,Gas,PMBW,CAT,PM,0.042565576384252395
2018,July,Colusa (SV),LDA,Gas,PMBW,CAT,PM10,0.041714264856567373
2018,July,Colusa (SV),LDA,Gas,PMBW,CAT,PM2_5,0.017877542081386005
2018,July,Colusa (SV),LDA,Gas,PMBW,NCAT,PM,7.272969190763764e-06
2018,July,Colusa (SV),LDA,Gas,PMBW,NCAT,PM10,7.127509806948485e-06
2018,July,Colusa (SV),LDA,Gas,PMBW,NCAT,PM2_5,3.054647060120778e-06
2018,July,Colusa (SV),LDA,Dsl,RUNEX,DSL,CO,0.0030094327907980987
2018,July,Colusa (SV),LDA,Dsl,RUNEX,DSL,NOx,0.00198458604791295
2018,July,Colusa (SV),LDA,Dsl,RUNEX,DSL,SOx,2.1855011334109954e-05
2018,July,Colusa (SV),LDA,Dsl,RUNEX,DSL,PM,0.000142810828589048
2018,July,Colusa (SV),LDA,Dsl,RUNEX,DSL,TOG,0.0002847860066922478
2018,July,Colusa (SV),LDA,Dsl,RUNEX,DSL,PM10,0.00014195396361751353
2018,July,Colusa (SV),LDA,Dsl,RUNEX,DSL,PM2_5,0.00013581309798818447
2018,July,Colusa (SV),LDA,Dsl,PMTW,DSL,PM,8.311804299238888e-05
2018,July,Colusa (SV),LDA,Dsl,PMTW,DSL,PM10,8.311804299238888e-05
2018,July,Colusa (SV),LDA,Dsl,PMTW,DSL,PM2_5,2.077951074809722e-05
2018,July,Colusa (SV),LDA,Dsl,PMBW,DSL,PM,0.00038961582652682257
2018,July,Colusa (SV),LDA,Dsl,PMBW,DSL,PM10,0.0003818235099962861
2018,July,Colusa (SV),LDA,Dsl,PMBW,DSL,PM2_5,0.00016363864714126548
2018,July,Colusa (SV),LDA,Elec,HOTSOAK,CAT,TOG,4.790104119629907e-06
2018,July,Colusa (SV),LDA,Elec,RESTLOSS,CAT,TOG,5.574941654782807e-06
2018,July,Colusa (SV),LDA,Elec,DIURN,CAT,TOG,1.7203486602020594e-05
2018,July,Colusa (SV),LDA,Elec,PMTW,CAT,PM,6.020071830086562e-05
2018,July,Colusa (SV),LDA,Elec,PMTW,CAT,PM10,6.020071830086562e-05
2018,July,Colusa (SV),LDA,Elec,PMTW,CAT,PM2_5,1.5050179575216405e-05
2018,July,Colusa (SV),LDA,Elec,PMBW,CAT,PM,0.0002821908670353075
2018,July,Colusa (SV),LDA,Elec,PMBW,CAT,PM10,0.0002765470496946015
2018,July,Colusa (SV),LDA,Elec,PMBW,CAT,PM2_5,0.00011852016415482912
2018,July,Colusa (SV),LDT1,Gas,RUNEX,CAT,CO,0.2974852024093075
2018,July,Colusa (SV),LDT1,Gas,RUNEX,CAT,NOx,0.02207066178043574
2018,July,Colusa (SV),LDT1,Gas,RUNEX,CAT,SOx,0.00044009643832861425
2018,July,Colusa (SV),LDT1,Gas,RUNEX,CAT,PM,0.00034308335731533633
2018,July,Colusa (SV),LDT1,Gas,RUNEX,CAT,TOG,0.009807996435846886
2018,July,Colusa (SV),LDT1,Gas,RUNEX,CAT,PM10,0.00030684578106187987
2018,July,Colusa (SV),LDT1,Gas,RUNEX,CAT,PM2_5,0.0002821977982816704
2018,July,Colusa (SV),LDT1,Gas,RUNEX,NCAT,CO,0.010753103266991408
2018,July,Colusa (SV),LDT1,Gas,RUNEX,NCAT,NOx,0.0007685109360636812
2018,July,Colusa (SV),LDT1,Gas,RUNEX,NCAT,SOx,9.362989847097836e-07
2018,July,Colusa (SV),LDT1,Gas,RUNEX,NCAT,PM,8.85202353991849e-06
2018,July,Colusa (SV),LDT1,Gas,RUNEX,NCAT,TOG,0.0009480475260618451
2018,July,Colusa (SV),LDT1,Gas,RUNEX,NCAT,PM10,8.377534999892482e-06
2018,July,Colusa (SV),LDT1,Gas,RUNEX,NCAT,PM2_5,7.934027017641468e-06
2018,July,Colusa (SV),LDT1,Gas,STREX,CAT,CO,0.03693958820491466
2018,July,Colusa (SV),LDT1,Gas,STREX,CAT,NOx,0.005544571599927197
2018,July,Colusa (SV),LDT1,Gas,STREX,CAT,SOx,1.0388666918920969e-05
2018,July,Colusa (SV),LDT1,Gas,STREX,CAT,PM,5.8408330559568366e-05
2018,July,Colusa (SV),LDT1,Gas,STREX,CAT,TOG,0.00845956959347145
2018,July,Colusa (SV),LDT1,Gas,STREX,CAT,PM10,5.226954983499011e-05
2018,July,Colusa (SV),LDT1,Gas,STREX,CAT,PM2_5,4.8086091300561024e-05
2018,July,Colusa (SV),LDT1,Gas,STREX,NCAT,CO,0.0018850903702533448
2018,July,Colusa (SV),LDT1,Gas,STREX,NCAT,NOx,7.986368166854612e-05
2018,July,Colusa (SV),LDT1,Gas,STREX,NCAT,SOx,1.377988095830766e-07
2018,July,Colusa (SV),LDT1,Gas,STREX,NCAT,PM,3.7246983393707807e-06
2018,July,Colusa (SV),LDT1,Gas,STREX,NCAT,TOG,0.00026681302057498743
2018,July,Colusa (SV),LDT1,Gas,STREX,NCAT,PM10,3.526932789399305e-06
2018,July,Colusa (SV),LDT1,Gas,STREX,NCAT,PM2_5,3.341104796607159e-06
2018,July,Colusa (SV),LDT1,Gas,HOTSOAK,CAT,TOG,0.0067413744774002015
2018,July,Colusa (SV),LDT1,Gas,HOTSOAK,NCAT,TOG,0.00026430244462019955
2018,July,Colusa (SV),LDT1,Gas,RUNLOSS,CAT,TOG,0.017053635733940503
2018,July,Colusa (SV),LDT1,Gas,RUNLOSS,NCAT,TOG,0.0002722236784609021
2018,July,Colusa (SV),LDT1,Gas,RESTLOSS,CAT,TOG,0.0045957420300965935
2018,July,Colusa (SV),LDT1,Gas,RESTLOSS,NCAT,TOG,0.0002742144230687056
2018,July,Colusa (SV),LDT1,Gas,DIURN,CAT,TOG,0.01122679437572529
2018,July,Colusa (SV),LDT1,Gas,DIURN,NCAT,TOG,0.0006289863951279732
2018,July,Colusa (SV),LDT1,Gas,PMTW,CAT,PM,0.0009409187603636348
2018,July,Colusa (SV),LDT1,Gas,PMTW,CAT,PM10,0.0009409187603636348
2018,July,Colusa (SV),LDT1,Gas,PMTW,CAT,PM2_5,0.0002352296900909087
2018,July,Colusa (SV),LDT1,Gas,PMTW,NCAT,PM,1.2009731542924282e-06
2018,July,Colusa (SV),LDT1,Gas,PMTW,NCAT,PM10,1.2009731542924282e-06
2018,July,Colusa (SV),LDT1,Gas,PMTW,NCAT,PM2_5,3.0024328857310705e-07
2018,July,Colusa (SV),LDT1,Gas,PMBW,CAT,PM,0.00441055668920454
2018,July,Colusa (SV),LDT1,Gas,PMBW,CAT,PM10,0.004322345555420445
2018,July,Colusa (SV),LDT1,Gas,PMBW,CAT,PM2_5,0.0018524338094659052
2018,July,Colusa (SV),LDT1,Gas,PMBW,NCAT,PM,5.629561660745764e-06
2018,July,Colusa (SV),LDT1,Gas,PMBW,NCAT,PM10,5.516970427530845e-06
2018,July,Colusa (SV),LDT1,Gas,PMBW,NCAT,PM2_5,2.3644158975132183e-06
2018,July,Colusa (SV),LDT2,Gas,RUNEX,CAT,CO,0.8028703952777947
2018,July,Colusa (SV),LDT2,Gas,RUNEX,CAT,NOx,0.07198261790571907
2018,July,Colusa (SV),LDT2,Gas,RUNEX,CAT,SOx,0.0017130876056865054
2018,July,Colusa (SV),LDT2,Gas,RUNEX,CAT,PM,0.0008060336981811725
2018,July,Colusa (SV),LDT2,Gas,RUNEX,CAT,TOG,0.02417041868432005
2018,July,Colusa (SV),LDT2,Gas,RUNEX,CAT,PM10,0.0007207630552411754
2018,July,Colusa (SV),LDT2,Gas,RUNEX,CAT,PM2_5,0.0006627992261942467
2018,July,Colusa (SV),LDT2,Gas,RUNEX,NCAT,CO,0.012906174952259562
2018,July,Colusa (SV),LDT2,Gas,RUNEX,NCAT,NOx,0.0008935436981925691
2018,July,Colusa (SV),LDT2,Gas,RUNEX,NCAT,SOx,1.1200117657472623e-06
2018,July,Colusa (SV),LDT2,Gas,RUNEX,NCAT,PM,1.0506589348847726e-05
2018,July,Colusa (SV),LDT2,Gas,RUNEX,NCAT,TOG,0.001065604079894368
2018,July,Colusa (SV),LDT2,Gas,RUNEX,NCAT,PM10,9.92790329703601e-06
2018,July,Colusa (SV),LDT2,Gas,RUNEX,NCAT,PM2_5,9.395016143570505e-06
2018,July,Colusa (SV),LDT2,Gas,STREX,CAT,CO,0.14625572470772924
2018,July,Colusa (SV),LDT2,Gas,STREX,CAT,NOx,0.024279396968760476
2018,July,Colusa (SV),LDT2,Gas,STREX,CAT,SOx,4.0387706212096416e-05
2018,July,Colusa (SV),LDT2,Gas,STREX,CAT,PM,0.00013661724390801047
2018,July,Colusa (SV),LDT2,Gas,STREX,CAT,TOG,0.026422555922226233
2018,July,Colusa (SV),LDT2,Gas,STREX,CAT,PM10,0.00012218982212204232
2018,July,Colusa (SV),LDT2,Gas,STREX,CAT,PM2_5,0.00011237595026084276
2018,July,Colusa (SV),LDT2,Gas,STREX,NCAT,CO,0.0016806474153605508
2018,July,Colusa (SV),LDT2,Gas,STREX,NCAT,NOx,6.606642112547064e-05
2018,July,Colusa (SV),LDT2,Gas,STREX,NCAT,SOx,1.1854869029602326e-07
2018,July,Colusa (SV),LDT2,Gas,STREX,NCAT,PM,3.2290809104873914e-06
2018,July,Colusa (SV),LDT2,Gas,STREX,NCAT,TOG,0.0002148392664577011
2018,July,Colusa (SV),LDT2,Gas,STREX,NCAT,PM10,3.0491406866973823e-06
2018,July,Colusa (SV),LDT2,Gas,STREX,NCAT,PM2_5,2.8844914264588052e-06
2018,July,Colusa (SV),LDT2,Gas,HOTSOAK,CAT,TOG,0.014378280025503728
2018,July,Colusa (SV),LDT2,Gas,HOTSOAK,NCAT,TOG,0.00021994066826244897
2018,July,Colusa (SV),LDT2,Gas,RUNLOSS,CAT,TOG,0.03593322413462105
2018,July,Colusa (SV),LDT2,Gas,RUNLOSS,NCAT,TOG,0.00022961203645420087
2018,July,Colusa (SV),LDT2,Gas,RESTLOSS,CAT,TOG,0.010373885714981813
2018,July,Colusa (SV),LDT2,Gas,RESTLOSS,NCAT,TOG,0.00023513754814776495
2018,July,Colusa (SV),LDT2,Gas,DIURN,CAT,TOG,0.022861072183984553
2018,July,Colusa (SV),LDT2,Gas,DIURN,NCAT,TOG,0.0005393013562413814
2018,July,Colusa (SV),LDT2,Gas,PMTW,CAT,PM,0.0032797207924735315
2018,July,Colusa (SV),LDT2,Gas,PMTW,CAT,PM10,0.0032797207924735315
2018,July,Colusa (SV),LDT2,Gas,PMTW,CAT,PM2_5,0.0008199301981183829
2018,July,Colusa (SV),LDT2,Gas,PMTW,NCAT,PM,1.4255882578870659e-06
2018,July,Colusa (SV),LDT2,Gas,PMTW,NCAT,PM10,1.4255882578870659e-06
2018,July,Colusa (SV),LDT2,Gas,PMTW,NCAT,PM2_5,3.5639706447176647e-07
2018,July,Colusa (SV),LDT2,Gas,PMBW,CAT,PM,0.015373691214719683
2018,July,Colusa (SV),LDT2,Gas,PMBW,CAT,PM10,0.015066217390425279
2018,July,Colusa (SV),LDT2,Gas,PMBW,CAT,PM2_5,0.0064569503101822665
2018,July,Colusa (SV),LDT2,Gas,PMBW,NCAT,PM,6.682444958845614e-06
2018,July,Colusa (SV),LDT2,Gas,PMBW,NCAT,PM10,6.5487960596687055e-06
2018,July,Colusa (SV),LDT2,Gas,PMBW,NCAT,PM2_5,2.8066268827151595e-06
2018,July,Colusa (SV),MDV,Gas,RUNEX,CAT,CO,0.7079352848083156
2018,July,Colusa (SV),MDV,Gas,RUNEX,CAT,NOx,0.06527854467807766
2018,July,Colusa (SV),MDV,Gas,RUNEX,CAT,SOx,0.0019569035126968384
2018,July,Colusa (SV),MDV,Gas,RUNEX,CAT,PM,0.0006889368098467452
2018,July,Colusa (SV),MDV,Gas,RUNEX,CAT,TOG,0.02247437548111103
2018,July,Colusa (SV),MDV,Gas,RUNEX,CAT,PM10,0.0006160517423456721
2018,July,Colusa (SV),MDV,Gas,RUNEX,CAT,PM2_5,0.0005665077332545446
2018,July,Colusa (SV),MDV,Gas,RUNEX,NCAT,CO,0.07403467321533048
2018,July,Colusa (SV),MDV,Gas,RUNEX,NCAT,NOx,0.003841690307495606
2018,July,Colusa (SV),MDV,Gas,RUNEX,NCAT,SOx,4.035957040261026e-06
2018,July,Colusa (SV),MDV,Gas,RUNEX,NCAT,PM,2.7990622943737956e-05
2018,July,Colusa (SV),MDV,Gas,RUNEX,NCAT,TOG,0.003408008949810811
2018,July,Colusa (SV),MDV,Gas,RUNEX,NCAT,PM10,2.675675430625003e-05
2018,July,Colusa (SV),MDV,Gas,RUNEX,NCAT,PM2_5,2.5465725678888245e-05
2018,July,Colusa (SV),MDV,Gas,STREX,CAT,CO,0.17149995605456214
2018,July,Colusa (SV),MDV,Gas,STREX,CAT,NOx,0.026187428619198864
2018,July,Colusa (SV),MDV,Gas,STREX,CAT,SOx,4.880836471306256e-05
