calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2018,July,Del Norte (NC),LDA,Gas,RUNEX,CAT,CO,0.5700257226045188
2018,July,Del Norte (NC),LDA,Gas,RUNEX,CAT,NOx,0.046217903023692636
2018,July,Del Norte (NC),LDA,Gas,RUNEX,CAT,SOx,0.0012985967451792364
2018,July,Del Norte (NC),LDA,Gas,RUNEX,CAT,PM,0.0009769559902651885
2018,July,Del Norte (NC),LDA,Gas,RUNEX,CAT,TOG,0.0217615537689197
2018,July,Del Norte (NC),LDA,Gas,RUNEX,CAT,PM10,0.0008736025273905822
2018,July,Del Norte (NC),LDA,Gas,RUNEX,CAT,PM2_5,0.0008033468963693697
2018,July,Del Norte (NC),LDA,Gas,RUNEX,NCAT,CO,0.009603429169500606
2018,July,Del Norte (NC),LDA,Gas,RUNEX,NCAT,NOx,0.0008037712417641074
2018,July,Del Norte (NC),LDA,Gas,RUNEX,NCAT,SOx,1.0091589440911022e-06
2018,July,Del Norte (NC),LDA,Gas,RUNEX,NCAT,PM,1.0507704033682086e-05
2018,July,Del Norte (NC),LDA,Gas,RUNEX,NCAT,TOG,0.0009654667296590511
2018,July,Del Norte (NC),LDA,Gas,RUNEX,NCAT,PM10,9.894031482865511e-06
2018,July,Del Norte (NC),LDA,Gas,RUNEX,NCAT,PM2_5,9.346492227501648e-06
2018,July,Del Norte (NC),LDA,Gas,STREX,CAT,CO,0.14293130056888037
2018,July,Del Norte (NC),LDA,Gas,STREX,CAT,NOx,0.015965978412073895
2018,July,Del Norte (NC),LDA,Gas,STREX,CAT,SOx,3.157135317818204e-05
2018,July,Del Norte (NC),LDA,Gas,STREX,CAT,PM,0.0001367641497509447
2018,July,Del Norte (NC),LDA,Gas,STREX,CAT,TOG,0.026572433533345034
2018,July,Del Norte (NC),LDA,Gas,STREX,CAT,PM10,0.00012232136749530147
2018,July,Del Norte (NC),LDA,Gas,STREX,CAT,PM2_5,0.00011249700682223053
2018,July,Del Norte (NC),LDA,Gas,STREX,NCAT,CO,0.001299574982888188
2018,July,Del Norte (NC),LDA,Gas,STREX,NCAT,NOx,6.086393085468264e-05
2018,July,Del Norte (NC),LDA,Gas,STREX,NCAT,SOx,9.982184752307046e-08
2018,July,Del Norte (NC),LDA,Gas,STREX,NCAT,PM,2.784593813660355e-06
2018,July,Del Norte (NC),LDA,Gas,STREX,NCAT,TOG,0.00021603212473488408
2018,July,Del Norte (NC),LDA,Gas,STREX,NCAT,PM10,2.621777036970711e-06
2018,July,Del Norte (NC),LDA,Gas,STREX,NCAT,PM2_5,2.476596800172744e-06
2018,July,Del Norte (NC),LDA,Gas,HOTSOAK,CAT,TOG,0.010496913123615616
2018,July,Del Norte (NC),LDA,Gas,HOTSOAK,NCAT,TOG,0.00012872693236717694
2018,July,Del Norte (NC),LDA,Gas,RUNLOSS,CAT,TOG,0.01825584137728924
2018,July,Del Norte (NC),LDA,Gas,RUNLOSS,NCAT,TOG,0.0007270283813382408
2018,July,Del Norte (NC),LDA,Gas,RESTLOSS,CAT,TOG,0.003245216596293067
2018,July,Del Norte (NC),LDA,Gas,RESTLOSS,NCAT,TOG,5.4703809146792274e-05
2018,July,Del Norte (NC),LDA,Gas,DIURN,CAT,TOG,0.005024102852637172
2018,July,Del Norte (NC),LDA,Gas,DIURN,NCAT,TOG,8.715944738285563e-05
2018,July,Del Norte (NC),LDA,Gas,PMTW,CAT,PM,0.003378006774653551
2018,July,Del Norte (NC),LDA,Gas,PMTW,CAT,PM10,0.003378006774653551
2018,July,Del Norte (NC),LDA,Gas,PMTW,CAT,PM2_5,0.0008445016936633878
2018,July,Del Norte (NC),LDA,Gas,PMTW,NCAT,PM,1.2946967676445822e-06
2018,July,Del Norte (NC),LDA,Gas,PMTW,NCAT,PM10,1.2946967676445822e-06
2018,July,Del Norte (NC),LDA,Gas,PMTW,NCAT,PM2_5,3.2367419191114555e-07
2018,July,Del Norte (NC),LDA,Gas,PMBW,CAT,PM,0.015834406756188503
2018,July,Del Norte (NC),LDA,Gas,PMBW,CAT,PM10,0.01551771862106473
2018,July,Del Norte (NC),LDA,Gas,PMBW,CAT,PM2_5,0.006650450837599178
2018,July,Del Norte (NC),LDA,Gas,PMBW,NCAT,PM,6.068891098333985e-06
2018,July,Del Norte (NC),LDA,Gas,PMBW,NCAT,PM10,5.947513276367303e-06
2018,July,Del Norte (NC),LDA,Gas,PMBW,NCAT,PM2_5,2.548934261300275e-06
2018,July,Del Norte (NC),LDA,Dsl,RUNEX,DSL,CO,0.002952350711476466
2018,July,Del Norte (NC),LDA,Dsl,RUNEX,DSL,NOx,0.002125825303540453
2018,July,Del Norte (NC),LDA,Dsl,RUNEX,DSL,SOx,1.4529541392532306e-05
2018,July,Del Norte (NC),LDA,Dsl,RUNEX,DSL,PM,0.00016382956574317154
2018,July,Del Norte (NC),LDA,Dsl,RUNEX,DSL,TOG,0.0003187310965541471
2018,July,Del Norte (NC),LDA,Dsl,RUNEX,DSL,PM10,0.00016284658834871227
2018,July,Del Norte (NC),LDA,Dsl,RUNEX,DSL,PM2_5,0.0001558019170217558
2018,July,Del Norte (NC),LDA,Dsl,PMTW,DSL,PM,4.943434173253487e-05
2018,July,Del Norte (NC),LDA,Dsl,PMTW,DSL,PM10,4.943434173253487e-05
2018,July,Del Norte (NC),LDA,Dsl,PMTW,DSL,PM2_5,1.2358585433133717e-05
2018,July,Del Norte (NC),LDA,Dsl,PMBW,DSL,PM,0.00023172347687125709
2018,July,Del Norte (NC),LDA,Dsl,PMBW,DSL,PM10,0.00022708900733383198
2018,July,Del Norte (NC),LDA,Dsl,PMBW,DSL,PM2_5,9.732386028592797e-05
2018,July,Del Norte (NC),LDA,Elec,HOTSOAK,CAT,TOG,1.591611884032505e-06
2018,July,Del Norte (NC),LDA,Elec,RESTLOSS,CAT,TOG,1.6005163757386153e-07
2018,July,Del Norte (NC),LDA,Elec,DIURN,CAT,TOG,7.458487742224421e-07
2018,July,Del Norte (NC),LDA,Elec,PMTW,CAT,PM,2.119835729450805e-05
2018,July,Del Norte (NC),LDA,Elec,PMTW,CAT,PM10,2.119835729450805e-05
2018,July,Del Norte (NC),LDA,Elec,PMTW,CAT,PM2_5,5.299589323627012e-06
2018,July,Del Norte (NC),LDA,Elec,PMBW,CAT,PM,9.936729981800647e-05
2018,July,Del Norte (NC),LDA,Elec,PMBW,CAT,PM10,9.737995382164636e-05
2018,July,Del Norte (NC),LDA,Elec,PMBW,CAT,PM2_5,4.173426592356273e-05
2018,July,Del Norte (NC),LDT1,Gas,RUNEX,CAT,CO,0.22310198899441352
2018,July,Del Norte (NC),LDT1,Gas,RUNEX,CAT,NOx,0.023389176084198098
2018,July,Del Norte (NC),LDT1,Gas,RUNEX,CAT,SOx,0.00021380601262185192
2018,July,Del Norte (NC),LDT1,Gas,RUNEX,CAT,PM,0.0003276593046118847
2018,July,Del Norte (NC),LDT1,Gas,RUNEX,CAT,TOG,0.00961117283964485
