calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2018,July,El Dorado (LT),LDA,Gas,RUNEX,CAT,CO,0.8154203606400352
2018,July,El Dorado (LT),LDA,Gas,RUNEX,CAT,NOx,0.05450104087722882
2018,July,El Dorado (LT),LDA,Gas,RUNEX,CAT,SOx,0.001112928776268767
2018,July,El Dorado (LT),LDA,Gas,RUNEX,CAT,PM,0.0009301619200975172
2018,July,El Dorado (LT),LDA,Gas,RUNEX,CAT,TOG,0.025578187737736242
2018,July,El Dorado (LT),LDA,Gas,RUNEX,CAT,PM10,0.0008320558746302622
2018,July,El Dorado (LT),LDA,Gas,RUNEX,CAT,PM2_5,0.0007652894597528863
2018,July,El Dorado (LT),LDA,Gas,RUNEX,NCAT,CO,0.03987686604100187
2018,July,El Dorado (LT),LDA,Gas,RUNEX,NCAT,NOx,0.0013316241082174118
2018,July,El Dorado (LT),LDA,Gas,RUNEX,NCAT,SOx,2.8408361135958724e-06
2018,July,El Dorado (LT),LDA,Gas,RUNEX,NCAT,PM,2.428426598497989e-05
2018,July,El Dorado (LT),LDA,Gas,RUNEX,NCAT,TOG,0.0028320557655547854
2018,July,El Dorado (LT),LDA,Gas,RUNEX,NCAT,PM10,2.284606154848516e-05
2018,July,El Dorado (LT),LDA,Gas,RUNEX,NCAT,PM2_5,2.1572310475500414e-05
2018,July,El Dorado (LT),LDA,Gas,STREX,CAT,CO,0.12729748609175076
2018,July,El Dorado (LT),LDA,Gas,STREX,CAT,NOx,0.01662971656303285
2018,July,El Dorado (LT),LDA,Gas,STREX,CAT,SOx,3.034781107823919e-05
2018,July,El Dorado (LT),LDA,Gas,STREX,CAT,PM,0.00017085876807096785
2018,July,El Dorado (LT),LDA,Gas,STREX,CAT,TOG,0.029081468906808742
2018,July,El Dorado (LT),LDA,Gas,STREX,CAT,PM10,0.0001528550497475584
2018,July,El Dorado (LT),LDA,Gas,STREX,CAT,PM2_5,0.0001405980648730036
2018,July,El Dorado (LT),LDA,Gas,STREX,NCAT,CO,7.358336141505379e-05
2018,July,El Dorado (LT),LDA,Gas,STREX,NCAT,NOx,0.00025213983638587643
2018,July,El Dorado (LT),LDA,Gas,STREX,NCAT,SOx,1.273900833140877e-07
2018,July,El Dorado (LT),LDA,Gas,STREX,NCAT,PM,4.7216468611236485e-06
2018,July,El Dorado (LT),LDA,Gas,STREX,NCAT,TOG,0.0001864630563659842
2018,July,El Dorado (LT),LDA,Gas,STREX,NCAT,PM10,4.430191541426554e-06
2018,July,El Dorado (LT),LDA,Gas,STREX,NCAT,PM2_5,4.177592652982319e-06
2018,July,El Dorado (LT),LDA,Gas,HOTSOAK,CAT,TOG,0.013680692705914044
2018,July,El Dorado (LT),LDA,Gas,HOTSOAK,NCAT,TOG,0.00026877247529499067
2018,July,El Dorado (LT),LDA,Gas,RUNLOSS,CAT,TOG,0.021251741329546953
2018,July,El Dorado (LT),LDA,Gas,RUNLOSS,NCAT,TOG,0.0011284329695909494
2018,July,El Dorado (LT),LDA,Gas,RESTLOSS,CAT,TOG,0.005449436506272614
2018,July,El Dorado (LT),LDA,Gas,RESTLOSS,NCAT,TOG,0.00014681520765846498
2018,July,El Dorado (LT),LDA,Gas,DIURN,CAT,TOG,0.009152904084298858
2018,July,El Dorado (LT),LDA,Gas,DIURN,NCAT,TOG,0.00024801879300886894
2018,July,El Dorado (LT),LDA,Gas,PMTW,CAT,PM,0.0030239715371733963
2018,July,El Dorado (LT),LDA,Gas,PMTW,CAT,PM10,0.0030239715371733963
2018,July,El Dorado (LT),LDA,Gas,PMTW,CAT,PM2_5,0.0007559928842933491
2018,July,El Dorado (LT),LDA,Gas,PMTW,NCAT,PM,3.6153199994346166e-06
2018,July,El Dorado (LT),LDA,Gas,PMTW,NCAT,PM10,3.6153199994346166e-06
2018,July,El Dorado (LT),LDA,Gas,PMTW,NCAT,PM2_5,9.038299998586541e-07
2018,July,El Dorado (LT),LDA,Gas,PMBW,CAT,PM,0.014174866580500264
2018,July,El Dorado (LT),LDA,Gas,PMBW,CAT,PM10,0.013891369248890274
2018,July,El Dorado (LT),LDA,Gas,PMBW,CAT,PM2_5,0.005953443963810116
2018,July,El Dorado (LT),LDA,Gas,PMBW,NCAT,PM,1.694681249734976e-05
2018,July,El Dorado (LT),LDA,Gas,PMBW,NCAT,PM10,1.660787624740277e-05
2018,July,El Dorado (LT),LDA,Gas,PMBW,NCAT,PM2_5,7.117661248886906e-06
2018,July,El Dorado (LT),LDA,Dsl,RUNEX,DSL,CO,0.0014035537527739871
2018,July,El Dorado (LT),LDA,Dsl,RUNEX,DSL,NOx,0.001443079822691955
2018,July,El Dorado (LT),LDA,Dsl,RUNEX,DSL,SOx,7.964030832319445e-06
2018,July,El Dorado (LT),LDA,Dsl,RUNEX,DSL,PM,0.00010467727501075585
2018,July,El Dorado (LT),LDA,Dsl,RUNEX,DSL,TOG,0.00018255071722166137
2018,July,El Dorado (LT),LDA,Dsl,RUNEX,DSL,PM10,0.0001040492113606911
2018,July,El Dorado (LT),LDA,Dsl,RUNEX,DSL,PM2_5,9.954808853522855e-05
2018,July,El Dorado (LT),LDA,Dsl,PMTW,DSL,PM,3.0646796537604454e-05
2018,July,El Dorado (LT),LDA,Dsl,PMTW,DSL,PM10,3.0646796537604454e-05
2018,July,El Dorado (LT),LDA,Dsl,PMTW,DSL,PM2_5,7.661699134401114e-06
2018,July,El Dorado (LT),LDA,Dsl,PMBW,DSL,PM,0.00014365685877002082
2018,July,El Dorado (LT),LDA,Dsl,PMBW,DSL,PM10,0.00014078372159462044
2018,July,El Dorado (LT),LDA,Dsl,PMBW,DSL,PM2_5,6.033588068340874e-05
2018,July,El Dorado (LT),LDA,Elec,HOTSOAK,CAT,TOG,1.5537434529078718e-06
2018,July,El Dorado (LT),LDA,Elec,RESTLOSS,CAT,TOG,5.733518749816034e-07
2018,July,El Dorado (LT),LDA,Elec,DIURN,CAT,TOG,1.9070333453904727e-06
2018,July,El Dorado (LT),LDA,Elec,PMTW,CAT,PM,2.0747381865728525e-05
2018,July,El Dorado (LT),LDA,Elec,PMTW,CAT,PM10,2.0747381865728525e-05
2018,July,El Dorado (LT),LDA,Elec,PMTW,CAT,PM2_5,5.186845466432131e-06
2018,July,El Dorado (LT),LDA,Elec,PMBW,CAT,PM,9.725335249560246e-05
2018,July,El Dorado (LT),LDA,Elec,PMBW,CAT,PM10,9.530828544569042e-05
2018,July,El Dorado (LT),LDA,Elec,PMBW,CAT,PM2_5,4.084640804815303e-05
2018,July,El Dorado (LT),LDT1,Gas,RUNEX,CAT,CO,0.30453818127446114
2018,July,El Dorado (LT),LDT1,Gas,RUNEX,CAT,NOx,0.023825780675068086
2018,July,El Dorado (LT),LDT1,Gas,RUNEX,CAT,SOx,0.0003315679660497709
2018,July,El Dorado (LT),LDT1,Gas,RUNEX,CAT,PM,0.0003182325035107142
2018,July,El Dorado (LT),LDT1,Gas,RUNEX,CAT,TOG,0.009612999892493184
2018,July,El Dorado (LT),LDT1,Gas,RUNEX,CAT,PM10,0.0002846196782003631
2018,July,El Dorado (LT),LDT1,Gas,RUNEX,CAT,PM2_5,0.0002617570120032631
2018,July,El Dorado (LT),LDT1,Gas,RUNEX,NCAT,CO,0.013822491992693389
2018,July,El Dorado (LT),LDT1,Gas,RUNEX,NCAT,NOx,0.00042759160263863063
2018,July,El Dorado (LT),LDT1,Gas,RUNEX,NCAT,SOx,9.001316860060698e-07
2018,July,El Dorado (LT),LDT1,Gas,RUNEX,NCAT,PM,7.733117576977004e-06
2018,July,El Dorado (LT),LDT1,Gas,RUNEX,NCAT,TOG,0.0009715221842853123
2018,July,El Dorado (LT),LDT1,Gas,RUNEX,NCAT,PM10,7.311705929690082e-06
2018,July,El Dorado (LT),LDT1,Gas,RUNEX,NCAT,PM2_5,6.92137470063182e-06
