calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2018,July,Fresno (SJV),LDA,Gas,RUNEX,CAT,CO,16.216260861525853
2018,July,Fresno (SJV),LDA,Gas,RUNEX,CAT,NOx,0.8814167355526038
2018,July,Fresno (SJV),LDA,Gas,RUNEX,CAT,SOx,0.04294667580545557
2018,July,Fresno (SJV),LDA,Gas,RUNEX,CAT,PM,0.020044715897280536
2018,July,Fresno (SJV),LDA,Gas,RUNEX,CAT,TOG,0.39580416130755475
2018,July,Fresno (SJV),LDA,Gas,RUNEX,CAT,PM10,0.017921917007209562
2018,July,Fresno (SJV),LDA,Gas,RUNEX,CAT,PM2_5,0.016479508624711946
2018,July,Fresno (SJV),LDA,Gas,RUNEX,NCAT,CO,0.22547185995275726
2018,July,Fresno (SJV),LDA,Gas,RUNEX,NCAT,NOx,0.014318944146919367
2018,July,Fresno (SJV),LDA,Gas,RUNEX,NCAT,SOx,1.8182353820503078e-05
2018,July,Fresno (SJV),LDA,Gas,RUNEX,NCAT,PM,0.00015748517894285968
2018,July,Fresno (SJV),LDA,Gas,RUNEX,NCAT,TOG,0.01692180627443967
2018,July,Fresno (SJV),LDA,Gas,RUNEX,NCAT,PM10,0.00014940226192334397
2018,July,Fresno (SJV),LDA,Gas,RUNEX,NCAT,PM2_5,0.00014166175194327851
2018,July,Fresno (SJV),LDA,Gas,STREX,CAT,CO,3.596829095223876
2018,July,Fresno (SJV),LDA,Gas,STREX,CAT,NOx,0.41041736643930515
2018,July,Fresno (SJV),LDA,Gas,STREX,CAT,SOx,0.0009459091028352466
2018,July,Fresno (SJV),LDA,Gas,STREX,CAT,PM,0.003668544891341411
2018,July,Fresno (SJV),LDA,Gas,STREX,CAT,TOG,0.5294862817077318
2018,July,Fresno (SJV),LDA,Gas,STREX,CAT,PM10,0.0032806052514856602
2018,July,Fresno (SJV),LDA,Gas,STREX,CAT,PM2_5,0.003016857053958937
2018,July,Fresno (SJV),LDA,Gas,STREX,NCAT,CO,0.03370261337945675
2018,July,Fresno (SJV),LDA,Gas,STREX,NCAT,NOx,0.0014929369695256818
2018,July,Fresno (SJV),LDA,Gas,STREX,NCAT,SOx,2.6004366684620105e-06
2018,July,Fresno (SJV),LDA,Gas,STREX,NCAT,PM,7.031336046412689e-05
