calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2018,July,Glenn (SV),LDA,Gas,RUNEX,CAT,CO,1.6460040153226638
2018,July,Glenn (SV),LDA,Gas,RUNEX,CAT,NOx,0.0898360743426668
2018,July,Glenn (SV),LDA,Gas,RUNEX,CAT,SOx,0.0036466128544830447
2018,July,Glenn (SV),LDA,Gas,RUNEX,CAT,PM,0.002058106136645498
2018,July,Glenn (SV),LDA,Gas,RUNEX,CAT,TOG,0.045475412772521775
2018,July,Glenn (SV),LDA,Gas,RUNEX,CAT,PM10,0.0018401206370068932
2018,July,Glenn (SV),LDA,Gas,RUNEX,CAT,PM2_5,0.0016920096074621916
2018,July,Glenn (SV),LDA,Gas,RUNEX,NCAT,CO,0.014452019904171257
2018,July,Glenn (SV),LDA,Gas,RUNEX,NCAT,NOx,0.0009292393110333638
2018,July,Glenn (SV),LDA,Gas,RUNEX,NCAT,SOx,1.2472321769674327e-06
2018,July,Glenn (SV),LDA,Gas,RUNEX,NCAT,PM,1.1405508695225305e-05
2018,July,Glenn (SV),LDA,Gas,RUNEX,NCAT,TOG,0.0011961868808502206
2018,July,Glenn (SV),LDA,Gas,RUNEX,NCAT,PM10,1.0786943010293374e-05
2018,July,Glenn (SV),LDA,Gas,RUNEX,NCAT,PM2_5,1.0212488333928726e-05
2018,July,Glenn (SV),LDA,Gas,STREX,CAT,CO,0.2890720906187449
2018,July,Glenn (SV),LDA,Gas,STREX,CAT,NOx,0.03403511143936132
2018,July,Glenn (SV),LDA,Gas,STREX,CAT,SOx,7.411932875703043e-05
2018,July,Glenn (SV),LDA,Gas,STREX,CAT,PM,0.00031201069863753014
2018,July,Glenn (SV),LDA,Gas,STREX,CAT,TOG,0.04531307736340454
2018,July,Glenn (SV),LDA,Gas,STREX,CAT,PM10,0.00027904211744755
2018,July,Glenn (SV),LDA,Gas,STREX,CAT,PM2_5,0.00025662104088052456
2018,July,Glenn (SV),LDA,Gas,STREX,NCAT,CO,0.0033142576822800035
2018,July,Glenn (SV),LDA,Gas,STREX,NCAT,NOx,0.00014161166670486055
2018,July,Glenn (SV),LDA,Gas,STREX,NCAT,SOx,2.505972109387386e-07
2018,July,Glenn (SV),LDA,Gas,STREX,NCAT,PM,6.836180872255135e-06
2018,July,Glenn (SV),LDA,Gas,STREX,NCAT,TOG,0.00046005179870303123
2018,July,Glenn (SV),LDA,Gas,STREX,NCAT,PM10,6.465016952639357e-06
2018,July,Glenn (SV),LDA,Gas,STREX,NCAT,PM2_5,6.120531259383428e-06
