calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2018,July,Imperial (SS),LDA,Gas,RUNEX,CAT,CO,4.604096619080017
2018,July,Imperial (SS),LDA,Gas,RUNEX,CAT,NOx,0.2538490627119306
2018,July,Imperial (SS),LDA,Gas,RUNEX,CAT,SOx,0.011612119104199016
2018,July,Imperial (SS),LDA,Gas,RUNEX,CAT,PM,0.005797995345844283
2018,July,Imperial (SS),LDA,Gas,RUNEX,CAT,TOG,0.12423212160493992
2018,July,Imperial (SS),LDA,Gas,RUNEX,CAT,PM10,0.0051842972802108285
2018,July,Imperial (SS),LDA,Gas,RUNEX,CAT,PM2_5,0.004767213322007487
2018,July,Imperial (SS),LDA,Gas,RUNEX,NCAT,CO,0.10954608205415527
2018,July,Imperial (SS),LDA,Gas,RUNEX,NCAT,NOx,0.005426558565807127
2018,July,Imperial (SS),LDA,Gas,RUNEX,NCAT,SOx,7.569192985667302e-06
2018,July,Imperial (SS),LDA,Gas,RUNEX,NCAT,PM,6.494286682513529e-05
2018,July,Imperial (SS),LDA,Gas,RUNEX,NCAT,TOG,0.007160955240084981
2018,July,Imperial (SS),LDA,Gas,RUNEX,NCAT,PM10,6.152065399291427e-05
2018,July,Imperial (SS),LDA,Gas,RUNEX,NCAT,PM2_5,5.8291461155158414e-05
2018,July,Imperial (SS),LDA,Gas,STREX,CAT,CO,0.9599986696132302
2018,July,Imperial (SS),LDA,Gas,STREX,CAT,NOx,0.10699447579222428
2018,July,Imperial (SS),LDA,Gas,STREX,CAT,SOx,0.00024095964042579118
2018,July,Imperial (SS),LDA,Gas,STREX,CAT,PM,0.0009886384553715133
2018,July,Imperial (SS),LDA,Gas,STREX,CAT,TOG,0.1344533321293921
2018,July,Imperial (SS),LDA,Gas,STREX,CAT,PM10,0.0008841056284065853
2018,July,Imperial (SS),LDA,Gas,STREX,CAT,PM2_5,0.0008130335070903541
2018,July,Imperial (SS),LDA,Gas,STREX,NCAT,CO,0.00943886639034365
2018,July,Imperial (SS),LDA,Gas,STREX,NCAT,NOx,0.0003926783736982689
2018,July,Imperial (SS),LDA,Gas,STREX,NCAT,SOx,6.959893469237201e-07
2018,July,Imperial (SS),LDA,Gas,STREX,NCAT,PM,1.8667112646418383e-05
2018,July,Imperial (SS),LDA,Gas,STREX,NCAT,TOG,0.0012965854041389793
2018,July,Imperial (SS),LDA,Gas,STREX,NCAT,PM10,1.767624594875595e-05
2018,July,Imperial (SS),LDA,Gas,STREX,NCAT,PM2_5,1.6745045521796222e-05
