calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2018,July,Inyo (GBV),LDA,Gas,RUNEX,CAT,CO,1.8164564819284443
2018,July,Inyo (GBV),LDA,Gas,RUNEX,CAT,NOx,0.1005928296133435
2018,July,Inyo (GBV),LDA,Gas,RUNEX,CAT,SOx,0.00461172076706192
2018,July,Inyo (GBV),LDA,Gas,RUNEX,CAT,PM,0.002790317904840113
2018,July,Inyo (GBV),LDA,Gas,RUNEX,CAT,TOG,0.055393479997821744
2018,July,Inyo (GBV),LDA,Gas,RUNEX,CAT,PM10,0.002495014003064065
2018,July,Inyo (GBV),LDA,Gas,RUNEX,CAT,PM2_5,0.002294307446629542
2018,July,Inyo (GBV),LDA,Gas,RUNEX,NCAT,CO,0.027732185021791665
2018,July,Inyo (GBV),LDA,Gas,RUNEX,NCAT,NOx,0.0019122294910833204
2018,July,Inyo (GBV),LDA,Gas,RUNEX,NCAT,SOx,2.6793991002052444e-06
2018,July,Inyo (GBV),LDA,Gas,RUNEX,NCAT,PM,2.5443436170659774e-05
2018,July,Inyo (GBV),LDA,Gas,RUNEX,NCAT,TOG,0.0023574192489269363
2018,July,Inyo (GBV),LDA,Gas,RUNEX,NCAT,PM10,2.39813460230035e-05
2018,July,Inyo (GBV),LDA,Gas,RUNEX,NCAT,PM2_5,2.26655021175241e-05
2018,July,Inyo (GBV),LDA,Gas,STREX,CAT,CO,0.32999367285926967
2018,July,Inyo (GBV),LDA,Gas,STREX,CAT,NOx,0.03924554033794977
2018,July,Inyo (GBV),LDA,Gas,STREX,CAT,SOx,9.6210327860011e-05
2018,July,Inyo (GBV),LDA,Gas,STREX,CAT,PM,0.000409737510165065
2018,July,Inyo (GBV),LDA,Gas,STREX,CAT,TOG,0.05590208736644127
2018,July,Inyo (GBV),LDA,Gas,STREX,CAT,PM10,0.00036644379263917775
2018,July,Inyo (GBV),LDA,Gas,STREX,CAT,PM2_5,0.0003370005551825925
2018,July,Inyo (GBV),LDA,Gas,STREX,NCAT,CO,0.00341811470490776
2018,July,Inyo (GBV),LDA,Gas,STREX,NCAT,NOx,0.00016164363702047567
2018,July,Inyo (GBV),LDA,Gas,STREX,NCAT,SOx,2.8274499842497795e-07
2018,July,Inyo (GBV),LDA,Gas,STREX,NCAT,PM,8.043042532298847e-06
2018,July,Inyo (GBV),LDA,Gas,STREX,NCAT,TOG,0.000491911893399842
2018,July,Inyo (GBV),LDA,Gas,STREX,NCAT,PM10,7.590905321929532e-06
