calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2018,July,Kern (SJV),LDA,Gas,RUNEX,CAT,CO,12.099770001730038
2018,July,Kern (SJV),LDA,Gas,RUNEX,CAT,NOx,0.6415214468805926
2018,July,Kern (SJV),LDA,Gas,RUNEX,CAT,SOx,0.03148361417066173
2018,July,Kern (SJV),LDA,Gas,RUNEX,CAT,PM,0.014989058153043827
2018,July,Kern (SJV),LDA,Gas,RUNEX,CAT,TOG,0.29661978043106507
2018,July,Kern (SJV),LDA,Gas,RUNEX,CAT,PM10,0.013402065572313309
2018,July,Kern (SJV),LDA,Gas,RUNEX,CAT,PM2_5,0.012323625509738619
2018,July,Kern (SJV),LDA,Gas,RUNEX,NCAT,CO,0.24752208888544538
2018,July,Kern (SJV),LDA,Gas,RUNEX,NCAT,NOx,0.01388296154459435
2018,July,Kern (SJV),LDA,Gas,RUNEX,NCAT,SOx,1.832138727590382e-05
2018,July,Kern (SJV),LDA,Gas,RUNEX,NCAT,PM,0.0001571376999554145
2018,July,Kern (SJV),LDA,Gas,RUNEX,NCAT,TOG,0.017522095453082337
2018,July,Kern (SJV),LDA,Gas,RUNEX,NCAT,PM10,0.00014916174616502108
2018,July,Kern (SJV),LDA,Gas,RUNEX,NCAT,PM2_5,0.0001414755629225096
2018,July,Kern (SJV),LDA,Gas,STREX,CAT,CO,2.6996620208247344
2018,July,Kern (SJV),LDA,Gas,STREX,CAT,NOx,0.2953401920268227
2018,July,Kern (SJV),LDA,Gas,STREX,CAT,SOx,0.0006879253984224948
2018,July,Kern (SJV),LDA,Gas,STREX,CAT,PM,0.002646398227252106
2018,July,Kern (SJV),LDA,Gas,STREX,CAT,TOG,0.36325165979468865
2018,July,Kern (SJV),LDA,Gas,STREX,CAT,PM10,0.0023664491751504645
2018,July,Kern (SJV),LDA,Gas,STREX,CAT,PM2_5,0.0021761463606933583
2018,July,Kern (SJV),LDA,Gas,STREX,NCAT,CO,0.02192759338161819
2018,July,Kern (SJV),LDA,Gas,STREX,NCAT,NOx,0.0009298316301933404
2018,July,Kern (SJV),LDA,Gas,STREX,NCAT,SOx,1.6342880022746795e-06
2018,July,Kern (SJV),LDA,Gas,STREX,NCAT,PM,4.366160844359916e-05
2018,July,Kern (SJV),LDA,Gas,STREX,NCAT,TOG,0.0030262370524510238
2018,July,Kern (SJV),LDA,Gas,STREX,NCAT,PM10,4.138964572721812e-05
2018,July,Kern (SJV),LDA,Gas,STREX,NCAT,PM2_5,3.923067705065114e-05
2018,July,Kern (SJV),LDA,Gas,HOTSOAK,CAT,TOG,0.24072156208928056
2018,July,Kern (SJV),LDA,Gas,HOTSOAK,NCAT,TOG,0.0038435541370191186
2018,July,Kern (SJV),LDA,Gas,RUNLOSS,CAT,TOG,0.31999628182832623
2018,July,Kern (SJV),LDA,Gas,RUNLOSS,NCAT,TOG,0.008634045436453776
2018,July,Kern (SJV),LDA,Gas,RESTLOSS,CAT,TOG,0.25351767694244803
2018,July,Kern (SJV),LDA,Gas,RESTLOSS,NCAT,TOG,0.006225326875929947
2018,July,Kern (SJV),LDA,Gas,DIURN,CAT,TOG,0.32473758372085204
2018,July,Kern (SJV),LDA,Gas,DIURN,NCAT,TOG,0.008914115577564339
2018,July,Kern (SJV),LDA,Gas,PMTW,CAT,PM,0.0750088661326616
2018,July,Kern (SJV),LDA,Gas,PMTW,CAT,PM10,0.0750088661326616
2018,July,Kern (SJV),LDA,Gas,PMTW,CAT,PM2_5,0.0187522165331654
2018,July,Kern (SJV),LDA,Gas,PMTW,NCAT,PM,2.1440900718390608e-05
2018,July,Kern (SJV),LDA,Gas,PMTW,NCAT,PM10,2.1440900718390608e-05
2018,July,Kern (SJV),LDA,Gas,PMTW,NCAT,PM2_5,5.360225179597652e-06
2018,July,Kern (SJV),LDA,Gas,PMBW,CAT,PM,0.3516040599968511
2018,July,Kern (SJV),LDA,Gas,PMBW,CAT,PM10,0.3445719787969138
2018,July,Kern (SJV),LDA,Gas,PMBW,CAT,PM2_5,0.14767370519867737
2018,July,Kern (SJV),LDA,Gas,PMBW,NCAT,PM,0.00010050422211745599
2018,July,Kern (SJV),LDA,Gas,PMBW,NCAT,PM10,9.849413767510672e-05
2018,July,Kern (SJV),LDA,Gas,PMBW,NCAT,PM2_5,4.221177328933151e-05
2018,July,Kern (SJV),LDA,Dsl,RUNEX,DSL,CO,0.015703116919075544
2018,July,Kern (SJV),LDA,Dsl,RUNEX,DSL,NOx,0.00968564322754698
2018,July,Kern (SJV),LDA,Dsl,RUNEX,DSL,SOx,0.00014784418721389622
2018,July,Kern (SJV),LDA,Dsl,RUNEX,DSL,PM,0.0008926226802125823
2018,July,Kern (SJV),LDA,Dsl,RUNEX,DSL,TOG,0.001582066528863933
2018,July,Kern (SJV),LDA,Dsl,RUNEX,DSL,PM10,0.0008872669441313064
2018,July,Kern (SJV),LDA,Dsl,RUNEX,DSL,PM2_5,0.0008488841688821651
2018,July,Kern (SJV),LDA,Dsl,PMTW,DSL,PM,0.000565178341378212
2018,July,Kern (SJV),LDA,Dsl,PMTW,DSL,PM10,0.000565178341378212
2018,July,Kern (SJV),LDA,Dsl,PMTW,DSL,PM2_5,0.000141294585344553
2018,July,Kern (SJV),LDA,Dsl,PMBW,DSL,PM,0.002649273475210369
2018,July,Kern (SJV),LDA,Dsl,PMBW,DSL,PM10,0.002596288005706163
2018,July,Kern (SJV),LDA,Dsl,PMBW,DSL,PM2_5,0.0011126948595883554
2018,July,Kern (SJV),LDA,Elec,HOTSOAK,CAT,TOG,4.6403036195051726e-05
2018,July,Kern (SJV),LDA,Elec,RESTLOSS,CAT,TOG,0.00013221417701987683
2018,July,Kern (SJV),LDA,Elec,DIURN,CAT,TOG,0.0001783573685439764
2018,July,Kern (SJV),LDA,Elec,PMTW,CAT,PM,0.0005667924465688686
2018,July,Kern (SJV),LDA,Elec,PMTW,CAT,PM10,0.0005667924465688686
2018,July,Kern (SJV),LDA,Elec,PMTW,CAT,PM2_5,0.00014169811164221714
2018,July,Kern (SJV),LDA,Elec,PMBW,CAT,PM,0.0026568395932915706
2018,July,Kern (SJV),LDA,Elec,PMBW,CAT,PM10,0.0026037028014257394
2018,July,Kern (SJV),LDA,Elec,PMBW,CAT,PM2_5,0.0011158726291824598
2018,July,Kern (SJV),LDT1,Gas,RUNEX,CAT,CO,2.839493236073542
2018,July,Kern (SJV),LDT1,Gas,RUNEX,CAT,NOx,0.20479009898147793
