calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2018,July,Lake (LC),LDA,Gas,RUNEX,CAT,CO,2.0557072062228574
2018,July,Lake (LC),LDA,Gas,RUNEX,CAT,NOx,0.16035871999568882
2018,July,Lake (LC),LDA,Gas,RUNEX,CAT,SOx,0.0034974621434119427
2018,July,Lake (LC),LDA,Gas,RUNEX,CAT,PM,0.0029829404863594214
2018,July,Lake (LC),LDA,Gas,RUNEX,CAT,TOG,0.07738777137812472
2018,July,Lake (LC),LDA,Gas,RUNEX,CAT,PM10,0.0026677919696142497
2018,July,Lake (LC),LDA,Gas,RUNEX,CAT,PM2_5,0.0024534562082478674
2018,July,Lake (LC),LDA,Gas,RUNEX,NCAT,CO,0.05016325545217376
2018,July,Lake (LC),LDA,Gas,RUNEX,NCAT,NOx,0.004423306566454152
2018,July,Lake (LC),LDA,Gas,RUNEX,NCAT,SOx,5.480773803516488e-06
2018,July,Lake (LC),LDA,Gas,RUNEX,NCAT,PM,5.49199665209552e-05
2018,July,Lake (LC),LDA,Gas,RUNEX,NCAT,TOG,0.004954962590052259
2018,July,Lake (LC),LDA,Gas,RUNEX,NCAT,PM10,5.173491301770438e-05
2018,July,Lake (LC),LDA,Gas,RUNEX,NCAT,PM2_5,4.8882480839287756e-05
2018,July,Lake (LC),LDA,Gas,STREX,CAT,CO,0.37335430199601105
2018,July,Lake (LC),LDA,Gas,STREX,CAT,NOx,0.04405019034084582
2018,July,Lake (LC),LDA,Gas,STREX,CAT,SOx,8.487345505062603e-05
2018,July,Lake (LC),LDA,Gas,STREX,CAT,PM,0.0004304017062076347
2018,July,Lake (LC),LDA,Gas,STREX,CAT,TOG,0.0786438461416162
2018,July,Lake (LC),LDA,Gas,STREX,CAT,PM10,0.00038497393898077496
2018,July,Lake (LC),LDA,Gas,STREX,CAT,PM2_5,0.00035406643078565015
2018,July,Lake (LC),LDA,Gas,STREX,NCAT,CO,0.004265320630512618
2018,July,Lake (LC),LDA,Gas,STREX,NCAT,NOx,0.00019632258415820797
2018,July,Lake (LC),LDA,Gas,STREX,NCAT,SOx,3.358622590110121e-07
2018,July,Lake (LC),LDA,Gas,STREX,NCAT,PM,9.54979834377902e-06
2018,July,Lake (LC),LDA,Gas,STREX,NCAT,TOG,0.0006861380524579657
2018,July,Lake (LC),LDA,Gas,STREX,NCAT,PM10,8.982542577221446e-06
2018,July,Lake (LC),LDA,Gas,STREX,NCAT,PM2_5,8.480936798271204e-06
2018,July,Lake (LC),LDA,Gas,HOTSOAK,CAT,TOG,0.03645185898592763
2018,July,Lake (LC),LDA,Gas,HOTSOAK,NCAT,TOG,0.0005018915547116251
2018,July,Lake (LC),LDA,Gas,RUNLOSS,CAT,TOG,0.05875263833060867
2018,July,Lake (LC),LDA,Gas,RUNLOSS,NCAT,TOG,0.0024768172781254112
2018,July,Lake (LC),LDA,Gas,RESTLOSS,CAT,TOG,0.013386774867553002
2018,July,Lake (LC),LDA,Gas,RESTLOSS,NCAT,TOG,0.0002531619123350901
2018,July,Lake (LC),LDA,Gas,DIURN,CAT,TOG,0.020245059806101542
2018,July,Lake (LC),LDA,Gas,DIURN,NCAT,TOG,0.0003903886952688685
2018,July,Lake (LC),LDA,Gas,PMTW,CAT,PM,0.009060244428030214
2018,July,Lake (LC),LDA,Gas,PMTW,CAT,PM10,0.009060244428030214
2018,July,Lake (LC),LDA,Gas,PMTW,CAT,PM2_5,0.0022650611070075535
2018,July,Lake (LC),LDA,Gas,PMTW,NCAT,PM,7.260925942123203e-06
2018,July,Lake (LC),LDA,Gas,PMTW,NCAT,PM10,7.260925942123203e-06
2018,July,Lake (LC),LDA,Gas,PMTW,NCAT,PM2_5,1.8152314855308008e-06
2018,July,Lake (LC),LDA,Gas,PMBW,CAT,PM,0.042469895756391596
2018,July,Lake (LC),LDA,Gas,PMBW,CAT,PM10,0.04162049784126373
2018,July,Lake (LC),LDA,Gas,PMBW,CAT,PM2_5,0.017837356217684466
2018,July,Lake (LC),LDA,Gas,PMBW,NCAT,PM,3.403559035370252e-05
2018,July,Lake (LC),LDA,Gas,PMBW,NCAT,PM10,3.335487854662845e-05
2018,July,Lake (LC),LDA,Gas,PMBW,NCAT,PM2_5,1.4294947948555045e-05
2018,July,Lake (LC),LDA,Dsl,RUNEX,DSL,CO,0.0066519804083281005
2018,July,Lake (LC),LDA,Dsl,RUNEX,DSL,NOx,0.005925881487123617
2018,July,Lake (LC),LDA,Dsl,RUNEX,DSL,SOx,2.889573460631787e-05
2018,July,Lake (LC),LDA,Dsl,RUNEX,DSL,PM,0.0005158411900052775
2018,July,Lake (LC),LDA,Dsl,RUNEX,DSL,TOG,0.0008722771771282833
2018,July,Lake (LC),LDA,Dsl,RUNEX,DSL,PM10,0.0005127461428652466
2018,July,Lake (LC),LDA,Dsl,RUNEX,DSL,PM2_5,0.0004905649716950189
2018,July,Lake (LC),LDA,Dsl,PMTW,DSL,PM,0.00010044747930358823
2018,July,Lake (LC),LDA,Dsl,PMTW,DSL,PM10,0.00010044747930358823
2018,July,Lake (LC),LDA,Dsl,PMTW,DSL,PM2_5,2.5111869825897057e-05
2018,July,Lake (LC),LDA,Dsl,PMBW,DSL,PM,0.00047084755923556984
2018,July,Lake (LC),LDA,Dsl,PMBW,DSL,PM10,0.00046143060805085883
2018,July,Lake (LC),LDA,Dsl,PMBW,DSL,PM2_5,0.00019775597487893925
2018,July,Lake (LC),LDA,Elec,HOTSOAK,CAT,TOG,3.80970465946544e-06
2018,July,Lake (LC),LDA,Elec,RESTLOSS,CAT,TOG,9.02225854364159e-07
2018,July,Lake (LC),LDA,Elec,DIURN,CAT,TOG,3.2466269996495787e-06
2018,July,Lake (LC),LDA,Elec,PMTW,CAT,PM,4.9955214287571844e-05
2018,July,Lake (LC),LDA,Elec,PMTW,CAT,PM10,4.9955214287571844e-05
2018,July,Lake (LC),LDA,Elec,PMTW,CAT,PM2_5,1.2488803571892961e-05
2018,July,Lake (LC),LDA,Elec,PMBW,CAT,PM,0.00023416506697299312
2018,July,Lake (LC),LDA,Elec,PMBW,CAT,PM10,0.00022948176563353324
2018,July,Lake (LC),LDA,Elec,PMBW,CAT,PM2_5,9.834932812865709e-05
2018,July,Lake (LC),LDT1,Gas,RUNEX,CAT,CO,0.7101739683156164
2018,July,Lake (LC),LDT1,Gas,RUNEX,CAT,NOx,0.0667412300097641
2018,July,Lake (LC),LDT1,Gas,RUNEX,CAT,SOx,0.0006295065423534016
2018,July,Lake (LC),LDT1,Gas,RUNEX,CAT,PM,0.0008875436317488999
2018,July,Lake (LC),LDT1,Gas,RUNEX,CAT,TOG,0.02791968702524766
2018,July,Lake (LC),LDT1,Gas,RUNEX,CAT,PM10,0.0007940148827614489
2018,July,Lake (LC),LDT1,Gas,RUNEX,CAT,PM2_5,0.0007303419581021259
2018,July,Lake (LC),LDT1,Gas,RUNEX,NCAT,CO,0.02135333487902834
2018,July,Lake (LC),LDT1,Gas,RUNEX,NCAT,NOx,0.0017555801936908473
2018,July,Lake (LC),LDT1,Gas,RUNEX,NCAT,SOx,2.21707793186286e-06
2018,July,Lake (LC),LDT1,Gas,RUNEX,NCAT,PM,2.2438847202108093e-05
2018,July,Lake (LC),LDT1,Gas,RUNEX,NCAT,TOG,0.0019439485980163864
2018,July,Lake (LC),LDT1,Gas,RUNEX,NCAT,PM10,2.1012856183293687e-05
2018,July,Lake (LC),LDT1,Gas,RUNEX,NCAT,PM2_5,1.97953300798024e-05
2018,July,Lake (LC),LDT1,Gas,STREX,CAT,CO,0.08438198638909593
2018,July,Lake (LC),LDT1,Gas,STREX,CAT,NOx,0.013817822385628882
2018,July,Lake (LC),LDT1,Gas,STREX,CAT,SOx,1.8088412293616945e-05
2018,July,Lake (LC),LDT1,Gas,STREX,CAT,PM,0.00014819544330193078
2018,July,Lake (LC),LDT1,Gas,STREX,CAT,TOG,0.026817548088287728
2018,July,Lake (LC),LDT1,Gas,STREX,CAT,PM10,0.0001326432625228875
2018,July,Lake (LC),LDT1,Gas,STREX,CAT,PM2_5,0.00012203860872316195
2018,July,Lake (LC),LDT1,Gas,STREX,NCAT,CO,0.0035803122573236632
2018,July,Lake (LC),LDT1,Gas,STREX,NCAT,NOx,0.00012200598489046958
2018,July,Lake (LC),LDT1,Gas,STREX,NCAT,SOx,2.2604972634746242e-07
2018,July,Lake (LC),LDT1,Gas,STREX,NCAT,PM,6.310892823276579e-06
2018,July,Lake (LC),LDT1,Gas,STREX,NCAT,TOG,0.0004585006275571896
2018,July,Lake (LC),LDT1,Gas,STREX,NCAT,PM10,5.908231792207562e-06
2018,July,Lake (LC),LDT1,Gas,STREX,NCAT,PM2_5,5.565134389969735e-06
2018,July,Lake (LC),LDT1,Gas,HOTSOAK,CAT,TOG,0.015070295319682063
2018,July,Lake (LC),LDT1,Gas,HOTSOAK,NCAT,TOG,0.0002945209077817105
2018,July,Lake (LC),LDT1,Gas,RUNLOSS,CAT,TOG,0.05572710983034652
2018,July,Lake (LC),LDT1,Gas,RUNLOSS,NCAT,TOG,0.0007253784820455394
2018,July,Lake (LC),LDT1,Gas,RESTLOSS,CAT,TOG,0.005926281002551034
2018,July,Lake (LC),LDT1,Gas,RESTLOSS,NCAT,TOG,0.00015430060426409567
2018,July,Lake (LC),LDT1,Gas,DIURN,CAT,TOG,0.009673648538649769
2018,July,Lake (LC),LDT1,Gas,DIURN,NCAT,TOG,0.00023032038856161567
2018,July,Lake (LC),LDT1,Gas,PMTW,CAT,PM,0.0013688392467719928
2018,July,Lake (LC),LDT1,Gas,PMTW,CAT,PM10,0.0013688392467719928
2018,July,Lake (LC),LDT1,Gas,PMTW,CAT,PM2_5,0.0003422098116929982
