calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2018,July,Madera (SJV),LDA,Gas,RUNEX,CAT,CO,2.6361186441897226
2018,July,Madera (SJV),LDA,Gas,RUNEX,CAT,NOx,0.1571665334601093
2018,July,Madera (SJV),LDA,Gas,RUNEX,CAT,SOx,0.0074015175078922845
2018,July,Madera (SJV),LDA,Gas,RUNEX,CAT,PM,0.0033725049421438878
2018,July,Madera (SJV),LDA,Gas,RUNEX,CAT,TOG,0.06970497455637595
2018,July,Madera (SJV),LDA,Gas,RUNEX,CAT,PM10,0.003015289330372803
2018,July,Madera (SJV),LDA,Gas,RUNEX,CAT,PM2_5,0.0027725817736234085
2018,July,Madera (SJV),LDA,Gas,RUNEX,NCAT,CO,0.027326622489366643
2018,July,Madera (SJV),LDA,Gas,RUNEX,NCAT,NOx,0.0016911095608596071
2018,July,Madera (SJV),LDA,Gas,RUNEX,NCAT,SOx,2.1470753711714156e-06
2018,July,Madera (SJV),LDA,Gas,RUNEX,NCAT,PM,1.855397620496361e-05
2018,July,Madera (SJV),LDA,Gas,RUNEX,NCAT,TOG,0.001914093962396705
2018,July,Madera (SJV),LDA,Gas,RUNEX,NCAT,PM10,1.756045903680334e-05
2018,July,Madera (SJV),LDA,Gas,RUNEX,NCAT,PM2_5,1.6631284998819755e-05
2018,July,Madera (SJV),LDA,Gas,STREX,CAT,CO,0.5726702515322489
2018,July,Madera (SJV),LDA,Gas,STREX,CAT,NOx,0.06701401101688279
2018,July,Madera (SJV),LDA,Gas,STREX,CAT,SOx,0.0001547873699178125
2018,July,Madera (SJV),LDA,Gas,STREX,CAT,PM,0.0006144208299015491
2018,July,Madera (SJV),LDA,Gas,STREX,CAT,TOG,0.08923305534507033
2018,July,Madera (SJV),LDA,Gas,STREX,CAT,PM10,0.0005494387060548455
2018,July,Madera (SJV),LDA,Gas,STREX,CAT,PM2_5,0.0005052616235473083
2018,July,Madera (SJV),LDA,Gas,STREX,NCAT,CO,0.004736916772516043
2018,July,Madera (SJV),LDA,Gas,STREX,NCAT,NOx,0.00021256590267594875
2018,July,Madera (SJV),LDA,Gas,STREX,NCAT,SOx,3.7051032188277356e-07
2018,July,Madera (SJV),LDA,Gas,STREX,NCAT,PM,1.0154837089784836e-05
2018,July,Madera (SJV),LDA,Gas,STREX,NCAT,TOG,0.0006679955217435249
2018,July,Madera (SJV),LDA,Gas,STREX,NCAT,PM10,9.612314320422436e-06
2018,July,Madera (SJV),LDA,Gas,STREX,NCAT,PM2_5,9.10428424309726e-06
2018,July,Madera (SJV),LDA,Gas,HOTSOAK,CAT,TOG,0.05502411546334957
2018,July,Madera (SJV),LDA,Gas,HOTSOAK,NCAT,TOG,0.0007969672725208829
2018,July,Madera (SJV),LDA,Gas,RUNLOSS,CAT,TOG,0.07485712574690762
2018,July,Madera (SJV),LDA,Gas,RUNLOSS,NCAT,TOG,0.001964638303891617
2018,July,Madera (SJV),LDA,Gas,RESTLOSS,CAT,TOG,0.037400338928539036
2018,July,Madera (SJV),LDA,Gas,RESTLOSS,NCAT,TOG,0.0008343646450147683
2018,July,Madera (SJV),LDA,Gas,DIURN,CAT,TOG,0.08848314552225915
2018,July,Madera (SJV),LDA,Gas,DIURN,NCAT,TOG,0.00209959420892024
2018,July,Madera (SJV),LDA,Gas,PMTW,CAT,PM,0.017871750666367904
2018,July,Madera (SJV),LDA,Gas,PMTW,CAT,PM10,0.017871750666367904
2018,July,Madera (SJV),LDA,Gas,PMTW,CAT,PM2_5,0.004467937666591976
2018,July,Madera (SJV),LDA,Gas,PMTW,NCAT,PM,2.5632351192701255e-06
2018,July,Madera (SJV),LDA,Gas,PMTW,NCAT,PM10,2.5632351192701255e-06
2018,July,Madera (SJV),LDA,Gas,PMTW,NCAT,PM2_5,6.408087798175314e-07
2018,July,Madera (SJV),LDA,Gas,PMBW,CAT,PM,0.08377383124859956
2018,July,Madera (SJV),LDA,Gas,PMBW,CAT,PM10,0.08209835462362758
2018,July,Madera (SJV),LDA,Gas,PMBW,CAT,PM2_5,0.035185009124411824
2018,July,Madera (SJV),LDA,Gas,PMBW,NCAT,PM,1.2015164621578714e-05
2018,July,Madera (SJV),LDA,Gas,PMBW,NCAT,PM10,1.1774861329147149e-05
2018,July,Madera (SJV),LDA,Gas,PMBW,NCAT,PM2_5,5.0463691410630585e-06
2018,July,Madera (SJV),LDA,Dsl,RUNEX,DSL,CO,0.00427154033821447
2018,July,Madera (SJV),LDA,Dsl,RUNEX,DSL,NOx,0.0032648058255916003
2018,July,Madera (SJV),LDA,Dsl,RUNEX,DSL,SOx,3.7331645422937696e-05
2018,July,Madera (SJV),LDA,Dsl,RUNEX,DSL,PM,0.0002275704997013959
2018,July,Madera (SJV),LDA,Dsl,RUNEX,DSL,TOG,0.0003971697537113346
2018,July,Madera (SJV),LDA,Dsl,RUNEX,DSL,PM10,0.00022620507670318736
2018,July,Madera (SJV),LDA,Dsl,RUNEX,DSL,PM2_5,0.00021641954521602706
2018,July,Madera (SJV),LDA,Dsl,PMTW,DSL,PM,0.00014178172436703457
2018,July,Madera (SJV),LDA,Dsl,PMTW,DSL,PM10,0.00014178172436703457
2018,July,Madera (SJV),LDA,Dsl,PMTW,DSL,PM2_5,3.544543109175864e-05
2018,July,Madera (SJV),LDA,Dsl,PMBW,DSL,PM,0.0006646018329704743
2018,July,Madera (SJV),LDA,Dsl,PMBW,DSL,PM10,0.0006513097963110652
2018,July,Madera (SJV),LDA,Dsl,PMBW,DSL,PM2_5,0.0002791327698475993
2018,July,Madera (SJV),LDA,Elec,HOTSOAK,CAT,TOG,1.0971587411477602e-05
2018,July,Madera (SJV),LDA,Elec,RESTLOSS,CAT,TOG,1.5579375996317544e-05
2018,July,Madera (SJV),LDA,Elec,DIURN,CAT,TOG,4.566743600896876e-05
2018,July,Madera (SJV),LDA,Elec,PMTW,CAT,PM,0.0001356358243318434
2018,July,Madera (SJV),LDA,Elec,PMTW,CAT,PM10,0.0001356358243318434
2018,July,Madera (SJV),LDA,Elec,PMTW,CAT,PM2_5,3.390895608296085e-05
2018,July,Madera (SJV),LDA,Elec,PMBW,CAT,PM,0.000635792926555516
2018,July,Madera (SJV),LDA,Elec,PMBW,CAT,PM10,0.0006230770680244055
2018,July,Madera (SJV),LDA,Elec,PMBW,CAT,PM2_5,0.0002670330291533166
2018,July,Madera (SJV),LDT1,Gas,RUNEX,CAT,CO,0.6389806850817471
2018,July,Madera (SJV),LDT1,Gas,RUNEX,CAT,NOx,0.05128653471620457
2018,July,Madera (SJV),LDT1,Gas,RUNEX,CAT,SOx,0.0008813740196818286
2018,July,Madera (SJV),LDT1,Gas,RUNEX,CAT,PM,0.0006608058838665325
2018,July,Madera (SJV),LDT1,Gas,RUNEX,CAT,TOG,0.02090953264521571
2018,July,Madera (SJV),LDT1,Gas,RUNEX,CAT,PM10,0.0005909890260044313
2018,July,Madera (SJV),LDT1,Gas,RUNEX,CAT,PM2_5,0.000543506522413459
2018,July,Madera (SJV),LDT1,Gas,RUNEX,NCAT,CO,0.02358213974052472
2018,July,Madera (SJV),LDT1,Gas,RUNEX,NCAT,NOx,0.0014766618905667102
2018,July,Madera (SJV),LDT1,Gas,RUNEX,NCAT,SOx,1.8147658406604845e-06
2018,July,Madera (SJV),LDT1,Gas,RUNEX,NCAT,PM,1.6393881794628666e-05
2018,July,Madera (SJV),LDT1,Gas,RUNEX,NCAT,TOG,0.0017586851245146055
2018,July,Madera (SJV),LDT1,Gas,RUNEX,NCAT,PM10,1.5525954576887118e-05
2018,July,Madera (SJV),LDT1,Gas,RUNEX,NCAT,PM2_5,1.4709103730505111e-05
2018,July,Madera (SJV),LDT1,Gas,STREX,CAT,CO,0.07899075513045847
2018,July,Madera (SJV),LDT1,Gas,STREX,CAT,NOx,0.013304289377955861
2018,July,Madera (SJV),LDT1,Gas,STREX,CAT,SOx,2.184778662351612e-05
2018,July,Madera (SJV),LDT1,Gas,STREX,CAT,PM,0.00013404210907742338
2018,July,Madera (SJV),LDT1,Gas,STREX,CAT,TOG,0.020336218010546796
2018,July,Madera (SJV),LDT1,Gas,STREX,CAT,PM10,0.00011992100490220785
2018,July,Madera (SJV),LDT1,Gas,STREX,CAT,PM2_5,0.00011030648144916657
2018,July,Madera (SJV),LDT1,Gas,STREX,NCAT,CO,0.003428009616313132
2018,July,Madera (SJV),LDT1,Gas,STREX,NCAT,NOx,0.00014111257272943407
2018,July,Madera (SJV),LDT1,Gas,STREX,NCAT,SOx,2.4656309766373445e-07
2018,July,Madera (SJV),LDT1,Gas,STREX,NCAT,PM,6.589587731674406e-06
2018,July,Madera (SJV),LDT1,Gas,STREX,NCAT,TOG,0.0004643845542359915
2018,July,Madera (SJV),LDT1,Gas,STREX,NCAT,PM10,6.245234423148031e-06
2018,July,Madera (SJV),LDT1,Gas,STREX,NCAT,PM2_5,5.918784162420773e-06
2018,July,Madera (SJV),LDT1,Gas,HOTSOAK,CAT,TOG,0.01819798143026818
