calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2018,July,Mariposa (MC),LDA,Gas,RUNEX,CAT,CO,0.4011270510993611
2018,July,Mariposa (MC),LDA,Gas,RUNEX,CAT,NOx,0.02429861003968111
2018,July,Mariposa (MC),LDA,Gas,RUNEX,CAT,SOx,0.0006740792961198782
2018,July,Mariposa (MC),LDA,Gas,RUNEX,CAT,PM,0.0005477617817639336
2018,July,Mariposa (MC),LDA,Gas,RUNEX,CAT,TOG,0.014578160709926131
2018,July,Mariposa (MC),LDA,Gas,RUNEX,CAT,PM10,0.0004898735475598107
2018,July,Mariposa (MC),LDA,Gas,RUNEX,CAT,PM2_5,0.0004505076307737018
2018,July,Mariposa (MC),LDA,Gas,RUNEX,NCAT,CO,0.005998908483036183
2018,July,Mariposa (MC),LDA,Gas,RUNEX,NCAT,NOx,0.0004815369892099802
2018,July,Mariposa (MC),LDA,Gas,RUNEX,NCAT,SOx,7.094671037658706e-07
2018,July,Mariposa (MC),LDA,Gas,RUNEX,NCAT,PM,7.179207530944467e-06
2018,July,Mariposa (MC),LDA,Gas,RUNEX,NCAT,TOG,0.0005900192708941167
2018,July,Mariposa (MC),LDA,Gas,RUNEX,NCAT,PM10,6.724703774383609e-06
2018,July,Mariposa (MC),LDA,Gas,RUNEX,NCAT,PM2_5,6.33588714212784e-06
2018,July,Mariposa (MC),LDA,Gas,STREX,CAT,CO,0.05263242823277266
2018,July,Mariposa (MC),LDA,Gas,STREX,CAT,NOx,0.00699984840392576
2018,July,Mariposa (MC),LDA,Gas,STREX,CAT,SOx,1.4137225956933579e-05
2018,July,Mariposa (MC),LDA,Gas,STREX,CAT,PM,7.591283647283802e-05
2018,July,Mariposa (MC),LDA,Gas,STREX,CAT,TOG,0.01153803933971667
2018,July,Mariposa (MC),LDA,Gas,STREX,CAT,PM10,6.791385467468644e-05
2018,July,Mariposa (MC),LDA,Gas,STREX,CAT,PM2_5,6.246809773674852e-05
2018,July,Mariposa (MC),LDA,Gas,STREX,NCAT,CO,0.0007883651782058607
2018,July,Mariposa (MC),LDA,Gas,STREX,NCAT,NOx,3.537933351666615e-05
2018,July,Mariposa (MC),LDA,Gas,STREX,NCAT,SOx,6.411942876259038e-08
2018,July,Mariposa (MC),LDA,Gas,STREX,NCAT,PM,1.926147438587181e-06
2018,July,Mariposa (MC),LDA,Gas,STREX,NCAT,TOG,0.00011191444054040873
2018,July,Mariposa (MC),LDA,Gas,STREX,NCAT,PM10,1.8032488205130995e-06
2018,July,Mariposa (MC),LDA,Gas,STREX,NCAT,PM2_5,1.6985310451087364e-06
2018,July,Mariposa (MC),LDA,Gas,HOTSOAK,CAT,TOG,0.007590949456484196
2018,July,Mariposa (MC),LDA,Gas,HOTSOAK,NCAT,TOG,0.00012808014467701048
2018,July,Mariposa (MC),LDA,Gas,RUNLOSS,CAT,TOG,0.011153869975939836
2018,July,Mariposa (MC),LDA,Gas,RUNLOSS,NCAT,TOG,0.0005012971793170359
2018,July,Mariposa (MC),LDA,Gas,RESTLOSS,CAT,TOG,0.005217821375529636
2018,July,Mariposa (MC),LDA,Gas,RESTLOSS,NCAT,TOG,0.0001242196988636277
2018,July,Mariposa (MC),LDA,Gas,DIURN,CAT,TOG,0.007746263874144209
2018,July,Mariposa (MC),LDA,Gas,DIURN,NCAT,TOG,0.00017812744150687992
2018,July,Mariposa (MC),LDA,Gas,PMTW,CAT,PM,0.0016271052648134097
2018,July,Mariposa (MC),LDA,Gas,PMTW,CAT,PM10,0.0016271052648134097
2018,July,Mariposa (MC),LDA,Gas,PMTW,CAT,PM2_5,0.0004067763162033524
