calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2018,July,Mendocino (NC),LDA,Gas,RUNEX,CAT,CO,2.992100685361138
2018,July,Mendocino (NC),LDA,Gas,RUNEX,CAT,NOx,0.19741950362895438
2018,July,Mendocino (NC),LDA,Gas,RUNEX,CAT,SOx,0.0064919595467236675
2018,July,Mendocino (NC),LDA,Gas,RUNEX,CAT,PM,0.004273428446704045
2018,July,Mendocino (NC),LDA,Gas,RUNEX,CAT,TOG,0.09481101764561702
2018,July,Mendocino (NC),LDA,Gas,RUNEX,CAT,PM10,0.003821190080310032
2018,July,Mendocino (NC),LDA,Gas,RUNEX,CAT,PM2_5,0.0035138145958904005
2018,July,Mendocino (NC),LDA,Gas,RUNEX,NCAT,CO,0.051897428076448794
2018,July,Mendocino (NC),LDA,Gas,RUNEX,NCAT,NOx,0.004346925764426254
2018,July,Mendocino (NC),LDA,Gas,RUNEX,NCAT,SOx,5.311638853877031e-06
2018,July,Mendocino (NC),LDA,Gas,RUNEX,NCAT,PM,5.144091420711129e-05
2018,July,Mendocino (NC),LDA,Gas,RUNEX,NCAT,TOG,0.004924437192084429
2018,July,Mendocino (NC),LDA,Gas,RUNEX,NCAT,PM10,4.8689669596425095e-05
2018,July,Mendocino (NC),LDA,Gas,RUNEX,NCAT,PM2_5,4.611490562825184e-05
2018,July,Mendocino (NC),LDA,Gas,STREX,CAT,CO,0.5976024133306662
2018,July,Mendocino (NC),LDA,Gas,STREX,CAT,NOx,0.06977174301500774
2018,July,Mendocino (NC),LDA,Gas,STREX,CAT,SOx,0.00015518164253280382
2018,July,Mendocino (NC),LDA,Gas,STREX,CAT,PM,0.0006884359723691137
2018,July,Mendocino (NC),LDA,Gas,STREX,CAT,TOG,0.11117542871731896
2018,July,Mendocino (NC),LDA,Gas,STREX,CAT,PM10,0.0006156703782646986
2018,July,Mendocino (NC),LDA,Gas,STREX,CAT,PM2_5,0.000566190172299912
2018,July,Mendocino (NC),LDA,Gas,STREX,NCAT,CO,0.005958067589637646
2018,July,Mendocino (NC),LDA,Gas,STREX,NCAT,NOx,0.00029772577908783086
2018,July,Mendocino (NC),LDA,Gas,STREX,NCAT,SOx,5.013973351655627e-07
2018,July,Mendocino (NC),LDA,Gas,STREX,NCAT,PM,1.4016296226039887e-05
2018,July,Mendocino (NC),LDA,Gas,STREX,NCAT,TOG,0.0009361235701895657
2018,July,Mendocino (NC),LDA,Gas,STREX,NCAT,PM10,1.3261041706513562e-05
2018,July,Mendocino (NC),LDA,Gas,STREX,NCAT,PM2_5,1.2557140626778236e-05
2018,July,Mendocino (NC),LDA,Gas,HOTSOAK,CAT,TOG,0.05875657799830494
2018,July,Mendocino (NC),LDA,Gas,HOTSOAK,NCAT,TOG,0.0008789844966175534
2018,July,Mendocino (NC),LDA,Gas,RUNLOSS,CAT,TOG,0.0905658643435426
2018,July,Mendocino (NC),LDA,Gas,RUNLOSS,NCAT,TOG,0.0037975613974547693
2018,July,Mendocino (NC),LDA,Gas,RESTLOSS,CAT,TOG,0.03090204852164694
2018,July,Mendocino (NC),LDA,Gas,RESTLOSS,NCAT,TOG,0.0006455275626881233
2018,July,Mendocino (NC),LDA,Gas,DIURN,CAT,TOG,0.047871430005859986
2018,July,Mendocino (NC),LDA,Gas,DIURN,NCAT,TOG,0.0010458106422663405
2018,July,Mendocino (NC),LDA,Gas,PMTW,CAT,PM,0.016838829012223187
2018,July,Mendocino (NC),LDA,Gas,PMTW,CAT,PM10,0.016838829012223187
2018,July,Mendocino (NC),LDA,Gas,PMTW,CAT,PM2_5,0.004209707253055797
2018,July,Mendocino (NC),LDA,Gas,PMTW,NCAT,PM,6.992232103195227e-06
2018,July,Mendocino (NC),LDA,Gas,PMTW,NCAT,PM10,6.992232103195227e-06
2018,July,Mendocino (NC),LDA,Gas,PMTW,NCAT,PM2_5,1.7480580257988068e-06
2018,July,Mendocino (NC),LDA,Gas,PMBW,CAT,PM,0.07893201099479608
2018,July,Mendocino (NC),LDA,Gas,PMBW,CAT,PM10,0.0773533707749002
2018,July,Mendocino (NC),LDA,Gas,PMBW,CAT,PM2_5,0.03315144461781436
2018,July,Mendocino (NC),LDA,Gas,PMBW,NCAT,PM,3.277608798372761e-05
2018,July,Mendocino (NC),LDA,Gas,PMBW,NCAT,PM10,3.212056622405309e-05
2018,July,Mendocino (NC),LDA,Gas,PMBW,NCAT,PM2_5,1.3765956953165616e-05
2018,July,Mendocino (NC),LDA,Dsl,RUNEX,DSL,CO,0.01576449462941731
2018,July,Mendocino (NC),LDA,Dsl,RUNEX,DSL,NOx,0.015607901622156702
2018,July,Mendocino (NC),LDA,Dsl,RUNEX,DSL,SOx,7.243191964090592e-05
2018,July,Mendocino (NC),LDA,Dsl,RUNEX,DSL,PM,0.001065620746934039
2018,July,Mendocino (NC),LDA,Dsl,RUNEX,DSL,TOG,0.0018630223810544163
2018,July,Mendocino (NC),LDA,Dsl,RUNEX,DSL,PM10,0.0010592270224524364
2018,July,Mendocino (NC),LDA,Dsl,RUNEX,DSL,PM2_5,0.0010134053303342697
2018,July,Mendocino (NC),LDA,Dsl,PMTW,DSL,PM,0.00025820628412163017
2018,July,Mendocino (NC),LDA,Dsl,PMTW,DSL,PM10,0.00025820628412163017
2018,July,Mendocino (NC),LDA,Dsl,PMTW,DSL,PM2_5,6.455157103040754e-05
2018,July,Mendocino (NC),LDA,Dsl,PMBW,DSL,PM,0.0012103419568201422
