calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2018,July,Modoc (NEP),LDA,Gas,RUNEX,CAT,CO,0.5390119332002913
2018,July,Modoc (NEP),LDA,Gas,RUNEX,CAT,NOx,0.03125364801140372
2018,July,Modoc (NEP),LDA,Gas,RUNEX,CAT,SOx,0.0012339219623449524
2018,July,Modoc (NEP),LDA,Gas,RUNEX,CAT,PM,0.0009966166242095333
2018,July,Modoc (NEP),LDA,Gas,RUNEX,CAT,TOG,0.019713804903552012
2018,July,Modoc (NEP),LDA,Gas,RUNEX,CAT,PM10,0.0008910864679467305
2018,July,Modoc (NEP),LDA,Gas,RUNEX,CAT,PM2_5,0.0008193765451125301
2018,July,Modoc (NEP),LDA,Gas,RUNEX,NCAT,CO,0.006331510585245383
2018,July,Modoc (NEP),LDA,Gas,RUNEX,NCAT,NOx,0.00043410810794179385
2018,July,Modoc (NEP),LDA,Gas,RUNEX,NCAT,SOx,6.48595213246489e-07
2018,July,Modoc (NEP),LDA,Gas,RUNEX,NCAT,PM,7.058224934928509e-06
2018,July,Modoc (NEP),LDA,Gas,RUNEX,NCAT,TOG,0.0006793606471618492
2018,July,Modoc (NEP),LDA,Gas,RUNEX,NCAT,PM10,6.671748259059714e-06
2018,July,Modoc (NEP),LDA,Gas,RUNEX,NCAT,PM2_5,6.3147122530365225e-06
2018,July,Modoc (NEP),LDA,Gas,STREX,CAT,CO,0.09071994260858737
2018,July,Modoc (NEP),LDA,Gas,STREX,CAT,NOx,0.010311189582913556
2018,July,Modoc (NEP),LDA,Gas,STREX,CAT,SOx,2.4035480708654732e-05
2018,July,Modoc (NEP),LDA,Gas,STREX,CAT,PM,0.00010641449925080945
2018,July,Modoc (NEP),LDA,Gas,STREX,CAT,TOG,0.015734033654828828
2018,July,Modoc (NEP),LDA,Gas,STREX,CAT,PM10,9.517401312112664e-05
2018,July,Modoc (NEP),LDA,Gas,STREX,CAT,PM2_5,8.752865607275929e-05
2018,July,Modoc (NEP),LDA,Gas,STREX,NCAT,CO,0.0010909480274505913
2018,July,Modoc (NEP),LDA,Gas,STREX,NCAT,NOx,5.2331326247571036e-05
2018,July,Modoc (NEP),LDA,Gas,STREX,NCAT,SOx,8.979943984026005e-08
2018,July,Modoc (NEP),LDA,Gas,STREX,NCAT,PM,2.513111878093845e-06
2018,July,Modoc (NEP),LDA,Gas,STREX,NCAT,TOG,0.0001652546688388458
2018,July,Modoc (NEP),LDA,Gas,STREX,NCAT,PM10,2.3756497239451204e-06
2018,July,Modoc (NEP),LDA,Gas,STREX,NCAT,PM2_5,2.2485859036181614e-06
2018,July,Modoc (NEP),LDA,Gas,HOTSOAK,CAT,TOG,0.009296627619780458
2018,July,Modoc (NEP),LDA,Gas,HOTSOAK,NCAT,TOG,0.00017581296406113996
2018,July,Modoc (NEP),LDA,Gas,RUNLOSS,CAT,TOG,0.014039493211363175
2018,July,Modoc (NEP),LDA,Gas,RUNLOSS,NCAT,TOG,0.000692553000760816
2018,July,Modoc (NEP),LDA,Gas,RESTLOSS,CAT,TOG,0.0051349574149312325
2018,July,Modoc (NEP),LDA,Gas,RESTLOSS,NCAT,TOG,0.00013613127961006817
2018,July,Modoc (NEP),LDA,Gas,DIURN,CAT,TOG,0.009138025170629458
2018,July,Modoc (NEP),LDA,Gas,DIURN,NCAT,TOG,0.0002514523633794228
2018,July,Modoc (NEP),LDA,Gas,PMTW,CAT,PM,0.0027753590296649014
2018,July,Modoc (NEP),LDA,Gas,PMTW,CAT,PM10,0.0027753590296649014
2018,July,Modoc (NEP),LDA,Gas,PMTW,CAT,PM2_5,0.0006938397574162254
2018,July,Modoc (NEP),LDA,Gas,PMTW,NCAT,PM,7.361834573756055e-07
2018,July,Modoc (NEP),LDA,Gas,PMTW,NCAT,PM10,7.361834573756055e-07
2018,July,Modoc (NEP),LDA,Gas,PMTW,NCAT,PM2_5,1.8404586434390137e-07
2018,July,Modoc (NEP),LDA,Gas,PMBW,CAT,PM,0.013009495451554226
2018,July,Modoc (NEP),LDA,Gas,PMBW,CAT,PM10,0.012749305542523142
2018,July,Modoc (NEP),LDA,Gas,PMBW,CAT,PM2_5,0.005463988089652775
2018,July,Modoc (NEP),LDA,Gas,PMBW,NCAT,PM,3.4508599564481498e-06
2018,July,Modoc (NEP),LDA,Gas,PMBW,NCAT,PM10,3.3818427573191874e-06
2018,July,Modoc (NEP),LDA,Gas,PMBW,NCAT,PM2_5,1.4493611817082235e-06
2018,July,Modoc (NEP),LDA,Dsl,RUNEX,DSL,CO,0.0016486209935095374
2018,July,Modoc (NEP),LDA,Dsl,RUNEX,DSL,NOx,0.0008122429391388153
2018,July,Modoc (NEP),LDA,Dsl,RUNEX,DSL,SOx,7.1058709542431445e-06
2018,July,Modoc (NEP),LDA,Dsl,RUNEX,DSL,PM,7.046182420073934e-05
2018,July,Modoc (NEP),LDA,Dsl,RUNEX,DSL,TOG,0.0001670031955900883
2018,July,Modoc (NEP),LDA,Dsl,RUNEX,DSL,PM10,7.003905325553483e-05
2018,July,Modoc (NEP),LDA,Dsl,RUNEX,DSL,PM2_5,6.700919481490315e-05
2018,July,Modoc (NEP),LDA,Dsl,PMTW,DSL,PM,2.2358545772409015e-05
2018,July,Modoc (NEP),LDA,Dsl,PMTW,DSL,PM10,2.2358545772409015e-05
2018,July,Modoc (NEP),LDA,Dsl,PMTW,DSL,PM2_5,5.589636443102254e-06
2018,July,Modoc (NEP),LDA,Dsl,PMBW,DSL,PM,0.00010480568330816732
2018,July,Modoc (NEP),LDA,Dsl,PMBW,DSL,PM10,0.00010270956964200395
2018,July,Modoc (NEP),LDA,Dsl,PMBW,DSL,PM2_5,4.401838698943023e-05
