calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2018,July,Monterey (NCC),LDA,Gas,RUNEX,CAT,CO,5.101464714870219
2018,July,Monterey (NCC),LDA,Gas,RUNEX,CAT,NOx,0.37860138517639136
2018,July,Monterey (NCC),LDA,Gas,RUNEX,CAT,SOx,0.013276000600604186
2018,July,Monterey (NCC),LDA,Gas,RUNEX,CAT,PM,0.008437897447461483
2018,July,Monterey (NCC),LDA,Gas,RUNEX,CAT,TOG,0.16675709941027672
2018,July,Monterey (NCC),LDA,Gas,RUNEX,CAT,PM10,0.007544692093468089
2018,July,Monterey (NCC),LDA,Gas,RUNEX,CAT,PM2_5,0.006937669890866553
2018,July,Monterey (NCC),LDA,Gas,RUNEX,NCAT,CO,0.08601093229651624
2018,July,Monterey (NCC),LDA,Gas,RUNEX,NCAT,NOx,0.007133677229882864
2018,July,Monterey (NCC),LDA,Gas,RUNEX,NCAT,SOx,8.4948688627671e-06
2018,July,Monterey (NCC),LDA,Gas,RUNEX,NCAT,PM,8.518149756435453e-05
2018,July,Monterey (NCC),LDA,Gas,RUNEX,NCAT,TOG,0.008086258340900642
2018,July,Monterey (NCC),LDA,Gas,RUNEX,NCAT,PM10,8.064764372181603e-05
2018,July,Monterey (NCC),LDA,Gas,RUNEX,NCAT,PM2_5,7.639324421330076e-05
2018,July,Monterey (NCC),LDA,Gas,STREX,CAT,CO,1.384919892368454
2018,July,Monterey (NCC),LDA,Gas,STREX,CAT,NOx,0.15661789273209512
2018,July,Monterey (NCC),LDA,Gas,STREX,CAT,SOx,0.0003396963390932245
2018,July,Monterey (NCC),LDA,Gas,STREX,CAT,PM,0.001421365173440096
2018,July,Monterey (NCC),LDA,Gas,STREX,CAT,TOG,0.2503444648252496
2018,July,Monterey (NCC),LDA,Gas,STREX,CAT,PM10,0.001271068945521948
2018,July,Monterey (NCC),LDA,Gas,STREX,CAT,PM2_5,0.0011688846448710075
2018,July,Monterey (NCC),LDA,Gas,STREX,NCAT,CO,0.010264818199755
2018,July,Monterey (NCC),LDA,Gas,STREX,NCAT,NOx,0.000528778877660135
2018,July,Monterey (NCC),LDA,Gas,STREX,NCAT,SOx,8.610681347579481e-07
2018,July,Monterey (NCC),LDA,Gas,STREX,NCAT,PM,2.402295342107615e-05
2018,July,Monterey (NCC),LDA,Gas,STREX,NCAT,TOG,0.0016974182824379491
2018,July,Monterey (NCC),LDA,Gas,STREX,NCAT,PM10,2.2717577771152854e-05
2018,July,Monterey (NCC),LDA,Gas,STREX,NCAT,PM2_5,2.1506575983878665e-05
2018,July,Monterey (NCC),LDA,Gas,HOTSOAK,CAT,TOG,0.0934923223309095
2018,July,Monterey (NCC),LDA,Gas,HOTSOAK,NCAT,TOG,0.001158094490632717
2018,July,Monterey (NCC),LDA,Gas,RUNLOSS,CAT,TOG,0.15911761370101662
2018,July,Monterey (NCC),LDA,Gas,RUNLOSS,NCAT,TOG,0.004389529542952887
2018,July,Monterey (NCC),LDA,Gas,RESTLOSS,CAT,TOG,0.04546620271204196
2018,July,Monterey (NCC),LDA,Gas,RESTLOSS,NCAT,TOG,0.0008356199335298882
2018,July,Monterey (NCC),LDA,Gas,DIURN,CAT,TOG,0.045463255690688015
2018,July,Monterey (NCC),LDA,Gas,DIURN,NCAT,TOG,0.0008559775549700946
2018,July,Monterey (NCC),LDA,Gas,PMTW,CAT,PM,0.0362999985413745
2018,July,Monterey (NCC),LDA,Gas,PMTW,CAT,PM10,0.0362999985413745
2018,July,Monterey (NCC),LDA,Gas,PMTW,CAT,PM2_5,0.009074999635343625
2018,July,Monterey (NCC),LDA,Gas,PMTW,NCAT,PM,1.1323203423414112e-05
2018,July,Monterey (NCC),LDA,Gas,PMTW,NCAT,PM10,1.1323203423414112e-05
2018,July,Monterey (NCC),LDA,Gas,PMTW,NCAT,PM2_5,2.830800855853528e-06
2018,July,Monterey (NCC),LDA,Gas,PMBW,CAT,PM,0.1701562431626929
2018,July,Monterey (NCC),LDA,Gas,PMBW,CAT,PM10,0.16675311829943917
2018,July,Monterey (NCC),LDA,Gas,PMBW,CAT,PM2_5,0.07146562212833107
2018,July,Monterey (NCC),LDA,Gas,PMBW,NCAT,PM,5.307751604725366e-05
2018,July,Monterey (NCC),LDA,Gas,PMBW,NCAT,PM10,5.201596572630856e-05
2018,July,Monterey (NCC),LDA,Gas,PMBW,NCAT,PM2_5,2.2292556739846532e-05
2018,July,Monterey (NCC),LDA,Dsl,RUNEX,DSL,CO,0.014887750263710892
2018,July,Monterey (NCC),LDA,Dsl,RUNEX,DSL,NOx,0.01172999730799581
2018,July,Monterey (NCC),LDA,Dsl,RUNEX,DSL,SOx,9.581558757055839e-05
2018,July,Monterey (NCC),LDA,Dsl,RUNEX,DSL,PM,0.001018156096848392
2018,July,Monterey (NCC),LDA,Dsl,RUNEX,DSL,TOG,0.0017154134404695695
2018,July,Monterey (NCC),LDA,Dsl,RUNEX,DSL,PM10,0.0010120471602673006
2018,July,Monterey (NCC),LDA,Dsl,RUNEX,DSL,PM2_5,0.0009682664481028184
2018,July,Monterey (NCC),LDA,Dsl,PMTW,DSL,PM,0.0003446048668925734
2018,July,Monterey (NCC),LDA,Dsl,PMTW,DSL,PM10,0.0003446048668925734
2018,July,Monterey (NCC),LDA,Dsl,PMTW,DSL,PM2_5,8.615121672314335e-05
2018,July,Monterey (NCC),LDA,Dsl,PMBW,DSL,PM,0.0016153353135589384
2018,July,Monterey (NCC),LDA,Dsl,PMBW,DSL,PM10,0.0015830286072877604
2018,July,Monterey (NCC),LDA,Dsl,PMBW,DSL,PM2_5,0.0006784408316947543
2018,July,Monterey (NCC),LDA,Elec,HOTSOAK,CAT,TOG,2.1942010099207147e-05
2018,July,Monterey (NCC),LDA,Elec,RESTLOSS,CAT,TOG,5.092221564295073e-06
2018,July,Monterey (NCC),LDA,Elec,DIURN,CAT,TOG,1.5613610086897137e-05
2018,July,Monterey (NCC),LDA,Elec,PMTW,CAT,PM,0.0002708110753016403
2018,July,Monterey (NCC),LDA,Elec,PMTW,CAT,PM10,0.0002708110753016403
2018,July,Monterey (NCC),LDA,Elec,PMTW,CAT,PM2_5,6.770276882541007e-05
2018,July,Monterey (NCC),LDA,Elec,PMBW,CAT,PM,0.0012694269154764385
