calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2018,July,Placer (MC),LDA,Gas,RUNEX,CAT,CO,0.9855989154902501
2018,July,Placer (MC),LDA,Gas,RUNEX,CAT,NOx,0.054484736948409565
2018,July,Placer (MC),LDA,Gas,RUNEX,CAT,SOx,0.0024807502237465667
2018,July,Placer (MC),LDA,Gas,RUNEX,CAT,PM,0.0014381171761727375
2018,July,Placer (MC),LDA,Gas,RUNEX,CAT,TOG,0.027019244579215805
2018,July,Placer (MC),LDA,Gas,RUNEX,CAT,PM10,0.0012857779359284026
2018,July,Placer (MC),LDA,Gas,RUNEX,CAT,PM2_5,0.0011822757836027593
2018,July,Placer (MC),LDA,Gas,RUNEX,NCAT,CO,0.00761163040184934
2018,July,Placer (MC),LDA,Gas,RUNEX,NCAT,NOx,0.0006013660707860937
2018,July,Placer (MC),LDA,Gas,RUNEX,NCAT,SOx,7.688816352364906e-07
2018,July,Placer (MC),LDA,Gas,RUNEX,NCAT,PM,7.375717772184708e-06
2018,July,Placer (MC),LDA,Gas,RUNEX,NCAT,TOG,0.000715819005526983
2018,July,Placer (MC),LDA,Gas,RUNEX,NCAT,PM10,6.986884349095209e-06
2018,July,Placer (MC),LDA,Gas,RUNEX,NCAT,PM2_5,6.620068408323861e-06
2018,July,Placer (MC),LDA,Gas,STREX,CAT,CO,0.18444637430598582
2018,July,Placer (MC),LDA,Gas,STREX,CAT,NOx,0.02192375663084408
2018,July,Placer (MC),LDA,Gas,STREX,CAT,SOx,5.4056652684214596e-05
2018,July,Placer (MC),LDA,Gas,STREX,CAT,PM,0.00022115678550436782
2018,July,Placer (MC),LDA,Gas,STREX,CAT,TOG,0.031203355671048223
2018,July,Placer (MC),LDA,Gas,STREX,CAT,PM10,0.0001977628840104232
2018,July,Placer (MC),LDA,Gas,STREX,CAT,PM2_5,0.0001818599551189819
2018,July,Placer (MC),LDA,Gas,STREX,NCAT,CO,0.0015949301703986373
2018,July,Placer (MC),LDA,Gas,STREX,NCAT,NOx,8.023913000185343e-05
2018,July,Placer (MC),LDA,Gas,STREX,NCAT,SOx,1.359226459412053e-07
2018,July,Placer (MC),LDA,Gas,STREX,NCAT,PM,3.775206968889806e-06
2018,July,Placer (MC),LDA,Gas,STREX,NCAT,TOG,0.00023599767082509146
2018,July,Placer (MC),LDA,Gas,STREX,NCAT,PM10,3.5792561275847864e-06
2018,July,Placer (MC),LDA,Gas,STREX,NCAT,PM2_5,3.392787356080309e-06
2018,July,Placer (MC),LDA,Gas,HOTSOAK,CAT,TOG,0.016276321507456504
2018,July,Placer (MC),LDA,Gas,HOTSOAK,NCAT,TOG,0.0002590409667532564
2018,July,Placer (MC),LDA,Gas,RUNLOSS,CAT,TOG,0.024923588656515065
2018,July,Placer (MC),LDA,Gas,RUNLOSS,NCAT,TOG,0.0007163502873363187
2018,July,Placer (MC),LDA,Gas,RESTLOSS,CAT,TOG,0.011845155100285802
2018,July,Placer (MC),LDA,Gas,RESTLOSS,NCAT,TOG,0.00028240817555972165
2018,July,Placer (MC),LDA,Gas,DIURN,CAT,TOG,0.01830927968439347
2018,July,Placer (MC),LDA,Gas,DIURN,NCAT,TOG,0.00043104348574649786
2018,July,Placer (MC),LDA,Gas,PMTW,CAT,PM,0.006195550743723674
2018,July,Placer (MC),LDA,Gas,PMTW,CAT,PM10,0.006195550743723674
2018,July,Placer (MC),LDA,Gas,PMTW,CAT,PM2_5,0.0015488876859309185
2018,July,Placer (MC),LDA,Gas,PMTW,NCAT,PM,9.783543961209976e-07
2018,July,Placer (MC),LDA,Gas,PMTW,NCAT,PM10,9.783543961209976e-07
2018,July,Placer (MC),LDA,Gas,PMTW,NCAT,PM2_5,2.445885990302494e-07
2018,July,Placer (MC),LDA,Gas,PMBW,CAT,PM,0.02904164411120471
2018,July,Placer (MC),LDA,Gas,PMBW,CAT,PM10,0.028460811228980618
2018,July,Placer (MC),LDA,Gas,PMBW,CAT,PM2_5,0.012197490526705988
2018,July,Placer (MC),LDA,Gas,PMBW,NCAT,PM,4.586036231817177e-06
