calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2018,July,Placer (SV),LDA,Gas,RUNEX,CAT,CO,4.99072331928621
2018,July,Placer (SV),LDA,Gas,RUNEX,CAT,NOx,0.25103433058695257
2018,July,Placer (SV),LDA,Gas,RUNEX,CAT,SOx,0.013738273019549437
2018,July,Placer (SV),LDA,Gas,RUNEX,CAT,PM,0.0072429947147362944
2018,July,Placer (SV),LDA,Gas,RUNEX,CAT,TOG,0.11945309139315576
2018,July,Placer (SV),LDA,Gas,RUNEX,CAT,PM10,0.006475815457757177
2018,July,Placer (SV),LDA,Gas,RUNEX,CAT,PM2_5,0.005954561466921856
2018,July,Placer (SV),LDA,Gas,RUNEX,NCAT,CO,0.06501418019504342
2018,July,Placer (SV),LDA,Gas,RUNEX,NCAT,NOx,0.004597225933756442
2018,July,Placer (SV),LDA,Gas,RUNEX,NCAT,SOx,5.899313025695908e-06
2018,July,Placer (SV),LDA,Gas,RUNEX,NCAT,PM,5.492452739171865e-05
2018,July,Placer (SV),LDA,Gas,RUNEX,NCAT,TOG,0.005802948942300411
2018,July,Placer (SV),LDA,Gas,RUNEX,NCAT,PM10,5.2204288040518524e-05
2018,July,Placer (SV),LDA,Gas,RUNEX,NCAT,PM2_5,4.9545980209583735e-05
2018,July,Placer (SV),LDA,Gas,STREX,CAT,CO,1.1545305023475292
2018,July,Placer (SV),LDA,Gas,STREX,CAT,NOx,0.12684659467276704
2018,July,Placer (SV),LDA,Gas,STREX,CAT,SOx,0.0003193372570401163
2018,July,Placer (SV),LDA,Gas,STREX,CAT,PM,0.0011988253368267567
2018,July,Placer (SV),LDA,Gas,STREX,CAT,TOG,0.1633848371739065
2018,July,Placer (SV),LDA,Gas,STREX,CAT,PM10,0.0010719815451109358
2018,July,Placer (SV),LDA,Gas,STREX,CAT,PM2_5,0.000985762948197599
2018,July,Placer (SV),LDA,Gas,STREX,NCAT,CO,0.008931881583091881
2018,July,Placer (SV),LDA,Gas,STREX,NCAT,NOx,0.0004216729329677877
2018,July,Placer (SV),LDA,Gas,STREX,NCAT,SOx,7.211039248347649e-07
2018,July,Placer (SV),LDA,Gas,STREX,NCAT,PM,1.957660464163124e-05
2018,July,Placer (SV),LDA,Gas,STREX,NCAT,TOG,0.0012838560699454241
2018,July,Placer (SV),LDA,Gas,STREX,NCAT,PM10,1.8581423072793907e-05
2018,July,Placer (SV),LDA,Gas,STREX,NCAT,PM2_5,1.7623225130371333e-05
2018,July,Placer (SV),LDA,Gas,HOTSOAK,CAT,TOG,0.08992933286535033
2018,July,Placer (SV),LDA,Gas,HOTSOAK,NCAT,TOG,0.0015177844593041532
2018,July,Placer (SV),LDA,Gas,RUNLOSS,CAT,TOG,0.13793519105874397
2018,July,Placer (SV),LDA,Gas,RUNLOSS,NCAT,TOG,0.0038041463262992996
2018,July,Placer (SV),LDA,Gas,RESTLOSS,CAT,TOG,0.06577061790109613
2018,July,Placer (SV),LDA,Gas,RESTLOSS,NCAT,TOG,0.0016708162613378805
2018,July,Placer (SV),LDA,Gas,DIURN,CAT,TOG,0.12324184354903378
2018,July,Placer (SV),LDA,Gas,DIURN,NCAT,TOG,0.0033983750546386733
2018,July,Placer (SV),LDA,Gas,PMTW,CAT,PM,0.033654618517878744
2018,July,Placer (SV),LDA,Gas,PMTW,CAT,PM10,0.033654618517878744
2018,July,Placer (SV),LDA,Gas,PMTW,CAT,PM2_5,0.008413654629469686
2018,July,Placer (SV),LDA,Gas,PMTW,NCAT,PM,7.283798052056924e-06
2018,July,Placer (SV),LDA,Gas,PMTW,NCAT,PM10,7.283798052056924e-06
2018,July,Placer (SV),LDA,Gas,PMTW,NCAT,PM2_5,1.820949513014231e-06
2018,July,Placer (SV),LDA,Gas,PMBW,CAT,PM,0.15775602430255672
2018,July,Placer (SV),LDA,Gas,PMBW,CAT,PM10,0.15460090381650549
2018,July,Placer (SV),LDA,Gas,PMBW,CAT,PM2_5,0.06625753020707387
2018,July,Placer (SV),LDA,Gas,PMBW,NCAT,PM,3.4142803369016804e-05
2018,July,Placer (SV),LDA,Gas,PMBW,NCAT,PM10,3.345994730163648e-05
2018,July,Placer (SV),LDA,Gas,PMBW,NCAT,PM2_5,1.4339977414987059e-05
2018,July,Placer (SV),LDA,Dsl,RUNEX,DSL,CO,0.013724993804261358
2018,July,Placer (SV),LDA,Dsl,RUNEX,DSL,NOx,0.008447964542904661
2018,July,Placer (SV),LDA,Dsl,RUNEX,DSL,SOx,9.96655174883681e-05
2018,July,Placer (SV),LDA,Dsl,RUNEX,DSL,PM,0.0006529837495671323
2018,July,Placer (SV),LDA,Dsl,RUNEX,DSL,TOG,0.0013255642633730551
2018,July,Placer (SV),LDA,Dsl,RUNEX,DSL,PM10,0.0006490658470697297
2018,July,Placer (SV),LDA,Dsl,RUNEX,DSL,PM2_5,0.0006209875458383435
