calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2018,July,Plumas (MC),LDA,Gas,RUNEX,CAT,CO,0.8029933062577886
2018,July,Plumas (MC),LDA,Gas,RUNEX,CAT,NOx,0.0467885977814027
2018,July,Plumas (MC),LDA,Gas,RUNEX,CAT,SOx,0.0015991851743610212
2018,July,Plumas (MC),LDA,Gas,RUNEX,CAT,PM,0.0013501484930620905
2018,July,Plumas (MC),LDA,Gas,RUNEX,CAT,TOG,0.029422355440028785
2018,July,Plumas (MC),LDA,Gas,RUNEX,CAT,PM10,0.0012072582412048182
2018,July,Plumas (MC),LDA,Gas,RUNEX,CAT,PM2_5,0.00111014178366561
2018,July,Plumas (MC),LDA,Gas,RUNEX,NCAT,CO,0.014739961006460129
2018,July,Plumas (MC),LDA,Gas,RUNEX,NCAT,NOx,0.0011084908258962207
2018,July,Plumas (MC),LDA,Gas,RUNEX,NCAT,SOx,1.5957092187830434e-06
2018,July,Plumas (MC),LDA,Gas,RUNEX,NCAT,PM,1.710407644634291e-05
2018,July,Plumas (MC),LDA,Gas,RUNEX,NCAT,TOG,0.001647740444906083
2018,July,Plumas (MC),LDA,Gas,RUNEX,NCAT,PM10,1.621152905762654e-05
2018,July,Plumas (MC),LDA,Gas,RUNEX,NCAT,PM2_5,1.5364715732724014e-05
2018,July,Plumas (MC),LDA,Gas,STREX,CAT,CO,0.12343438789383508
2018,July,Plumas (MC),LDA,Gas,STREX,CAT,NOx,0.01504257471076471
2018,July,Plumas (MC),LDA,Gas,STREX,CAT,SOx,3.315817687528455e-05
2018,July,Plumas (MC),LDA,Gas,STREX,CAT,PM,0.00016204047708989048
2018,July,Plumas (MC),LDA,Gas,STREX,CAT,TOG,0.02400325076529389
2018,July,Plumas (MC),LDA,Gas,STREX,CAT,PM10,0.00014493267296019705
2018,July,Plumas (MC),LDA,Gas,STREX,CAT,PM2_5,0.00013329437980929786
2018,July,Plumas (MC),LDA,Gas,STREX,NCAT,CO,0.0020445805779676068
2018,July,Plumas (MC),LDA,Gas,STREX,NCAT,NOx,0.00010317956799187235
2018,July,Plumas (MC),LDA,Gas,STREX,NCAT,SOx,1.7479481561150844e-07
2018,July,Plumas (MC),LDA,Gas,STREX,NCAT,PM,4.888230036103971e-06
2018,July,Plumas (MC),LDA,Gas,STREX,NCAT,TOG,0.00031189954313730323
2018,July,Plumas (MC),LDA,Gas,STREX,NCAT,PM10,4.629102622860793e-06
2018,July,Plumas (MC),LDA,Gas,STREX,NCAT,PM2_5,4.385399301699334e-06
2018,July,Plumas (MC),LDA,Gas,HOTSOAK,CAT,TOG,0.014365954641830237
2018,July,Plumas (MC),LDA,Gas,HOTSOAK,NCAT,TOG,0.00032579051498161904
2018,July,Plumas (MC),LDA,Gas,RUNLOSS,CAT,TOG,0.0216416684258685
2018,July,Plumas (MC),LDA,Gas,RUNLOSS,NCAT,TOG,0.0013346972345550463
2018,July,Plumas (MC),LDA,Gas,RESTLOSS,CAT,TOG,0.008154165812027629
2018,July,Plumas (MC),LDA,Gas,RESTLOSS,NCAT,TOG,0.0002595268181943139
2018,July,Plumas (MC),LDA,Gas,DIURN,CAT,TOG,0.014156195370991696
2018,July,Plumas (MC),LDA,Gas,DIURN,NCAT,TOG,0.00044489490818688554
2018,July,Plumas (MC),LDA,Gas,PMTW,CAT,PM,0.003780597316817984
2018,July,Plumas (MC),LDA,Gas,PMTW,CAT,PM10,0.003780597316817984
2018,July,Plumas (MC),LDA,Gas,PMTW,CAT,PM2_5,0.000945149329204496
2018,July,Plumas (MC),LDA,Gas,PMTW,NCAT,PM,1.9363530093173594e-06
2018,July,Plumas (MC),LDA,Gas,PMTW,NCAT,PM10,1.9363530093173594e-06
2018,July,Plumas (MC),LDA,Gas,PMTW,NCAT,PM2_5,4.840882523293399e-07
2018,July,Plumas (MC),LDA,Gas,PMBW,CAT,PM,0.017721549922584297
2018,July,Plumas (MC),LDA,Gas,PMBW,CAT,PM10,0.017367118924132598
2018,July,Plumas (MC),LDA,Gas,PMBW,CAT,PM2_5,0.00744305096748541
2018,July,Plumas (MC),LDA,Gas,PMBW,NCAT,PM,9.076654731175123e-06
2018,July,Plumas (MC),LDA,Gas,PMBW,NCAT,PM10,8.895121636551626e-06
2018,July,Plumas (MC),LDA,Gas,PMBW,NCAT,PM2_5,3.81219498709355e-06
2018,July,Plumas (MC),LDA,Dsl,RUNEX,DSL,CO,0.00352737760224285
2018,July,Plumas (MC),LDA,Dsl,RUNEX,DSL,NOx,0.0019211034015323041
2018,July,Plumas (MC),LDA,Dsl,RUNEX,DSL,SOx,1.604397589758232e-05
2018,July,Plumas (MC),LDA,Dsl,RUNEX,DSL,PM,0.00016911296730104012
2018,July,Plumas (MC),LDA,Dsl,RUNEX,DSL,TOG,0.00036498187705577513
2018,July,Plumas (MC),LDA,Dsl,RUNEX,DSL,PM10,0.00016809828949723393
2018,July,Plumas (MC),LDA,Dsl,RUNEX,DSL,PM2_5,0.000160826431903289
2018,July,Plumas (MC),LDA,Dsl,PMTW,DSL,PM,5.3173512768042254e-05
2018,July,Plumas (MC),LDA,Dsl,PMTW,DSL,PM10,5.3173512768042254e-05
2018,July,Plumas (MC),LDA,Dsl,PMTW,DSL,PM2_5,1.3293378192010564e-05
2018,July,Plumas (MC),LDA,Dsl,PMBW,DSL,PM,0.000249250841100198
2018,July,Plumas (MC),LDA,Dsl,PMBW,DSL,PM10,0.00024426582427819417
2018,July,Plumas (MC),LDA,Dsl,PMBW,DSL,PM2_5,0.00010468535326208314
2018,July,Plumas (MC),LDA,Elec,HOTSOAK,CAT,TOG,2.463539715606229e-06
2018,July,Plumas (MC),LDA,Elec,RESTLOSS,CAT,TOG,1.6255772336289375e-06
2018,July,Plumas (MC),LDA,Elec,DIURN,CAT,TOG,5.102810955682434e-06
2018,July,Plumas (MC),LDA,Elec,PMTW,CAT,PM,3.260291508020118e-05
2018,July,Plumas (MC),LDA,Elec,PMTW,CAT,PM10,3.260291508020118e-05
2018,July,Plumas (MC),LDA,Elec,PMTW,CAT,PM2_5,8.150728770050295e-06
2018,July,Plumas (MC),LDA,Elec,PMBW,CAT,PM,0.00015282616443844314
2018,July,Plumas (MC),LDA,Elec,PMBW,CAT,PM10,0.00014976964114967421
2018,July,Plumas (MC),LDA,Elec,PMBW,CAT,PM2_5,6.418698906414611e-05
2018,July,Plumas (MC),LDT1,Gas,RUNEX,CAT,CO,0.3925199377697846
2018,July,Plumas (MC),LDT1,Gas,RUNEX,CAT,NOx,0.02910316234019022
2018,July,Plumas (MC),LDT1,Gas,RUNEX,CAT,SOx,0.0003397394487539261
2018,July,Plumas (MC),LDT1,Gas,RUNEX,CAT,PM,0.0005339404859261172
2018,July,Plumas (MC),LDT1,Gas,RUNEX,CAT,TOG,0.016805830270195353
2018,July,Plumas (MC),LDT1,Gas,RUNEX,CAT,PM10,0.0004778103056829036
2018,July,Plumas (MC),LDT1,Gas,RUNEX,CAT,PM2_5,0.0004395619685382938
2018,July,Plumas (MC),LDT1,Gas,RUNEX,NCAT,CO,0.018674008435312542
2018,July,Plumas (MC),LDT1,Gas,RUNEX,NCAT,NOx,0.0013501894763758657
2018,July,Plumas (MC),LDT1,Gas,RUNEX,NCAT,SOx,2.028482411567324e-06
2018,July,Plumas (MC),LDT1,Gas,RUNEX,NCAT,PM,2.2298582078497455e-05
2018,July,Plumas (MC),LDT1,Gas,RUNEX,NCAT,TOG,0.0019724151991103605
2018,July,Plumas (MC),LDT1,Gas,RUNEX,NCAT,PM10,2.0961426112481456e-05
2018,July,Plumas (MC),LDT1,Gas,RUNEX,NCAT,PM2_5,1.9784910658956974e-05
2018,July,Plumas (MC),LDT1,Gas,STREX,CAT,CO,0.0335891253084907
2018,July,Plumas (MC),LDT1,Gas,STREX,CAT,NOx,0.005340127172772959
2018,July,Plumas (MC),LDT1,Gas,STREX,CAT,SOx,8.23094896191199e-06
2018,July,Plumas (MC),LDT1,Gas,STREX,CAT,PM,6.770547788429987e-05
2018,July,Plumas (MC),LDT1,Gas,STREX,CAT,TOG,0.009623829175003693
2018,July,Plumas (MC),LDT1,Gas,STREX,CAT,PM10,6.063373918505007e-05
2018,July,Plumas (MC),LDT1,Gas,STREX,CAT,PM2_5,5.580284290844936e-05
2018,July,Plumas (MC),LDT1,Gas,STREX,NCAT,CO,0.00237216887973857
2018,July,Plumas (MC),LDT1,Gas,STREX,NCAT,NOx,9.344228113108143e-05
2018,July,Plumas (MC),LDT1,Gas,STREX,NCAT,SOx,1.7047932811371266e-07
2018,July,Plumas (MC),LDT1,Gas,STREX,NCAT,PM,4.882127166508347e-06
2018,July,Plumas (MC),LDT1,Gas,STREX,NCAT,TOG,0.0003028324756172038
2018,July,Plumas (MC),LDT1,Gas,STREX,NCAT,PM10,4.5866822505284734e-06
2018,July,Plumas (MC),LDT1,Gas,STREX,NCAT,PM2_5,4.327970524133311e-06
2018,July,Plumas (MC),LDT1,Gas,HOTSOAK,CAT,TOG,0.0076701815740821185
2018,July,Plumas (MC),LDT1,Gas,HOTSOAK,NCAT,TOG,0.000292344377480026
2018,July,Plumas (MC),LDT1,Gas,RUNLOSS,CAT,TOG,0.02496263407527081
2018,July,Plumas (MC),LDT1,Gas,RUNLOSS,NCAT,TOG,0.0005843898335502026
2018,July,Plumas (MC),LDT1,Gas,RESTLOSS,CAT,TOG,0.004661315334585836
2018,July,Plumas (MC),LDT1,Gas,RESTLOSS,NCAT,TOG,0.00023953139133137623
2018,July,Plumas (MC),LDT1,Gas,DIURN,CAT,TOG,0.008883082248872787
2018,July,Plumas (MC),LDT1,Gas,DIURN,NCAT,TOG,0.0004034892896486979
2018,July,Plumas (MC),LDT1,Gas,PMTW,CAT,PM,0.0006756757278370855
2018,July,Plumas (MC),LDT1,Gas,PMTW,CAT,PM10,0.0006756757278370855
2018,July,Plumas (MC),LDT1,Gas,PMTW,CAT,PM2_5,0.00016891893195927136
2018,July,Plumas (MC),LDT1,Gas,PMTW,NCAT,PM,2.5255233646094337e-06
2018,July,Plumas (MC),LDT1,Gas,PMTW,NCAT,PM10,2.5255233646094337e-06
2018,July,Plumas (MC),LDT1,Gas,PMTW,NCAT,PM2_5,6.313808411523584e-07
2018,July,Plumas (MC),LDT1,Gas,PMBW,CAT,PM,0.0031672299742363397
2018,July,Plumas (MC),LDT1,Gas,PMBW,CAT,PM10,0.0031038853747516132
2018,July,Plumas (MC),LDT1,Gas,PMBW,CAT,PM2_5,0.001330236589179262
2018,July,Plumas (MC),LDT1,Gas,PMBW,NCAT,PM,1.1838390771606714e-05
2018,July,Plumas (MC),LDT1,Gas,PMBW,NCAT,PM10,1.1601622956174585e-05
2018,July,Plumas (MC),LDT1,Gas,PMBW,NCAT,PM2_5,4.972124124074821e-06
2018,July,Plumas (MC),LDT2,Gas,RUNEX,CAT,CO,0.7814796839821617
2018,July,Plumas (MC),LDT2,Gas,RUNEX,CAT,NOx,0.071370591552718
2018,July,Plumas (MC),LDT2,Gas,RUNEX,CAT,SOx,0.0012513522803187234
2018,July,Plumas (MC),LDT2,Gas,RUNEX,CAT,PM,0.0009334851571860019
2018,July,Plumas (MC),LDT2,Gas,RUNEX,CAT,TOG,0.031343475335603756
2018,July,Plumas (MC),LDT2,Gas,RUNEX,CAT,PM10,0.0008348673582233967
2018,July,Plumas (MC),LDT2,Gas,RUNEX,CAT,PM2_5,0.0007677950175862295
2018,July,Plumas (MC),LDT2,Gas,RUNEX,NCAT,CO,0.012686267913781293
2018,July,Plumas (MC),LDT2,Gas,RUNEX,NCAT,NOx,0.0009134063462889284
2018,July,Plumas (MC),LDT2,Gas,RUNEX,NCAT,SOx,1.3616505586027283e-06
2018,July,Plumas (MC),LDT2,Gas,RUNEX,NCAT,PM,1.47936824693795e-05
2018,July,Plumas (MC),LDT2,Gas,RUNEX,NCAT,TOG,0.0013215059844853094
2018,July,Plumas (MC),LDT2,Gas,RUNEX,NCAT,PM10,1.3885101153963437e-05
2018,July,Plumas (MC),LDT2,Gas,RUNEX,NCAT,PM2_5,1.3095588445085535e-05
2018,July,Plumas (MC),LDT2,Gas,STREX,CAT,CO,0.10153961123290381
2018,July,Plumas (MC),LDT2,Gas,STREX,CAT,NOx,0.018232552721751467
2018,July,Plumas (MC),LDT2,Gas,STREX,CAT,SOx,2.8168117998663993e-05
2018,July,Plumas (MC),LDT2,Gas,STREX,CAT,PM,0.00010952174907700128
2018,July,Plumas (MC),LDT2,Gas,STREX,CAT,TOG,0.022634668405864335
2018,July,Plumas (MC),LDT2,Gas,STREX,CAT,PM10,9.798610698717839e-05
2018,July,Plumas (MC),LDT2,Gas,STREX,CAT,PM2_5,9.013132572147772e-05
2018,July,Plumas (MC),LDT2,Gas,STREX,NCAT,CO,0.001610021363312678
2018,July,Plumas (MC),LDT2,Gas,STREX,NCAT,NOx,5.9097989445924926e-05
2018,July,Plumas (MC),LDT2,Gas,STREX,NCAT,SOx,1.0991034711300583e-07
2018,July,Plumas (MC),LDT2,Gas,STREX,NCAT,PM,3.129193261373493e-06
2018,July,Plumas (MC),LDT2,Gas,STREX,NCAT,TOG,0.0001996863114355671
2018,July,Plumas (MC),LDT2,Gas,STREX,NCAT,PM10,2.933491411840628e-06
2018,July,Plumas (MC),LDT2,Gas,STREX,NCAT,PM2_5,2.7650222404969004e-06
2018,July,Plumas (MC),LDT2,Gas,HOTSOAK,CAT,TOG,0.012454527819671986
2018,July,Plumas (MC),LDT2,Gas,HOTSOAK,NCAT,TOG,0.00018894967519593114
2018,July,Plumas (MC),LDT2,Gas,RUNLOSS,CAT,TOG,0.0404373016694341
2018,July,Plumas (MC),LDT2,Gas,RUNLOSS,NCAT,TOG,0.0003588389949781922
2018,July,Plumas (MC),LDT2,Gas,RESTLOSS,CAT,TOG,0.0075748590895476755
2018,July,Plumas (MC),LDT2,Gas,RESTLOSS,NCAT,TOG,0.00015648410411627596
2018,July,Plumas (MC),LDT2,Gas,DIURN,CAT,TOG,0.013140990538338589
2018,July,Plumas (MC),LDT2,Gas,DIURN,NCAT,TOG,0.0002626000941683361
2018,July,Plumas (MC),LDT2,Gas,PMTW,CAT,PM,0.0022389386207404896
2018,July,Plumas (MC),LDT2,Gas,PMTW,CAT,PM10,0.0022389386207404896
2018,July,Plumas (MC),LDT2,Gas,PMTW,CAT,PM2_5,0.0005597346551851224
2018,July,Plumas (MC),LDT2,Gas,PMTW,NCAT,PM,1.6752178112166134e-06
2018,July,Plumas (MC),LDT2,Gas,PMTW,NCAT,PM10,1.6752178112166134e-06
2018,July,Plumas (MC),LDT2,Gas,PMTW,NCAT,PM2_5,4.1880445280415335e-07
2018,July,Plumas (MC),LDT2,Gas,PMBW,CAT,PM,0.010495024784721052
2018,July,Plumas (MC),LDT2,Gas,PMBW,CAT,PM10,0.010285124289026629
2018,July,Plumas (MC),LDT2,Gas,PMBW,CAT,PM2_5,0.0044079104095828435
2018,July,Plumas (MC),LDT2,Gas,PMBW,NCAT,PM,7.852583490077881e-06
2018,July,Plumas (MC),LDT2,Gas,PMBW,NCAT,PM10,7.695531820276317e-06
2018,July,Plumas (MC),LDT2,Gas,PMBW,NCAT,PM2_5,3.2980850658327098e-06
2018,July,Plumas (MC),MDV,Gas,RUNEX,CAT,CO,0.6522228080501222
2018,July,Plumas (MC),MDV,Gas,RUNEX,CAT,NOx,0.05968559361136352
2018,July,Plumas (MC),MDV,Gas,RUNEX,CAT,SOx,0.0011259210327754544
2018,July,Plumas (MC),MDV,Gas,RUNEX,CAT,PM,0.0007619696868906988
2018,July,Plumas (MC),MDV,Gas,RUNEX,CAT,TOG,0.02884376806406195
2018,July,Plumas (MC),MDV,Gas,RUNEX,CAT,PM10,0.0006817689361741043
2018,July,Plumas (MC),MDV,Gas,RUNEX,CAT,PM2_5,0.0006271445069362848
2018,July,Plumas (MC),MDV,Gas,RUNEX,NCAT,CO,0.17089630939296116
2018,July,Plumas (MC),MDV,Gas,RUNEX,NCAT,NOx,0.009184208730896492
2018,July,Plumas (MC),MDV,Gas,RUNEX,NCAT,SOx,1.0548118373185316e-05
2018,July,Plumas (MC),MDV,Gas,RUNEX,NCAT,PM,8.216642663337213e-05
2018,July,Plumas (MC),MDV,Gas,RUNEX,NCAT,TOG,0.009846424988868153
2018,July,Plumas (MC),MDV,Gas,RUNEX,NCAT,PM10,7.839389990085118e-05
2018,July,Plumas (MC),MDV,Gas,RUNEX,NCAT,PM2_5,7.454118891067018e-05
2018,July,Plumas (MC),MDV,Gas,STREX,CAT,CO,0.10775644831038962
2018,July,Plumas (MC),MDV,Gas,STREX,CAT,NOx,0.016535545193004767
2018,July,Plumas (MC),MDV,Gas,STREX,CAT,SOx,2.7183033549320288e-05
2018,July,Plumas (MC),MDV,Gas,STREX,CAT,PM,0.00011403031016323114
2018,July,Plumas (MC),MDV,Gas,STREX,CAT,TOG,0.02280957283220746
2018,July,Plumas (MC),MDV,Gas,STREX,CAT,PM10,0.00010208151716073569
2018,July,Plumas (MC),MDV,Gas,STREX,CAT,PM2_5,9.392918194084283e-05
2018,July,Plumas (MC),MDV,Gas,STREX,NCAT,CO,0.018800139754944982
2018,July,Plumas (MC),MDV,Gas,STREX,NCAT,NOx,0.0007266868261929229
2018,July,Plumas (MC),MDV,Gas,STREX,NCAT,SOx,1.0164734220496237e-06
2018,July,Plumas (MC),MDV,Gas,STREX,NCAT,PM,1.9066816332991734e-05
2018,July,Plumas (MC),MDV,Gas,STREX,NCAT,TOG,0.001716197581089069
2018,July,Plumas (MC),MDV,Gas,STREX,NCAT,PM10,1.818479062119815e-05
2018,July,Plumas (MC),MDV,Gas,STREX,NCAT,PM2_5,1.728800359068695e-05
