calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2018,July,Riverside (MD/SCAQMD),LDA,Gas,RUNEX,CAT,CO,0.44034881356968875
2018,July,Riverside (MD/SCAQMD),LDA,Gas,RUNEX,CAT,NOx,0.028983631884308636
2018,July,Riverside (MD/SCAQMD),LDA,Gas,RUNEX,CAT,SOx,0.0014801618475526307
2018,July,Riverside (MD/SCAQMD),LDA,Gas,RUNEX,CAT,PM,0.000713417595421572
2018,July,Riverside (MD/SCAQMD),LDA,Gas,RUNEX,CAT,TOG,0.013770888544566644
2018,July,Riverside (MD/SCAQMD),LDA,Gas,RUNEX,CAT,PM10,0.0006378347674767144
2018,July,Riverside (MD/SCAQMD),LDA,Gas,RUNEX,CAT,PM2_5,0.0005864851818116634
2018,July,Riverside (MD/SCAQMD),LDA,Gas,RUNEX,NCAT,CO,0.009378310152129463
2018,July,Riverside (MD/SCAQMD),LDA,Gas,RUNEX,NCAT,NOx,0.00039821322360662206
2018,July,Riverside (MD/SCAQMD),LDA,Gas,RUNEX,NCAT,SOx,5.326248793037982e-07
2018,July,Riverside (MD/SCAQMD),LDA,Gas,RUNEX,NCAT,PM,4.67900495091712e-06
2018,July,Riverside (MD/SCAQMD),LDA,Gas,RUNEX,NCAT,TOG,0.0005443284186713961
2018,July,Riverside (MD/SCAQMD),LDA,Gas,RUNEX,NCAT,PM10,4.457086588001591e-06
2018,July,Riverside (MD/SCAQMD),LDA,Gas,RUNEX,NCAT,PM2_5,4.234729164859247e-06
2018,July,Riverside (MD/SCAQMD),LDA,Gas,STREX,CAT,CO,0.11635705332124324
2018,July,Riverside (MD/SCAQMD),LDA,Gas,STREX,CAT,NOx,0.013268209480197921
2018,July,Riverside (MD/SCAQMD),LDA,Gas,STREX,CAT,SOx,3.041814752200301e-05
2018,July,Riverside (MD/SCAQMD),LDA,Gas,STREX,CAT,PM,0.00011715944264689403
2018,July,Riverside (MD/SCAQMD),LDA,Gas,STREX,CAT,TOG,0.016391386523471253
2018,July,Riverside (MD/SCAQMD),LDA,Gas,STREX,CAT,PM10,0.00010475565805212178
2018,July,Riverside (MD/SCAQMD),LDA,Gas,STREX,CAT,PM2_5,9.63264954520284e-05
2018,July,Riverside (MD/SCAQMD),LDA,Gas,STREX,NCAT,CO,0.0009226171381673741
2018,July,Riverside (MD/SCAQMD),LDA,Gas,STREX,NCAT,NOx,4.187886091048748e-05
2018,July,Riverside (MD/SCAQMD),LDA,Gas,STREX,NCAT,SOx,7.146757998028143e-08
2018,July,Riverside (MD/SCAQMD),LDA,Gas,STREX,NCAT,PM,1.8649069984628104e-06
2018,July,Riverside (MD/SCAQMD),LDA,Gas,STREX,NCAT,TOG,0.00013022355497144676
2018,July,Riverside (MD/SCAQMD),LDA,Gas,STREX,NCAT,PM10,1.777059299724239e-06
2018,July,Riverside (MD/SCAQMD),LDA,Gas,STREX,NCAT,PM2_5,1.6886861213089106e-06
2018,July,Riverside (MD/SCAQMD),LDA,Gas,HOTSOAK,CAT,TOG,0.012332067384008475
2018,July,Riverside (MD/SCAQMD),LDA,Gas,HOTSOAK,NCAT,TOG,0.00017672885732828382
2018,July,Riverside (MD/SCAQMD),LDA,Gas,RUNLOSS,CAT,TOG,0.015752290766851387
2018,July,Riverside (MD/SCAQMD),LDA,Gas,RUNLOSS,NCAT,TOG,0.0005644171501629769
2018,July,Riverside (MD/SCAQMD),LDA,Gas,RESTLOSS,CAT,TOG,0.012644022900268781
2018,July,Riverside (MD/SCAQMD),LDA,Gas,RESTLOSS,NCAT,TOG,0.00028554024690018094
2018,July,Riverside (MD/SCAQMD),LDA,Gas,DIURN,CAT,TOG,0.016274750083863348
2018,July,Riverside (MD/SCAQMD),LDA,Gas,DIURN,NCAT,TOG,0.000405324926369635
2018,July,Riverside (MD/SCAQMD),LDA,Gas,PMTW,CAT,PM,0.0033501505196437613
2018,July,Riverside (MD/SCAQMD),LDA,Gas,PMTW,CAT,PM10,0.0033501505196437613
2018,July,Riverside (MD/SCAQMD),LDA,Gas,PMTW,CAT,PM2_5,0.0008375376299109403
