calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2018,July,Riverside (SC),LDA,Gas,RUNEX,CAT,CO,26.807018590443906
2018,July,Riverside (SC),LDA,Gas,RUNEX,CAT,NOx,1.370600400841396
2018,July,Riverside (SC),LDA,Gas,RUNEX,CAT,SOx,0.08394598141994711
2018,July,Riverside (SC),LDA,Gas,RUNEX,CAT,PM,0.04430329096727677
2018,July,Riverside (SC),LDA,Gas,RUNEX,CAT,TOG,0.684257783868481
2018,July,Riverside (SC),LDA,Gas,RUNEX,CAT,PM10,0.039610428853859306
2018,July,Riverside (SC),LDA,Gas,RUNEX,CAT,PM2_5,0.036421965462650994
2018,July,Riverside (SC),LDA,Gas,RUNEX,NCAT,CO,0.3335317018835207
2018,July,Riverside (SC),LDA,Gas,RUNEX,NCAT,NOx,0.02244871029214103
2018,July,Riverside (SC),LDA,Gas,RUNEX,NCAT,SOx,2.9987184335688026e-05
2018,July,Riverside (SC),LDA,Gas,RUNEX,NCAT,PM,0.00028726602935083014
2018,July,Riverside (SC),LDA,Gas,RUNEX,NCAT,TOG,0.028330723517064536
2018,July,Riverside (SC),LDA,Gas,RUNEX,NCAT,PM10,0.000272775925092291
2018,July,Riverside (SC),LDA,Gas,RUNEX,NCAT,PM2_5,0.0002587626613652129
2018,July,Riverside (SC),LDA,Gas,STREX,CAT,CO,5.902115206936121
2018,July,Riverside (SC),LDA,Gas,STREX,CAT,NOx,0.6462194431497509
2018,July,Riverside (SC),LDA,Gas,STREX,CAT,SOx,0.0017488810226580817
2018,July,Riverside (SC),LDA,Gas,STREX,CAT,PM,0.006634482321772639
2018,July,Riverside (SC),LDA,Gas,STREX,CAT,TOG,0.8793486668102704
2018,July,Riverside (SC),LDA,Gas,STREX,CAT,PM10,0.005932287512908177
2018,July,Riverside (SC),LDA,Gas,STREX,CAT,PM2_5,0.005455047903394522
2018,July,Riverside (SC),LDA,Gas,STREX,NCAT,CO,0.036572312428253054
2018,July,Riverside (SC),LDA,Gas,STREX,NCAT,NOx,0.0018854195026312883
2018,July,Riverside (SC),LDA,Gas,STREX,NCAT,SOx,3.1631723505490043e-06
2018,July,Riverside (SC),LDA,Gas,STREX,NCAT,PM,8.768700128301516e-05
2018,July,Riverside (SC),LDA,Gas,STREX,NCAT,TOG,0.005477752501114781
2018,July,Riverside (SC),LDA,Gas,STREX,NCAT,PM10,8.320689098953301e-05
2018,July,Riverside (SC),LDA,Gas,STREX,NCAT,PM2_5,7.890554527910356e-05
2018,July,Riverside (SC),LDA,Gas,HOTSOAK,CAT,TOG,0.39995998899651053
2018,July,Riverside (SC),LDA,Gas,HOTSOAK,NCAT,TOG,0.005718242902588697
2018,July,Riverside (SC),LDA,Gas,RUNLOSS,CAT,TOG,0.6885641415196747
2018,July,Riverside (SC),LDA,Gas,RUNLOSS,NCAT,TOG,0.01653101720467372
2018,July,Riverside (SC),LDA,Gas,RESTLOSS,CAT,TOG,0.33381689525341873
2018,July,Riverside (SC),LDA,Gas,RESTLOSS,NCAT,TOG,0.0072913221954582896
2018,July,Riverside (SC),LDA,Gas,DIURN,CAT,TOG,0.32065103927300154
2018,July,Riverside (SC),LDA,Gas,DIURN,NCAT,TOG,0.007071949517838787
2018,July,Riverside (SC),LDA,Gas,PMTW,CAT,PM,0.21695477826758736
2018,July,Riverside (SC),LDA,Gas,PMTW,CAT,PM10,0.21695477826758736
2018,July,Riverside (SC),LDA,Gas,PMTW,CAT,PM2_5,0.05423869456689684
2018,July,Riverside (SC),LDA,Gas,PMTW,NCAT,PM,3.81860793564829e-05
2018,July,Riverside (SC),LDA,Gas,PMTW,NCAT,PM10,3.81860793564829e-05
2018,July,Riverside (SC),LDA,Gas,PMTW,NCAT,PM2_5,9.546519839120726e-06
2018,July,Riverside (SC),LDA,Gas,PMBW,CAT,PM,1.0169755231293147
2018,July,Riverside (SC),LDA,Gas,PMBW,CAT,PM10,0.9966360126667292
2018,July,Riverside (SC),LDA,Gas,PMBW,CAT,PM2_5,0.42712971971431224
2018,July,Riverside (SC),LDA,Gas,PMBW,NCAT,PM,0.00017899724698351358
2018,July,Riverside (SC),LDA,Gas,PMBW,NCAT,PM10,0.0001754173020438431
2018,July,Riverside (SC),LDA,Gas,PMBW,NCAT,PM2_5,7.517884373307569e-05
2018,July,Riverside (SC),LDA,Dsl,RUNEX,DSL,CO,0.05255186261667111
2018,July,Riverside (SC),LDA,Dsl,RUNEX,DSL,NOx,0.029542321605430095
2018,July,Riverside (SC),LDA,Dsl,RUNEX,DSL,SOx,0.0004758507087749686
2018,July,Riverside (SC),LDA,Dsl,RUNEX,DSL,PM,0.002649833227844552
2018,July,Riverside (SC),LDA,Dsl,RUNEX,DSL,TOG,0.00501132747457198
2018,July,Riverside (SC),LDA,Dsl,RUNEX,DSL,PM10,0.0026339342284774805
2018,July,Riverside (SC),LDA,Dsl,RUNEX,DSL,PM2_5,0.002519991399680166
2018,July,Riverside (SC),LDA,Dsl,PMTW,DSL,PM,0.0017924245095768114
2018,July,Riverside (SC),LDA,Dsl,PMTW,DSL,PM10,0.0017924245095768114
2018,July,Riverside (SC),LDA,Dsl,PMTW,DSL,PM2_5,0.00044810612739420286
2018,July,Riverside (SC),LDA,Dsl,PMBW,DSL,PM,0.008401989888641302
2018,July,Riverside (SC),LDA,Dsl,PMBW,DSL,PM10,0.00823395009086848
2018,July,Riverside (SC),LDA,Dsl,PMBW,DSL,PM2_5,0.003528835753229348
2018,July,Riverside (SC),LDA,Elec,HOTSOAK,CAT,TOG,0.00010318921386900634
2018,July,Riverside (SC),LDA,Elec,RESTLOSS,CAT,TOG,0.00011761618828147505
2018,July,Riverside (SC),LDA,Elec,DIURN,CAT,TOG,0.0001859600339136855
2018,July,Riverside (SC),LDA,Elec,PMTW,CAT,PM,0.0012278742275826761
2018,July,Riverside (SC),LDA,Elec,PMTW,CAT,PM10,0.0012278742275826761
2018,July,Riverside (SC),LDA,Elec,PMTW,CAT,PM2_5,0.00030696855689566903
2018,July,Riverside (SC),LDA,Elec,PMBW,CAT,PM,0.005755660441793798
2018,July,Riverside (SC),LDA,Elec,PMBW,CAT,PM10,0.005640547232957921
2018,July,Riverside (SC),LDA,Elec,PMBW,CAT,PM2_5,0.002417377385553393
2018,July,Riverside (SC),LDT1,Gas,RUNEX,CAT,CO,6.520312272512213
2018,July,Riverside (SC),LDT1,Gas,RUNEX,CAT,NOx,0.47033127430188987
2018,July,Riverside (SC),LDT1,Gas,RUNEX,CAT,SOx,0.009307624574003687
2018,July,Riverside (SC),LDT1,Gas,RUNEX,CAT,PM,0.008141713200249888
2018,July,Riverside (SC),LDT1,Gas,RUNEX,CAT,TOG,0.22151674464807108
2018,July,Riverside (SC),LDT1,Gas,RUNEX,CAT,PM10,0.0072803371128596596
2018,July,Riverside (SC),LDT1,Gas,RUNEX,CAT,PM2_5,0.006694821439029961
2018,July,Riverside (SC),LDT1,Gas,RUNEX,NCAT,CO,0.11342871557349764
2018,July,Riverside (SC),LDT1,Gas,RUNEX,NCAT,NOx,0.007365096222254373
2018,July,Riverside (SC),LDT1,Gas,RUNEX,NCAT,SOx,1.0153809483936168e-05
2018,July,Riverside (SC),LDT1,Gas,RUNEX,NCAT,PM,0.00010014075508214899
2018,July,Riverside (SC),LDT1,Gas,RUNEX,NCAT,TOG,0.009223719802768314
2018,July,Riverside (SC),LDT1,Gas,RUNEX,NCAT,PM10,9.45897537976796e-05
2018,July,Riverside (SC),LDT1,Gas,RUNEX,NCAT,PM2_5,8.949588398577483e-05
2018,July,Riverside (SC),LDT1,Gas,STREX,CAT,CO,0.6895725862698023
2018,July,Riverside (SC),LDT1,Gas,STREX,CAT,NOx,0.11333237252243794
2018,July,Riverside (SC),LDT1,Gas,STREX,CAT,SOx,0.00021293983123559432
2018,July,Riverside (SC),LDT1,Gas,STREX,CAT,PM,0.0012053957705253707
2018,July,Riverside (SC),LDT1,Gas,STREX,CAT,TOG,0.1797579804014242
2018,July,Riverside (SC),LDT1,Gas,STREX,CAT,PM10,0.0010779053455651894
2018,July,Riverside (SC),LDT1,Gas,STREX,CAT,PM2_5,0.0009912345030430995
2018,July,Riverside (SC),LDT1,Gas,STREX,NCAT,CO,0.007593111981557856
2018,July,Riverside (SC),LDT1,Gas,STREX,NCAT,NOx,0.0003209481239709139
2018,July,Riverside (SC),LDT1,Gas,STREX,NCAT,SOx,5.712003643306792e-07
2018,July,Riverside (SC),LDT1,Gas,STREX,NCAT,PM,1.606871717762222e-05
2018,July,Riverside (SC),LDT1,Gas,STREX,NCAT,TOG,0.0009770127642428918
2018,July,Riverside (SC),LDT1,Gas,STREX,NCAT,PM10,1.5160510492185388e-05
2018,July,Riverside (SC),LDT1,Gas,STREX,NCAT,PM2_5,1.4335833980634667e-05
2018,July,Riverside (SC),LDT1,Gas,HOTSOAK,CAT,TOG,0.1154821851631353
2018,July,Riverside (SC),LDT1,Gas,HOTSOAK,NCAT,TOG,0.0009201732309851766
2018,July,Riverside (SC),LDT1,Gas,RUNLOSS,CAT,TOG,0.3262484244704937
2018,July,Riverside (SC),LDT1,Gas,RUNLOSS,NCAT,TOG,0.001082978230517753
2018,July,Riverside (SC),LDT1,Gas,RESTLOSS,CAT,TOG,0.09940087242380354
2018,July,Riverside (SC),LDT1,Gas,RESTLOSS,NCAT,TOG,0.0012622490478629348
2018,July,Riverside (SC),LDT1,Gas,DIURN,CAT,TOG,0.10801092068149795
2018,July,Riverside (SC),LDT1,Gas,DIURN,NCAT,TOG,0.0012022436275178352
2018,July,Riverside (SC),LDT1,Gas,PMTW,CAT,PM,0.020612559754219113
2018,July,Riverside (SC),LDT1,Gas,PMTW,CAT,PM10,0.020612559754219113
2018,July,Riverside (SC),LDT1,Gas,PMTW,CAT,PM2_5,0.005153139938554778
2018,July,Riverside (SC),LDT1,Gas,PMTW,NCAT,PM,1.3310758318278037e-05
2018,July,Riverside (SC),LDT1,Gas,PMTW,NCAT,PM10,1.3310758318278037e-05
2018,July,Riverside (SC),LDT1,Gas,PMTW,NCAT,PM2_5,3.3276895795695093e-06
2018,July,Riverside (SC),LDT1,Gas,PMBW,CAT,PM,0.09662137384790209
2018,July,Riverside (SC),LDT1,Gas,PMBW,CAT,PM10,0.09468894637094415
2018,July,Riverside (SC),LDT1,Gas,PMBW,CAT,PM2_5,0.04058097701611889
2018,July,Riverside (SC),LDT1,Gas,PMBW,NCAT,PM,6.239417961692829e-05
2018,July,Riverside (SC),LDT1,Gas,PMBW,NCAT,PM10,6.114629602458978e-05
2018,July,Riverside (SC),LDT1,Gas,PMBW,NCAT,PM2_5,2.6205555439109885e-05
2018,July,Riverside (SC),LDT2,Gas,RUNEX,CAT,CO,11.86242405920088
2018,July,Riverside (SC),LDT2,Gas,RUNEX,CAT,NOx,0.9194776809247572
2018,July,Riverside (SC),LDT2,Gas,RUNEX,CAT,SOx,0.03304572642346991
2018,July,Riverside (SC),LDT2,Gas,RUNEX,CAT,PM,0.01467377909837722
2018,July,Riverside (SC),LDT2,Gas,RUNEX,CAT,TOG,0.3333176838856309
2018,July,Riverside (SC),LDT2,Gas,RUNEX,CAT,PM10,0.013121402909023612
2018,July,Riverside (SC),LDT2,Gas,RUNEX,CAT,PM2_5,0.01206616309844914
2018,July,Riverside (SC),LDT2,Gas,RUNEX,NCAT,CO,0.259521439479833
2018,July,Riverside (SC),LDT2,Gas,RUNEX,NCAT,NOx,0.017757454965962517
2018,July,Riverside (SC),LDT2,Gas,RUNEX,NCAT,SOx,2.3088862116836575e-05
2018,July,Riverside (SC),LDT2,Gas,RUNEX,NCAT,PM,0.00022750441521290538
2018,July,Riverside (SC),LDT2,Gas,RUNEX,NCAT,TOG,0.022889827141293503
2018,July,Riverside (SC),LDT2,Gas,RUNEX,NCAT,PM10,0.00021558734794522452
2018,July,Riverside (SC),LDT2,Gas,RUNEX,NCAT,PM2_5,0.0002043048691671617
2018,July,Riverside (SC),LDT2,Gas,STREX,CAT,CO,2.4747730388382134
2018,July,Riverside (SC),LDT2,Gas,STREX,CAT,NOx,0.3637063844250681
2018,July,Riverside (SC),LDT2,Gas,STREX,CAT,SOx,0.0007396982969205847
2018,July,Riverside (SC),LDT2,Gas,STREX,CAT,PM,0.0021772500450584348
2018,July,Riverside (SC),LDT2,Gas,STREX,CAT,TOG,0.3979326830639313
2018,July,Riverside (SC),LDT2,Gas,STREX,CAT,PM10,0.001946974551109222
2018,July,Riverside (SC),LDT2,Gas,STREX,CAT,PM2_5,0.0017904269404494242
2018,July,Riverside (SC),LDT2,Gas,STREX,NCAT,CO,0.016913104978465612
2018,July,Riverside (SC),LDT2,Gas,STREX,NCAT,NOx,0.0007745918095744227
2018,July,Riverside (SC),LDT2,Gas,STREX,NCAT,SOx,1.317410700034439e-06
2018,July,Riverside (SC),LDT2,Gas,STREX,NCAT,PM,3.630790335210103e-05
2018,July,Riverside (SC),LDT2,Gas,STREX,NCAT,TOG,0.002385660791809702
2018,July,Riverside (SC),LDT2,Gas,STREX,NCAT,PM10,3.437888429438828e-05
2018,July,Riverside (SC),LDT2,Gas,STREX,NCAT,PM2_5,3.2566943962486004e-05
2018,July,Riverside (SC),LDT2,Gas,HOTSOAK,CAT,TOG,0.1648148363513073
2018,July,Riverside (SC),LDT2,Gas,HOTSOAK,NCAT,TOG,0.002192229973666825
2018,July,Riverside (SC),LDT2,Gas,RUNLOSS,CAT,TOG,0.44135946815111904
2018,July,Riverside (SC),LDT2,Gas,RUNLOSS,NCAT,TOG,0.0025343087715247884
2018,July,Riverside (SC),LDT2,Gas,RESTLOSS,CAT,TOG,0.15455359425923582
2018,July,Riverside (SC),LDT2,Gas,RESTLOSS,NCAT,TOG,0.002920913093805783
2018,July,Riverside (SC),LDT2,Gas,DIURN,CAT,TOG,0.14052652919239228
2018,July,Riverside (SC),LDT2,Gas,DIURN,NCAT,TOG,0.0027768589698940046
2018,July,Riverside (SC),LDT2,Gas,PMTW,CAT,PM,0.06699058548331324
2018,July,Riverside (SC),LDT2,Gas,PMTW,CAT,PM10,0.06699058548331324
2018,July,Riverside (SC),LDT2,Gas,PMTW,CAT,PM2_5,0.01674764637082831
2018,July,Riverside (SC),LDT2,Gas,PMTW,NCAT,PM,3.021696712944302e-05
2018,July,Riverside (SC),LDT2,Gas,PMTW,NCAT,PM10,3.021696712944302e-05
2018,July,Riverside (SC),LDT2,Gas,PMTW,NCAT,PM2_5,7.554241782360755e-06
2018,July,Riverside (SC),LDT2,Gas,PMBW,CAT,PM,0.31401836945303063
2018,July,Riverside (SC),LDT2,Gas,PMBW,CAT,PM10,0.3077380020639703
2018,July,Riverside (SC),LDT2,Gas,PMBW,CAT,PM2_5,0.13188771517027303
2018,July,Riverside (SC),LDT2,Gas,PMBW,NCAT,PM,0.00014164203341926417
2018,July,Riverside (SC),LDT2,Gas,PMBW,NCAT,PM10,0.0001388091927508789
2018,July,Riverside (SC),LDT2,Gas,PMBW,NCAT,PM2_5,5.948965403609092e-05
2018,July,Riverside (SC),MDV,Gas,RUNEX,CAT,CO,11.656360170884376
2018,July,Riverside (SC),MDV,Gas,RUNEX,CAT,NOx,1.0049455270289596
2018,July,Riverside (SC),MDV,Gas,RUNEX,CAT,SOx,0.03537689101385938
2018,July,Riverside (SC),MDV,Gas,RUNEX,CAT,PM,0.012779775682523819
2018,July,Riverside (SC),MDV,Gas,RUNEX,CAT,TOG,0.36871685959590295
2018,July,Riverside (SC),MDV,Gas,RUNEX,CAT,PM10,0.011427410137359468
2018,July,Riverside (SC),MDV,Gas,RUNEX,CAT,PM2_5,0.010508223586145057
2018,July,Riverside (SC),MDV,Gas,RUNEX,NCAT,CO,1.1938733105911041
2018,July,Riverside (SC),MDV,Gas,RUNEX,NCAT,NOx,0.059960538882014
