calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2018,July,San Bernardino (MD),LDA,Gas,RUNEX,CAT,CO,12.836408733016897
2018,July,San Bernardino (MD),LDA,Gas,RUNEX,CAT,NOx,0.724110677138155
2018,July,San Bernardino (MD),LDA,Gas,RUNEX,CAT,SOx,0.037942462510431006
2018,July,San Bernardino (MD),LDA,Gas,RUNEX,CAT,PM,0.019889785606668396
2018,July,San Bernardino (MD),LDA,Gas,RUNEX,CAT,TOG,0.36403618651330694
2018,July,San Bernardino (MD),LDA,Gas,RUNEX,CAT,PM10,0.017783390428776875
2018,July,San Bernardino (MD),LDA,Gas,RUNEX,CAT,PM2_5,0.01635212912927032
2018,July,San Bernardino (MD),LDA,Gas,RUNEX,NCAT,CO,0.2188060996213372
2018,July,San Bernardino (MD),LDA,Gas,RUNEX,NCAT,NOx,0.013343941923028993
2018,July,San Bernardino (MD),LDA,Gas,RUNEX,NCAT,SOx,1.766969875421776e-05
2018,July,San Bernardino (MD),LDA,Gas,RUNEX,NCAT,PM,0.0001657071137217123
2018,July,San Bernardino (MD),LDA,Gas,RUNEX,NCAT,TOG,0.016612153930397458
2018,July,San Bernardino (MD),LDA,Gas,RUNEX,NCAT,PM10,0.0001573224398712398
2018,July,San Bernardino (MD),LDA,Gas,RUNEX,NCAT,PM2_5,0.00014922806269391557
2018,July,San Bernardino (MD),LDA,Gas,STREX,CAT,CO,2.734550396948673
2018,July,San Bernardino (MD),LDA,Gas,STREX,CAT,NOx,0.31883141604951404
2018,July,San Bernardino (MD),LDA,Gas,STREX,CAT,SOx,0.0008046572417445856
2018,July,San Bernardino (MD),LDA,Gas,STREX,CAT,PM,0.003202915368381603
2018,July,San Bernardino (MD),LDA,Gas,STREX,CAT,TOG,0.4441439369330137
2018,July,San Bernardino (MD),LDA,Gas,STREX,CAT,PM10,0.0028640673006480703
2018,July,San Bernardino (MD),LDA,Gas,STREX,CAT,PM2_5,0.002633733616763666
2018,July,San Bernardino (MD),LDA,Gas,STREX,NCAT,CO,0.023088181149146028
2018,July,San Bernardino (MD),LDA,Gas,STREX,NCAT,NOx,0.0011600441649036633
2018,July,San Bernardino (MD),LDA,Gas,STREX,NCAT,SOx,1.9624967009329646e-06
2018,July,San Bernardino (MD),LDA,Gas,STREX,NCAT,PM,5.4208448026137755e-05
2018,July,San Bernardino (MD),LDA,Gas,STREX,NCAT,TOG,0.0034024108198149995
2018,July,San Bernardino (MD),LDA,Gas,STREX,NCAT,PM10,5.143335723820106e-05
2018,July,San Bernardino (MD),LDA,Gas,STREX,NCAT,PM2_5,4.8771962885981165e-05
2018,July,San Bernardino (MD),LDA,Gas,HOTSOAK,CAT,TOG,0.22869206177676032
2018,July,San Bernardino (MD),LDA,Gas,HOTSOAK,NCAT,TOG,0.00374895459515337
2018,July,San Bernardino (MD),LDA,Gas,RUNLOSS,CAT,TOG,0.35570014186383786
2018,July,San Bernardino (MD),LDA,Gas,RUNLOSS,NCAT,TOG,0.010312024702661548
2018,July,San Bernardino (MD),LDA,Gas,RESTLOSS,CAT,TOG,0.18185970786965702
2018,July,San Bernardino (MD),LDA,Gas,RESTLOSS,NCAT,TOG,0.004499185597428356
2018,July,San Bernardino (MD),LDA,Gas,DIURN,CAT,TOG,0.24050920681206509
2018,July,San Bernardino (MD),LDA,Gas,DIURN,NCAT,TOG,0.005997148398908344
2018,July,San Bernardino (MD),LDA,Gas,PMTW,CAT,PM,0.09482159911330101
2018,July,San Bernardino (MD),LDA,Gas,PMTW,CAT,PM10,0.09482159911330101
2018,July,San Bernardino (MD),LDA,Gas,PMTW,CAT,PM2_5,0.023705399778325253
2018,July,San Bernardino (MD),LDA,Gas,PMTW,NCAT,PM,2.157316247786199e-05
2018,July,San Bernardino (MD),LDA,Gas,PMTW,NCAT,PM10,2.157316247786199e-05
2018,July,San Bernardino (MD),LDA,Gas,PMTW,NCAT,PM2_5,5.393290619465498e-06
2018,July,San Bernardino (MD),LDA,Gas,PMBW,CAT,PM,0.4444762458435989
2018,July,San Bernardino (MD),LDA,Gas,PMBW,CAT,PM10,0.43558672092672623
2018,July,San Bernardino (MD),LDA,Gas,PMBW,CAT,PM2_5,0.18668002325431124
2018,July,San Bernardino (MD),LDA,Gas,PMBW,NCAT,PM,0.00010112419911497798
2018,July,San Bernardino (MD),LDA,Gas,PMBW,NCAT,PM10,9.910171513267846e-05
2018,July,San Bernardino (MD),LDA,Gas,PMBW,NCAT,PM2_5,4.247216362829076e-05
2018,July,San Bernardino (MD),LDA,Dsl,RUNEX,DSL,CO,0.025215837159030616
2018,July,San Bernardino (MD),LDA,Dsl,RUNEX,DSL,NOx,0.016751225527526125
2018,July,San Bernardino (MD),LDA,Dsl,RUNEX,DSL,SOx,0.0002048633848199685
2018,July,San Bernardino (MD),LDA,Dsl,RUNEX,DSL,PM,0.001490000006630595
2018,July,San Bernardino (MD),LDA,Dsl,RUNEX,DSL,TOG,0.0025879825189027176
2018,July,San Bernardino (MD),LDA,Dsl,RUNEX,DSL,PM10,0.0014810600065908114
2018,July,San Bernardino (MD),LDA,Dsl,RUNEX,DSL,PM2_5,0.0014169900063056952
2018,July,San Bernardino (MD),LDA,Dsl,PMTW,DSL,PM,0.0007427165431792181
2018,July,San Bernardino (MD),LDA,Dsl,PMTW,DSL,PM10,0.0007427165431792181
2018,July,San Bernardino (MD),LDA,Dsl,PMTW,DSL,PM2_5,0.00018567913579480453
2018,July,San Bernardino (MD),LDA,Dsl,PMBW,DSL,PM,0.0034814837961525853
2018,July,San Bernardino (MD),LDA,Dsl,PMBW,DSL,PM10,0.003411854120229537
2018,July,San Bernardino (MD),LDA,Dsl,PMBW,DSL,PM2_5,0.0014622231943840851
2018,July,San Bernardino (MD),LDA,Elec,HOTSOAK,CAT,TOG,5.8113749437902345e-05
2018,July,San Bernardino (MD),LDA,Elec,RESTLOSS,CAT,TOG,6.62534652401972e-05
2018,July,San Bernardino (MD),LDA,Elec,DIURN,CAT,TOG,0.0001401244318211257
2018,July,San Bernardino (MD),LDA,Elec,PMTW,CAT,PM,0.0007192769066569547
2018,July,San Bernardino (MD),LDA,Elec,PMTW,CAT,PM10,0.0007192769066569547
2018,July,San Bernardino (MD),LDA,Elec,PMTW,CAT,PM2_5,0.00017981922666423868
2018,July,San Bernardino (MD),LDA,Elec,PMBW,CAT,PM,0.003371610499954477
2018,July,San Bernardino (MD),LDA,Elec,PMBW,CAT,PM10,0.0033041782899553875
2018,July,San Bernardino (MD),LDA,Elec,PMBW,CAT,PM2_5,0.00141607640998088
2018,July,San Bernardino (MD),LDT1,Gas,RUNEX,CAT,CO,2.908221535158708
2018,July,San Bernardino (MD),LDT1,Gas,RUNEX,CAT,NOx,0.2227821223421298
2018,July,San Bernardino (MD),LDT1,Gas,RUNEX,CAT,SOx,0.004257961794611681
2018,July,San Bernardino (MD),LDT1,Gas,RUNEX,CAT,PM,0.003572462505213667
2018,July,San Bernardino (MD),LDT1,Gas,RUNEX,CAT,TOG,0.10057504361592708
