calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2018,July,San Diego (SD),LDA,Gas,RUNEX,CAT,CO,48.50598472024449
2018,July,San Diego (SD),LDA,Gas,RUNEX,CAT,NOx,2.508487041912356
2018,July,San Diego (SD),LDA,Gas,RUNEX,CAT,SOx,0.15805977900847465
2018,July,San Diego (SD),LDA,Gas,RUNEX,CAT,PM,0.10362974479202672
2018,July,San Diego (SD),LDA,Gas,RUNEX,CAT,TOG,1.5062557496306752
2018,July,San Diego (SD),LDA,Gas,RUNEX,CAT,PM10,0.09264967274038292
2018,July,San Diego (SD),LDA,Gas,RUNEX,CAT,PM2_5,0.08519028731083025
2018,July,San Diego (SD),LDA,Gas,RUNEX,NCAT,CO,0.3076200185225249
2018,July,San Diego (SD),LDA,Gas,RUNEX,NCAT,NOx,0.02218701433998483
2018,July,San Diego (SD),LDA,Gas,RUNEX,NCAT,SOx,3.292160754248722e-05
2018,July,San Diego (SD),LDA,Gas,RUNEX,NCAT,PM,0.0003482875904705513
2018,July,San Diego (SD),LDA,Gas,RUNEX,NCAT,TOG,0.031936668106264575
2018,July,San Diego (SD),LDA,Gas,RUNEX,NCAT,PM10,0.0003300234781311493
2018,July,San Diego (SD),LDA,Gas,RUNEX,NCAT,PM2_5,0.00031274262867716954
2018,July,San Diego (SD),LDA,Gas,STREX,CAT,CO,11.98634927420278
2018,July,San Diego (SD),LDA,Gas,STREX,CAT,NOx,1.332687488868036
2018,July,San Diego (SD),LDA,Gas,STREX,CAT,SOx,0.0034931481267652417
2018,July,San Diego (SD),LDA,Gas,STREX,CAT,PM,0.01356032011460007
2018,July,San Diego (SD),LDA,Gas,STREX,CAT,TOG,1.8951235069834618
2018,July,San Diego (SD),LDA,Gas,STREX,CAT,PM10,0.012125655138397426
2018,July,San Diego (SD),LDA,Gas,STREX,CAT,PM2_5,0.011150452549347104
2018,July,San Diego (SD),LDA,Gas,STREX,NCAT,CO,0.08607656589366969
2018,July,San Diego (SD),LDA,Gas,STREX,NCAT,NOx,0.004682576256589989
2018,July,San Diego (SD),LDA,Gas,STREX,NCAT,SOx,7.745514452027407e-06
2018,July,San Diego (SD),LDA,Gas,STREX,NCAT,PM,0.00021751645711166849
2018,July,San Diego (SD),LDA,Gas,STREX,NCAT,TOG,0.013276128604404866
2018,July,San Diego (SD),LDA,Gas,STREX,NCAT,PM10,0.0002063043593393444
2018,July,San Diego (SD),LDA,Gas,STREX,NCAT,PM2_5,0.00019559317602554842
2018,July,San Diego (SD),LDA,Gas,HOTSOAK,CAT,TOG,0.7824767542696996
2018,July,San Diego (SD),LDA,Gas,HOTSOAK,NCAT,TOG,0.012426185452045952
2018,July,San Diego (SD),LDA,Gas,RUNLOSS,CAT,TOG,1.3982804181927906
2018,July,San Diego (SD),LDA,Gas,RUNLOSS,NCAT,TOG,0.040272073036414655
2018,July,San Diego (SD),LDA,Gas,RESTLOSS,CAT,TOG,0.5523292078190155
2018,July,San Diego (SD),LDA,Gas,RESTLOSS,NCAT,TOG,0.013736244556706148
2018,July,San Diego (SD),LDA,Gas,DIURN,CAT,TOG,0.6146872894898471
2018,July,San Diego (SD),LDA,Gas,DIURN,NCAT,TOG,0.01489215045457196
2018,July,San Diego (SD),LDA,Gas,PMTW,CAT,PM,0.39306556451928043
2018,July,San Diego (SD),LDA,Gas,PMTW,CAT,PM10,0.39306556451928043
2018,July,San Diego (SD),LDA,Gas,PMTW,CAT,PM2_5,0.09826639112982011
2018,July,San Diego (SD),LDA,Gas,PMTW,NCAT,PM,4.065892862372666e-05
2018,July,San Diego (SD),LDA,Gas,PMTW,NCAT,PM10,4.065892862372666e-05
2018,July,San Diego (SD),LDA,Gas,PMTW,NCAT,PM2_5,1.0164732155931664e-05
2018,July,San Diego (SD),LDA,Gas,PMBW,CAT,PM,1.8424948336841263
2018,July,San Diego (SD),LDA,Gas,PMBW,CAT,PM10,1.8056449370104457
2018,July,San Diego (SD),LDA,Gas,PMBW,CAT,PM2_5,0.7738478301473334
2018,July,San Diego (SD),LDA,Gas,PMBW,NCAT,PM,0.00019058872792371862
2018,July,San Diego (SD),LDA,Gas,PMBW,NCAT,PM10,0.0001867769533652444
2018,July,San Diego (SD),LDA,Gas,PMBW,NCAT,PM2_5,8.004726572796189e-05
2018,July,San Diego (SD),LDA,Dsl,RUNEX,DSL,CO,0.22169488487202083
2018,July,San Diego (SD),LDA,Dsl,RUNEX,DSL,NOx,0.07451583093615494
2018,July,San Diego (SD),LDA,Dsl,RUNEX,DSL,SOx,0.001245392042408903
2018,July,San Diego (SD),LDA,Dsl,RUNEX,DSL,PM,0.007379464774907543
2018,July,San Diego (SD),LDA,Dsl,RUNEX,DSL,TOG,0.019077559692522634
