calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2018,July,San Luis Obispo (SCC),LDA,Gas,RUNEX,CAT,CO,3.17879722305501
2018,July,San Luis Obispo (SCC),LDA,Gas,RUNEX,CAT,NOx,0.20808481248622077
2018,July,San Luis Obispo (SCC),LDA,Gas,RUNEX,CAT,SOx,0.009460335376829478
2018,July,San Luis Obispo (SCC),LDA,Gas,RUNEX,CAT,PM,0.005354607476796134
2018,July,San Luis Obispo (SCC),LDA,Gas,RUNEX,CAT,TOG,0.09550817216434455
2018,July,San Luis Obispo (SCC),LDA,Gas,RUNEX,CAT,PM10,0.004787648815362203
2018,July,San Luis Obispo (SCC),LDA,Gas,RUNEX,CAT,PM2_5,0.004402380248241557
2018,July,San Luis Obispo (SCC),LDA,Gas,RUNEX,NCAT,CO,0.061195867855742665
2018,July,San Luis Obispo (SCC),LDA,Gas,RUNEX,NCAT,NOx,0.004814077080438484
2018,July,San Luis Obispo (SCC),LDA,Gas,RUNEX,NCAT,SOx,5.854835697002327e-06
2018,July,San Luis Obispo (SCC),LDA,Gas,RUNEX,NCAT,PM,5.768056608517188e-05
2018,July,San Luis Obispo (SCC),LDA,Gas,RUNEX,NCAT,TOG,0.0056108399886806055
2018,July,San Luis Obispo (SCC),LDA,Gas,RUNEX,NCAT,PM10,5.4801292901384705e-05
2018,July,San Luis Obispo (SCC),LDA,Gas,RUNEX,NCAT,PM2_5,5.2000176784965014e-05
2018,July,San Luis Obispo (SCC),LDA,Gas,STREX,CAT,CO,0.854331526389642
2018,July,San Luis Obispo (SCC),LDA,Gas,STREX,CAT,NOx,0.09607098317160746
2018,July,San Luis Obispo (SCC),LDA,Gas,STREX,CAT,SOx,0.00022814956038501045
2018,July,San Luis Obispo (SCC),LDA,Gas,STREX,CAT,PM,0.0009203440933522331
2018,July,San Luis Obispo (SCC),LDA,Gas,STREX,CAT,TOG,0.14595881146523637
2018,July,San Luis Obispo (SCC),LDA,Gas,STREX,CAT,PM10,0.000823025297917857
2018,July,San Luis Obispo (SCC),LDA,Gas,STREX,CAT,PM2_5,0.0007568598515085404
2018,July,San Luis Obispo (SCC),LDA,Gas,STREX,NCAT,CO,0.008058187250201982
2018,July,San Luis Obispo (SCC),LDA,Gas,STREX,NCAT,NOx,0.0004357632194923026
2018,July,San Luis Obispo (SCC),LDA,Gas,STREX,NCAT,SOx,7.117566821816776e-07
2018,July,San Luis Obispo (SCC),LDA,Gas,STREX,NCAT,PM,1.9746104334093764e-05
2018,July,San Luis Obispo (SCC),LDA,Gas,STREX,NCAT,TOG,0.0012979713354345913
2018,July,San Luis Obispo (SCC),LDA,Gas,STREX,NCAT,PM10,1.8738327804102028e-05
2018,July,San Luis Obispo (SCC),LDA,Gas,STREX,NCAT,PM2_5,1.7770170901358065e-05
2018,July,San Luis Obispo (SCC),LDA,Gas,HOTSOAK,CAT,TOG,0.061227982100380156
2018,July,San Luis Obispo (SCC),LDA,Gas,HOTSOAK,NCAT,TOG,0.0010973225213882728
2018,July,San Luis Obispo (SCC),LDA,Gas,RUNLOSS,CAT,TOG,0.10378771002569949
2018,July,San Luis Obispo (SCC),LDA,Gas,RUNLOSS,NCAT,TOG,0.003665268651631511
2018,July,San Luis Obispo (SCC),LDA,Gas,RESTLOSS,CAT,TOG,0.031555740532065536
2018,July,San Luis Obispo (SCC),LDA,Gas,RESTLOSS,NCAT,TOG,0.0008479000394966147
2018,July,San Luis Obispo (SCC),LDA,Gas,DIURN,CAT,TOG,0.04696942976978996
2018,July,San Luis Obispo (SCC),LDA,Gas,DIURN,NCAT,TOG,0.0012475445107993184
2018,July,San Luis Obispo (SCC),LDA,Gas,PMTW,CAT,PM,0.02498196774560359
2018,July,San Luis Obispo (SCC),LDA,Gas,PMTW,CAT,PM10,0.02498196774560359
2018,July,San Luis Obispo (SCC),LDA,Gas,PMTW,CAT,PM2_5,0.0062454919364008975
2018,July,San Luis Obispo (SCC),LDA,Gas,PMTW,NCAT,PM,7.619767684077511e-06
2018,July,San Luis Obispo (SCC),LDA,Gas,PMTW,NCAT,PM10,7.619767684077511e-06
2018,July,San Luis Obispo (SCC),LDA,Gas,PMTW,NCAT,PM2_5,1.9049419210193777e-06
2018,July,San Luis Obispo (SCC),LDA,Gas,PMBW,CAT,PM,0.11710297380751689
2018,July,San Luis Obispo (SCC),LDA,Gas,PMBW,CAT,PM10,0.11476091433136656
2018,July,San Luis Obispo (SCC),LDA,Gas,PMBW,CAT,PM2_5,0.049183248999157096
2018,July,San Luis Obispo (SCC),LDA,Gas,PMBW,NCAT,PM,3.571766101911333e-05
2018,July,San Luis Obispo (SCC),LDA,Gas,PMBW,NCAT,PM10,3.5003307798731025e-05
2018,July,San Luis Obispo (SCC),LDA,Gas,PMBW,NCAT,PM2_5,1.50014176280276e-05
2018,July,San Luis Obispo (SCC),LDA,Dsl,RUNEX,DSL,CO,0.016435016974972256
2018,July,San Luis Obispo (SCC),LDA,Dsl,RUNEX,DSL,NOx,0.0108221162344746
2018,July,San Luis Obispo (SCC),LDA,Dsl,RUNEX,DSL,SOx,0.0001369978974599249
2018,July,San Luis Obispo (SCC),LDA,Dsl,RUNEX,DSL,PM,0.0008652406514144906
2018,July,San Luis Obispo (SCC),LDA,Dsl,RUNEX,DSL,TOG,0.0015826644423223132
2018,July,San Luis Obispo (SCC),LDA,Dsl,RUNEX,DSL,PM10,0.0008600492075060031
2018,July,San Luis Obispo (SCC),LDA,Dsl,RUNEX,DSL,PM2_5,0.0008228438594951805
2018,July,San Luis Obispo (SCC),LDA,Dsl,PMTW,DSL,PM,0.0004988957917710908
2018,July,San Luis Obispo (SCC),LDA,Dsl,PMTW,DSL,PM10,0.0004988957917710908
2018,July,San Luis Obispo (SCC),LDA,Dsl,PMTW,DSL,PM2_5,0.0001247239479427727
2018,July,San Luis Obispo (SCC),LDA,Dsl,PMBW,DSL,PM,0.002338574023926986
2018,July,San Luis Obispo (SCC),LDA,Dsl,PMBW,DSL,PM10,0.002291802543448445
2018,July,San Luis Obispo (SCC),LDA,Dsl,PMBW,DSL,PM2_5,0.000982201090049334
2018,July,San Luis Obispo (SCC),LDA,Elec,HOTSOAK,CAT,TOG,1.9910359437587398e-05
2018,July,San Luis Obispo (SCC),LDA,Elec,RESTLOSS,CAT,TOG,8.101130829305686e-06
2018,July,San Luis Obispo (SCC),LDA,Elec,DIURN,CAT,TOG,2.7933301520909442e-05
2018,July,San Luis Obispo (SCC),LDA,Elec,PMTW,CAT,PM,0.00024725296206673677
