calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2018,July,San Mateo (SF),LDA,Gas,RUNEX,CAT,CO,8.145640548606197
2018,July,San Mateo (SF),LDA,Gas,RUNEX,CAT,NOx,0.549409641433939
2018,July,San Mateo (SF),LDA,Gas,RUNEX,CAT,SOx,0.02730164065065801
2018,July,San Mateo (SF),LDA,Gas,RUNEX,CAT,PM,0.017316409939839725
2018,July,San Mateo (SF),LDA,Gas,RUNEX,CAT,TOG,0.22967202829414302
2018,July,San Mateo (SF),LDA,Gas,RUNEX,CAT,PM10,0.015481387637467913
2018,July,San Mateo (SF),LDA,Gas,RUNEX,CAT,PM2_5,0.014234822244710402
2018,July,San Mateo (SF),LDA,Gas,RUNEX,NCAT,CO,0.02484727119638073
2018,July,San Mateo (SF),LDA,Gas,RUNEX,NCAT,NOx,0.0021879332464304303
2018,July,San Mateo (SF),LDA,Gas,RUNEX,NCAT,SOx,2.69053176790468e-06
2018,July,San Mateo (SF),LDA,Gas,RUNEX,NCAT,PM,2.6963740640693787e-05
2018,July,San Mateo (SF),LDA,Gas,RUNEX,NCAT,TOG,0.00238363720100113
2018,July,San Mateo (SF),LDA,Gas,RUNEX,NCAT,PM10,2.5395003504506682e-05
2018,July,San Mateo (SF),LDA,Gas,RUNEX,NCAT,PM2_5,2.399247600536685e-05
2018,July,San Mateo (SF),LDA,Gas,STREX,CAT,CO,3.0944979206824232
2018,July,San Mateo (SF),LDA,Gas,STREX,CAT,NOx,0.31800703776089123
2018,July,San Mateo (SF),LDA,Gas,STREX,CAT,SOx,0.0007708935746852219
2018,July,San Mateo (SF),LDA,Gas,STREX,CAT,PM,0.0032384314883990616
2018,July,San Mateo (SF),LDA,Gas,STREX,CAT,TOG,0.4772853352793367
2018,July,San Mateo (SF),LDA,Gas,STREX,CAT,PM10,0.002895697930553827
2018,July,San Mateo (SF),LDA,Gas,STREX,CAT,PM2_5,0.002662756610223453
2018,July,San Mateo (SF),LDA,Gas,STREX,NCAT,CO,0.01809724155210679
2018,July,San Mateo (SF),LDA,Gas,STREX,NCAT,NOx,0.0009752493005812373
2018,July,San Mateo (SF),LDA,Gas,STREX,NCAT,SOx,1.5486230709504018e-06
2018,July,San Mateo (SF),LDA,Gas,STREX,NCAT,PM,4.258608379373761e-05
2018,July,San Mateo (SF),LDA,Gas,STREX,NCAT,TOG,0.0030595758365261063
2018,July,San Mateo (SF),LDA,Gas,STREX,NCAT,PM10,4.0385046600712344e-05
2018,July,San Mateo (SF),LDA,Gas,STREX,NCAT,PM2_5,3.828551207943058e-05
2018,July,San Mateo (SF),LDA,Gas,HOTSOAK,CAT,TOG,0.1595225817185536
2018,July,San Mateo (SF),LDA,Gas,HOTSOAK,NCAT,TOG,0.002042718380524242
2018,July,San Mateo (SF),LDA,Gas,RUNLOSS,CAT,TOG,0.30400879974163686
2018,July,San Mateo (SF),LDA,Gas,RUNLOSS,NCAT,TOG,0.007846202705926085
2018,July,San Mateo (SF),LDA,Gas,RESTLOSS,CAT,TOG,0.05177001029816907
2018,July,San Mateo (SF),LDA,Gas,RESTLOSS,NCAT,TOG,0.0010332828536548614
2018,July,San Mateo (SF),LDA,Gas,DIURN,CAT,TOG,0.12158844491264625
2018,July,San Mateo (SF),LDA,Gas,DIURN,NCAT,TOG,0.0023206374769350643
2018,July,San Mateo (SF),LDA,Gas,PMTW,CAT,PM,0.07773007496989986
2018,July,San Mateo (SF),LDA,Gas,PMTW,CAT,PM10,0.07773007496989986
2018,July,San Mateo (SF),LDA,Gas,PMTW,CAT,PM2_5,0.019432518742474966
2018,July,San Mateo (SF),LDA,Gas,PMTW,NCAT,PM,3.617599880195254e-06
2018,July,San Mateo (SF),LDA,Gas,PMTW,NCAT,PM10,3.617599880195254e-06
2018,July,San Mateo (SF),LDA,Gas,PMTW,NCAT,PM2_5,9.043999700488135e-07
2018,July,San Mateo (SF),LDA,Gas,PMBW,CAT,PM,0.36435972642140546
2018,July,San Mateo (SF),LDA,Gas,PMBW,CAT,PM10,0.3570725318929776
