calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2018,July,Siskiyou (NEP),LDA,Gas,RUNEX,CAT,CO,2.4874432746149555
2018,July,Siskiyou (NEP),LDA,Gas,RUNEX,CAT,NOx,0.15040847416622963
2018,July,Siskiyou (NEP),LDA,Gas,RUNEX,CAT,SOx,0.005754983931837757
2018,July,Siskiyou (NEP),LDA,Gas,RUNEX,CAT,PM,0.004274577595673184
2018,July,Siskiyou (NEP),LDA,Gas,RUNEX,CAT,TOG,0.08806264170299942
2018,July,Siskiyou (NEP),LDA,Gas,RUNEX,CAT,PM10,0.0038219979371573788
2018,July,Siskiyou (NEP),LDA,Gas,RUNEX,CAT,PM2_5,0.0035144479900527255
2018,July,Siskiyou (NEP),LDA,Gas,RUNEX,NCAT,CO,0.02724247918383211
2018,July,Siskiyou (NEP),LDA,Gas,RUNEX,NCAT,NOx,0.001990008793860883
2018,July,Siskiyou (NEP),LDA,Gas,RUNEX,NCAT,SOx,2.8334743058856512e-06
2018,July,Siskiyou (NEP),LDA,Gas,RUNEX,NCAT,PM,2.9548740027401905e-05
2018,July,Siskiyou (NEP),LDA,Gas,RUNEX,NCAT,TOG,0.0027100970362113398
2018,July,Siskiyou (NEP),LDA,Gas,RUNEX,NCAT,PM10,2.7870772540782023e-05
2018,July,Siskiyou (NEP),LDA,Gas,RUNEX,NCAT,PM2_5,2.6350988195763896e-05
2018,July,Siskiyou (NEP),LDA,Gas,STREX,CAT,CO,0.44961671085648486
2018,July,Siskiyou (NEP),LDA,Gas,STREX,CAT,NOx,0.05292776692113524
2018,July,Siskiyou (NEP),LDA,Gas,STREX,CAT,SOx,0.000120626179246914
2018,July,Siskiyou (NEP),LDA,Gas,STREX,CAT,PM,0.0005472906284703373
2018,July,Siskiyou (NEP),LDA,Gas,STREX,CAT,TOG,0.08245136915874401
2018,July,Siskiyou (NEP),LDA,Gas,STREX,CAT,PM10,0.0004894853597023511
2018,July,Siskiyou (NEP),LDA,Gas,STREX,CAT,PM2_5,0.00045016716668825333
2018,July,Siskiyou (NEP),LDA,Gas,STREX,NCAT,CO,0.00496027975971294
2018,July,Siskiyou (NEP),LDA,Gas,STREX,NCAT,NOx,0.00023628685960004633
2018,July,Siskiyou (NEP),LDA,Gas,STREX,NCAT,SOx,4.102240881678589e-07
2018,July,Siskiyou (NEP),LDA,Gas,STREX,NCAT,PM,1.1683220924287358e-05
2018,July,Siskiyou (NEP),LDA,Gas,STREX,NCAT,TOG,0.0007448530470009538
2018,July,Siskiyou (NEP),LDA,Gas,STREX,NCAT,PM10,1.102003745837071e-05
2018,July,Siskiyou (NEP),LDA,Gas,STREX,NCAT,PM2_5,1.041924350193574e-05
2018,July,Siskiyou (NEP),LDA,Gas,HOTSOAK,CAT,TOG,0.047542236033531846
2018,July,Siskiyou (NEP),LDA,Gas,HOTSOAK,NCAT,TOG,0.0007822401628675306
2018,July,Siskiyou (NEP),LDA,Gas,RUNLOSS,CAT,TOG,0.0719983867469159
2018,July,Siskiyou (NEP),LDA,Gas,RUNLOSS,NCAT,TOG,0.003151922575123102
2018,July,Siskiyou (NEP),LDA,Gas,RESTLOSS,CAT,TOG,0.024008614708833715
2018,July,Siskiyou (NEP),LDA,Gas,RESTLOSS,NCAT,TOG,0.0005594332851576606
