calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2018,July,Solano (SV),LDA,Gas,RUNEX,CAT,CO,2.6248631789398202
2018,July,Solano (SV),LDA,Gas,RUNEX,CAT,NOx,0.16397224703601287
2018,July,Solano (SV),LDA,Gas,RUNEX,CAT,SOx,0.008100380988198846
2018,July,Solano (SV),LDA,Gas,RUNEX,CAT,PM,0.004060534168889047
2018,July,Solano (SV),LDA,Gas,RUNEX,CAT,TOG,0.07201386430656612
2018,July,Solano (SV),LDA,Gas,RUNEX,CAT,PM10,0.003630402983275462
2018,July,Solano (SV),LDA,Gas,RUNEX,CAT,PM2_5,0.003338163809922655
2018,July,Solano (SV),LDA,Gas,RUNEX,NCAT,CO,0.032981286895272355
2018,July,Solano (SV),LDA,Gas,RUNEX,NCAT,NOx,0.0022530850283461884
2018,July,Solano (SV),LDA,Gas,RUNEX,NCAT,SOx,2.7072048390120363e-06
2018,July,Solano (SV),LDA,Gas,RUNEX,NCAT,PM,2.52522531376453e-05
2018,July,Solano (SV),LDA,Gas,RUNEX,NCAT,TOG,0.002570009561467559
2018,July,Solano (SV),LDA,Gas,RUNEX,NCAT,PM10,2.3981978976617965e-05
2018,July,Solano (SV),LDA,Gas,RUNEX,NCAT,PM2_5,2.2751593031360695e-05
2018,July,Solano (SV),LDA,Gas,STREX,CAT,CO,0.6510687148298433
2018,July,Solano (SV),LDA,Gas,STREX,CAT,NOx,0.07227653806565613
2018,July,Solano (SV),LDA,Gas,STREX,CAT,SOx,0.00017926809235809717
2018,July,Solano (SV),LDA,Gas,STREX,CAT,PM,0.0006945834665097297
2018,July,Solano (SV),LDA,Gas,STREX,CAT,TOG,0.10173311138114412
2018,July,Solano (SV),LDA,Gas,STREX,CAT,PM10,0.0006210994151883886
2018,July,Solano (SV),LDA,Gas,STREX,CAT,PM2_5,0.0005711486636833194
2018,July,Solano (SV),LDA,Gas,STREX,NCAT,CO,0.00556534056180834
2018,July,Solano (SV),LDA,Gas,STREX,NCAT,NOx,0.0002786562956835003
2018,July,Solano (SV),LDA,Gas,STREX,NCAT,SOx,4.67691869930234e-07
2018,July,Solano (SV),LDA,Gas,STREX,NCAT,PM,1.275038795726943e-05
2018,July,Solano (SV),LDA,Gas,STREX,NCAT,TOG,0.0008421901962249218
2018,July,Solano (SV),LDA,Gas,STREX,NCAT,PM10,1.2111326698245987e-05
2018,July,Solano (SV),LDA,Gas,STREX,NCAT,PM2_5,1.1491051544494513e-05
2018,July,Solano (SV),LDA,Gas,HOTSOAK,CAT,TOG,0.05085125336240663
2018,July,Solano (SV),LDA,Gas,HOTSOAK,NCAT,TOG,0.0008842691291839197
2018,July,Solano (SV),LDA,Gas,RUNLOSS,CAT,TOG,0.07942228889232136
2018,July,Solano (SV),LDA,Gas,RUNLOSS,NCAT,TOG,0.002442957536701363
2018,July,Solano (SV),LDA,Gas,RESTLOSS,CAT,TOG,0.03440564799466813
2018,July,Solano (SV),LDA,Gas,RESTLOSS,NCAT,TOG,0.0008927670942236074
2018,July,Solano (SV),LDA,Gas,DIURN,CAT,TOG,0.05354078436974487
2018,July,Solano (SV),LDA,Gas,DIURN,NCAT,TOG,0.0014424757870466162
2018,July,Solano (SV),LDA,Gas,PMTW,CAT,PM,0.02043334107509111
2018,July,Solano (SV),LDA,Gas,PMTW,CAT,PM10,0.02043334107509111
2018,July,Solano (SV),LDA,Gas,PMTW,CAT,PM2_5,0.005108335268772778
2018,July,Solano (SV),LDA,Gas,PMTW,NCAT,PM,3.32565769606118e-06
2018,July,Solano (SV),LDA,Gas,PMTW,NCAT,PM10,3.32565769606118e-06
2018,July,Solano (SV),LDA,Gas,PMTW,NCAT,PM2_5,8.31414424015295e-07
2018,July,Solano (SV),LDA,Gas,PMBW,CAT,PM,0.09578128628948956
2018,July,Solano (SV),LDA,Gas,PMBW,CAT,PM10,0.09386566056369976
2018,July,Solano (SV),LDA,Gas,PMBW,CAT,PM2_5,0.040228140241585594
2018,July,Solano (SV),LDA,Gas,PMBW,NCAT,PM,1.5589020450286778e-05
2018,July,Solano (SV),LDA,Gas,PMBW,NCAT,PM10,1.5277240041281034e-05
2018,July,Solano (SV),LDA,Gas,PMBW,NCAT,PM2_5,6.547388589120448e-06
2018,July,Solano (SV),LDA,Dsl,RUNEX,DSL,CO,0.006349688649151401
2018,July,Solano (SV),LDA,Dsl,RUNEX,DSL,NOx,0.0044389277208980935
2018,July,Solano (SV),LDA,Dsl,RUNEX,DSL,SOx,5.819063776775273e-05
2018,July,Solano (SV),LDA,Dsl,RUNEX,DSL,PM,0.0003146859938560427
2018,July,Solano (SV),LDA,Dsl,RUNEX,DSL,TOG,0.0005752086935351268
2018,July,Solano (SV),LDA,Dsl,RUNEX,DSL,PM10,0.00031279787789290667
2018,July,Solano (SV),LDA,Dsl,RUNEX,DSL,PM2_5,0.00029926638015709647
2018,July,Solano (SV),LDA,Dsl,PMTW,DSL,PM,0.00021349630610817868
2018,July,Solano (SV),LDA,Dsl,PMTW,DSL,PM10,0.00021349630610817868
2018,July,Solano (SV),LDA,Dsl,PMTW,DSL,PM2_5,5.337407652704467e-05
2018,July,Solano (SV),LDA,Dsl,PMBW,DSL,PM,0.0010007639348820878
2018,July,Solano (SV),LDA,Dsl,PMBW,DSL,PM10,0.0009807486561844458
2018,July,Solano (SV),LDA,Dsl,PMBW,DSL,PM2_5,0.0004203208526504769
2018,July,Solano (SV),LDA,Elec,HOTSOAK,CAT,TOG,1.3586262308785424e-05
2018,July,Solano (SV),LDA,Elec,RESTLOSS,CAT,TOG,1.3497630293419977e-05
2018,July,Solano (SV),LDA,Elec,DIURN,CAT,TOG,3.215746503575283e-05
2018,July,Solano (SV),LDA,Elec,PMTW,CAT,PM,0.00016776152131786124
2018,July,Solano (SV),LDA,Elec,PMTW,CAT,PM10,0.00016776152131786124
2018,July,Solano (SV),LDA,Elec,PMTW,CAT,PM2_5,4.194038032946531e-05
2018,July,Solano (SV),LDA,Elec,PMBW,CAT,PM,0.0007863821311774737
2018,July,Solano (SV),LDA,Elec,PMBW,CAT,PM10,0.0007706544885539243
2018,July,Solano (SV),LDA,Elec,PMBW,CAT,PM2_5,0.00033028049509453906
2018,July,Solano (SV),LDT1,Gas,RUNEX,CAT,CO,0.4954884856401342
2018,July,Solano (SV),LDT1,Gas,RUNEX,CAT,NOx,0.04042472479563277
2018,July,Solano (SV),LDT1,Gas,RUNEX,CAT,SOx,0.0009039520398250149
2018,July,Solano (SV),LDT1,Gas,RUNEX,CAT,PM,0.0006461519106020489
2018,July,Solano (SV),LDT1,Gas,RUNEX,CAT,TOG,0.016458360042785832
2018,July,Solano (SV),LDT1,Gas,RUNEX,CAT,PM10,0.000577828662662554
2018,July,Solano (SV),LDT1,Gas,RUNEX,CAT,PM2_5,0.0005313762911941463
2018,July,Solano (SV),LDT1,Gas,RUNEX,NCAT,CO,0.014922387362021675
2018,July,Solano (SV),LDT1,Gas,RUNEX,NCAT,NOx,0.0010183649824695026
2018,July,Solano (SV),LDT1,Gas,RUNEX,NCAT,SOx,1.2165314749790925e-06
2018,July,Solano (SV),LDT1,Gas,RUNEX,NCAT,PM,1.1696058103066849e-05
2018,July,Solano (SV),LDT1,Gas,RUNEX,NCAT,TOG,0.0011855434286524558
2018,July,Solano (SV),LDT1,Gas,RUNEX,NCAT,PM10,1.1071057252725667e-05
2018,July,Solano (SV),LDT1,Gas,RUNEX,NCAT,PM2_5,1.048586460125036e-05
2018,July,Solano (SV),LDT1,Gas,STREX,CAT,CO,0.07930128672163135
2018,July,Solano (SV),LDT1,Gas,STREX,CAT,NOx,0.011840929099305115
2018,July,Solano (SV),LDT1,Gas,STREX,CAT,SOx,2.3043373929673717e-05
2018,July,Solano (SV),LDT1,Gas,STREX,CAT,PM,0.00012412506261606952
2018,July,Solano (SV),LDT1,Gas,STREX,CAT,TOG,0.01880776648185567
2018,July,Solano (SV),LDT1,Gas,STREX,CAT,PM10,0.00011102601157200009
2018,July,Solano (SV),LDT1,Gas,STREX,CAT,PM2_5,0.00010211333178917379
2018,July,Solano (SV),LDT1,Gas,STREX,NCAT,CO,0.0020626249971308296
2018,July,Solano (SV),LDT1,Gas,STREX,NCAT,NOx,8.951685150140046e-05
2018,July,Solano (SV),LDT1,Gas,STREX,NCAT,SOx,1.5423234573882878e-07
2018,July,Solano (SV),LDT1,Gas,STREX,NCAT,PM,4.190003606897394e-06
2018,July,Solano (SV),LDT1,Gas,STREX,NCAT,TOG,0.00028926272459877994
2018,July,Solano (SV),LDT1,Gas,STREX,NCAT,PM10,3.96838787299444e-06
2018,July,Solano (SV),LDT1,Gas,STREX,NCAT,PM2_5,3.759702988760347e-06
2018,July,Solano (SV),LDT1,Gas,HOTSOAK,CAT,TOG,0.01269429747821125
2018,July,Solano (SV),LDT1,Gas,HOTSOAK,NCAT,TOG,0.00026703254926354437
2018,July,Solano (SV),LDT1,Gas,RUNLOSS,CAT,TOG,0.03481140516204815
2018,July,Solano (SV),LDT1,Gas,RUNLOSS,NCAT,TOG,0.0002985726434162355
2018,July,Solano (SV),LDT1,Gas,RESTLOSS,CAT,TOG,0.008878668439829122
2018,July,Solano (SV),LDT1,Gas,RESTLOSS,NCAT,TOG,0.00028227387011424046
2018,July,Solano (SV),LDT1,Gas,DIURN,CAT,TOG,0.015404143598049813
2018,July,Solano (SV),LDT1,Gas,DIURN,NCAT,TOG,0.00045081517839103754
2018,July,Solano (SV),LDT1,Gas,PMTW,CAT,PM,0.0019913372634594545
2018,July,Solano (SV),LDT1,Gas,PMTW,CAT,PM10,0.0019913372634594545
2018,July,Solano (SV),LDT1,Gas,PMTW,CAT,PM2_5,0.0004978343158648636
2018,July,Solano (SV),LDT1,Gas,PMTW,NCAT,PM,1.5394731651256434e-06
2018,July,Solano (SV),LDT1,Gas,PMTW,NCAT,PM10,1.5394731651256434e-06
2018,July,Solano (SV),LDT1,Gas,PMTW,NCAT,PM2_5,3.8486829128141084e-07
2018,July,Solano (SV),LDT1,Gas,PMBW,CAT,PM,0.0093343934224662
2018,July,Solano (SV),LDT1,Gas,PMBW,CAT,PM10,0.009147705554016878
2018,July,Solano (SV),LDT1,Gas,PMBW,CAT,PM2_5,0.003920445237435803
2018,July,Solano (SV),LDT1,Gas,PMBW,NCAT,PM,7.2162804615264555e-06
2018,July,Solano (SV),LDT1,Gas,PMBW,NCAT,PM10,7.071954852295922e-06
2018,July,Solano (SV),LDT1,Gas,PMBW,NCAT,PM2_5,3.03083779384111e-06
2018,July,Solano (SV),LDT2,Gas,RUNEX,CAT,CO,1.0802593465210004
2018,July,Solano (SV),LDT2,Gas,RUNEX,CAT,NOx,0.09717861572410603
2018,July,Solano (SV),LDT2,Gas,RUNEX,CAT,SOx,0.0033221793679687156
2018,July,Solano (SV),LDT2,Gas,RUNEX,CAT,PM,0.0013242786850966475
2018,July,Solano (SV),LDT2,Gas,RUNEX,CAT,TOG,0.03036644021474452
2018,July,Solano (SV),LDT2,Gas,RUNEX,CAT,PM10,0.0011841643700904575
2018,July,Solano (SV),LDT2,Gas,RUNEX,CAT,PM2_5,0.0010889246378559404
2018,July,Solano (SV),LDT2,Gas,RUNEX,NCAT,CO,0.02242064854562565
2018,July,Solano (SV),LDT2,Gas,RUNEX,NCAT,NOx,0.0015529212234061994
2018,July,Solano (SV),LDT2,Gas,RUNEX,NCAT,SOx,1.8308499959581847e-06
2018,July,Solano (SV),LDT2,Gas,RUNEX,NCAT,PM,1.7545505291391457e-05
2018,July,Solano (SV),LDT2,Gas,RUNEX,NCAT,TOG,0.0018093406698883841
2018,July,Solano (SV),LDT2,Gas,RUNEX,NCAT,PM10,1.660200497097137e-05
2018,July,Solano (SV),LDT2,Gas,RUNEX,NCAT,PM2_5,1.5721669645708937e-05
2018,July,Solano (SV),LDT2,Gas,STREX,CAT,CO,0.29251810891919355
2018,July,Solano (SV),LDT2,Gas,STREX,CAT,NOx,0.04173487231623861
2018,July,Solano (SV),LDT2,Gas,STREX,CAT,SOx,8.211112077563103e-05
2018,July,Solano (SV),LDT2,Gas,STREX,CAT,PM,0.00023567707780443084
2018,July,Solano (SV),LDT2,Gas,STREX,CAT,TOG,0.04598664643484414
2018,July,Solano (SV),LDT2,Gas,STREX,CAT,PM10,0.0002107849544665965
2018,July,Solano (SV),LDT2,Gas,STREX,CAT,PM2_5,0.0001938536692447401
2018,July,Solano (SV),LDT2,Gas,STREX,NCAT,CO,0.0029489758387290896
2018,July,Solano (SV),LDT2,Gas,STREX,NCAT,NOx,0.00012471836442029343
2018,July,Solano (SV),LDT2,Gas,STREX,NCAT,SOx,2.160839861116046e-07
2018,July,Solano (SV),LDT2,Gas,STREX,NCAT,PM,5.8824513273359444e-06
2018,July,Solano (SV),LDT2,Gas,STREX,NCAT,TOG,0.0004120375464028205
2018,July,Solano (SV),LDT2,Gas,STREX,NCAT,PM10,5.5633888161343446e-06
2018,July,Solano (SV),LDT2,Gas,STREX,NCAT,PM2_5,5.267096577668968e-06
2018,July,Solano (SV),LDT2,Gas,HOTSOAK,CAT,TOG,0.020250655713505376
2018,July,Solano (SV),LDT2,Gas,HOTSOAK,NCAT,TOG,0.0003685868138597889
2018,July,Solano (SV),LDT2,Gas,RUNLOSS,CAT,TOG,0.05338559273152675
2018,July,Solano (SV),LDT2,Gas,RUNLOSS,NCAT,TOG,0.00041641256384374205
2018,July,Solano (SV),LDT2,Gas,RESTLOSS,CAT,TOG,0.015441156211766923
2018,July,Solano (SV),LDT2,Gas,RESTLOSS,NCAT,TOG,0.00039528086394894756
2018,July,Solano (SV),LDT2,Gas,DIURN,CAT,TOG,0.02265089183471068
2018,July,Solano (SV),LDT2,Gas,DIURN,NCAT,TOG,0.0006307778299660508
2018,July,Solano (SV),LDT2,Gas,PMTW,CAT,PM,0.0066106894836016105
2018,July,Solano (SV),LDT2,Gas,PMTW,CAT,PM10,0.0066106894836016105
2018,July,Solano (SV),LDT2,Gas,PMTW,CAT,PM2_5,0.0016526723709004026
2018,July,Solano (SV),LDT2,Gas,PMTW,NCAT,PM,2.3086337456441983e-06
2018,July,Solano (SV),LDT2,Gas,PMTW,NCAT,PM10,2.3086337456441983e-06
2018,July,Solano (SV),LDT2,Gas,PMTW,NCAT,PM2_5,5.771584364110496e-07
2018,July,Solano (SV),LDT2,Gas,PMBW,CAT,PM,0.030987606954382574
2018,July,Solano (SV),LDT2,Gas,PMBW,CAT,PM10,0.030367854815294897
2018,July,Solano (SV),LDT2,Gas,PMBW,CAT,PM2_5,0.013014794920840669
2018,July,Solano (SV),LDT2,Gas,PMBW,NCAT,PM,1.0821720682707185e-05
2018,July,Solano (SV),LDT2,Gas,PMBW,NCAT,PM10,1.0605286269053033e-05
2018,July,Solano (SV),LDT2,Gas,PMBW,NCAT,PM2_5,4.545122686737014e-06
2018,July,Solano (SV),MDV,Gas,RUNEX,CAT,CO,0.9883021601614935
2018,July,Solano (SV),MDV,Gas,RUNEX,CAT,NOx,0.09914351274713956
2018,July,Solano (SV),MDV,Gas,RUNEX,CAT,SOx,0.0033304300982118507
2018,July,Solano (SV),MDV,Gas,RUNEX,CAT,PM,0.0011198663114804894
2018,July,Solano (SV),MDV,Gas,RUNEX,CAT,TOG,0.031587788218575844
2018,July,Solano (SV),MDV,Gas,RUNEX,CAT,PM10,0.0010013358929801775
2018,July,Solano (SV),MDV,Gas,RUNEX,CAT,PM2_5,0.0009207788244411267
2018,July,Solano (SV),MDV,Gas,RUNEX,NCAT,CO,0.09164670739928943
