calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2018,July,Tulare (SJV),LDA,Gas,RUNEX,CAT,CO,7.26598280834469
2018,July,Tulare (SJV),LDA,Gas,RUNEX,CAT,NOx,0.3945003732488126
2018,July,Tulare (SJV),LDA,Gas,RUNEX,CAT,SOx,0.01757546586685057
2018,July,Tulare (SJV),LDA,Gas,RUNEX,CAT,PM,0.008378690862052925
2018,July,Tulare (SJV),LDA,Gas,RUNEX,CAT,TOG,0.177105013826687
2018,July,Tulare (SJV),LDA,Gas,RUNEX,CAT,PM10,0.007491245434256004
2018,July,Tulare (SJV),LDA,Gas,RUNEX,CAT,PM2_5,0.006888270475774153
2018,July,Tulare (SJV),LDA,Gas,RUNEX,NCAT,CO,0.05727020946958971
2018,July,Tulare (SJV),LDA,Gas,RUNEX,NCAT,NOx,0.003434960509776783
2018,July,Tulare (SJV),LDA,Gas,RUNEX,NCAT,SOx,4.523229288845364e-06
2018,July,Tulare (SJV),LDA,Gas,RUNEX,NCAT,PM,3.985257987419707e-05
2018,July,Tulare (SJV),LDA,Gas,RUNEX,NCAT,TOG,0.004105702995318665
2018,July,Tulare (SJV),LDA,Gas,RUNEX,NCAT,PM10,3.760252567841284e-05
2018,July,Tulare (SJV),LDA,Gas,RUNEX,NCAT,PM2_5,3.555822857798789e-05
2018,July,Tulare (SJV),LDA,Gas,STREX,CAT,CO,1.4695930401546726
2018,July,Tulare (SJV),LDA,Gas,STREX,CAT,NOx,0.16715558367265215
2018,July,Tulare (SJV),LDA,Gas,STREX,CAT,SOx,0.0003763161641729353
2018,July,Tulare (SJV),LDA,Gas,STREX,CAT,PM,0.0014709338490310852
2018,July,Tulare (SJV),LDA,Gas,STREX,CAT,TOG,0.215218176605975
2018,July,Tulare (SJV),LDA,Gas,STREX,CAT,PM10,0.0013154168492610983
2018,July,Tulare (SJV),LDA,Gas,STREX,CAT,PM2_5,0.0012096776072109286
2018,July,Tulare (SJV),LDA,Gas,STREX,NCAT,CO,0.012405291643048525
2018,July,Tulare (SJV),LDA,Gas,STREX,NCAT,NOx,0.0005211411873845836
2018,July,Tulare (SJV),LDA,Gas,STREX,NCAT,SOx,9.274802928369369e-07
2018,July,Tulare (SJV),LDA,Gas,STREX,NCAT,PM,2.531772357272165e-05
2018,July,Tulare (SJV),LDA,Gas,STREX,NCAT,TOG,0.0017147830472236442
2018,July,Tulare (SJV),LDA,Gas,STREX,NCAT,PM10,2.3928344126077943e-05
2018,July,Tulare (SJV),LDA,Gas,STREX,NCAT,PM2_5,2.2646369208809375e-05
2018,July,Tulare (SJV),LDA,Gas,HOTSOAK,CAT,TOG,0.1418143197207208
2018,July,Tulare (SJV),LDA,Gas,HOTSOAK,NCAT,TOG,0.0021017998019883816
2018,July,Tulare (SJV),LDA,Gas,RUNLOSS,CAT,TOG,0.18490626269873192
2018,July,Tulare (SJV),LDA,Gas,RUNLOSS,NCAT,TOG,0.004906930364757369
2018,July,Tulare (SJV),LDA,Gas,RESTLOSS,CAT,TOG,0.12370496031533441
2018,July,Tulare (SJV),LDA,Gas,RESTLOSS,NCAT,TOG,0.0028316290436406237
2018,July,Tulare (SJV),LDA,Gas,DIURN,CAT,TOG,0.2023407025203271
2018,July,Tulare (SJV),LDA,Gas,DIURN,NCAT,TOG,0.00512415101366226
2018,July,Tulare (SJV),LDA,Gas,PMTW,CAT,PM,0.04343851306330342
2018,July,Tulare (SJV),LDA,Gas,PMTW,CAT,PM10,0.04343851306330342
2018,July,Tulare (SJV),LDA,Gas,PMTW,CAT,PM2_5,0.010859628265825856
2018,July,Tulare (SJV),LDA,Gas,PMTW,NCAT,PM,5.542512314124004e-06
2018,July,Tulare (SJV),LDA,Gas,PMTW,NCAT,PM10,5.542512314124004e-06
2018,July,Tulare (SJV),LDA,Gas,PMTW,NCAT,PM2_5,1.385628078531001e-06
2018,July,Tulare (SJV),LDA,Gas,PMBW,CAT,PM,0.2036180299842348
2018,July,Tulare (SJV),LDA,Gas,PMBW,CAT,PM10,0.19954566938454996
2018,July,Tulare (SJV),LDA,Gas,PMBW,CAT,PM2_5,0.08551957259337854
2018,July,Tulare (SJV),LDA,Gas,PMBW,NCAT,PM,2.5980526472456256e-05
2018,July,Tulare (SJV),LDA,Gas,PMBW,NCAT,PM10,2.5460915943007123e-05
2018,July,Tulare (SJV),LDA,Gas,PMBW,NCAT,PM2_5,1.091182111843162e-05
2018,July,Tulare (SJV),LDA,Dsl,RUNEX,DSL,CO,0.008082026340380452
2018,July,Tulare (SJV),LDA,Dsl,RUNEX,DSL,NOx,0.005880337363424272
2018,July,Tulare (SJV),LDA,Dsl,RUNEX,DSL,SOx,6.637702329109042e-05
2018,July,Tulare (SJV),LDA,Dsl,RUNEX,DSL,PM,0.0005051524968503997
2018,July,Tulare (SJV),LDA,Dsl,RUNEX,DSL,TOG,0.000868196478466321
2018,July,Tulare (SJV),LDA,Dsl,RUNEX,DSL,PM10,0.0005021215818692974
2018,July,Tulare (SJV),LDA,Dsl,RUNEX,DSL,PM2_5,0.0004804000245047303
2018,July,Tulare (SJV),LDA,Dsl,PMTW,DSL,PM,0.0002551879263897486
2018,July,Tulare (SJV),LDA,Dsl,PMTW,DSL,PM10,0.0002551879263897486
2018,July,Tulare (SJV),LDA,Dsl,PMTW,DSL,PM2_5,6.379698159743715e-05
2018,July,Tulare (SJV),LDA,Dsl,PMBW,DSL,PM,0.0011961934049519454
2018,July,Tulare (SJV),LDA,Dsl,PMBW,DSL,PM10,0.0011722695368529066
2018,July,Tulare (SJV),LDA,Dsl,PMBW,DSL,PM2_5,0.0005024012300798174
2018,July,Tulare (SJV),LDA,Elec,HOTSOAK,CAT,TOG,1.9158785573456104e-05
2018,July,Tulare (SJV),LDA,Elec,RESTLOSS,CAT,TOG,3.985886642259531e-05
2018,July,Tulare (SJV),LDA,Elec,DIURN,CAT,TOG,7.438059704946877e-05
2018,July,Tulare (SJV),LDA,Elec,PMTW,CAT,PM,0.00023911984209777488
2018,July,Tulare (SJV),LDA,Elec,PMTW,CAT,PM10,0.00023911984209777488
2018,July,Tulare (SJV),LDA,Elec,PMTW,CAT,PM2_5,5.977996052444372e-05
2018,July,Tulare (SJV),LDA,Elec,PMBW,CAT,PM,0.0011208742598333196
2018,July,Tulare (SJV),LDA,Elec,PMBW,CAT,PM10,0.0010984567746366533
2018,July,Tulare (SJV),LDA,Elec,PMBW,CAT,PM2_5,0.0004707671891299943
2018,July,Tulare (SJV),LDT1,Gas,RUNEX,CAT,CO,2.1155245142076295
2018,July,Tulare (SJV),LDT1,Gas,RUNEX,CAT,NOx,0.16001951628739886
2018,July,Tulare (SJV),LDT1,Gas,RUNEX,CAT,SOx,0.002003895411308501
2018,July,Tulare (SJV),LDT1,Gas,RUNEX,CAT,PM,0.001921680373873165
2018,July,Tulare (SJV),LDT1,Gas,RUNEX,CAT,TOG,0.06844553083459369
2018,July,Tulare (SJV),LDT1,Gas,RUNEX,CAT,PM10,0.0017189143742084721
2018,July,Tulare (SJV),LDT1,Gas,RUNEX,CAT,PM2_5,0.0015809429299619062
2018,July,Tulare (SJV),LDT1,Gas,RUNEX,NCAT,CO,0.09690876498288764
2018,July,Tulare (SJV),LDT1,Gas,RUNEX,NCAT,NOx,0.005863051088860728
2018,July,Tulare (SJV),LDT1,Gas,RUNEX,NCAT,SOx,7.333335507133104e-06
2018,July,Tulare (SJV),LDT1,Gas,RUNEX,NCAT,PM,6.769302102864118e-05
2018,July,Tulare (SJV),LDT1,Gas,RUNEX,NCAT,TOG,0.007496774298299838
2018,July,Tulare (SJV),LDT1,Gas,RUNEX,NCAT,PM10,6.412087324266072e-05
2018,July,Tulare (SJV),LDT1,Gas,RUNEX,NCAT,PM2_5,6.075283764509936e-05
2018,July,Tulare (SJV),LDT1,Gas,STREX,CAT,CO,0.1919710865665777
2018,July,Tulare (SJV),LDT1,Gas,STREX,CAT,NOx,0.033930087359529515
2018,July,Tulare (SJV),LDT1,Gas,STREX,CAT,SOx,4.996926443358266e-05
2018,July,Tulare (SJV),LDT1,Gas,STREX,CAT,PM,0.00032673302756271383
2018,July,Tulare (SJV),LDT1,Gas,STREX,CAT,TOG,0.05168834934308158
2018,July,Tulare (SJV),LDT1,Gas,STREX,CAT,PM10,0.000292283032704885
2018,July,Tulare (SJV),LDT1,Gas,STREX,CAT,PM2_5,0.0002688350274037568
2018,July,Tulare (SJV),LDT1,Gas,STREX,NCAT,CO,0.0070280716932960225
2018,July,Tulare (SJV),LDT1,Gas,STREX,NCAT,NOx,0.0002668289619017834
2018,July,Tulare (SJV),LDT1,Gas,STREX,NCAT,SOx,4.776383397622847e-07
2018,July,Tulare (SJV),LDT1,Gas,STREX,NCAT,PM,1.2642816738551341e-05
2018,July,Tulare (SJV),LDT1,Gas,STREX,NCAT,TOG,0.0009165104700212939
2018,July,Tulare (SJV),LDT1,Gas,STREX,NCAT,PM10,1.1966040821929376e-05
2018,July,Tulare (SJV),LDT1,Gas,STREX,NCAT,PM2_5,1.1332984202046299e-05
2018,July,Tulare (SJV),LDT1,Gas,HOTSOAK,CAT,TOG,0.05125302902420593
2018,July,Tulare (SJV),LDT1,Gas,HOTSOAK,NCAT,TOG,0.0009938050309954772
2018,July,Tulare (SJV),LDT1,Gas,RUNLOSS,CAT,TOG,0.1159782878568212
2018,July,Tulare (SJV),LDT1,Gas,RUNLOSS,NCAT,TOG,0.0009443166910668423
2018,July,Tulare (SJV),LDT1,Gas,RESTLOSS,CAT,TOG,0.04448845010593986
2018,July,Tulare (SJV),LDT1,Gas,RESTLOSS,NCAT,TOG,0.0013740042874958516
2018,July,Tulare (SJV),LDT1,Gas,DIURN,CAT,TOG,0.08037020868405777
2018,July,Tulare (SJV),LDT1,Gas,DIURN,NCAT,TOG,0.002457095579403131
2018,July,Tulare (SJV),LDT1,Gas,PMTW,CAT,PM,0.004219119063387788
2018,July,Tulare (SJV),LDT1,Gas,PMTW,CAT,PM10,0.004219119063387788
2018,July,Tulare (SJV),LDT1,Gas,PMTW,CAT,PM2_5,0.001054779765846947
2018,July,Tulare (SJV),LDT1,Gas,PMTW,NCAT,PM,9.402398356757144e-06
2018,July,Tulare (SJV),LDT1,Gas,PMTW,NCAT,PM10,9.402398356757144e-06
2018,July,Tulare (SJV),LDT1,Gas,PMTW,NCAT,PM2_5,2.350599589189286e-06
2018,July,Tulare (SJV),LDT1,Gas,PMBW,CAT,PM,0.019777120609630248
2018,July,Tulare (SJV),LDT1,Gas,PMBW,CAT,PM10,0.01938157819743763
2018,July,Tulare (SJV),LDT1,Gas,PMBW,CAT,PM2_5,0.008306390656044705
2018,July,Tulare (SJV),LDT1,Gas,PMBW,NCAT,PM,4.4073742297299125e-05
2018,July,Tulare (SJV),LDT1,Gas,PMBW,NCAT,PM10,4.3192267451353154e-05
2018,July,Tulare (SJV),LDT1,Gas,PMBW,NCAT,PM2_5,1.851097176486564e-05
2018,July,Tulare (SJV),LDT2,Gas,RUNEX,CAT,CO,4.279755989322665
2018,July,Tulare (SJV),LDT2,Gas,RUNEX,CAT,NOx,0.3773129870300287
2018,July,Tulare (SJV),LDT2,Gas,RUNEX,CAT,SOx,0.007644830506723372
2018,July,Tulare (SJV),LDT2,Gas,RUNEX,CAT,PM,0.0035716475153812492
2018,July,Tulare (SJV),LDT2,Gas,RUNEX,CAT,TOG,0.123790388089935
2018,July,Tulare (SJV),LDT2,Gas,RUNEX,CAT,PM10,0.00319456193632209
2018,July,Tulare (SJV),LDT2,Gas,RUNEX,CAT,PM2_5,0.0029380339661399402
2018,July,Tulare (SJV),LDT2,Gas,RUNEX,NCAT,CO,0.16258032206906986
2018,July,Tulare (SJV),LDT2,Gas,RUNEX,NCAT,NOx,0.009944684500767086
2018,July,Tulare (SJV),LDT2,Gas,RUNEX,NCAT,SOx,1.230149996168654e-05
2018,July,Tulare (SJV),LDT2,Gas,RUNEX,NCAT,PM,0.00011322834577122083
2018,July,Tulare (SJV),LDT2,Gas,RUNEX,NCAT,TOG,0.012700385006010426
2018,July,Tulare (SJV),LDT2,Gas,RUNEX,NCAT,PM10,0.0001073033827148907
2018,July,Tulare (SJV),LDT2,Gas,RUNEX,NCAT,PM2_5,0.00010169068457565727
2018,July,Tulare (SJV),LDT2,Gas,STREX,CAT,CO,0.7151484009975277
2018,July,Tulare (SJV),LDT2,Gas,STREX,CAT,NOx,0.11931826855627954
2018,July,Tulare (SJV),LDT2,Gas,STREX,CAT,SOx,0.0001844720839997911
2018,July,Tulare (SJV),LDT2,Gas,STREX,CAT,PM,0.0006154553685405055
2018,July,Tulare (SJV),LDT2,Gas,STREX,CAT,TOG,0.12361056275182122
2018,July,Tulare (SJV),LDT2,Gas,STREX,CAT,PM10,0.0005505134593529449
2018,July,Tulare (SJV),LDT2,Gas,STREX,CAT,PM2_5,0.0005063245247072304
2018,July,Tulare (SJV),LDT2,Gas,STREX,NCAT,CO,0.011723528607053222
2018,July,Tulare (SJV),LDT2,Gas,STREX,NCAT,NOx,0.000450530005468453
2018,July,Tulare (SJV),LDT2,Gas,STREX,NCAT,SOx,8.002353323603938e-07
2018,July,Tulare (SJV),LDT2,Gas,STREX,NCAT,PM,2.107942778391003e-05
2018,July,Tulare (SJV),LDT2,Gas,STREX,NCAT,TOG,0.0015479367584973268
2018,July,Tulare (SJV),LDT2,Gas,STREX,NCAT,PM10,1.9960970222604496e-05
2018,July,Tulare (SJV),LDT2,Gas,STREX,NCAT,PM2_5,1.8909623510910588e-05
2018,July,Tulare (SJV),LDT2,Gas,HOTSOAK,CAT,TOG,0.07801728961083589
2018,July,Tulare (SJV),LDT2,Gas,HOTSOAK,NCAT,TOG,0.001668527664631738
2018,July,Tulare (SJV),LDT2,Gas,RUNLOSS,CAT,TOG,0.17875455105203186
2018,July,Tulare (SJV),LDT2,Gas,RUNLOSS,NCAT,TOG,0.0015816622436130596
2018,July,Tulare (SJV),LDT2,Gas,RESTLOSS,CAT,TOG,0.07303642147913228
