calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2018,July,Ventura (SCC),LDA,Gas,RUNEX,CAT,CO,10.716142855943005
2018,July,Ventura (SCC),LDA,Gas,RUNEX,CAT,NOx,0.6278451983704602
2018,July,Ventura (SCC),LDA,Gas,RUNEX,CAT,SOx,0.03368159364752481
2018,July,Ventura (SCC),LDA,Gas,RUNEX,CAT,PM,0.01933895390319167
2018,July,Ventura (SCC),LDA,Gas,RUNEX,CAT,TOG,0.3035766443558446
2018,July,Ventura (SCC),LDA,Gas,RUNEX,CAT,PM10,0.017290162108262282
2018,July,Ventura (SCC),LDA,Gas,RUNEX,CAT,PM2_5,0.01589823272464516
2018,July,Ventura (SCC),LDA,Gas,RUNEX,NCAT,CO,0.08134543005242639
2018,July,Ventura (SCC),LDA,Gas,RUNEX,NCAT,NOx,0.0063390558220723725
2018,July,Ventura (SCC),LDA,Gas,RUNEX,NCAT,SOx,8.282233083250756e-06
2018,July,Ventura (SCC),LDA,Gas,RUNEX,NCAT,PM,8.33901356659711e-05
2018,July,Ventura (SCC),LDA,Gas,RUNEX,NCAT,TOG,0.00758989153802722
2018,July,Ventura (SCC),LDA,Gas,RUNEX,NCAT,PM10,7.900060156607416e-05
2018,July,Ventura (SCC),LDA,Gas,RUNEX,NCAT,PM2_5,7.485613818408676e-05
2018,July,Ventura (SCC),LDA,Gas,STREX,CAT,CO,2.865143775062963
2018,July,Ventura (SCC),LDA,Gas,STREX,CAT,NOx,0.3245650778168563
2018,July,Ventura (SCC),LDA,Gas,STREX,CAT,SOx,0.0008089316448795491
2018,July,Ventura (SCC),LDA,Gas,STREX,CAT,PM,0.0032391552970605915
2018,July,Ventura (SCC),LDA,Gas,STREX,CAT,TOG,0.4760119078415692
2018,July,Ventura (SCC),LDA,Gas,STREX,CAT,PM10,0.0028965012979502132
2018,July,Ventura (SCC),LDA,Gas,STREX,CAT,PM2_5,0.0026635731754661033
2018,July,Ventura (SCC),LDA,Gas,STREX,NCAT,CO,0.021579834958057875
2018,July,Ventura (SCC),LDA,Gas,STREX,NCAT,NOx,0.0011774476636106188
2018,July,Ventura (SCC),LDA,Gas,STREX,NCAT,SOx,1.937344391696697e-06
2018,July,Ventura (SCC),LDA,Gas,STREX,NCAT,PM,5.442822905765053e-05
2018,July,Ventura (SCC),LDA,Gas,STREX,NCAT,TOG,0.003370337077815463
2018,July,Ventura (SCC),LDA,Gas,STREX,NCAT,PM10,5.160906574636138e-05
2018,July,Ventura (SCC),LDA,Gas,STREX,NCAT,PM2_5,4.892316476356891e-05
2018,July,Ventura (SCC),LDA,Gas,HOTSOAK,CAT,TOG,0.1945097347385053
2018,July,Ventura (SCC),LDA,Gas,HOTSOAK,NCAT,TOG,0.002953624622339945
2018,July,Ventura (SCC),LDA,Gas,RUNLOSS,CAT,TOG,0.34125856916225544
2018,July,Ventura (SCC),LDA,Gas,RUNLOSS,NCAT,TOG,0.01003779162482588
