calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2018,July,Yolo (SV),LDA,Gas,RUNEX,CAT,CO,3.869922268220041
2018,July,Yolo (SV),LDA,Gas,RUNEX,CAT,NOx,0.20430027918331162
2018,July,Yolo (SV),LDA,Gas,RUNEX,CAT,SOx,0.01032061126790873
2018,July,Yolo (SV),LDA,Gas,RUNEX,CAT,PM,0.0055681394560911915
2018,July,Yolo (SV),LDA,Gas,RUNEX,CAT,TOG,0.09782528995568834
2018,July,Yolo (SV),LDA,Gas,RUNEX,CAT,PM10,0.004978205101245871
2018,July,Yolo (SV),LDA,Gas,RUNEX,CAT,PM2_5,0.004577419597273119
2018,July,Yolo (SV),LDA,Gas,RUNEX,NCAT,CO,0.0296522786969852
2018,July,Yolo (SV),LDA,Gas,RUNEX,NCAT,NOx,0.002165021480117807
2018,July,Yolo (SV),LDA,Gas,RUNEX,NCAT,SOx,2.782522153667002e-06
2018,July,Yolo (SV),LDA,Gas,RUNEX,NCAT,PM,2.6325908663702207e-05
2018,July,Yolo (SV),LDA,Gas,RUNEX,NCAT,TOG,0.0027217541558143313
2018,July,Yolo (SV),LDA,Gas,RUNEX,NCAT,PM10,2.5010770725473046e-05
2018,July,Yolo (SV),LDA,Gas,RUNEX,NCAT,PM2_5,2.3731893878454434e-05
2018,July,Yolo (SV),LDA,Gas,STREX,CAT,CO,0.7724959592732129
2018,July,Yolo (SV),LDA,Gas,STREX,CAT,NOx,0.08715698800647471
2018,July,Yolo (SV),LDA,Gas,STREX,CAT,SOx,0.0002088866620880867
2018,July,Yolo (SV),LDA,Gas,STREX,CAT,PM,0.0008059178826906903
2018,July,Yolo (SV),LDA,Gas,STREX,CAT,TOG,0.12008238823826502
2018,July,Yolo (SV),LDA,Gas,STREX,CAT,PM10,0.0007206398891988111
2018,July,Yolo (SV),LDA,Gas,STREX,CAT,PM2_5,0.0006626761965413994
2018,July,Yolo (SV),LDA,Gas,STREX,NCAT,CO,0.005687781199436115
2018,July,Yolo (SV),LDA,Gas,STREX,NCAT,NOx,0.00027596639576651114
2018,July,Yolo (SV),LDA,Gas,STREX,NCAT,SOx,4.6797483656229276e-07
2018,July,Yolo (SV),LDA,Gas,STREX,NCAT,PM,1.274640278263664e-05
2018,July,Yolo (SV),LDA,Gas,STREX,NCAT,TOG,0.000842404664694776
2018,July,Yolo (SV),LDA,Gas,STREX,NCAT,PM10,1.209999100078006e-05
2018,July,Yolo (SV),LDA,Gas,STREX,NCAT,PM2_5,1.1476754382025487e-05
2018,July,Yolo (SV),LDA,Gas,HOTSOAK,CAT,TOG,0.06369773054087254
2018,July,Yolo (SV),LDA,Gas,HOTSOAK,NCAT,TOG,0.0009175138888496035
2018,July,Yolo (SV),LDA,Gas,RUNLOSS,CAT,TOG,0.09528519285426296
2018,July,Yolo (SV),LDA,Gas,RUNLOSS,NCAT,TOG,0.0024499482613017727
2018,July,Yolo (SV),LDA,Gas,RESTLOSS,CAT,TOG,0.04249625006176735
2018,July,Yolo (SV),LDA,Gas,RESTLOSS,NCAT,TOG,0.0009280556362476671
2018,July,Yolo (SV),LDA,Gas,DIURN,CAT,TOG,0.07678138420599417
2018,July,Yolo (SV),LDA,Gas,DIURN,NCAT,TOG,0.001795251380381952
2018,July,Yolo (SV),LDA,Gas,PMTW,CAT,PM,0.025617836439967626
2018,July,Yolo (SV),LDA,Gas,PMTW,CAT,PM10,0.025617836439967626
2018,July,Yolo (SV),LDA,Gas,PMTW,CAT,PM2_5,0.006404459109991907
2018,July,Yolo (SV),LDA,Gas,PMTW,NCAT,PM,3.4916920037828688e-06
2018,July,Yolo (SV),LDA,Gas,PMTW,NCAT,PM10,3.4916920037828688e-06
2018,July,Yolo (SV),LDA,Gas,PMTW,NCAT,PM2_5,8.729230009457172e-07
2018,July,Yolo (SV),LDA,Gas,PMBW,CAT,PM,0.1200836083123482
2018,July,Yolo (SV),LDA,Gas,PMBW,CAT,PM10,0.11768193614610113
2018,July,Yolo (SV),LDA,Gas,PMBW,CAT,PM2_5,0.05043511549118621
2018,July,Yolo (SV),LDA,Gas,PMBW,NCAT,PM,1.6367306267732195e-05
2018,July,Yolo (SV),LDA,Gas,PMBW,NCAT,PM10,1.603996014237755e-05
2018,July,Yolo (SV),LDA,Gas,PMBW,NCAT,PM2_5,6.874268632447518e-06
2018,July,Yolo (SV),LDA,Dsl,RUNEX,DSL,CO,0.010656830706584602
2018,July,Yolo (SV),LDA,Dsl,RUNEX,DSL,NOx,0.007038583209136142
2018,July,Yolo (SV),LDA,Dsl,RUNEX,DSL,SOx,7.771133314798637e-05
2018,July,Yolo (SV),LDA,Dsl,RUNEX,DSL,PM,0.0004806082566375003
2018,July,Yolo (SV),LDA,Dsl,RUNEX,DSL,TOG,0.0009835801828927888
2018,July,Yolo (SV),LDA,Dsl,RUNEX,DSL,PM10,0.00047772460709767607
2018,July,Yolo (SV),LDA,Dsl,RUNEX,DSL,PM2_5,0.00045705845206226337
2018,July,Yolo (SV),LDA,Dsl,PMTW,DSL,PM,0.00028919514695767065
2018,July,Yolo (SV),LDA,Dsl,PMTW,DSL,PM10,0.00028919514695767065
2018,July,Yolo (SV),LDA,Dsl,PMTW,DSL,PM2_5,7.229878673941766e-05
2018,July,Yolo (SV),LDA,Dsl,PMBW,DSL,PM,0.0013556022513640806
2018,July,Yolo (SV),LDA,Dsl,PMBW,DSL,PM10,0.0013284902063367989
2018,July,Yolo (SV),LDA,Dsl,PMBW,DSL,PM2_5,0.000569352945572913
2018,July,Yolo (SV),LDA,Elec,HOTSOAK,CAT,TOG,1.8245496020036252e-05
2018,July,Yolo (SV),LDA,Elec,RESTLOSS,CAT,TOG,1.8522065815005386e-05
2018,July,Yolo (SV),LDA,Elec,DIURN,CAT,TOG,5.2682894689684536e-05
2018,July,Yolo (SV),LDA,Elec,PMTW,CAT,PM,0.00021847029802589982
2018,July,Yolo (SV),LDA,Elec,PMTW,CAT,PM10,0.00021847029802589982
2018,July,Yolo (SV),LDA,Elec,PMTW,CAT,PM2_5,5.4617574506474954e-05
2018,July,Yolo (SV),LDA,Elec,PMBW,CAT,PM,0.001024079521996405
2018,July,Yolo (SV),LDA,Elec,PMBW,CAT,PM10,0.0010035979315564775
2018,July,Yolo (SV),LDA,Elec,PMBW,CAT,PM2_5,0.0004301133992384904
2018,July,Yolo (SV),LDT1,Gas,RUNEX,CAT,CO,0.8089879595856968
2018,July,Yolo (SV),LDT1,Gas,RUNEX,CAT,NOx,0.05550794325923929
2018,July,Yolo (SV),LDT1,Gas,RUNEX,CAT,SOx,0.0012297088113864705
2018,July,Yolo (SV),LDT1,Gas,RUNEX,CAT,PM,0.0009629500356277725
2018,July,Yolo (SV),LDT1,Gas,RUNEX,CAT,TOG,0.026578916689718526
2018,July,Yolo (SV),LDT1,Gas,RUNEX,CAT,PM10,0.0008611564597843496
2018,July,Yolo (SV),LDT1,Gas,RUNEX,CAT,PM2_5,0.000791940707698663
2018,July,Yolo (SV),LDT1,Gas,RUNEX,NCAT,CO,0.01748888592572867
2018,July,Yolo (SV),LDT1,Gas,RUNEX,NCAT,NOx,0.001275197900272309
2018,July,Yolo (SV),LDT1,Gas,RUNEX,NCAT,SOx,1.6513522407034962e-06
2018,July,Yolo (SV),LDT1,Gas,RUNEX,NCAT,PM,1.613824349514434e-05
2018,July,Yolo (SV),LDT1,Gas,RUNEX,NCAT,TOG,0.0016265662723729667
2018,July,Yolo (SV),LDT1,Gas,RUNEX,NCAT,PM10,1.522972406571316e-05
2018,July,Yolo (SV),LDT1,Gas,RUNEX,NCAT,PM2_5,1.4402990872413742e-05
2018,July,Yolo (SV),LDT1,Gas,STREX,CAT,CO,0.10923068004795451
2018,July,Yolo (SV),LDT1,Gas,STREX,CAT,NOx,0.016261599035879423
