calendar_year,season_month,sub_area,vehicle_class,fuel,process,cat_ncat,pollutant,emission
2018,July,Yuba (SV),LDA,Gas,RUNEX,CAT,CO,1.6487733650934007
2018,July,Yuba (SV),LDA,Gas,RUNEX,CAT,NOx,0.0901652815092286
2018,July,Yuba (SV),LDA,Gas,RUNEX,CAT,SOx,0.003472438599313316
2018,July,Yuba (SV),LDA,Gas,RUNEX,CAT,PM,0.0018500865167615135
2018,July,Yuba (SV),LDA,Gas,RUNEX,CAT,TOG,0.04446268385269648
2018,July,Yuba (SV),LDA,Gas,RUNEX,CAT,PM10,0.0016541180019493233
2018,July,Yuba (SV),LDA,Gas,RUNEX,CAT,PM2_5,0.001520970554339611
2018,July,Yuba (SV),LDA,Gas,RUNEX,NCAT,CO,0.011973255182537324
2018,July,Yuba (SV),LDA,Gas,RUNEX,NCAT,NOx,0.0008657616983590908
2018,July,Yuba (SV),LDA,Gas,RUNEX,NCAT,SOx,1.1171579801198671e-06
2018,July,Yuba (SV),LDA,Gas,RUNEX,NCAT,PM,1.0170635566119923e-05
2018,July,Yuba (SV),LDA,Gas,RUNEX,NCAT,TOG,0.0010472784270285744
2018,July,Yuba (SV),LDA,Gas,RUNEX,NCAT,PM10,9.633324814511641e-06
2018,July,Yuba (SV),LDA,Gas,RUNEX,NCAT,PM2_5,9.127035252485532e-06
2018,July,Yuba (SV),LDA,Gas,STREX,CAT,CO,0.2531781669632318
2018,July,Yuba (SV),LDA,Gas,STREX,CAT,NOx,0.03156675254549629
2018,July,Yuba (SV),LDA,Gas,STREX,CAT,SOx,6.959083075599217e-05
2018,July,Yuba (SV),LDA,Gas,STREX,CAT,PM,0.00028286447786942905
2018,July,Yuba (SV),LDA,Gas,STREX,CAT,TOG,0.04372336625905933
2018,July,Yuba (SV),LDA,Gas,STREX,CAT,PM10,0.00025295263526965126
2018,July,Yuba (SV),LDA,Gas,STREX,CAT,PM2_5,0.00023261639551264444
2018,July,Yuba (SV),LDA,Gas,STREX,NCAT,CO,0.0024178897816019224
2018,July,Yuba (SV),LDA,Gas,STREX,NCAT,NOx,0.00011217665886182352
2018,July,Yuba (SV),LDA,Gas,STREX,NCAT,SOx,1.9336110375356118e-07
2018,July,Yuba (SV),LDA,Gas,STREX,NCAT,PM,5.3003278814778525e-06
2018,July,Yuba (SV),LDA,Gas,STREX,NCAT,TOG,0.0003448901365267717
2018,July,Yuba (SV),LDA,Gas,STREX,NCAT,PM10,5.021823039718519e-06
2018,July,Yuba (SV),LDA,Gas,STREX,NCAT,PM2_5,4.758605963341144e-06
2018,July,Yuba (SV),LDA,Gas,HOTSOAK,CAT,TOG,0.026973383646793823
2018,July,Yuba (SV),LDA,Gas,HOTSOAK,NCAT,TOG,0.00041022447404552375
2018,July,Yuba (SV),LDA,Gas,RUNLOSS,CAT,TOG,0.03562721710712649
2018,July,Yuba (SV),LDA,Gas,RUNLOSS,NCAT,TOG,0.0010283481743073451
2018,July,Yuba (SV),LDA,Gas,RESTLOSS,CAT,TOG,0.020268308604889932
2018,July,Yuba (SV),LDA,Gas,RESTLOSS,NCAT,TOG,0.00046612783306003365
2018,July,Yuba (SV),LDA,Gas,DIURN,CAT,TOG,0.03835240954908587
2018,July,Yuba (SV),LDA,Gas,DIURN,NCAT,TOG,0.0009162722579590859
2018,July,Yuba (SV),LDA,Gas,PMTW,CAT,PM,0.008372031842035594
2018,July,Yuba (SV),LDA,Gas,PMTW,CAT,PM10,0.008372031842035594
2018,July,Yuba (SV),LDA,Gas,PMTW,CAT,PM2_5,0.0020930079605088986
2018,July,Yuba (SV),LDA,Gas,PMTW,NCAT,PM,1.4011327318031e-06
2018,July,Yuba (SV),LDA,Gas,PMTW,NCAT,PM10,1.4011327318031e-06
2018,July,Yuba (SV),LDA,Gas,PMTW,NCAT,PM2_5,3.50283182950775e-07
2018,July,Yuba (SV),LDA,Gas,PMBW,CAT,PM,0.03924389925954179
2018,July,Yuba (SV),LDA,Gas,PMBW,CAT,PM10,0.03845902127435095
2018,July,Yuba (SV),LDA,Gas,PMBW,CAT,PM2_5,0.016482437689007572
2018,July,Yuba (SV),LDA,Gas,PMBW,NCAT,PM,6.567809680327037e-06
2018,July,Yuba (SV),LDA,Gas,PMBW,NCAT,PM10,6.4364534867204915e-06
2018,July,Yuba (SV),LDA,Gas,PMBW,NCAT,PM2_5,2.7584800657373523e-06
2018,July,Yuba (SV),LDA,Dsl,RUNEX,DSL,CO,0.002765819207294135
2018,July,Yuba (SV),LDA,Dsl,RUNEX,DSL,NOx,0.001942117668036038
2018,July,Yuba (SV),LDA,Dsl,RUNEX,DSL,SOx,1.8840268811982035e-05
2018,July,Yuba (SV),LDA,Dsl,RUNEX,DSL,PM,0.00015238165514626367
2018,July,Yuba (SV),LDA,Dsl,RUNEX,DSL,TOG,0.00029183783503043676
2018,July,Yuba (SV),LDA,Dsl,RUNEX,DSL,PM10,0.00015146736521538557
2018,July,Yuba (SV),LDA,Dsl,RUNEX,DSL,PM2_5,0.0001449149540440966
2018,July,Yuba (SV),LDA,Dsl,PMTW,DSL,PM,7.16894298954005e-05
