CO,CO,CO,1,28,1
NH3,NH3,NH3,1,17,1
SOX,SOX,SO2,0.97,64,0.97
SOX,SOX,SULF,0.038,80,0.038
DEFNOX,NOX,HONO,0.020,47,0.020
DEFNOX,NOX,NO,0.574,30,0.574
DEFNOX,NOX,NO2,0.100,46,0.100
UNKN,TOG,ARO1,3.5393E-04,1,0.1387486
UNKN,TOG,ALK5,3.1238E-03,1,0.4429060
UNKN,TOG,ALK4,5.1773E-04,1,0.0647396
UNKN,TOG,PRD2,3.1147E-04,1,0.0355648
UNKN,TOG,OLE1,5.7821E-04,1,0.0814371
UNKN,TOG,PACD,1.6390E-04,1,0.0239521
UNKN,TOG,APIN,1.5384E-04,1,0.0209581
UNKN,TOG,TERP,1.3186E-04,1,0.0179641
UNKN,TOG,OLE2,2.4595E-04,1,0.0295836
UNKN,TOG,ARO2,5.0501E-04,1,0.0714501
UNKN,TOG,CRES,3.6873E-05,1,0.0055389
UNKN,TOG,B124,3.5010E-05,1,0.0042079
UNKN,TOG,ALK3,1.6382E-05,1,0.0018713
UNKN,TOG,MVK,8.5407E-06,1,0.0011976
UNKN,TOG,NROG,5.9880E-02,1,0.0598802
NOASN,TOG,OLE1,1.2098E-03,1,0.0894125
NOASN,TOG,PRPE,4.0724E-05,1,0.0017137
NOASN,TOG,ALK2,4.0402E-04,1,0.0254341
NOASN,TOG,ALK5,1.9420E-03,1,0.1827124
NOASN,TOG,ACRO,1.9501E-04,1,0.0109331
NOASN,TOG,RCHO,2.7320E-04,1,0.0232694
NOASN,TOG,ACET,2.9074E-05,1,0.0016886
NOASN,TOG,ALK4,2.2345E-04,1,0.0211511
NOASN,TOG,MGLY,4.7213E-04,1,0.0340230
NOASN,TOG,MEK,3.1162E-04,1,0.0263883
NOASN,TOG,PACD,1.2036E-04,1,0.0113708
NOASN,TOG,ALK1,1.1191E-05,1,0.0010081
NOASN,TOG,BDE13,3.4916E-05,1,0.0018886
NOASN,TOG,OLE2,2.0359E-03,1,0.1687089
NOASN,TOG,ALK3,3.2594E-04,1,0.0258375
NOASN,TOG,ARO2,8.6522E-04,1,0.0841877
NOASN,TOG,IPRD,3.0320E-04,1,0.0265453
NOASN,TOG,MACR,1.2477E-04,1,0.0087451
NOASN,TOG,MVK,1.5594E-04,1,0.0131163
NOASN,TOG,BACL,3.3082E-04,1,0.0284795
NOASN,TOG,PRD2,2.1617E-04,1,0.0226968
NOASN,TOG,ISOP,2.2017E-05,1,0.0014997
NOASN,TOG,BENZ,4.0183E-04,1,0.0313878
NOASN,TOG,CRES,1.6191E-04,1,0.0196033
NOASN,TOG,ARO1,2.6430E-04,1,0.0454042
NOASN,TOG,TOLU,2.2215E-05,1,0.0020469
NOASN,TOG,BALD,1.8181E-04,1,0.0210804
NOASN,TOG,PXYL,6.7977E-06,1,0.0007217
NOASN,TOG,MXYL,6.7977E-06,1,0.0007217
NOASN,TOG,OXYL,6.7977E-06,1,0.0007217
NOASN,TOG,B124,4.8491E-06,1,0.0005828
NOASN,TOG,TERP,1.1133E-04,1,0.0153219
NOASN,TOG,APIN,2.9356E-05,1,0.0039993
NOASN,TOG,NROG,4.7598E-02,1,0.0475977
1,TOG,CH4,3.1168E-03,1,0.0500000
1,TOG,ALK3,9.4629E-03,1,0.5500000
1,TOG,ETOH,5.4268E-03,1,0.2500000
1,TOG,HCHO,4.9957E-03,1,0.1500000
3,TOG,ALK4,2.1757E-03,1,0.1583334
3,TOG,ALK3,1.5678E-03,1,0.0916667
3,TOG,CH4,3.4908E-02,1,0.5600000
3,TOG,ALK2,9.0711E-04,1,0.0400000
3,TOG,ALK5,1.1882E-04,1,0.0100000
3,TOG,HCHO,2.6644E-03,1,0.0800000
3,TOG,BENZ,5.1209E-04,1,0.0400000
3,TOG,TOLU,2.1707E-04,1,0.0200000
4,TOG,CH4,4.7376E-03,1,0.0760000
4,TOG,ALK1,6.9507E-03,1,0.2090000
4,TOG,ALK2,4.2861E-03,1,0.1890000
4,TOG,PRPE,4.1587E-03,1,0.1750000
