0,PM10,PM10
0,PM25,PM25
0,DPM10,DPM10
0,DPM25,DPM25
0,CO,CO
0,NH3,NH3
0,SOX,SOX
0,DEFNOX,NOX
0,900,PM
0,600,TOG
1,900,PM
1,600,TOG
2,4001,PM
2,2302,TOG
3,4001,PM
3,2304,TOG
4,4002,PM
4,666,TOG
5,4002,PM
5,665,TOG
6,2204,PM
6,2315,TOG
7,2204,PM
7,2317,TOG
8,7122,PM
8,818,TOG
9,2204,PM
9,2315,TOG
10,2204,PM
10,2317,TOG
13,7122,PM
13,818,TOG
14,4001,PM
14,600,TOG
15,472,PM
15,600,TOG
16,473,PM
16,600,TOG
713,472,PM
713,600,TOG
714,473,PM
714,600,TOG
717,7127,PM
717,818,TOG
720,818,TOG
720,7126,PM
70000000000000,900,PM
70000000000000,600,TOG
71070111000000,4002,PM
71070111000000,666,TOG
71070211000000,4002,PM
71070211000000,666,TOG
71070411000000,4002,PM
71070411000000,666,TOG
71070611000000,4002,PM
71070611000000,665,TOG
71070811000000,2204,PM
71070811000000,2315,TOG
71071011000000,2204,PM
71071011000000,2317,TOG
71071211000000,2204,PM
71071211000000,2315,TOG
71071411000000,2204,PM
71071411000000,2317,TOG
71071611000000,4002,PM
71071611000000,665,TOG
71071802480000,472,PM
71071802480000,600,TOG
71072054100000,473,PM
71072054100000,600,TOG
71073011000000,4001,PM
71073011000000,2302,TOG
71073111000000,4001,PM
71073111000000,2302,TOG
71073211000000,4001,PM
71073211000000,2302,TOG
71073411000000,4001,PM
71073411000000,2304,TOG
71073611000000,2204,PM
71073611000000,2315,TOG
71073811000000,2204,PM
71073811000000,2317,TOG
71074011000000,2204,PM
71074011000000,2315,TOG
71074211000000,2204,PM
71074211000000,2317,TOG
71074402480000,472,PM
71074402480000,600,TOG
71074654100000,473,PM
71074654100000,600,TOG
71076012100000,425,PM
71076012100000,818,TOG
71076112100000,425,PM
71076112100000,818,TOG
71076212100000,425,PM
71076212100000,818,TOG
71076412100000,425,PM
71076412100000,818,TOG
71076602480000,472,PM
71076602480000,600,TOG
71076854100000,473,PM
71076854100000,600,TOG
72070211000000,4002,PM
72070211000000,666,TOG
72070411000000,4002,PM
72070411000000,666,TOG
72070611000000,4002,PM
72070611000000,665,TOG
72070811000000,2204,PM
72070811000000,2315,TOG
72071011000000,2204,PM
72071011000000,2317,TOG
72071211000000,2204,PM
72071211000000,2315,TOG
72071411000000,2204,PM
72071411000000,2317,TOG
72071611000000,4002,PM
72071611000000,665,TOG
72071802480000,472,PM
72071802480000,600,TOG
72073011000000,4001,PM
72073011000000,2302,TOG
72073211000000,4001,PM
72073211000000,2302,TOG
72073411000000,4001,PM
72073411000000,2304,TOG
72073611000000,2204,PM
72073611000000,2315,TOG
72073811000000,2204,PM
72073811000000,2317,TOG
72074011000000,2204,PM
72074011000000,2315,TOG
72074211000000,2204,PM
72074211000000,2317,TOG
72074402480000,472,PM
72074402480000,600,TOG
72076012100000,425,PM
72076012100000,818,TOG
72076212100000,425,PM
72076212100000,818,TOG
72076412100000,425,PM
