0,CO,CO
0,NH3,NH3
0,SOx,SOx
0,DEFNOx,NOx
0,900,PM
0,600,TOG
1,900,PM
1,600,TOG
2,4001,PM
2,2301,TOG
3,4001,PM
3,2303,TOG
4,4002,PM
4,666,TOG
5,4002,PM
5,665,TOG
6,2204,PM
6,2315,TOG
7,2204,PM
7,2317,TOG
8,7182,PM
8,818,TOG
9,2204,PM
9,2315,TOG
10,2204,PM
10,2317,TOG
13,7182,PM
13,818,TOG
14,4001,PM
14,600,TOG
15,472,PM
15,600,TOG
16,473,PM
16,600,TOG
125,1412,PM
125,5861,TOG
126,1412,PM
126,5861,TOG
127,1412,PM
127,5861,TOG
128,1412,PM
128,5861,TOG
129,1412,PM
129,5861,TOG
131,1412,PM
131,5861,TOG
202,4001,PM
202,2301,TOG
203,4001,PM
203,2303,TOG
204,4002,PM
204,666,TOG
205,4002,PM
205,665,TOG
206,2204,PM
206,2315,TOG
207,2204,PM
207,2317,TOG
209,2204,PM
209,2315,TOG
210,2204,PM
210,2317,TOG
211,2204,PM
211,2317,TOG
212,2204,PM
212,2317,TOG
213,472,PM
213,600,TOG
214,473,PM
214,600,TOG
215,4001,PM
215,2303,TOG
216,4002,PM
216,665,TOG
217,425,PM
217,818,TOG
218,4001,PM
218,2303,TOG
219,4002,PM
219,665,TOG
220,425,PM
220,818,TOG
221,471,PM
221,600,TOG
302,4001,PM
302,2301,TOG
303,4001,PM
303,2303,TOG
304,4002,PM
304,666,TOG
305,4002,PM
305,665,TOG
306,2204,PM
306,2315,TOG
307,2204,PM
307,2317,TOG
309,2204,PM
309,2315,TOG
310,2204,PM
310,2317,TOG
311,2204,PM
311,2317,TOG
312,2204,PM
312,2317,TOG
313,472,PM
313,600,TOG
314,473,PM
314,600,TOG
315,4001,PM
315,2303,TOG
316,4002,PM
316,665,TOG
318,4001,PM
318,2303,TOG
319,4002,PM
319,665,TOG
321,471,PM
321,600,TOG
408,7182,PM
408,818,TOG
413,472,PM
413,600,TOG
414,473,PM
414,600,TOG
420,7181,PM
420,818,TOG
508,7183,PM
508,818,TOG
513,472,PM
513,600,TOG
514,473,PM
514,600,TOG
520,7181,PM
520,818,TOG
613,472,PM
613,600,TOG
614,473,PM
614,600,TOG
617,7185,PM
617,818,TOG
620,7184,PM
620,818,TOG
713,472,PM
713,600,TOG
714,473,PM
714,600,TOG
717,7187,PM
717,818,TOG
