calendar_year,season_month,sub_area,vehicle_class,fuel,process,pollutant,emission
2018,July,Alameda (SF),SBUS,Gas,RUNEX,CO,0.002652948523050722
2018,July,Alameda (SF),SBUS,Gas,RUNEX,NOx,0.0007231503704737656
2018,July,Alameda (SF),SBUS,Gas,RUNEX,SOx,2.0591302149182996e-05
2018,July,Alameda (SF),SBUS,Gas,RUNEX,PM,2.8743571657960643e-06
2018,July,Alameda (SF),SBUS,Gas,RUNEX,TOG,0.0001782650354610663
2018,July,Alameda (SF),SBUS,Gas,RUNEX,PM10,2.5696753062216814e-06
2018,July,Alameda (SF),SBUS,Gas,RUNEX,PM2_5,2.3627215902843642e-06
2018,July,Alameda (SF),SBUS,Gas,IDLEX,CO,0.003776932826498693
2018,July,Alameda (SF),SBUS,Gas,IDLEX,NOx,4.255113982455526e-05
2018,July,Alameda (SF),SBUS,Gas,IDLEX,SOx,1.1775056497699604e-06
2018,July,Alameda (SF),SBUS,Gas,IDLEX,TOG,0.0007131308712042321
2018,July,Alameda (SF),SBUS,Gas,STREX,CO,0.0014370299017305295
2018,July,Alameda (SF),SBUS,Gas,STREX,NOx,9.17403785393285e-05
2018,July,Alameda (SF),SBUS,Gas,STREX,SOx,8.62436072288472e-08
2018,July,Alameda (SF),SBUS,Gas,STREX,PM,1.044541417258127e-07
2018,July,Alameda (SF),SBUS,Gas,STREX,TOG,6.257480226502617e-05
2018,July,Alameda (SF),SBUS,Gas,STREX,PM10,9.338200270287657e-08
2018,July,Alameda (SF),SBUS,Gas,STREX,PM2_5,8.586130449861801e-08
2018,July,Alameda (SF),SBUS,Gas,HOTSOAK,TOG,6.4679168047698275e-06
2018,July,Alameda (SF),SBUS,Gas,RUNLOSS,TOG,3.4390248788961696e-05
2018,July,Alameda (SF),SBUS,Gas,RESTLOSS,TOG,3.134704385060314e-07
2018,July,Alameda (SF),SBUS,Gas,DIURN,TOG,1.1037643918450687e-06
2018,July,Alameda (SF),SBUS,Gas,PMTW,PM,1.9373367235970843e-05
2018,July,Alameda (SF),SBUS,Gas,PMTW,PM10,1.9373367235970843e-05
2018,July,Alameda (SF),SBUS,Gas,PMTW,PM2_5,4.843341808992711e-06
2018,July,Alameda (SF),SBUS,Gas,PMBW,PM,0.0018404698632005208
2018,July,Alameda (SF),SBUS,Gas,PMBW,PM10,0.0018036604659365104
2018,July,Alameda (SF),SBUS,Gas,PMBW,PM2_5,0.0007729973425442186
2018,July,Alameda (SF),T6 Ag,Dsl,RUNEX,CO,0.00010979996744774706
2018,July,Alameda (SF),T6 Ag,Dsl,RUNEX,NOx,0.0006279462175004699
2018,July,Alameda (SF),T6 Ag,Dsl,RUNEX,PM,3.481950416464159e-05
2018,July,Alameda (SF),T6 Ag,Dsl,RUNEX,PM10,3.461058713965374e-05
2018,July,Alameda (SF),T6 Ag,Dsl,RUNEX,PM2_5,3.311334846057415e-05
2018,July,Alameda (SF),T6 Ag,Dsl,IDLEX,CO,1.5225604950671604e-05
2018,July,Alameda (SF),T6 Ag,Dsl,IDLEX,NOx,3.74388034160592e-05
2018,July,Alameda (SF),T6 Ag,Dsl,IDLEX,PM,8.719057998820662e-07
2018,July,Alameda (SF),T6 Ag,Dsl,IDLEX,PM10,8.666743650827731e-07
2018,July,Alameda (SF),T6 Ag,Dsl,IDLEX,PM2_5,8.291824156878447e-07
2018,July,Alameda (SF),T6 Ag,Dsl,STREX,NOx,4.663181296635373e-06
2018,July,Alameda (SF),T6 Ag,Dsl,PMTW,PM,6.501648124877075e-07
2018,July,Alameda (SF),T6 Ag,Dsl,PMTW,PM10,6.501648124877075e-07
2018,July,Alameda (SF),T6 Ag,Dsl,PMTW,PM2_5,1.6254120312192687e-07
2018,July,Alameda (SF),T6 Ag,Dsl,PMBW,PM,7.205993338405422e-06
2018,July,Alameda (SF),T6 Ag,Dsl,PMBW,PM10,7.061873471637315e-06
2018,July,Alameda (SF),T6 Ag,Dsl,PMBW,PM2_5,3.0265172021302763e-06
2018,July,Alameda (SF),T6 Public,Dsl,RUNEX,CO,0.004048693758780882
2018,July,Alameda (SF),T6 Public,Dsl,RUNEX,NOx,0.11571661061554009
2018,July,Alameda (SF),T6 Public,Dsl,RUNEX,PM,0.0007293235254256973
2018,July,Alameda (SF),T6 Public,Dsl,RUNEX,PM10,0.0007249475842731423
2018,July,Alameda (SF),T6 Public,Dsl,RUNEX,PM2_5,0.0006935866726798378
2018,July,Alameda (SF),T6 Public,Dsl,IDLEX,CO,0.006280909679751809
2018,July,Alameda (SF),T6 Public,Dsl,IDLEX,NOx,0.0488399743219151
2018,July,Alameda (SF),T6 Public,Dsl,IDLEX,PM,8.768512684771569e-05
2018,July,Alameda (SF),T6 Public,Dsl,IDLEX,PM10,8.715901608662952e-05
2018,July,Alameda (SF),T6 Public,Dsl,IDLEX,PM2_5,8.338855563217781e-05
2018,July,Alameda (SF),T6 Public,Dsl,STREX,NOx,0.004060627217331233
