calendar_year,season_month,sub_area,vehicle_class,fuel,process,pollutant,emission
2018,July,Alpine (GBV),SBUS,Gas,RUNEX,CO,0.00013864287878979833
2018,July,Alpine (GBV),SBUS,Gas,RUNEX,NOx,3.1303235493363506e-05
2018,July,Alpine (GBV),SBUS,Gas,RUNEX,SOx,3.70178361167662e-07
2018,July,Alpine (GBV),SBUS,Gas,RUNEX,PM,8.584270196224986e-08
2018,July,Alpine (GBV),SBUS,Gas,RUNEX,TOG,8.9557371118779e-06
2018,July,Alpine (GBV),SBUS,Gas,RUNEX,PM10,7.674337555425136e-08
2018,July,Alpine (GBV),SBUS,Gas,RUNEX,PM2_5,7.056270101296927e-08
2018,July,Alpine (GBV),SBUS,Gas,IDLEX,CO,6.606762877867629e-05
2018,July,Alpine (GBV),SBUS,Gas,IDLEX,NOx,7.444128082308932e-07
2018,July,Alpine (GBV),SBUS,Gas,IDLEX,SOx,2.143799550274923e-08
2018,July,Alpine (GBV),SBUS,Gas,IDLEX,TOG,1.2434433059326487e-05
2018,July,Alpine (GBV),SBUS,Gas,STREX,CO,4.208369281796529e-05
2018,July,Alpine (GBV),SBUS,Gas,STREX,NOx,1.824119968405441e-06
2018,July,Alpine (GBV),SBUS,Gas,STREX,SOx,1.8364868017040677e-09
2018,July,Alpine (GBV),SBUS,Gas,STREX,PM,2.1927294781597385e-09
2018,July,Alpine (GBV),SBUS,Gas,STREX,TOG,1.5776245089698975e-06
2018,July,Alpine (GBV),SBUS,Gas,STREX,PM10,1.9603001534748075e-09
2018,July,Alpine (GBV),SBUS,Gas,STREX,PM2_5,1.802423631047306e-09
2018,July,Alpine (GBV),SBUS,Gas,HOTSOAK,TOG,3.828697722447458e-07
2018,July,Alpine (GBV),SBUS,Gas,RUNLOSS,TOG,3.929958286290658e-06
2018,July,Alpine (GBV),SBUS,Gas,RESTLOSS,TOG,2.4818381272290523e-08
2018,July,Alpine (GBV),SBUS,Gas,DIURN,TOG,6.320711348383109e-08
2018,July,Alpine (GBV),SBUS,Gas,PMTW,PM,3.3258502906909233e-07
2018,July,Alpine (GBV),SBUS,Gas,PMTW,PM10,3.3258502906909233e-07
2018,July,Alpine (GBV),SBUS,Gas,PMTW,PM2_5,8.314625726727308e-08
2018,July,Alpine (GBV),SBUS,Gas,PMBW,PM,3.159557734583248e-05
2018,July,Alpine (GBV),SBUS,Gas,PMBW,PM10,3.096366579891583e-05
2018,July,Alpine (GBV),SBUS,Gas,PMBW,PM2_5,1.3270142485249636e-05
2018,July,Alpine (GBV),T6 Public,Dsl,RUNEX,CO,5.5768595116465675e-05
2018,July,Alpine (GBV),T6 Public,Dsl,RUNEX,NOx,0.001563698383264755
2018,July,Alpine (GBV),T6 Public,Dsl,RUNEX,PM,1.3035864619699512e-05
2018,July,Alpine (GBV),T6 Public,Dsl,RUNEX,PM10,1.2957649431981323e-05
2018,July,Alpine (GBV),T6 Public,Dsl,RUNEX,PM2_5,1.2397107253334237e-05
2018,July,Alpine (GBV),T6 Public,Dsl,IDLEX,CO,5.161166190673743e-05
2018,July,Alpine (GBV),T6 Public,Dsl,IDLEX,NOx,0.0005526757865616419
2018,July,Alpine (GBV),T6 Public,Dsl,IDLEX,PM,2.006989661028615e-06
2018,July,Alpine (GBV),T6 Public,Dsl,IDLEX,PM10,1.994947723062442e-06
2018,July,Alpine (GBV),T6 Public,Dsl,IDLEX,PM2_5,1.9086471676382113e-06
2018,July,Alpine (GBV),T6 Public,Dsl,STREX,NOx,2.013771836145233e-05
2018,July,Alpine (GBV),T6 Public,Dsl,PMTW,PM,2.010739946834435e-06
2018,July,Alpine (GBV),T6 Public,Dsl,PMTW,PM10,2.010739946834435e-06
2018,July,Alpine (GBV),T6 Public,Dsl,PMTW,PM2_5,5.026849867086087e-07
2018,July,Alpine (GBV),T6 Public,Dsl,PMBW,PM,2.2285701077414968e-05
2018,July,Alpine (GBV),T6 Public,Dsl,PMBW,PM10,2.1839987055866684e-05
2018,July,Alpine (GBV),T6 Public,Dsl,PMBW,PM2_5,9.35999445251429e-06
2018,July,Alpine (GBV),T6 CAIRP Small,Dsl,RUNEX,CO,5.751936035516248e-06
2018,July,Alpine (GBV),T6 CAIRP Small,Dsl,RUNEX,NOx,2.9956832110622027e-05
2018,July,Alpine (GBV),T6 CAIRP Small,Dsl,RUNEX,PM,1.2286677799377412e-06
2018,July,Alpine (GBV),T6 CAIRP Small,Dsl,RUNEX,PM10,1.2212957732581152e-06
2018,July,Alpine (GBV),T6 CAIRP Small,Dsl,RUNEX,PM2_5,1.1684630587207928e-06
2018,July,Alpine (GBV),T6 CAIRP Small,Dsl,IDLEX,CO,3.7534596358882533e-07
2018,July,Alpine (GBV),T6 CAIRP Small,Dsl,IDLEX,NOx,1.3617802471180786e-06
2018,July,Alpine (GBV),T6 CAIRP Small,Dsl,IDLEX,PM,4.948218678079825e-09
2018,July,Alpine (GBV),T6 CAIRP Small,Dsl,IDLEX,PM10,4.918529366011344e-09
2018,July,Alpine (GBV),T6 CAIRP Small,Dsl,IDLEX,PM2_5,4.705755962853918e-09
2018,July,Alpine (GBV),T6 CAIRP Small,Dsl,STREX,NOx,2.2620798641841434e-06
2018,July,Alpine (GBV),T6 CAIRP Small,Dsl,PMTW,PM,1.2708471098210652e-07
2018,July,Alpine (GBV),T6 CAIRP Small,Dsl,PMTW,PM10,1.2708471098210652e-07
2018,July,Alpine (GBV),T6 CAIRP Small,Dsl,PMTW,PM2_5,3.177117774552663e-08
2018,July,Alpine (GBV),T6 CAIRP Small,Dsl,PMBW,PM,1.408522213385014e-06
2018,July,Alpine (GBV),T6 CAIRP Small,Dsl,PMBW,PM10,1.3803517691173132e-06
