calendar_year,season_month,sub_area,vehicle_class,fuel,process,pollutant,emission
2018,July,Amador (MC),SBUS,Gas,RUNEX,CO,4.133319492421016e-06
2018,July,Amador (MC),SBUS,Gas,RUNEX,NOx,1.8910740106483204e-06
2018,July,Amador (MC),SBUS,Gas,RUNEX,SOx,1.6041843608214514e-07
2018,July,Amador (MC),SBUS,Gas,RUNEX,PM,3.366166848799739e-08
2018,July,Amador (MC),SBUS,Gas,RUNEX,TOG,4.497017886110371e-07
2018,July,Amador (MC),SBUS,Gas,RUNEX,PM10,3.0093531628269666e-08
2018,July,Amador (MC),SBUS,Gas,RUNEX,PM2_5,2.766989149713385e-08
2018,July,Amador (MC),SBUS,Gas,IDLEX,CO,2.8957450517841434e-05
2018,July,Amador (MC),SBUS,Gas,IDLEX,NOx,3.2623628286488856e-07
2018,July,Amador (MC),SBUS,Gas,IDLEX,SOx,8.718019396995806e-09
2018,July,Amador (MC),SBUS,Gas,IDLEX,TOG,5.467518980152252e-06
2018,July,Amador (MC),SBUS,Gas,STREX,CO,8.560630497016642e-06
2018,July,Amador (MC),SBUS,Gas,STREX,NOx,6.503274216414734e-07
2018,July,Amador (MC),SBUS,Gas,STREX,SOx,6.027050605050158e-10
2018,July,Amador (MC),SBUS,Gas,STREX,PM,1.1088658114937317e-09
2018,July,Amador (MC),SBUS,Gas,STREX,TOG,3.963612390607984e-07
2018,July,Amador (MC),SBUS,Gas,STREX,PM10,9.913260354753962e-10
2018,July,Amador (MC),SBUS,Gas,STREX,PM2_5,9.114876970478474e-10
2018,July,Amador (MC),SBUS,Gas,HOTSOAK,TOG,1.0461701816750797e-08
2018,July,Amador (MC),SBUS,Gas,RUNLOSS,TOG,4.716196757762701e-08
2018,July,Amador (MC),SBUS,Gas,RESTLOSS,TOG,1.6431937300737407e-09
2018,July,Amador (MC),SBUS,Gas,DIURN,TOG,8.281068921497817e-09
2018,July,Amador (MC),SBUS,Gas,PMTW,PM,1.5537375887988768e-07
2018,July,Amador (MC),SBUS,Gas,PMTW,PM10,1.5537375887988768e-07
2018,July,Amador (MC),SBUS,Gas,PMTW,PM2_5,3.884343971997192e-08
2018,July,Amador (MC),SBUS,Gas,PMBW,PM,1.4760506899372126e-05
2018,July,Amador (MC),SBUS,Gas,PMBW,PM10,1.4465296761384687e-05
2018,July,Amador (MC),SBUS,Gas,PMBW,PM2_5,6.1994128977362935e-06
2018,July,Amador (MC),T6 Public,Dsl,RUNEX,CO,0.0003688674849445435
2018,July,Amador (MC),T6 Public,Dsl,RUNEX,NOx,0.009088583698178346
2018,July,Amador (MC),T6 Public,Dsl,RUNEX,PM,8.326319550962153e-05
2018,July,Amador (MC),T6 Public,Dsl,RUNEX,PM10,8.276361633656382e-05
