calendar_year,season_month,sub_area,vehicle_class,fuel,process,pollutant,emission
2018,July,Butte (SV),SBUS,Gas,RUNEX,CO,0.016086532789518843
2018,July,Butte (SV),SBUS,Gas,RUNEX,NOx,0.003405917204997339
2018,July,Butte (SV),SBUS,Gas,RUNEX,SOx,1.3622018449922609e-05
2018,July,Butte (SV),SBUS,Gas,RUNEX,PM,1.0653518258730357e-05
2018,July,Butte (SV),SBUS,Gas,RUNEX,TOG,0.001022942726422822
2018,July,Butte (SV),SBUS,Gas,RUNEX,PM10,9.524245323304933e-06
2018,July,Butte (SV),SBUS,Gas,RUNEX,PM2_5,8.757192008676353e-06
2018,July,Butte (SV),SBUS,Gas,IDLEX,CO,0.0021204227273817875
2018,July,Butte (SV),SBUS,Gas,IDLEX,NOx,2.39036446401556e-05
2018,July,Butte (SV),SBUS,Gas,IDLEX,SOx,7.376939931067314e-07
2018,July,Butte (SV),SBUS,Gas,IDLEX,TOG,0.00039210881534287867
2018,July,Butte (SV),SBUS,Gas,STREX,CO,0.0013593546048615707
2018,July,Butte (SV),SBUS,Gas,STREX,NOx,6.562992522564931e-05
2018,July,Butte (SV),SBUS,Gas,STREX,SOx,6.219383651877864e-08
2018,July,Butte (SV),SBUS,Gas,STREX,PM,2.160066277420236e-07
2018,July,Butte (SV),SBUS,Gas,STREX,TOG,6.08000591156008e-05
2018,July,Butte (SV),SBUS,Gas,STREX,PM10,1.9310992520136904e-07
2018,July,Butte (SV),SBUS,Gas,STREX,PM2_5,1.7755744800394343e-07
2018,July,Butte (SV),SBUS,Gas,HOTSOAK,TOG,6.763887848406993e-05
2018,July,Butte (SV),SBUS,Gas,RUNLOSS,TOG,0.0005087363424464125
2018,July,Butte (SV),SBUS,Gas,RESTLOSS,TOG,4.09506904793689e-06
2018,July,Butte (SV),SBUS,Gas,DIURN,TOG,2.4472807940362734e-05
2018,July,Butte (SV),SBUS,Gas,PMTW,PM,1.1887611130069149e-05
2018,July,Butte (SV),SBUS,Gas,PMTW,PM10,1.1887611130069149e-05
2018,July,Butte (SV),SBUS,Gas,PMTW,PM2_5,2.9719027825172873e-06
2018,July,Butte (SV),SBUS,Gas,PMBW,PM,0.0011293230424970564
2018,July,Butte (SV),SBUS,Gas,PMBW,PM10,0.0011067365816471142
2018,July,Butte (SV),SBUS,Gas,PMBW,PM2_5,0.0004743156778487633
2018,July,Butte (SV),T6 Ag,Dsl,RUNEX,CO,0.0006514958007500341
2018,July,Butte (SV),T6 Ag,Dsl,RUNEX,NOx,0.003511433219646927
2018,July,Butte (SV),T6 Ag,Dsl,RUNEX,PM,0.00015758047524760225
2018,July,Butte (SV),T6 Ag,Dsl,RUNEX,PM10,0.0001566349923961167
2018,July,Butte (SV),T6 Ag,Dsl,RUNEX,PM2_5,0.00014985903196046977
2018,July,Butte (SV),T6 Ag,Dsl,IDLEX,CO,8.036245346048848e-05
2018,July,Butte (SV),T6 Ag,Dsl,IDLEX,NOx,0.0002842581407342568
2018,July,Butte (SV),T6 Ag,Dsl,IDLEX,PM,4.536430982642792e-06
2018,July,Butte (SV),T6 Ag,Dsl,IDLEX,PM10,4.509212396746943e-06
2018,July,Butte (SV),T6 Ag,Dsl,IDLEX,PM2_5,4.314145864493303e-06
2018,July,Butte (SV),T6 Ag,Dsl,STREX,NOx,2.425260480983349e-05
2018,July,Butte (SV),T6 Ag,Dsl,PMTW,PM,3.835374964317157e-06
2018,July,Butte (SV),T6 Ag,Dsl,PMTW,PM10,3.835374964317157e-06
2018,July,Butte (SV),T6 Ag,Dsl,PMTW,PM2_5,9.588437410792893e-07
2018,July,Butte (SV),T6 Ag,Dsl,PMBW,PM,4.250873918784848e-05
2018,July,Butte (SV),T6 Ag,Dsl,PMBW,PM10,4.1658564404091524e-05
2018,July,Butte (SV),T6 Ag,Dsl,PMBW,PM2_5,1.7853670458896372e-05
2018,July,Butte (SV),T6 Public,Dsl,RUNEX,CO,0.0007104718564978843
2018,July,Butte (SV),T6 Public,Dsl,RUNEX,NOx,0.01848853989145741
2018,July,Butte (SV),T6 Public,Dsl,RUNEX,PM,0.00013119859232219166
2018,July,Butte (SV),T6 Public,Dsl,RUNEX,PM10,0.00013041140076825843
2018,July,Butte (SV),T6 Public,Dsl,RUNEX,PM2_5,0.00012476986129840401
2018,July,Butte (SV),T6 Public,Dsl,IDLEX,CO,0.001019511719063162
2018,July,Butte (SV),T6 Public,Dsl,IDLEX,NOx,0.007548344975843184
2018,July,Butte (SV),T6 Public,Dsl,IDLEX,PM,1.8151675252821255e-05
2018,July,Butte (SV),T6 Public,Dsl,IDLEX,PM10,1.8042765201304302e-05
2018,July,Butte (SV),T6 Public,Dsl,IDLEX,PM2_5,1.726224316543298e-05
2018,July,Butte (SV),T6 Public,Dsl,STREX,NOx,0.0006266835514193024
2018,July,Butte (SV),T6 Public,Dsl,PMTW,PM,3.41798460127008e-05
2018,July,Butte (SV),T6 Public,Dsl,PMTW,PM10,3.41798460127008e-05
2018,July,Butte (SV),T6 Public,Dsl,PMTW,PM2_5,8.5449615031752e-06
2018,July,Butte (SV),T6 Public,Dsl,PMBW,PM,0.00037882662664076713
2018,July,Butte (SV),T6 Public,Dsl,PMBW,PM10,0.00037125009410795206
2018,July,Butte (SV),T6 Public,Dsl,PMBW,PM2_5,0.00015910718318912223
2018,July,Butte (SV),T6 CAIRP Small,Dsl,RUNEX,CO,0.00013468835657369995
2018,July,Butte (SV),T6 CAIRP Small,Dsl,RUNEX,NOx,0.0006952542875031846
2018,July,Butte (SV),T6 CAIRP Small,Dsl,RUNEX,PM,2.8515426330719612e-05
2018,July,Butte (SV),T6 CAIRP Small,Dsl,RUNEX,PM10,2.834433377273524e-05
2018,July,Butte (SV),T6 CAIRP Small,Dsl,RUNEX,PM2_5,2.7118170440514316e-05
2018,July,Butte (SV),T6 CAIRP Small,Dsl,IDLEX,CO,9.976346555570066e-06
2018,July,Butte (SV),T6 CAIRP Small,Dsl,IDLEX,NOx,3.331564086085837e-05
2018,July,Butte (SV),T6 CAIRP Small,Dsl,IDLEX,PM,1.1131236000544162e-07
2018,July,Butte (SV),T6 CAIRP Small,Dsl,IDLEX,PM10,1.1064448584540915e-07
2018,July,Butte (SV),T6 CAIRP Small,Dsl,IDLEX,PM2_5,1.0585805436517503e-07
2018,July,Butte (SV),T6 CAIRP Small,Dsl,STREX,NOx,6.491105913797009e-05
2018,July,Butte (SV),T6 CAIRP Small,Dsl,PMTW,PM,3.4186832693095725e-06
2018,July,Butte (SV),T6 CAIRP Small,Dsl,PMTW,PM10,3.4186832693095725e-06
2018,July,Butte (SV),T6 CAIRP Small,Dsl,PMTW,PM2_5,8.546708173273931e-07
2018,July,Butte (SV),T6 CAIRP Small,Dsl,PMBW,PM,3.789040623484779e-05
2018,July,Butte (SV),T6 CAIRP Small,Dsl,PMBW,PM10,3.713259811015085e-05
2018,July,Butte (SV),T6 CAIRP Small,Dsl,PMBW,PM2_5,1.591397061863607e-05
2018,July,Butte (SV),T6 CAIRP Heavy,Dsl,RUNEX,CO,0.0005518430233015777
2018,July,Butte (SV),T6 CAIRP Heavy,Dsl,RUNEX,NOx,0.004063421393978942
2018,July,Butte (SV),T6 CAIRP Heavy,Dsl,RUNEX,PM,0.00011160751019392035
2018,July,Butte (SV),T6 CAIRP Heavy,Dsl,RUNEX,PM10,0.00011093786513275688
2018,July,Butte (SV),T6 CAIRP Heavy,Dsl,RUNEX,PM2_5,0.00010613874219441821
2018,July,Butte (SV),T6 CAIRP Heavy,Dsl,IDLEX,CO,2.0377190615995862e-05
2018,July,Butte (SV),T6 CAIRP Heavy,Dsl,IDLEX,NOx,5.7279273824234654e-05
2018,July,Butte (SV),T6 CAIRP Heavy,Dsl,IDLEX,PM,1.5056187135455566e-07
2018,July,Butte (SV),T6 CAIRP Heavy,Dsl,IDLEX,PM10,1.496585001264282e-07
2018,July,Butte (SV),T6 CAIRP Heavy,Dsl,IDLEX,PM2_5,1.4318433965818214e-07
2018,July,Butte (SV),T6 CAIRP Heavy,Dsl,STREX,NOx,0.00015279627964152952
2018,July,Butte (SV),T6 CAIRP Heavy,Dsl,PMTW,PM,2.7093283290636873e-05
2018,July,Butte (SV),T6 CAIRP Heavy,Dsl,PMTW,PM10,2.7093283290636873e-05
2018,July,Butte (SV),T6 CAIRP Heavy,Dsl,PMTW,PM2_5,6.773320822659218e-06
2018,July,Butte (SV),T6 CAIRP Heavy,Dsl,PMBW,PM,0.0003002838898045588
2018,July,Butte (SV),T6 CAIRP Heavy,Dsl,PMBW,PM10,0.00029427821200846756
2018,July,Butte (SV),T6 CAIRP Heavy,Dsl,PMBW,PM2_5,0.00012611923371791455
2018,July,Butte (SV),T6 Instate Construction Small,Dsl,RUNEX,CO,0.011243091823385976
2018,July,Butte (SV),T6 Instate Construction Small,Dsl,RUNEX,NOx,0.04232791750792625
2018,July,Butte (SV),T6 Instate Construction Small,Dsl,RUNEX,PM,0.001673592914022413
2018,July,Butte (SV),T6 Instate Construction Small,Dsl,RUNEX,PM10,0.0016635513565382777
2018,July,Butte (SV),T6 Instate Construction Small,Dsl,RUNEX,PM2_5,0.0015915868612353138
2018,July,Butte (SV),T6 Instate Construction Small,Dsl,IDLEX,CO,0.000311454056823418
2018,July,Butte (SV),T6 Instate Construction Small,Dsl,IDLEX,NOx,0.001351197351033287
2018,July,Butte (SV),T6 Instate Construction Small,Dsl,IDLEX,PM,6.11018502069017e-06
2018,July,Butte (SV),T6 Instate Construction Small,Dsl,IDLEX,PM10,6.0735239105660205e-06
2018,July,Butte (SV),T6 Instate Construction Small,Dsl,IDLEX,PM2_5,5.810785954676343e-06
2018,July,Butte (SV),T6 Instate Construction Small,Dsl,STREX,NOx,0.0009098628103102376
2018,July,Butte (SV),T6 Instate Construction Small,Dsl,PMTW,PM,9.944397015201637e-05
2018,July,Butte (SV),T6 Instate Construction Small,Dsl,PMTW,PM10,9.944397015201637e-05
2018,July,Butte (SV),T6 Instate Construction Small,Dsl,PMTW,PM2_5,2.4860992538004092e-05
2018,July,Butte (SV),T6 Instate Construction Small,Dsl,PMBW,PM,0.0011021706691848473
2018,July,Butte (SV),T6 Instate Construction Small,Dsl,PMBW,PM10,0.0010801272558011513
2018,July,Butte (SV),T6 Instate Construction Small,Dsl,PMBW,PM2_5,0.0004629116810576366
2018,July,Butte (SV),T6 Instate Construction Heavy,Dsl,RUNEX,CO,0.007427506992498307
2018,July,Butte (SV),T6 Instate Construction Heavy,Dsl,RUNEX,NOx,0.03396727994749872
2018,July,Butte (SV),T6 Instate Construction Heavy,Dsl,RUNEX,PM,0.0012790561504840764
2018,July,Butte (SV),T6 Instate Construction Heavy,Dsl,RUNEX,PM10,0.0012713818135811716
2018,July,Butte (SV),T6 Instate Construction Heavy,Dsl,RUNEX,PM2_5,0.0012163823991103559
2018,July,Butte (SV),T6 Instate Construction Heavy,Dsl,IDLEX,CO,0.00016488286931902165
2018,July,Butte (SV),T6 Instate Construction Heavy,Dsl,IDLEX,NOx,0.000654285799551099
2018,July,Butte (SV),T6 Instate Construction Heavy,Dsl,IDLEX,PM,5.369853163823854e-06
2018,July,Butte (SV),T6 Instate Construction Heavy,Dsl,IDLEX,PM10,5.3376340448409095e-06
2018,July,Butte (SV),T6 Instate Construction Heavy,Dsl,IDLEX,PM2_5,5.106730358796468e-06
