calendar_year,season_month,sub_area,vehicle_class,fuel,process,pollutant,emission
2018,July,Calaveras (MC),SBUS,Gas,RUNEX,CO,0.0038769567555062465
2018,July,Calaveras (MC),SBUS,Gas,RUNEX,NOx,0.00037228598025797774
2018,July,Calaveras (MC),SBUS,Gas,RUNEX,SOx,1.2651095844965654e-06
2018,July,Calaveras (MC),SBUS,Gas,RUNEX,PM,9.514112198156148e-07
2018,July,Calaveras (MC),SBUS,Gas,RUNEX,TOG,0.00023165572859061977
2018,July,Calaveras (MC),SBUS,Gas,RUNEX,PM10,8.505616305151597e-07
2018,July,Calaveras (MC),SBUS,Gas,RUNEX,PM2_5,7.820600226884352e-07
2018,July,Calaveras (MC),SBUS,Gas,IDLEX,CO,0.00021250013397835458
2018,July,Calaveras (MC),SBUS,Gas,IDLEX,NOx,2.39697421479852e-06
2018,July,Calaveras (MC),SBUS,Gas,IDLEX,SOx,7.157746647076539e-08
2018,July,Calaveras (MC),SBUS,Gas,IDLEX,TOG,3.961694716775296e-05
2018,July,Calaveras (MC),SBUS,Gas,STREX,CO,0.00019026833620270684
2018,July,Calaveras (MC),SBUS,Gas,STREX,NOx,3.4180317890615197e-06
2018,July,Calaveras (MC),SBUS,Gas,STREX,SOx,7.072307956709861e-09
2018,July,Calaveras (MC),SBUS,Gas,STREX,PM,2.7930482942043707e-08
2018,July,Calaveras (MC),SBUS,Gas,STREX,TOG,1.0206900705164733e-05
2018,July,Calaveras (MC),SBUS,Gas,STREX,PM10,2.496985175018707e-08
2018,July,Calaveras (MC),SBUS,Gas,STREX,PM2_5,2.295885697835993e-08
2018,July,Calaveras (MC),SBUS,Gas,HOTSOAK,TOG,6.3281914122419046e-06
2018,July,Calaveras (MC),SBUS,Gas,RUNLOSS,TOG,7.046680230140103e-05
2018,July,Calaveras (MC),SBUS,Gas,RESTLOSS,TOG,3.6591158791789574e-07
2018,July,Calaveras (MC),SBUS,Gas,DIURN,TOG,1.7666205093240237e-06
2018,July,Calaveras (MC),SBUS,Gas,PMTW,PM,1.0729151246808078e-06
2018,July,Calaveras (MC),SBUS,Gas,PMTW,PM10,1.0729151246808078e-06
2018,July,Calaveras (MC),SBUS,Gas,PMTW,PM2_5,2.6822878117020194e-07
2018,July,Calaveras (MC),SBUS,Gas,PMBW,PM,0.00010192693550353286
2018,July,Calaveras (MC),SBUS,Gas,PMBW,PM10,9.988839679346217e-05
2018,July,Calaveras (MC),SBUS,Gas,PMBW,PM2_5,4.2809312911483775e-05
2018,July,Calaveras (MC),T6 Public,Dsl,RUNEX,CO,0.0003786293724402408
2018,July,Calaveras (MC),T6 Public,Dsl,RUNEX,NOx,0.010547681917169005
2018,July,Calaveras (MC),T6 Public,Dsl,RUNEX,PM,7.799538604876852e-05
2018,July,Calaveras (MC),T6 Public,Dsl,RUNEX,PM10,7.752741373247594e-05
2018,July,Calaveras (MC),T6 Public,Dsl,RUNEX,PM2_5,7.417361213237883e-05
2018,July,Calaveras (MC),T6 Public,Dsl,IDLEX,CO,0.0004249950487782563
2018,July,Calaveras (MC),T6 Public,Dsl,IDLEX,NOx,0.003872083445127713
2018,July,Calaveras (MC),T6 Public,Dsl,IDLEX,PM,1.1859150833939285e-05
2018,July,Calaveras (MC),T6 Public,Dsl,IDLEX,PM10,1.1787995928935628e-05
2018,July,Calaveras (MC),T6 Public,Dsl,IDLEX,PM2_5,1.1278052443076252e-05
2018,July,Calaveras (MC),T6 Public,Dsl,STREX,NOx,0.00020985900584433683
2018,July,Calaveras (MC),T6 Public,Dsl,PMTW,PM,1.5875251436209797e-05
2018,July,Calaveras (MC),T6 Public,Dsl,PMTW,PM10,1.5875251436209797e-05
2018,July,Calaveras (MC),T6 Public,Dsl,PMTW,PM2_5,3.968812859052449e-06
2018,July,Calaveras (MC),T6 Public,Dsl,PMBW,PM,0.00017595070341799206
2018,July,Calaveras (MC),T6 Public,Dsl,PMBW,PM10,0.00017243168934963208
2018,July,Calaveras (MC),T6 Public,Dsl,PMBW,PM2_5,7.389929543555665e-05
2018,July,Calaveras (MC),T6 CAIRP Small,Dsl,RUNEX,CO,6.211751868431752e-05
2018,July,Calaveras (MC),T6 CAIRP Small,Dsl,RUNEX,NOx,0.00031383780612509785
2018,July,Calaveras (MC),T6 CAIRP Small,Dsl,RUNEX,PM,1.3279115718338424e-05
2018,July,Calaveras (MC),T6 CAIRP Small,Dsl,RUNEX,PM10,1.31994410240284e-05
2018,July,Calaveras (MC),T6 CAIRP Small,Dsl,RUNEX,PM2_5,1.2628439048139845e-05
2018,July,Calaveras (MC),T6 CAIRP Small,Dsl,IDLEX,CO,3.968187430906699e-06
2018,July,Calaveras (MC),T6 CAIRP Small,Dsl,IDLEX,NOx,1.4704426909983627e-05
2018,July,Calaveras (MC),T6 CAIRP Small,Dsl,IDLEX,PM,5.1890511897874066e-08
2018,July,Calaveras (MC),T6 CAIRP Small,Dsl,IDLEX,PM10,5.157916882648679e-08
2018,July,Calaveras (MC),T6 CAIRP Small,Dsl,IDLEX,PM2_5,4.934787681487827e-08
2018,July,Calaveras (MC),T6 CAIRP Small,Dsl,STREX,NOx,2.383002074391798e-05
2018,July,Calaveras (MC),T6 CAIRP Small,Dsl,PMTW,PM,1.3531649079470352e-06
2018,July,Calaveras (MC),T6 CAIRP Small,Dsl,PMTW,PM10,1.3531649079470352e-06
2018,July,Calaveras (MC),T6 CAIRP Small,Dsl,PMTW,PM2_5,3.382912269867588e-07
2018,July,Calaveras (MC),T6 CAIRP Small,Dsl,PMBW,PM,1.4997577729746313e-05
2018,July,Calaveras (MC),T6 CAIRP Small,Dsl,PMBW,PM10,1.4697626175151385e-05
2018,July,Calaveras (MC),T6 CAIRP Small,Dsl,PMBW,PM2_5,6.298982646493453e-06
2018,July,Calaveras (MC),T6 CAIRP Heavy,Dsl,RUNEX,CO,0.00025777694032203154
2018,July,Calaveras (MC),T6 CAIRP Heavy,Dsl,RUNEX,NOx,0.0019020774851921075
2018,July,Calaveras (MC),T6 CAIRP Heavy,Dsl,RUNEX,PM,5.230613120843428e-05
2018,July,Calaveras (MC),T6 CAIRP Heavy,Dsl,RUNEX,PM10,5.199229442118369e-05
2018,July,Calaveras (MC),T6 CAIRP Heavy,Dsl,RUNEX,PM2_5,4.974313077922103e-05
2018,July,Calaveras (MC),T6 CAIRP Heavy,Dsl,IDLEX,CO,9.306177555841041e-06
2018,July,Calaveras (MC),T6 CAIRP Heavy,Dsl,IDLEX,NOx,2.6606049428593738e-05
2018,July,Calaveras (MC),T6 CAIRP Heavy,Dsl,IDLEX,PM,7.047766363851656e-08
2018,July,Calaveras (MC),T6 CAIRP Heavy,Dsl,IDLEX,PM10,7.005479765668555e-08
2018,July,Calaveras (MC),T6 CAIRP Heavy,Dsl,IDLEX,PM2_5,6.702425812022933e-08
2018,July,Calaveras (MC),T6 CAIRP Heavy,Dsl,STREX,NOx,6.9294930570634e-05
2018,July,Calaveras (MC),T6 CAIRP Heavy,Dsl,PMTW,PM,1.234912374172327e-05
2018,July,Calaveras (MC),T6 CAIRP Heavy,Dsl,PMTW,PM10,1.234912374172327e-05
2018,July,Calaveras (MC),T6 CAIRP Heavy,Dsl,PMTW,PM2_5,3.0872809354308175e-06
2018,July,Calaveras (MC),T6 CAIRP Heavy,Dsl,PMBW,PM,0.00013686945480409957
2018,July,Calaveras (MC),T6 CAIRP Heavy,Dsl,PMBW,PM10,0.00013413206570801745
2018,July,Calaveras (MC),T6 CAIRP Heavy,Dsl,PMBW,PM2_5,5.748517101772176e-05
2018,July,Calaveras (MC),T6 Instate Construction Small,Dsl,RUNEX,CO,0.004454202574620886
2018,July,Calaveras (MC),T6 Instate Construction Small,Dsl,RUNEX,NOx,0.01684548350421429
2018,July,Calaveras (MC),T6 Instate Construction Small,Dsl,RUNEX,PM,0.0006630313070111417
2018,July,Calaveras (MC),T6 Instate Construction Small,Dsl,RUNEX,PM10,0.0006590531191690755
2018,July,Calaveras (MC),T6 Instate Construction Small,Dsl,RUNEX,PM2_5,0.000630542772967596
2018,July,Calaveras (MC),T6 Instate Construction Small,Dsl,IDLEX,CO,0.00012338949850906685
2018,July,Calaveras (MC),T6 Instate Construction Small,Dsl,IDLEX,NOx,0.000535307085838674
2018,July,Calaveras (MC),T6 Instate Construction Small,Dsl,IDLEX,PM,2.42068661166299e-06
2018,July,Calaveras (MC),T6 Instate Construction Small,Dsl,IDLEX,PM10,2.4061624919930135e-06
2018,July,Calaveras (MC),T6 Instate Construction Small,Dsl,IDLEX,PM2_5,2.3020729676914993e-06
2018,July,Calaveras (MC),T6 Instate Construction Small,Dsl,STREX,NOx,0.000360462525424357
2018,July,Calaveras (MC),T6 Instate Construction Small,Dsl,PMTW,PM,3.93969554673828e-05
2018,July,Calaveras (MC),T6 Instate Construction Small,Dsl,PMTW,PM10,3.93969554673828e-05
2018,July,Calaveras (MC),T6 Instate Construction Small,Dsl,PMTW,PM2_5,9.8492388668457e-06
2018,July,Calaveras (MC),T6 Instate Construction Small,Dsl,PMBW,PM,0.0004366495897634927
