calendar_year,season_month,sub_area,vehicle_class,fuel,process,pollutant,emission
2018,July,Colusa (SV),SBUS,Gas,RUNEX,CO,1.279504532463652e-05
2018,July,Colusa (SV),SBUS,Gas,RUNEX,NOx,5.771773123360343e-06
2018,July,Colusa (SV),SBUS,Gas,RUNEX,SOx,4.958261542807251e-07
2018,July,Colusa (SV),SBUS,Gas,RUNEX,PM,1.0404747060365438e-07
2018,July,Colusa (SV),SBUS,Gas,RUNEX,TOG,1.3919975784370039e-06
2018,July,Colusa (SV),SBUS,Gas,RUNEX,PM10,9.301843871966702e-08
2018,July,Colusa (SV),SBUS,Gas,RUNEX,PM2_5,8.552702083620391e-08
2018,July,Colusa (SV),SBUS,Gas,IDLEX,CO,9.875626819537646e-05
2018,July,Colusa (SV),SBUS,Gas,IDLEX,NOx,1.112593728713008e-06
2018,July,Colusa (SV),SBUS,Gas,IDLEX,SOx,2.9731866801317763e-08
2018,July,Colusa (SV),SBUS,Gas,IDLEX,TOG,1.864638499285524e-05
2018,July,Colusa (SV),SBUS,Gas,STREX,CO,2.8198778557684864e-05
2018,July,Colusa (SV),SBUS,Gas,STREX,NOx,2.2086289049692307e-06
2018,July,Colusa (SV),SBUS,Gas,STREX,SOx,2.039043437618433e-09
2018,July,Colusa (SV),SBUS,Gas,STREX,PM,3.781852587731134e-09
2018,July,Colusa (SV),SBUS,Gas,STREX,TOG,1.3257321002991575e-06
2018,July,Colusa (SV),SBUS,Gas,STREX,PM10,3.380976213431634e-09
2018,July,Colusa (SV),SBUS,Gas,STREX,PM2_5,3.1086828271149918e-09
2018,July,Colusa (SV),SBUS,Gas,HOTSOAK,TOG,3.864734708075337e-08
2018,July,Colusa (SV),SBUS,Gas,RUNLOSS,TOG,1.610466941058442e-07
2018,July,Colusa (SV),SBUS,Gas,RESTLOSS,TOG,6.351399720576027e-09
2018,July,Colusa (SV),SBUS,Gas,DIURN,TOG,2.9735835847890415e-08
2018,July,Colusa (SV),SBUS,Gas,PMTW,PM,4.802335566572039e-07
2018,July,Colusa (SV),SBUS,Gas,PMTW,PM10,4.802335566572039e-07
2018,July,Colusa (SV),SBUS,Gas,PMTW,PM2_5,1.2005838916430098e-07
2018,July,Colusa (SV),SBUS,Gas,PMBW,PM,4.562218728214242e-05
2018,July,Colusa (SV),SBUS,Gas,PMBW,PM10,4.470974353649958e-05
2018,July,Colusa (SV),SBUS,Gas,PMBW,PM2_5,1.9161318658499813e-05
2018,July,Colusa (SV),T6 Ag,Dsl,RUNEX,CO,0.0008332798212916529
2018,July,Colusa (SV),T6 Ag,Dsl,RUNEX,NOx,0.0043039130064324235
2018,July,Colusa (SV),T6 Ag,Dsl,RUNEX,PM,0.00019211804334738614
2018,July,Colusa (SV),T6 Ag,Dsl,RUNEX,PM10,0.0001909653350873019
2018,July,Colusa (SV),T6 Ag,Dsl,RUNEX,PM2_5,0.00018270425922336446
