calendar_year,season_month,sub_area,vehicle_class,fuel,process,pollutant,emission
2018,July,Contra Costa (SF),SBUS,Gas,RUNEX,CO,0.004570147498586494
2018,July,Contra Costa (SF),SBUS,Gas,RUNEX,NOx,0.0006512647686293351
2018,July,Contra Costa (SF),SBUS,Gas,RUNEX,SOx,1.0673031475826583e-05
2018,July,Contra Costa (SF),SBUS,Gas,RUNEX,PM,2.1547465098025344e-06
2018,July,Contra Costa (SF),SBUS,Gas,RUNEX,TOG,0.00028289172972686597
2018,July,Contra Costa (SF),SBUS,Gas,RUNEX,PM10,1.9263433797634655e-06
2018,July,Contra Costa (SF),SBUS,Gas,RUNEX,PM2_5,1.771201631057683e-06
2018,July,Contra Costa (SF),SBUS,Gas,IDLEX,CO,0.0019196059804061046
2018,July,Contra Costa (SF),SBUS,Gas,IDLEX,NOx,2.1629093244867068e-05
2018,July,Contra Costa (SF),SBUS,Gas,IDLEX,SOx,6.037792663524314e-07
2018,July,Contra Costa (SF),SBUS,Gas,IDLEX,TOG,0.00036197933760261395
2018,July,Contra Costa (SF),SBUS,Gas,STREX,CO,0.0008791677596527717
2018,July,Contra Costa (SF),SBUS,Gas,STREX,NOx,4.2775562391030985e-05
2018,July,Contra Costa (SF),SBUS,Gas,STREX,SOx,4.6690359693565945e-08
2018,July,Contra Costa (SF),SBUS,Gas,STREX,PM,7.212776703741328e-08
2018,July,Contra Costa (SF),SBUS,Gas,STREX,TOG,3.9157943538069885e-05
2018,July,Contra Costa (SF),SBUS,Gas,STREX,PM10,6.448222373144749e-08
2018,July,Contra Costa (SF),SBUS,Gas,STREX,PM2_5,5.9289024504753726e-08
2018,July,Contra Costa (SF),SBUS,Gas,HOTSOAK,TOG,7.186874175202956e-06
2018,July,Contra Costa (SF),SBUS,Gas,RUNLOSS,TOG,7.084818840692579e-05
2018,July,Contra Costa (SF),SBUS,Gas,RESTLOSS,TOG,3.4544583296167016e-07
2018,July,Contra Costa (SF),SBUS,Gas,DIURN,TOG,1.475048957063934e-06
2018,July,Contra Costa (SF),SBUS,Gas,PMTW,PM,9.938009018641732e-06
2018,July,Contra Costa (SF),SBUS,Gas,PMTW,PM10,9.938009018641732e-06
2018,July,Contra Costa (SF),SBUS,Gas,PMTW,PM2_5,2.484502254660433e-06
2018,July,Contra Costa (SF),SBUS,Gas,PMBW,PM,0.0009441108443484531
2018,July,Contra Costa (SF),SBUS,Gas,PMBW,PM10,0.0009252286274614842
2018,July,Contra Costa (SF),SBUS,Gas,PMBW,PM2_5,0.0003965265546263503
2018,July,Contra Costa (SF),T6 Ag,Dsl,RUNEX,CO,0.00020393649173927413
2018,July,Contra Costa (SF),T6 Ag,Dsl,RUNEX,NOx,0.0007948050891278353
2018,July,Contra Costa (SF),T6 Ag,Dsl,RUNEX,PM,4.900709973860764e-05
2018,July,Contra Costa (SF),T6 Ag,Dsl,RUNEX,PM10,4.8713057140175965e-05
2018,July,Contra Costa (SF),T6 Ag,Dsl,RUNEX,PM2_5,4.660575185141585e-05
2018,July,Contra Costa (SF),T6 Ag,Dsl,IDLEX,CO,2.178463542615562e-05
2018,July,Contra Costa (SF),T6 Ag,Dsl,IDLEX,NOx,0.00010391227273392871
2018,July,Contra Costa (SF),T6 Ag,Dsl,IDLEX,PM,1.0390846785181055e-06
2018,July,Contra Costa (SF),T6 Ag,Dsl,IDLEX,PM10,1.0328501704469962e-06
2018,July,Contra Costa (SF),T6 Ag,Dsl,IDLEX,PM2_5,9.881695292707181e-07
2018,July,Contra Costa (SF),T6 Ag,Dsl,STREX,NOx,4.4728643087385175e-06
2018,July,Contra Costa (SF),T6 Ag,Dsl,PMTW,PM,1.0963464669739759e-06
2018,July,Contra Costa (SF),T6 Ag,Dsl,PMTW,PM10,1.0963464669739759e-06
2018,July,Contra Costa (SF),T6 Ag,Dsl,PMTW,PM2_5,2.7408661674349396e-07
2018,July,Contra Costa (SF),T6 Ag,Dsl,PMBW,PM,1.2151173342294895e-05
2018,July,Contra Costa (SF),T6 Ag,Dsl,PMBW,PM10,1.1908149875449e-05
2018,July,Contra Costa (SF),T6 Ag,Dsl,PMBW,PM2_5,5.103492803763857e-06
2018,July,Contra Costa (SF),T6 Public,Dsl,RUNEX,CO,0.002096478847410066
2018,July,Contra Costa (SF),T6 Public,Dsl,RUNEX,NOx,0.055911125391992576
2018,July,Contra Costa (SF),T6 Public,Dsl,RUNEX,PM,0.00035631293527199187
2018,July,Contra Costa (SF),T6 Public,Dsl,RUNEX,PM10,0.00035417505766035943
2018,July,Contra Costa (SF),T6 Public,Dsl,RUNEX,PM2_5,0.00033885360144366377
2018,July,Contra Costa (SF),T6 Public,Dsl,IDLEX,CO,0.0028461902744971435
2018,July,Contra Costa (SF),T6 Public,Dsl,IDLEX,NOx,0.02412488448772523
2018,July,Contra Costa (SF),T6 Public,Dsl,IDLEX,PM,4.314787056885858e-05
2018,July,Contra Costa (SF),T6 Public,Dsl,IDLEX,PM10,4.288898334544546e-05
2018,July,Contra Costa (SF),T6 Public,Dsl,IDLEX,PM2_5,4.10336249109846e-05
2018,July,Contra Costa (SF),T6 Public,Dsl,STREX,NOx,0.001732731179660518
2018,July,Contra Costa (SF),T6 Public,Dsl,PMTW,PM,0.00010352635987041744
2018,July,Contra Costa (SF),T6 Public,Dsl,PMTW,PM10,0.00010352635987041744
2018,July,Contra Costa (SF),T6 Public,Dsl,PMTW,PM2_5,2.588158996760436e-05
2018,July,Contra Costa (SF),T6 Public,Dsl,PMBW,PM,0.001147417155230459
2018,July,Contra Costa (SF),T6 Public,Dsl,PMBW,PM10,0.00112446881212585
2018,July,Contra Costa (SF),T6 Public,Dsl,PMBW,PM2_5,0.00048191520519679334
2018,July,Contra Costa (SF),T6 CAIRP Small,Dsl,RUNEX,CO,0.00018519725360086173
2018,July,Contra Costa (SF),T6 CAIRP Small,Dsl,RUNEX,NOx,0.0009687845112056238
2018,July,Contra Costa (SF),T6 CAIRP Small,Dsl,RUNEX,PM,3.905038288689588e-05
2018,July,Contra Costa (SF),T6 CAIRP Small,Dsl,RUNEX,PM10,3.8816080589574445e-05
2018,July,Contra Costa (SF),T6 CAIRP Small,Dsl,RUNEX,PM2_5,3.713691412543797e-05
2018,July,Contra Costa (SF),T6 CAIRP Small,Dsl,IDLEX,CO,1.4624522154297462e-05
2018,July,Contra Costa (SF),T6 CAIRP Small,Dsl,IDLEX,NOx,4.673668183014694e-05
2018,July,Contra Costa (SF),T6 CAIRP Small,Dsl,IDLEX,PM,1.5154192105569467e-07
2018,July,Contra Costa (SF),T6 CAIRP Small,Dsl,IDLEX,PM10,1.5063266952936048e-07
2018,July,Contra Costa (SF),T6 CAIRP Small,Dsl,IDLEX,PM2_5,1.4411636692396564e-07
2018,July,Contra Costa (SF),T6 CAIRP Small,Dsl,STREX,NOx,9.812819687446234e-05
2018,July,Contra Costa (SF),T6 CAIRP Small,Dsl,PMTW,PM,5.028469916165698e-06
2018,July,Contra Costa (SF),T6 CAIRP Small,Dsl,PMTW,PM10,5.028469916165698e-06
2018,July,Contra Costa (SF),T6 CAIRP Small,Dsl,PMTW,PM2_5,1.2571174790414246e-06
2018,July,Contra Costa (SF),T6 CAIRP Small,Dsl,PMBW,PM,5.5732208237503156e-05
2018,July,Contra Costa (SF),T6 CAIRP Small,Dsl,PMBW,PM10,5.461756407275309e-05
2018,July,Contra Costa (SF),T6 CAIRP Small,Dsl,PMBW,PM2_5,2.3407527459751326e-05
2018,July,Contra Costa (SF),T6 CAIRP Heavy,Dsl,RUNEX,CO,0.0007518647562329538
2018,July,Contra Costa (SF),T6 CAIRP Heavy,Dsl,RUNEX,NOx,0.005550539239677159
2018,July,Contra Costa (SF),T6 CAIRP Heavy,Dsl,RUNEX,PM,0.0001522197737800623
2018,July,Contra Costa (SF),T6 CAIRP Heavy,Dsl,RUNEX,PM10,0.00015130645513738194
2018,July,Contra Costa (SF),T6 CAIRP Heavy,Dsl,RUNEX,PM2_5,0.00014476100486483922
2018,July,Contra Costa (SF),T6 CAIRP Heavy,Dsl,IDLEX,CO,2.769930019418976e-05
2018,July,Contra Costa (SF),T6 CAIRP Heavy,Dsl,IDLEX,NOx,7.793758118572597e-05
2018,July,Contra Costa (SF),T6 CAIRP Heavy,Dsl,IDLEX,PM,2.061026643063117e-07
2018,July,Contra Costa (SF),T6 CAIRP Heavy,Dsl,IDLEX,PM10,2.048660483204737e-07
2018,July,Contra Costa (SF),T6 CAIRP Heavy,Dsl,IDLEX,PM2_5,1.9600363375530246e-07
2018,July,Contra Costa (SF),T6 CAIRP Heavy,Dsl,STREX,NOx,0.0002074557611986444
2018,July,Contra Costa (SF),T6 CAIRP Heavy,Dsl,PMTW,PM,3.6792043388662735e-05
2018,July,Contra Costa (SF),T6 CAIRP Heavy,Dsl,PMTW,PM10,3.6792043388662735e-05
2018,July,Contra Costa (SF),T6 CAIRP Heavy,Dsl,PMTW,PM2_5,9.198010847165684e-06
2018,July,Contra Costa (SF),T6 CAIRP Heavy,Dsl,PMBW,PM,0.00040777848089101226
2018,July,Contra Costa (SF),T6 CAIRP Heavy,Dsl,PMBW,PM10,0.0003996229112731919
2018,July,Contra Costa (SF),T6 CAIRP Heavy,Dsl,PMBW,PM2_5,0.00017126696197422502
2018,July,Contra Costa (SF),T6 Instate Construction Small,Dsl,RUNEX,CO,0.02411524446942209
2018,July,Contra Costa (SF),T6 Instate Construction Small,Dsl,RUNEX,NOx,0.09114419332113083
2018,July,Contra Costa (SF),T6 Instate Construction Small,Dsl,RUNEX,PM,0.0035896800362329928
2018,July,Contra Costa (SF),T6 Instate Construction Small,Dsl,RUNEX,PM10,0.0035681419560155895
2018,July,Contra Costa (SF),T6 Instate Construction Small,Dsl,RUNEX,PM2_5,0.0034137857144575685
2018,July,Contra Costa (SF),T6 Instate Construction Small,Dsl,IDLEX,CO,0.0006680360562089635
2018,July,Contra Costa (SF),T6 Instate Construction Small,Dsl,IDLEX,NOx,0.002898175604936946
2018,July,Contra Costa (SF),T6 Instate Construction Small,Dsl,IDLEX,PM,1.3105701513604516e-05
2018,July,Contra Costa (SF),T6 Instate Construction Small,Dsl,IDLEX,PM10,1.302706730452289e-05
2018,July,Contra Costa (SF),T6 Instate Construction Small,Dsl,IDLEX,PM2_5,1.2463522139437902e-05
2018,July,Contra Costa (SF),T6 Instate Construction Small,Dsl,STREX,NOx,0.0019515596286981906
2018,July,Contra Costa (SF),T6 Instate Construction Small,Dsl,PMTW,PM,0.00021329681273594452
2018,July,Contra Costa (SF),T6 Instate Construction Small,Dsl,PMTW,PM10,0.00021329681273594452
2018,July,Contra Costa (SF),T6 Instate Construction Small,Dsl,PMTW,PM2_5,5.332420318398613e-05
2018,July,Contra Costa (SF),T6 Instate Construction Small,Dsl,PMBW,PM,0.0023640396744900546
2018,July,Contra Costa (SF),T6 Instate Construction Small,Dsl,PMBW,PM10,0.002316758881000251
2018,July,Contra Costa (SF),T6 Instate Construction Small,Dsl,PMBW,PM2_5,0.0009928966632858222
2018,July,Contra Costa (SF),T6 Instate Construction Heavy,Dsl,RUNEX,CO,0.013280544534412088
2018,July,Contra Costa (SF),T6 Instate Construction Heavy,Dsl,RUNEX,NOx,0.06096572427283895
2018,July,Contra Costa (SF),T6 Instate Construction Heavy,Dsl,RUNEX,PM,0.00228698029980634
2018,July,Contra Costa (SF),T6 Instate Construction Heavy,Dsl,RUNEX,PM10,0.0022732584180075012
2018,July,Contra Costa (SF),T6 Instate Construction Heavy,Dsl,RUNEX,PM2_5,0.0021749182651158256
2018,July,Contra Costa (SF),T6 Instate Construction Heavy,Dsl,IDLEX,CO,0.00029481416727907776
2018,July,Contra Costa (SF),T6 Instate Construction Heavy,Dsl,IDLEX,NOx,0.0011698772829090377
2018,July,Contra Costa (SF),T6 Instate Construction Heavy,Dsl,IDLEX,PM,9.601414600813313e-06
2018,July,Contra Costa (SF),T6 Instate Construction Heavy,Dsl,IDLEX,PM10,9.543806113208438e-06
2018,July,Contra Costa (SF),T6 Instate Construction Heavy,Dsl,IDLEX,PM2_5,9.130945285373456e-06
2018,July,Contra Costa (SF),T6 Instate Construction Heavy,Dsl,STREX,NOx,0.0006705592222038548
2018,July,Contra Costa (SF),T6 Instate Construction Heavy,Dsl,PMTW,PM,0.00011655847749697725
2018,July,Contra Costa (SF),T6 Instate Construction Heavy,Dsl,PMTW,PM10,0.00011655847749697725
2018,July,Contra Costa (SF),T6 Instate Construction Heavy,Dsl,PMTW,PM2_5,2.9139619374244313e-05
2018,July,Contra Costa (SF),T6 Instate Construction Heavy,Dsl,PMBW,PM,0.0012918564589248316
2018,July,Contra Costa (SF),T6 Instate Construction Heavy,Dsl,PMBW,PM10,0.0012660193297463348
