calendar_year,season_month,sub_area,vehicle_class,fuel,process,pollutant,emission
2018,July,Del Norte (NC),SBUS,Gas,RUNEX,CO,0.00017810335378256267
2018,July,Del Norte (NC),SBUS,Gas,RUNEX,NOx,4.0948910792563285e-05
2018,July,Del Norte (NC),SBUS,Gas,RUNEX,SOx,5.40796687880214e-07
2018,July,Del Norte (NC),SBUS,Gas,RUNEX,PM,1.2401557979345427e-07
2018,July,Del Norte (NC),SBUS,Gas,RUNEX,TOG,1.1565607501695484e-05
2018,July,Del Norte (NC),SBUS,Gas,RUNEX,PM10,1.1086992833534816e-07
2018,July,Del Norte (NC),SBUS,Gas,RUNEX,PM2_5,1.0194080659021938e-07
2018,July,Del Norte (NC),SBUS,Gas,IDLEX,CO,9.448730465499597e-05
2018,July,Del Norte (NC),SBUS,Gas,IDLEX,NOx,1.0646123793453752e-06
2018,July,Del Norte (NC),SBUS,Gas,IDLEX,SOx,3.036571227764371e-08
2018,July,Del Norte (NC),SBUS,Gas,IDLEX,TOG,1.7790822884629995e-05
2018,July,Del Norte (NC),SBUS,Gas,STREX,CO,4.9997616820206154e-05
2018,July,Del Norte (NC),SBUS,Gas,STREX,NOx,2.597295055216579e-06
2018,July,Del Norte (NC),SBUS,Gas,STREX,SOx,2.4432370026806936e-09
2018,July,Del Norte (NC),SBUS,Gas,STREX,PM,3.200023495177157e-09
2018,July,Del Norte (NC),SBUS,Gas,STREX,TOG,2.030719475270441e-06
2018,July,Del Norte (NC),SBUS,Gas,STREX,PM10,2.8608210046883778e-09
2018,July,Del Norte (NC),SBUS,Gas,STREX,PM2_5,2.630419313035622e-09
2018,July,Del Norte (NC),SBUS,Gas,HOTSOAK,TOG,4.6679965900764257e-07
2018,July,Del Norte (NC),SBUS,Gas,RUNLOSS,TOG,4.884759752102679e-06
2018,July,Del Norte (NC),SBUS,Gas,RESTLOSS,TOG,1.6861393957204204e-08
2018,July,Del Norte (NC),SBUS,Gas,DIURN,TOG,4.822737818439638e-08
2018,July,Del Norte (NC),SBUS,Gas,PMTW,PM,4.90368515530623e-07
2018,July,Del Norte (NC),SBUS,Gas,PMTW,PM10,4.90368515530623e-07
2018,July,Del Norte (NC),SBUS,Gas,PMTW,PM2_5,1.2259212888265574e-07
2018,July,Del Norte (NC),SBUS,Gas,PMBW,PM,4.658500836244852e-05
2018,July,Del Norte (NC),SBUS,Gas,PMBW,PM10,4.565330819519956e-05
2018,July,Del Norte (NC),SBUS,Gas,PMBW,PM2_5,1.9565703512228368e-05
2018,July,Del Norte (NC),T6 Public,Dsl,RUNEX,CO,0.00012890163321303632
2018,July,Del Norte (NC),T6 Public,Dsl,RUNEX,NOx,0.004005216916371756
2018,July,Del Norte (NC),T6 Public,Dsl,RUNEX,PM,2.770815298853259e-05
2018,July,Del Norte (NC),T6 Public,Dsl,RUNEX,PM10,2.7541904070601378e-05
2018,July,Del Norte (NC),T6 Public,Dsl,RUNEX,PM2_5,2.6350453492094466e-05
2018,July,Del Norte (NC),T6 Public,Dsl,IDLEX,CO,7.741497798215251e-05
2018,July,Del Norte (NC),T6 Public,Dsl,IDLEX,NOx,0.0014634456246201805
2018,July,Del Norte (NC),T6 Public,Dsl,IDLEX,PM,3.8434116929509656e-06
2018,July,Del Norte (NC),T6 Public,Dsl,IDLEX,PM10,3.820351222793267e-06
2018,July,Del Norte (NC),T6 Public,Dsl,IDLEX,PM2_5,3.6550845199963697e-06
2018,July,Del Norte (NC),T6 Public,Dsl,STREX,NOx,1.0498748279038817e-05
2018,July,Del Norte (NC),T6 Public,Dsl,PMTW,PM,4.514495959309554e-06
2018,July,Del Norte (NC),T6 Public,Dsl,PMTW,PM10,4.514495959309554e-06
2018,July,Del Norte (NC),T6 Public,Dsl,PMTW,PM2_5,1.1286239898273885e-06
2018,July,Del Norte (NC),T6 Public,Dsl,PMBW,PM,5.003566354901421e-05
2018,July,Del Norte (NC),T6 Public,Dsl,PMBW,PM10,4.9034950278033914e-05
2018,July,Del Norte (NC),T6 Public,Dsl,PMBW,PM2_5,2.1014978690585966e-05
2018,July,Del Norte (NC),T6 CAIRP Small,Dsl,RUNEX,CO,1.8828296615796717e-05
2018,July,Del Norte (NC),T6 CAIRP Small,Dsl,RUNEX,NOx,9.761296110580524e-05
2018,July,Del Norte (NC),T6 CAIRP Small,Dsl,RUNEX,PM,4.0190860723427736e-06
2018,July,Del Norte (NC),T6 CAIRP Small,Dsl,RUNEX,PM10,3.994971555908716e-06
2018,July,Del Norte (NC),T6 CAIRP Small,Dsl,RUNEX,PM2_5,3.822150854797976e-06
2018,July,Del Norte (NC),T6 CAIRP Small,Dsl,IDLEX,CO,1.2293079360717058e-06
2018,July,Del Norte (NC),T6 CAIRP Small,Dsl,IDLEX,NOx,4.536558531809125e-06
2018,July,Del Norte (NC),T6 CAIRP Small,Dsl,IDLEX,PM,1.5742186294100384e-08
2018,July,Del Norte (NC),T6 CAIRP Small,Dsl,IDLEX,PM10,1.5647733176335785e-08
2018,July,Del Norte (NC),T6 CAIRP Small,Dsl,IDLEX,PM2_5,1.4970819165689482e-08
2018,July,Del Norte (NC),T6 CAIRP Small,Dsl,STREX,NOx,7.446306095725125e-06
2018,July,Del Norte (NC),T6 CAIRP Small,Dsl,PMTW,PM,4.207876128117224e-07
2018,July,Del Norte (NC),T6 CAIRP Small,Dsl,PMTW,PM10,4.207876128117224e-07
2018,July,Del Norte (NC),T6 CAIRP Small,Dsl,PMTW,PM2_5,1.051969032029306e-07
2018,July,Del Norte (NC),T6 CAIRP Small,Dsl,PMBW,PM,4.663729375329924e-06
2018,July,Del Norte (NC),T6 CAIRP Small,Dsl,PMBW,PM10,4.570454787823326e-06
2018,July,Del Norte (NC),T6 CAIRP Small,Dsl,PMBW,PM2_5,1.9587663376385675e-06
2018,July,Del Norte (NC),T6 CAIRP Heavy,Dsl,RUNEX,CO,7.725310629288765e-05
2018,July,Del Norte (NC),T6 CAIRP Heavy,Dsl,RUNEX,NOx,0.0005582429773352546
2018,July,Del Norte (NC),T6 CAIRP Heavy,Dsl,RUNEX,PM,1.605271495061481e-05
2018,July,Del Norte (NC),T6 CAIRP Heavy,Dsl,RUNEX,PM10,1.5956398660911125e-05
2018,July,Del Norte (NC),T6 CAIRP Heavy,Dsl,RUNEX,PM2_5,1.5266131918034702e-05
2018,July,Del Norte (NC),T6 CAIRP Heavy,Dsl,IDLEX,CO,2.3967533672291614e-06
2018,July,Del Norte (NC),T6 CAIRP Heavy,Dsl,IDLEX,NOx,7.635912035290263e-06
2018,July,Del Norte (NC),T6 CAIRP Heavy,Dsl,IDLEX,PM,2.1792659300575937e-08
2018,July,Del Norte (NC),T6 CAIRP Heavy,Dsl,IDLEX,PM10,2.166190334477247e-08
2018,July,Del Norte (NC),T6 CAIRP Heavy,Dsl,IDLEX,PM2_5,2.0724818994847684e-08
2018,July,Del Norte (NC),T6 CAIRP Heavy,Dsl,STREX,NOx,1.691087455709178e-05
2018,July,Del Norte (NC),T6 CAIRP Heavy,Dsl,PMTW,PM,3.1259999539274727e-06
2018,July,Del Norte (NC),T6 CAIRP Heavy,Dsl,PMTW,PM10,3.1259999539274727e-06
2018,July,Del Norte (NC),T6 CAIRP Heavy,Dsl,PMTW,PM2_5,7.814999884818682e-07
2018,July,Del Norte (NC),T6 CAIRP Heavy,Dsl,PMBW,PM,3.464649948936281e-05
2018,July,Del Norte (NC),T6 CAIRP Heavy,Dsl,PMBW,PM10,3.3953569499575555e-05
2018,July,Del Norte (NC),T6 CAIRP Heavy,Dsl,PMBW,PM2_5,1.4551529785532379e-05
2018,July,Del Norte (NC),T6 Instate Construction Small,Dsl,RUNEX,CO,0.0005596842708176519
2018,July,Del Norte (NC),T6 Instate Construction Small,Dsl,RUNEX,NOx,0.0021329413703712035
2018,July,Del Norte (NC),T6 Instate Construction Small,Dsl,RUNEX,PM,8.331192562012982e-05
2018,July,Del Norte (NC),T6 Instate Construction Small,Dsl,RUNEX,PM10,8.281205406640896e-05
2018,July,Del Norte (NC),T6 Instate Construction Small,Dsl,RUNEX,PM2_5,7.922964126474344e-05
2018,July,Del Norte (NC),T6 Instate Construction Small,Dsl,IDLEX,CO,1.5504270482237962e-05
2018,July,Del Norte (NC),T6 Instate Construction Small,Dsl,IDLEX,NOx,6.726298388587354e-05
2018,July,Del Norte (NC),T6 Instate Construction Small,Dsl,IDLEX,PM,3.0416672758579395e-07
2018,July,Del Norte (NC),T6 Instate Construction Small,Dsl,IDLEX,PM10,3.023417272202791e-07
2018,July,Del Norte (NC),T6 Instate Construction Small,Dsl,IDLEX,PM2_5,2.8926255793409004e-07
2018,July,Del Norte (NC),T6 Instate Construction Small,Dsl,STREX,NOx,4.529322641244983e-05
2018,July,Del Norte (NC),T6 Instate Construction Small,Dsl,PMTW,PM,4.950348782705381e-06
2018,July,Del Norte (NC),T6 Instate Construction Small,Dsl,PMTW,PM10,4.950348782705381e-06
2018,July,Del Norte (NC),T6 Instate Construction Small,Dsl,PMTW,PM2_5,1.2375871956763453e-06
2018,July,Del Norte (NC),T6 Instate Construction Small,Dsl,PMBW,PM,5.486636567498457e-05
2018,July,Del Norte (NC),T6 Instate Construction Small,Dsl,PMBW,PM10,5.37690383614849e-05
2018,July,Del Norte (NC),T6 Instate Construction Small,Dsl,PMBW,PM2_5,2.3043873583493527e-05
2018,July,Del Norte (NC),T6 Instate Construction Heavy,Dsl,RUNEX,CO,3.130848626007544e-05
2018,July,Del Norte (NC),T6 Instate Construction Heavy,Dsl,RUNEX,NOx,0.00014492793314157846
2018,July,Del Norte (NC),T6 Instate Construction Heavy,Dsl,RUNEX,PM,5.3914876086607415e-06
2018,July,Del Norte (NC),T6 Instate Construction Heavy,Dsl,RUNEX,PM10,5.359138683008777e-06
2018,July,Del Norte (NC),T6 Instate Construction Heavy,Dsl,RUNEX,PM2_5,5.127304715836362e-06
2018,July,Del Norte (NC),T6 Instate Construction Heavy,Dsl,IDLEX,CO,6.950155757255005e-07
2018,July,Del Norte (NC),T6 Instate Construction Heavy,Dsl,IDLEX,NOx,2.757950680638516e-06
2018,July,Del Norte (NC),T6 Instate Construction Heavy,Dsl,IDLEX,PM,2.263504755606457e-08
2018,July,Del Norte (NC),T6 Instate Construction Heavy,Dsl,IDLEX,PM10,2.2499237270728176e-08
2018,July,Del Norte (NC),T6 Instate Construction Heavy,Dsl,IDLEX,PM2_5,2.1525930225817397e-08
2018,July,Del Norte (NC),T6 Instate Construction Heavy,Dsl,STREX,NOx,1.5808232968562984e-06
2018,July,Del Norte (NC),T6 Instate Construction Heavy,Dsl,PMTW,PM,2.7478312216442326e-07
2018,July,Del Norte (NC),T6 Instate Construction Heavy,Dsl,PMTW,PM10,2.7478312216442326e-07
2018,July,Del Norte (NC),T6 Instate Construction Heavy,Dsl,PMTW,PM2_5,6.869578054110581e-08
