calendar_year,season_month,sub_area,vehicle_class,fuel,process,pollutant,emission
2018,July,El Dorado (LT),SBUS,Gas,RUNEX,CO,3.854184309508931e-06
2018,July,El Dorado (LT),SBUS,Gas,RUNEX,NOx,2.0943249705515025e-06
2018,July,El Dorado (LT),SBUS,Gas,RUNEX,SOx,1.643849953287401e-07
2018,July,El Dorado (LT),SBUS,Gas,RUNEX,PM,3.247660481260784e-08
2018,July,El Dorado (LT),SBUS,Gas,RUNEX,TOG,4.2110841615817664e-07
2018,July,El Dorado (LT),SBUS,Gas,RUNEX,PM10,2.9034084702471416e-08
2018,July,El Dorado (LT),SBUS,Gas,RUNEX,PM2_5,2.6695769155963643e-08
2018,July,El Dorado (LT),SBUS,Gas,IDLEX,CO,3.3922833024016925e-05
2018,July,El Dorado (LT),SBUS,Gas,IDLEX,NOx,3.821765643071025e-07
2018,July,El Dorado (LT),SBUS,Gas,IDLEX,SOx,1.021291277428641e-08
2018,July,El Dorado (LT),SBUS,Gas,IDLEX,TOG,6.40504361062701e-06
2018,July,El Dorado (LT),SBUS,Gas,STREX,CO,1.8246439930074613e-05
2018,July,El Dorado (LT),SBUS,Gas,STREX,NOx,8.323790747091587e-07
2018,July,El Dorado (LT),SBUS,Gas,STREX,SOx,8.403319005500686e-10
2018,July,El Dorado (LT),SBUS,Gas,STREX,PM,1.2990379180744542e-09
2018,July,El Dorado (LT),SBUS,Gas,STREX,TOG,6.415669021122278e-07
2018,July,El Dorado (LT),SBUS,Gas,STREX,PM10,1.161339898758562e-09
2018,July,El Dorado (LT),SBUS,Gas,STREX,PM2_5,1.0678091686572012e-09
2018,July,El Dorado (LT),SBUS,Gas,HOTSOAK,TOG,6.076880927495451e-09
2018,July,El Dorado (LT),SBUS,Gas,RUNLOSS,TOG,5.475447028584699e-08
2018,July,El Dorado (LT),SBUS,Gas,RESTLOSS,TOG,1.3109002049558466e-09
2018,July,El Dorado (LT),SBUS,Gas,DIURN,TOG,3.678746069640347e-09
2018,July,El Dorado (LT),SBUS,Gas,PMTW,PM,1.6086966006199812e-07
2018,July,El Dorado (LT),SBUS,Gas,PMTW,PM10,1.6086966006199812e-07
2018,July,El Dorado (LT),SBUS,Gas,PMTW,PM2_5,4.021741501549953e-08
2018,July,El Dorado (LT),SBUS,Gas,PMBW,PM,1.5282617504802748e-05
2018,July,El Dorado (LT),SBUS,Gas,PMBW,PM10,1.4976965154706692e-05
2018,July,El Dorado (LT),SBUS,Gas,PMBW,PM2_5,6.418699352017153e-06
2018,July,El Dorado (LT),T6 Public,Dsl,RUNEX,CO,0.0004312512490488414
2018,July,El Dorado (LT),T6 Public,Dsl,RUNEX,NOx,0.010271756437358543
2018,July,El Dorado (LT),T6 Public,Dsl,RUNEX,PM,6.315821340224837e-05
2018,July,El Dorado (LT),T6 Public,Dsl,RUNEX,PM10,6.277926412183487e-05
2018,July,El Dorado (LT),T6 Public,Dsl,RUNEX,PM2_5,6.0063460945538165e-05
2018,July,El Dorado (LT),T6 Public,Dsl,IDLEX,CO,0.0007606673621116091
2018,July,El Dorado (LT),T6 Public,Dsl,IDLEX,NOx,0.005029226889198747
2018,July,El Dorado (LT),T6 Public,Dsl,IDLEX,PM,7.383296527132895e-06
2018,July,El Dorado (LT),T6 Public,Dsl,IDLEX,PM10,7.338996747970109e-06
2018,July,El Dorado (LT),T6 Public,Dsl,IDLEX,PM2_5,7.021514997303399e-06
2018,July,El Dorado (LT),T6 Public,Dsl,STREX,NOx,0.0005274375902385627
2018,July,El Dorado (LT),T6 Public,Dsl,PMTW,PM,2.4276360391135625e-05
2018,July,El Dorado (LT),T6 Public,Dsl,PMTW,PM10,2.4276360391135625e-05
2018,July,El Dorado (LT),T6 Public,Dsl,PMTW,PM2_5,6.069090097783906e-06
2018,July,El Dorado (LT),T6 Public,Dsl,PMBW,PM,0.00026906299433508663
2018,July,El Dorado (LT),T6 Public,Dsl,PMBW,PM10,0.00026368173444838474
2018,July,El Dorado (LT),T6 Public,Dsl,PMBW,PM2_5,0.00011300645762073621
2018,July,El Dorado (LT),T6 CAIRP Small,Dsl,RUNEX,CO,1.7747773469561282e-05
2018,July,El Dorado (LT),T6 CAIRP Small,Dsl,RUNEX,NOx,9.12395422774959e-05
2018,July,El Dorado (LT),T6 CAIRP Small,Dsl,RUNEX,PM,3.8033711435138867e-06
2018,July,El Dorado (LT),T6 CAIRP Small,Dsl,RUNEX,PM10,3.7805509166528025e-06
2018,July,El Dorado (LT),T6 CAIRP Small,Dsl,RUNEX,PM2_5,3.6170059574817057e-06
2018,July,El Dorado (LT),T6 CAIRP Small,Dsl,IDLEX,CO,1.1196975854051738e-06
2018,July,El Dorado (LT),T6 CAIRP Small,Dsl,IDLEX,NOx,4.23086932758601e-06
2018,July,El Dorado (LT),T6 CAIRP Small,Dsl,IDLEX,PM,1.4697595684921752e-08
2018,July,El Dorado (LT),T6 CAIRP Small,Dsl,IDLEX,PM10,1.4609410110812212e-08
2018,July,El Dorado (LT),T6 CAIRP Small,Dsl,IDLEX,PM2_5,1.3977413496360575e-08
2018,July,El Dorado (LT),T6 CAIRP Small,Dsl,STREX,NOx,6.690771132995277e-06
2018,July,El Dorado (LT),T6 CAIRP Small,Dsl,PMTW,PM,3.834019028756317e-07
2018,July,El Dorado (LT),T6 CAIRP Small,Dsl,PMTW,PM10,3.834019028756317e-07
2018,July,El Dorado (LT),T6 CAIRP Small,Dsl,PMTW,PM2_5,9.585047571890793e-08
2018,July,El Dorado (LT),T6 CAIRP Small,Dsl,PMBW,PM,4.249371090204919e-06
2018,July,El Dorado (LT),T6 CAIRP Small,Dsl,PMBW,PM10,4.164383668400819e-06
2018,July,El Dorado (LT),T6 CAIRP Small,Dsl,PMBW,PM2_5,1.7847358578860646e-06
2018,July,El Dorado (LT),T6 CAIRP Heavy,Dsl,RUNEX,CO,6.948050028611424e-05
2018,July,El Dorado (LT),T6 CAIRP Heavy,Dsl,RUNEX,NOx,0.0005131205447598225
2018,July,El Dorado (LT),T6 CAIRP Heavy,Dsl,RUNEX,PM,1.4442772137717522e-05
2018,July,El Dorado (LT),T6 CAIRP Heavy,Dsl,RUNEX,PM10,1.4356115504891221e-05
2018,July,El Dorado (LT),T6 CAIRP Heavy,Dsl,RUNEX,PM2_5,1.3735076302969358e-05
2018,July,El Dorado (LT),T6 CAIRP Heavy,Dsl,IDLEX,CO,2.209724150539714e-06
2018,July,El Dorado (LT),T6 CAIRP Heavy,Dsl,IDLEX,NOx,6.887588724956527e-06
2018,July,El Dorado (LT),T6 CAIRP Heavy,Dsl,IDLEX,PM,1.9817689012587852e-08
2018,July,El Dorado (LT),T6 CAIRP Heavy,Dsl,IDLEX,PM10,1.9698782878512338e-08
2018,July,El Dorado (LT),T6 CAIRP Heavy,Dsl,IDLEX,PM2_5,1.884662225097103e-08
2018,July,El Dorado (LT),T6 CAIRP Heavy,Dsl,STREX,NOx,1.570770612061055e-05
2018,July,El Dorado (LT),T6 CAIRP Heavy,Dsl,PMTW,PM,2.8844074567688033e-06
2018,July,El Dorado (LT),T6 CAIRP Heavy,Dsl,PMTW,PM10,2.8844074567688033e-06
2018,July,El Dorado (LT),T6 CAIRP Heavy,Dsl,PMTW,PM2_5,7.211018641922008e-07
2018,July,El Dorado (LT),T6 CAIRP Heavy,Dsl,PMBW,PM,3.19688493125209e-05
2018,July,El Dorado (LT),T6 CAIRP Heavy,Dsl,PMBW,PM10,3.1329472326270466e-05
2018,July,El Dorado (LT),T6 CAIRP Heavy,Dsl,PMBW,PM2_5,1.3426916711258772e-05
2018,July,El Dorado (LT),T6 Instate Construction Small,Dsl,RUNEX,CO,0.004551640984504827
2018,July,El Dorado (LT),T6 Instate Construction Small,Dsl,RUNEX,NOx,0.017645478823369583
2018,July,El Dorado (LT),T6 Instate Construction Small,Dsl,RUNEX,PM,0.0006775355230130232
2018,July,El Dorado (LT),T6 Instate Construction Small,Dsl,RUNEX,PM10,0.0006734703098749454
2018,July,El Dorado (LT),T6 Instate Construction Small,Dsl,RUNEX,PM2_5,0.0006443362823853855
2018,July,El Dorado (LT),T6 Instate Construction Small,Dsl,IDLEX,CO,0.00012608871937513292
2018,July,El Dorado (LT),T6 Instate Construction Small,Dsl,IDLEX,NOx,0.0005470172562608561
2018,July,El Dorado (LT),T6 Instate Construction Small,Dsl,IDLEX,PM,2.473640614162049e-06
2018,July,El Dorado (LT),T6 Instate Construction Small,Dsl,IDLEX,PM10,2.4587987704770787e-06
2018,July,El Dorado (LT),T6 Instate Construction Small,Dsl,IDLEX,PM2_5,2.3524322240681117e-06
