calendar_year,season_month,sub_area,vehicle_class,fuel,process,pollutant,emission
2018,July,El Dorado (MC),SBUS,Gas,RUNEX,CO,0.006684158894864717
2018,July,El Dorado (MC),SBUS,Gas,RUNEX,NOx,0.001634066433903975
2018,July,El Dorado (MC),SBUS,Gas,RUNEX,SOx,7.400712390597234e-06
2018,July,El Dorado (MC),SBUS,Gas,RUNEX,PM,4.426476570259897e-06
2018,July,El Dorado (MC),SBUS,Gas,RUNEX,TOG,0.0004536834182123606
2018,July,El Dorado (MC),SBUS,Gas,RUNEX,PM10,3.957270053812348e-06
2018,July,El Dorado (MC),SBUS,Gas,RUNEX,PM2_5,3.6385637407536352e-06
2018,July,El Dorado (MC),SBUS,Gas,IDLEX,CO,0.0015226983682775743
2018,July,El Dorado (MC),SBUS,Gas,IDLEX,NOx,1.7161177433264818e-05
2018,July,El Dorado (MC),SBUS,Gas,IDLEX,SOx,5.147793184835564e-07
2018,July,El Dorado (MC),SBUS,Gas,IDLEX,TOG,0.00028311010815307877
2018,July,El Dorado (MC),SBUS,Gas,STREX,CO,0.0009917222983287116
2018,July,El Dorado (MC),SBUS,Gas,STREX,NOx,4.316752950967754e-05
2018,July,El Dorado (MC),SBUS,Gas,STREX,SOx,4.401975749994379e-08
2018,July,El Dorado (MC),SBUS,Gas,STREX,PM,1.2477599861212972e-07
2018,July,El Dorado (MC),SBUS,Gas,STREX,TOG,4.231400321293736e-05
2018,July,El Dorado (MC),SBUS,Gas,STREX,PM10,1.1154974275924394e-07
2018,July,El Dorado (MC),SBUS,Gas,STREX,PM2_5,1.0256587085917057e-07
2018,July,El Dorado (MC),SBUS,Gas,HOTSOAK,TOG,3.367619674670545e-05
2018,July,El Dorado (MC),SBUS,Gas,RUNLOSS,TOG,0.0002582144816629047
2018,July,El Dorado (MC),SBUS,Gas,RESTLOSS,TOG,2.1482153934565405e-06
2018,July,El Dorado (MC),SBUS,Gas,DIURN,TOG,1.0273816464032243e-05
2018,July,El Dorado (MC),SBUS,Gas,PMTW,PM,6.642076524624405e-06
2018,July,El Dorado (MC),SBUS,Gas,PMTW,PM10,6.642076524624405e-06
2018,July,El Dorado (MC),SBUS,Gas,PMTW,PM2_5,1.6605191311561013e-06
2018,July,El Dorado (MC),SBUS,Gas,PMBW,PM,0.0006309972615367236
2018,July,El Dorado (MC),SBUS,Gas,PMBW,PM10,0.0006183773163059886
2018,July,El Dorado (MC),SBUS,Gas,PMBW,PM2_5,0.0002650188498454237
2018,July,El Dorado (MC),T6 Ag,Dsl,RUNEX,CO,1.4706789274909875e-05
2018,July,El Dorado (MC),T6 Ag,Dsl,RUNEX,NOx,0.00010893709985538834
2018,July,El Dorado (MC),T6 Ag,Dsl,RUNEX,PM,2.991775767993861e-06
2018,July,El Dorado (MC),T6 Ag,Dsl,RUNEX,PM10,2.9738251133858986e-06
2018,July,El Dorado (MC),T6 Ag,Dsl,RUNEX,PM2_5,2.8451787553621616e-06
2018,July,El Dorado (MC),T6 Ag,Dsl,IDLEX,CO,2.2168439187659308e-06
2018,July,El Dorado (MC),T6 Ag,Dsl,IDLEX,NOx,1.3308772055295987e-05
2018,July,El Dorado (MC),T6 Ag,Dsl,IDLEX,PM,9.324313875593495e-08
2018,July,El Dorado (MC),T6 Ag,Dsl,IDLEX,PM10,9.268367992339933e-08
2018,July,El Dorado (MC),T6 Ag,Dsl,IDLEX,PM2_5,8.867422495689412e-08
2018,July,El Dorado (MC),T6 Ag,Dsl,PMTW,PM,9.589156549931579e-08
2018,July,El Dorado (MC),T6 Ag,Dsl,PMTW,PM10,9.589156549931579e-08
2018,July,El Dorado (MC),T6 Ag,Dsl,PMTW,PM2_5,2.3972891374828948e-08
2018,July,El Dorado (MC),T6 Ag,Dsl,PMBW,PM,1.0627981842840834e-06
2018,July,El Dorado (MC),T6 Ag,Dsl,PMBW,PM10,1.0415422205984016e-06
2018,July,El Dorado (MC),T6 Ag,Dsl,PMBW,PM2_5,4.46375237399315e-07
2018,July,El Dorado (MC),T6 Public,Dsl,RUNEX,CO,0.000716735354065981
2018,July,El Dorado (MC),T6 Public,Dsl,RUNEX,NOx,0.016637377222529604
2018,July,El Dorado (MC),T6 Public,Dsl,RUNEX,PM,0.00010483382799855804
2018,July,El Dorado (MC),T6 Public,Dsl,RUNEX,PM10,0.00010420482503056667
2018,July,El Dorado (MC),T6 Public,Dsl,RUNEX,PM2_5,9.969697042662868e-05
2018,July,El Dorado (MC),T6 Public,Dsl,IDLEX,CO,0.0014783382971239086
2018,July,El Dorado (MC),T6 Public,Dsl,IDLEX,NOx,0.008240879690261155
2018,July,El Dorado (MC),T6 Public,Dsl,IDLEX,PM,1.2901993855748796e-05
2018,July,El Dorado (MC),T6 Public,Dsl,IDLEX,PM10,1.28245818926143e-05
2018,July,El Dorado (MC),T6 Public,Dsl,IDLEX,PM2_5,1.2269796156817083e-05
2018,July,El Dorado (MC),T6 Public,Dsl,STREX,NOx,0.0010791947472068284
2018,July,El Dorado (MC),T6 Public,Dsl,PMTW,PM,4.398116554413007e-05
2018,July,El Dorado (MC),T6 Public,Dsl,PMTW,PM10,4.398116554413007e-05
2018,July,El Dorado (MC),T6 Public,Dsl,PMTW,PM2_5,1.0995291386032518e-05
2018,July,El Dorado (MC),T6 Public,Dsl,PMBW,PM,0.000487457918114108
2018,July,El Dorado (MC),T6 Public,Dsl,PMBW,PM10,0.0004777087597518257
2018,July,El Dorado (MC),T6 Public,Dsl,PMBW,PM2_5,0.0002047323256079254
2018,July,El Dorado (MC),T6 CAIRP Small,Dsl,RUNEX,CO,9.891771942249723e-05
2018,July,El Dorado (MC),T6 CAIRP Small,Dsl,RUNEX,NOx,0.0005215795309079312
2018,July,El Dorado (MC),T6 CAIRP Small,Dsl,RUNEX,PM,2.0863743254558008e-05
2018,July,El Dorado (MC),T6 CAIRP Small,Dsl,RUNEX,PM10,2.0738560795030625e-05
2018,July,El Dorado (MC),T6 CAIRP Small,Dsl,RUNEX,PM2_5,1.9841419835084668e-05
2018,July,El Dorado (MC),T6 CAIRP Small,Dsl,IDLEX,CO,7.835209124903875e-06
2018,July,El Dorado (MC),T6 CAIRP Small,Dsl,IDLEX,NOx,2.50134980071351e-05
2018,July,El Dorado (MC),T6 CAIRP Small,Dsl,IDLEX,PM,8.076336591306219e-08
2018,July,El Dorado (MC),T6 CAIRP Small,Dsl,IDLEX,PM10,8.027878571758372e-08
2018,July,El Dorado (MC),T6 CAIRP Small,Dsl,IDLEX,PM2_5,7.680596098332198e-08
2018,July,El Dorado (MC),T6 CAIRP Small,Dsl,STREX,NOx,5.266654983038521e-05
2018,July,El Dorado (MC),T6 CAIRP Small,Dsl,PMTW,PM,2.6981720423100105e-06
2018,July,El Dorado (MC),T6 CAIRP Small,Dsl,PMTW,PM10,2.6981720423100105e-06
2018,July,El Dorado (MC),T6 CAIRP Small,Dsl,PMTW,PM2_5,6.745430105775026e-07
2018,July,El Dorado (MC),T6 CAIRP Small,Dsl,PMBW,PM,2.990474013560261e-05
2018,July,El Dorado (MC),T6 CAIRP Small,Dsl,PMBW,PM10,2.9306645332890556e-05
2018,July,El Dorado (MC),T6 CAIRP Small,Dsl,PMBW,PM2_5,1.2559990856953103e-05
2018,July,El Dorado (MC),T6 CAIRP Heavy,Dsl,RUNEX,CO,0.00040018026563876785
2018,July,El Dorado (MC),T6 CAIRP Heavy,Dsl,RUNEX,NOx,0.0029835750651462218
2018,July,El Dorado (MC),T6 CAIRP Heavy,Dsl,RUNEX,PM,8.087525303825783e-05
2018,July,El Dorado (MC),T6 CAIRP Heavy,Dsl,RUNEX,PM10,8.039000152002833e-05
2018,July,El Dorado (MC),T6 CAIRP Heavy,Dsl,RUNEX,PM2_5,7.691236563938312e-05
2018,July,El Dorado (MC),T6 CAIRP Heavy,Dsl,IDLEX,CO,1.486566304533865e-05
2018,July,El Dorado (MC),T6 CAIRP Heavy,Dsl,IDLEX,NOx,4.164991005465272e-05
2018,July,El Dorado (MC),T6 CAIRP Heavy,Dsl,IDLEX,PM,1.0855299017336367e-07
2018,July,El Dorado (MC),T6 CAIRP Heavy,Dsl,IDLEX,PM10,1.0790167223232347e-07
2018,July,El Dorado (MC),T6 CAIRP Heavy,Dsl,IDLEX,PM2_5,1.0323389365486892e-07
2018,July,El Dorado (MC),T6 CAIRP Heavy,Dsl,STREX,NOx,0.0001117286043897204
2018,July,El Dorado (MC),T6 CAIRP Heavy,Dsl,PMTW,PM,1.9794009256911332e-05
