calendar_year,season_month,sub_area,vehicle_class,fuel,process,pollutant,emission
2018,July,Fresno (SJV),SBUS,Gas,RUNEX,CO,0.031170537390403034
2018,July,Fresno (SJV),SBUS,Gas,RUNEX,NOx,0.005505350333868279
2018,July,Fresno (SJV),SBUS,Gas,RUNEX,SOx,4.304094610228366e-05
2018,July,Fresno (SJV),SBUS,Gas,RUNEX,PM,2.4906286104020976e-05
2018,July,Fresno (SJV),SBUS,Gas,RUNEX,TOG,0.002060992457214005
2018,July,Fresno (SJV),SBUS,Gas,RUNEX,PM10,2.2266219776994753e-05
2018,July,Fresno (SJV),SBUS,Gas,RUNEX,PM2_5,2.0472967177505236e-05
2018,July,Fresno (SJV),SBUS,Gas,IDLEX,CO,0.006423685252210765
2018,July,Fresno (SJV),SBUS,Gas,IDLEX,NOx,7.24307139887847e-05
2018,July,Fresno (SJV),SBUS,Gas,IDLEX,SOx,2.1746333336890698e-06
2018,July,Fresno (SJV),SBUS,Gas,IDLEX,TOG,0.001196661902141559
2018,July,Fresno (SJV),SBUS,Gas,STREX,CO,0.0025146528230313636
2018,July,Fresno (SJV),SBUS,Gas,STREX,NOx,0.00019777022200094695
2018,July,Fresno (SJV),SBUS,Gas,STREX,SOx,1.5810311463964271e-07
2018,July,Fresno (SJV),SBUS,Gas,STREX,PM,5.603502867678908e-07
2018,July,Fresno (SJV),SBUS,Gas,STREX,TOG,0.00012632070575536642
2018,July,Fresno (SJV),SBUS,Gas,STREX,PM10,5.009531563704947e-07
2018,July,Fresno (SJV),SBUS,Gas,STREX,PM2_5,4.606079357232066e-07
2018,July,Fresno (SJV),SBUS,Gas,HOTSOAK,TOG,0.00016647907377733768
2018,July,Fresno (SJV),SBUS,Gas,RUNLOSS,TOG,0.0014211185074035708
2018,July,Fresno (SJV),SBUS,Gas,RESTLOSS,TOG,1.5565887055827085e-05
2018,July,Fresno (SJV),SBUS,Gas,DIURN,TOG,5.6503039547290983e-05
2018,July,Fresno (SJV),SBUS,Gas,PMTW,PM,3.838820735472133e-05
2018,July,Fresno (SJV),SBUS,Gas,PMTW,PM10,3.838820735472133e-05
2018,July,Fresno (SJV),SBUS,Gas,PMTW,PM2_5,9.597051838680333e-06
2018,July,Fresno (SJV),SBUS,Gas,PMBW,PM,0.0036468796507132684
2018,July,Fresno (SJV),SBUS,Gas,PMBW,PM10,0.0035739420576990024
2018,July,Fresno (SJV),SBUS,Gas,PMBW,PM2_5,0.0015316894532995716
2018,July,Fresno (SJV),T6 Ag,Dsl,RUNEX,CO,0.0024771683243825665
2018,July,Fresno (SJV),T6 Ag,Dsl,RUNEX,NOx,0.012261918708976914
2018,July,Fresno (SJV),T6 Ag,Dsl,RUNEX,PM,0.0006090884468998343
2018,July,Fresno (SJV),T6 Ag,Dsl,RUNEX,PM10,0.0006054339162184354
2018,July,Fresno (SJV),T6 Ag,Dsl,RUNEX,PM2_5,0.0005792431130017422
2018,July,Fresno (SJV),T6 Ag,Dsl,IDLEX,CO,0.00021349350253737503
2018,July,Fresno (SJV),T6 Ag,Dsl,IDLEX,NOx,0.0007584984382617249
2018,July,Fresno (SJV),T6 Ag,Dsl,IDLEX,PM,1.1578903216121963e-05
2018,July,Fresno (SJV),T6 Ag,Dsl,IDLEX,PM10,1.150942979682522e-05
2018,July,Fresno (SJV),T6 Ag,Dsl,IDLEX,PM2_5,1.101153695853198e-05
2018,July,Fresno (SJV),T6 Ag,Dsl,STREX,NOx,0.00015847964358721813
2018,July,Fresno (SJV),T6 Ag,Dsl,PMTW,PM,1.6055086725956963e-05
2018,July,Fresno (SJV),T6 Ag,Dsl,PMTW,PM10,1.6055086725956963e-05
2018,July,Fresno (SJV),T6 Ag,Dsl,PMTW,PM2_5,4.013771681489241e-06
2018,July,Fresno (SJV),T6 Ag,Dsl,PMBW,PM,0.00017794387787935627
2018,July,Fresno (SJV),T6 Ag,Dsl,PMBW,PM10,0.00017438500032176908
2018,July,Fresno (SJV),T6 Ag,Dsl,PMBW,PM2_5,7.473642870932964e-05
2018,July,Fresno (SJV),T6 Public,Dsl,RUNEX,CO,0.0024830625797346434
2018,July,Fresno (SJV),T6 Public,Dsl,RUNEX,NOx,0.07123647608849262
2018,July,Fresno (SJV),T6 Public,Dsl,RUNEX,PM,0.000488363893571662
2018,July,Fresno (SJV),T6 Public,Dsl,RUNEX,PM10,0.0004854337102102322
2018,July,Fresno (SJV),T6 Public,Dsl,RUNEX,PM2_5,0.0004644340627866501
2018,July,Fresno (SJV),T6 Public,Dsl,IDLEX,CO,0.002634642980030797
2018,July,Fresno (SJV),T6 Public,Dsl,IDLEX,NOx,0.028761265876056784
