calendar_year,season_month,sub_area,vehicle_class,fuel,process,pollutant,emission
2018,July,Glenn (SV),SBUS,Gas,RUNEX,CO,0.0034055512199695024
2018,July,Glenn (SV),SBUS,Gas,RUNEX,NOx,0.0007197003720532279
2018,July,Glenn (SV),SBUS,Gas,RUNEX,SOx,2.538406665518609e-06
2018,July,Glenn (SV),SBUS,Gas,RUNEX,PM,2.082202880012115e-06
2018,July,Glenn (SV),SBUS,Gas,RUNEX,TOG,0.00022163493937566505
2018,July,Glenn (SV),SBUS,Gas,RUNEX,PM10,1.8614893747308315e-06
2018,July,Glenn (SV),SBUS,Gas,RUNEX,PM2_5,1.7115707673699586e-06
2018,July,Glenn (SV),SBUS,Gas,IDLEX,CO,0.000442839821292848
2018,July,Glenn (SV),SBUS,Gas,IDLEX,NOx,4.993412026589583e-06
2018,July,Glenn (SV),SBUS,Gas,IDLEX,SOx,1.5198682083644102e-07
2018,July,Glenn (SV),SBUS,Gas,IDLEX,TOG,8.207981240211193e-05
2018,July,Glenn (SV),SBUS,Gas,STREX,CO,0.00029365805820185075
2018,July,Glenn (SV),SBUS,Gas,STREX,NOx,1.459150137286169e-05
2018,July,Glenn (SV),SBUS,Gas,STREX,SOx,1.305592018210804e-08
2018,July,Glenn (SV),SBUS,Gas,STREX,PM,5.3297953940059314e-08
2018,July,Glenn (SV),SBUS,Gas,STREX,TOG,1.3725548447863598e-05
2018,July,Glenn (SV),SBUS,Gas,STREX,PM10,4.764837082241302e-08
2018,July,Glenn (SV),SBUS,Gas,STREX,PM2_5,4.381091813872875e-08
2018,July,Glenn (SV),SBUS,Gas,HOTSOAK,TOG,1.5102395758348565e-05
2018,July,Glenn (SV),SBUS,Gas,RUNLOSS,TOG,0.00012100015926984217
2018,July,Glenn (SV),SBUS,Gas,RESTLOSS,TOG,1.0328810172410372e-06
2018,July,Glenn (SV),SBUS,Gas,DIURN,TOG,5.72516974430648e-06
2018,July,Glenn (SV),SBUS,Gas,PMTW,PM,2.2236300020843217e-06
2018,July,Glenn (SV),SBUS,Gas,PMTW,PM10,2.2236300020843217e-06
2018,July,Glenn (SV),SBUS,Gas,PMTW,PM2_5,5.559075005210804e-07
2018,July,Glenn (SV),SBUS,Gas,PMBW,PM,0.00021124484741847288
2018,July,Glenn (SV),SBUS,Gas,PMBW,PM10,0.00020701995047010344
2018,July,Glenn (SV),SBUS,Gas,PMBW,PM2_5,8.872283591575859e-05
2018,July,Glenn (SV),T6 Ag,Dsl,RUNEX,CO,0.0004908115877875787
2018,July,Glenn (SV),T6 Ag,Dsl,RUNEX,NOx,0.0021018295292907553
2018,July,Glenn (SV),T6 Ag,Dsl,RUNEX,PM,0.00011580897917899273
2018,July,Glenn (SV),T6 Ag,Dsl,RUNEX,PM10,0.00011511412530391888
2018,July,Glenn (SV),T6 Ag,Dsl,RUNEX,PM2_5,0.00011013433919922219
2018,July,Glenn (SV),T6 Ag,Dsl,IDLEX,CO,5.614640705837663e-05
2018,July,Glenn (SV),T6 Ag,Dsl,IDLEX,NOx,0.0002543711307084218
2018,July,Glenn (SV),T6 Ag,Dsl,IDLEX,PM,2.8156287150312533e-06
2018,July,Glenn (SV),T6 Ag,Dsl,IDLEX,PM10,2.7987349427410644e-06
2018,July,Glenn (SV),T6 Ag,Dsl,IDLEX,PM2_5,2.6776629079947195e-06
2018,July,Glenn (SV),T6 Ag,Dsl,STREX,NOx,3.37009071145973e-05
2018,July,Glenn (SV),T6 Ag,Dsl,PMTW,PM,3.0618693839259792e-06
2018,July,Glenn (SV),T6 Ag,Dsl,PMTW,PM10,3.0618693839259792e-06
2018,July,Glenn (SV),T6 Ag,Dsl,PMTW,PM2_5,7.654673459814948e-07
2018,July,Glenn (SV),T6 Ag,Dsl,PMBW,PM,3.39357190051796e-05
2018,July,Glenn (SV),T6 Ag,Dsl,PMBW,PM10,3.325700462507602e-05
2018,July,Glenn (SV),T6 Ag,Dsl,PMBW,PM2_5,1.425300198217543e-05
2018,July,Glenn (SV),T6 Public,Dsl,RUNEX,CO,0.00026559038011339964
2018,July,Glenn (SV),T6 Public,Dsl,RUNEX,NOx,0.008255576911892576
2018,July,Glenn (SV),T6 Public,Dsl,RUNEX,PM,5.6292950937276435e-05
2018,July,Glenn (SV),T6 Public,Dsl,RUNEX,PM10,5.595519323165265e-05
2018,July,Glenn (SV),T6 Public,Dsl,RUNEX,PM2_5,5.353459634134985e-05
2018,July,Glenn (SV),T6 Public,Dsl,IDLEX,CO,0.0001942679188340532
2018,July,Glenn (SV),T6 Public,Dsl,IDLEX,NOx,0.0028866954863770227
2018,July,Glenn (SV),T6 Public,Dsl,IDLEX,PM,7.646950381901255e-06
2018,July,Glenn (SV),T6 Public,Dsl,IDLEX,PM10,7.601068679609844e-06
2018,July,Glenn (SV),T6 Public,Dsl,IDLEX,PM2_5,7.272249813188091e-06
2018,July,Glenn (SV),T6 Public,Dsl,STREX,NOx,5.151013386074532e-05
2018,July,Glenn (SV),T6 Public,Dsl,PMTW,PM,1.0090843934783405e-05
2018,July,Glenn (SV),T6 Public,Dsl,PMTW,PM10,1.0090843934783405e-05
2018,July,Glenn (SV),T6 Public,Dsl,PMTW,PM2_5,2.5227109836958513e-06
2018,July,Glenn (SV),T6 Public,Dsl,PMBW,PM,0.00011184018694384941
2018,July,Glenn (SV),T6 Public,Dsl,PMBW,PM10,0.00010960338320497242
2018,July,Glenn (SV),T6 Public,Dsl,PMBW,PM2_5,4.697287851641675e-05
2018,July,Glenn (SV),T6 CAIRP Small,Dsl,RUNEX,CO,3.076325968213328e-05
2018,July,Glenn (SV),T6 CAIRP Small,Dsl,RUNEX,NOx,0.00015562203075351888
2018,July,Glenn (SV),T6 CAIRP Small,Dsl,RUNEX,PM,6.5751762462397795e-06
2018,July,Glenn (SV),T6 CAIRP Small,Dsl,RUNEX,PM10,6.535725188762343e-06
2018,July,Glenn (SV),T6 CAIRP Small,Dsl,RUNEX,PM2_5,6.252992610174031e-06
2018,July,Glenn (SV),T6 CAIRP Small,Dsl,IDLEX,CO,1.9914811347617506e-06
2018,July,Glenn (SV),T6 CAIRP Small,Dsl,IDLEX,NOx,7.323917163821917e-06
2018,July,Glenn (SV),T6 CAIRP Small,Dsl,IDLEX,PM,2.5430166840395117e-08
2018,July,Glenn (SV),T6 CAIRP Small,Dsl,IDLEX,PM10,2.527758583935273e-08
2018,July,Glenn (SV),T6 CAIRP Small,Dsl,IDLEX,PM2_5,2.4184088665215775e-08
2018,July,Glenn (SV),T6 CAIRP Small,Dsl,STREX,NOx,1.2082694102385174e-05
2018,July,Glenn (SV),T6 CAIRP Small,Dsl,PMTW,PM,6.8134895083951e-07
2018,July,Glenn (SV),T6 CAIRP Small,Dsl,PMTW,PM10,6.8134895083951e-07
2018,July,Glenn (SV),T6 CAIRP Small,Dsl,PMTW,PM2_5,1.703372377098775e-07
2018,July,Glenn (SV),T6 CAIRP Small,Dsl,PMBW,PM,7.551617538471231e-06
2018,July,Glenn (SV),T6 CAIRP Small,Dsl,PMBW,PM10,7.400585187701806e-06
2018,July,Glenn (SV),T6 CAIRP Small,Dsl,PMBW,PM2_5,3.1716793661579187e-06
2018,July,Glenn (SV),T6 CAIRP Heavy,Dsl,RUNEX,CO,0.00012112670897274074
2018,July,Glenn (SV),T6 CAIRP Heavy,Dsl,RUNEX,NOx,0.000874087654345489
2018,July,Glenn (SV),T6 CAIRP Heavy,Dsl,RUNEX,PM,2.513096239829538e-05
2018,July,Glenn (SV),T6 CAIRP Heavy,Dsl,RUNEX,PM10,2.4980176623905617e-05
2018,July,Glenn (SV),T6 CAIRP Heavy,Dsl,RUNEX,PM2_5,2.3899545240778894e-05
2018,July,Glenn (SV),T6 CAIRP Heavy,Dsl,IDLEX,CO,3.7701772768254443e-06
2018,July,Glenn (SV),T6 CAIRP Heavy,Dsl,IDLEX,NOx,1.2017131196268752e-05
2018,July,Glenn (SV),T6 CAIRP Heavy,Dsl,IDLEX,PM,3.4044362787248005e-08
2018,July,Glenn (SV),T6 CAIRP Heavy,Dsl,IDLEX,PM10,3.384009661052457e-08
2018,July,Glenn (SV),T6 CAIRP Heavy,Dsl,IDLEX,PM2_5,3.23761890106729e-08
2018,July,Glenn (SV),T6 CAIRP Heavy,Dsl,STREX,NOx,2.6614678560668686e-05
2018,July,Glenn (SV),T6 CAIRP Heavy,Dsl,PMTW,PM,4.917468642641504e-06
2018,July,Glenn (SV),T6 CAIRP Heavy,Dsl,PMTW,PM10,4.917468642641504e-06
2018,July,Glenn (SV),T6 CAIRP Heavy,Dsl,PMTW,PM2_5,1.229367160660376e-06
2018,July,Glenn (SV),T6 CAIRP Heavy,Dsl,PMBW,PM,5.4501944122610006e-05
2018,July,Glenn (SV),T6 CAIRP Heavy,Dsl,PMBW,PM10,5.341190524015781e-05
2018,July,Glenn (SV),T6 CAIRP Heavy,Dsl,PMBW,PM2_5,2.2890816531496205e-05
2018,July,Glenn (SV),T6 Instate Construction Small,Dsl,RUNEX,CO,0.002733562166012735
2018,July,Glenn (SV),T6 Instate Construction Small,Dsl,RUNEX,NOx,0.010329061810492144
2018,July,Glenn (SV),T6 Instate Construction Small,Dsl,RUNEX,PM,0.0004069049993492708
2018,July,Glenn (SV),T6 Instate Construction Small,Dsl,RUNEX,PM10,0.0004044635693531754
2018,July,Glenn (SV),T6 Instate Construction Small,Dsl,RUNEX,PM2_5,0.0003869666543811567
2018,July,Glenn (SV),T6 Instate Construction Small,Dsl,IDLEX,CO,7.572463514109008e-05
2018,July,Glenn (SV),T6 Instate Construction Small,Dsl,IDLEX,NOx,0.00032852012734775084
2018,July,Glenn (SV),T6 Instate Construction Small,Dsl,IDLEX,PM,1.4855851808623058e-06
2018,July,Glenn (SV),T6 Instate Construction Small,Dsl,IDLEX,PM10,1.4766716697771318e-06
2018,July,Glenn (SV),T6 Instate Construction Small,Dsl,IDLEX,PM2_5,1.412791507000053e-06
2018,July,Glenn (SV),T6 Instate Construction Small,Dsl,STREX,NOx,0.00022121731224792655
2018,July,Glenn (SV),T6 Instate Construction Small,Dsl,PMTW,PM,2.4178071185029687e-05
2018,July,Glenn (SV),T6 Instate Construction Small,Dsl,PMTW,PM10,2.4178071185029687e-05
2018,July,Glenn (SV),T6 Instate Construction Small,Dsl,PMTW,PM2_5,6.044517796257422e-06
2018,July,Glenn (SV),T6 Instate Construction Small,Dsl,PMBW,PM,0.00026797362230074584
2018,July,Glenn (SV),T6 Instate Construction Small,Dsl,PMBW,PM10,0.0002626141498547307
2018,July,Glenn (SV),T6 Instate Construction Small,Dsl,PMBW,PM2_5,0.00011254892136631326
2018,July,Glenn (SV),T6 Instate Construction Heavy,Dsl,RUNEX,CO,0.0031786848077747266
2018,July,Glenn (SV),T6 Instate Construction Heavy,Dsl,RUNEX,NOx,0.014590127912453907
2018,July,Glenn (SV),T6 Instate Construction Heavy,Dsl,RUNEX,PM,0.0005473864054171715
2018,July,Glenn (SV),T6 Instate Construction Heavy,Dsl,RUNEX,PM10,0.0005441020869846678
2018,July,Glenn (SV),T6 Instate Construction Heavy,Dsl,RUNEX,PM2_5,0.0005205644715517299
2018,July,Glenn (SV),T6 Instate Construction Heavy,Dsl,IDLEX,CO,7.056347066330935e-05
2018,July,Glenn (SV),T6 Instate Construction Heavy,Dsl,IDLEX,NOx,0.0002800089361176447
2018,July,Glenn (SV),T6 Instate Construction Heavy,Dsl,IDLEX,PM,2.298088805445421e-06
2018,July,Glenn (SV),T6 Instate Construction Heavy,Dsl,IDLEX,PM10,2.2843002726127445e-06
2018,July,Glenn (SV),T6 Instate Construction Heavy,Dsl,IDLEX,PM2_5,2.1854824539785914e-06
2018,July,Glenn (SV),T6 Instate Construction Heavy,Dsl,STREX,NOx,0.00016049766685466584
2018,July,Glenn (SV),T6 Instate Construction Heavy,Dsl,PMTW,PM,2.789815287143985e-05
2018,July,Glenn (SV),T6 Instate Construction Heavy,Dsl,PMTW,PM10,2.789815287143985e-05
2018,July,Glenn (SV),T6 Instate Construction Heavy,Dsl,PMTW,PM2_5,6.974538217859963e-06
2018,July,Glenn (SV),T6 Instate Construction Heavy,Dsl,PMBW,PM,0.0003092045276584584
2018,July,Glenn (SV),T6 Instate Construction Heavy,Dsl,PMBW,PM10,0.0003030204371052892
2018,July,Glenn (SV),T6 Instate Construction Heavy,Dsl,PMBW,PM2_5,0.00012986590161655266
2018,July,Glenn (SV),T6 Instate Small,Dsl,RUNEX,CO,0.00976427847357519
2018,July,Glenn (SV),T6 Instate Small,Dsl,RUNEX,NOx,0.0442708455817162
2018,July,Glenn (SV),T6 Instate Small,Dsl,RUNEX,PM,0.0015756816720820651
2018,July,Glenn (SV),T6 Instate Small,Dsl,RUNEX,PM10,0.0015662275820495725
2018,July,Glenn (SV),T6 Instate Small,Dsl,RUNEX,PM2_5,0.0014984732701500446
2018,July,Glenn (SV),T6 Instate Small,Dsl,IDLEX,CO,0.0004391732390209878
2018,July,Glenn (SV),T6 Instate Small,Dsl,IDLEX,NOx,0.0017298932002691155
2018,July,Glenn (SV),T6 Instate Small,Dsl,IDLEX,PM,7.354651396925193e-06
2018,July,Glenn (SV),T6 Instate Small,Dsl,IDLEX,PM10,7.3105234885436505e-06
2018,July,Glenn (SV),T6 Instate Small,Dsl,IDLEX,PM2_5,6.994273478475861e-06
2018,July,Glenn (SV),T6 Instate Small,Dsl,STREX,NOx,0.002985171218260015
2018,July,Glenn (SV),T6 Instate Small,Dsl,PMTW,PM,0.0001410428102606462
2018,July,Glenn (SV),T6 Instate Small,Dsl,PMTW,PM10,0.0001410428102606462
2018,July,Glenn (SV),T6 Instate Small,Dsl,PMTW,PM2_5,3.526070256516155e-05
2018,July,Glenn (SV),T6 Instate Small,Dsl,PMBW,PM,0.0015632244803888285
2018,July,Glenn (SV),T6 Instate Small,Dsl,PMBW,PM10,0.0015319599907810514
