calendar_year,season_month,sub_area,vehicle_class,fuel,process,pollutant,emission
2018,July,Humboldt (NC),SBUS,Gas,RUNEX,CO,0.0049010732039143036
2018,July,Humboldt (NC),SBUS,Gas,RUNEX,NOx,0.0011498932500133773
2018,July,Humboldt (NC),SBUS,Gas,RUNEX,SOx,3.8395354276309965e-06
2018,July,Humboldt (NC),SBUS,Gas,RUNEX,PM,1.5083737033803636e-06
2018,July,Humboldt (NC),SBUS,Gas,RUNEX,TOG,0.00030863779559819237
2018,July,Humboldt (NC),SBUS,Gas,RUNEX,PM10,1.3484860908220447e-06
2018,July,Humboldt (NC),SBUS,Gas,RUNEX,PM2_5,1.2398831841786587e-06
2018,July,Humboldt (NC),SBUS,Gas,IDLEX,CO,0.0006819671369672134
2018,July,Humboldt (NC),SBUS,Gas,IDLEX,NOx,7.683033760447682e-06
2018,July,Humboldt (NC),SBUS,Gas,IDLEX,SOx,2.2445987630659047e-07
2018,July,Humboldt (NC),SBUS,Gas,IDLEX,TOG,0.00012799815890359622
2018,July,Humboldt (NC),SBUS,Gas,STREX,CO,0.0007528246114127358
2018,July,Humboldt (NC),SBUS,Gas,STREX,NOx,1.8361002387250583e-05
2018,July,Humboldt (NC),SBUS,Gas,STREX,SOx,2.4461075431485086e-08
2018,July,Humboldt (NC),SBUS,Gas,STREX,PM,4.068540280289873e-08
2018,July,Humboldt (NC),SBUS,Gas,STREX,TOG,2.7178369788844185e-05
2018,July,Humboldt (NC),SBUS,Gas,STREX,PM10,3.6372750105791474e-08
2018,July,Humboldt (NC),SBUS,Gas,STREX,PM2_5,3.344340110398276e-08
2018,July,Humboldt (NC),SBUS,Gas,HOTSOAK,TOG,8.151807099786058e-06
2018,July,Humboldt (NC),SBUS,Gas,RUNLOSS,TOG,5.353255276097577e-05
2018,July,Humboldt (NC),SBUS,Gas,RESTLOSS,TOG,2.652416050874405e-07
2018,July,Humboldt (NC),SBUS,Gas,DIURN,TOG,7.09211575020992e-07
2018,July,Humboldt (NC),SBUS,Gas,PMTW,PM,3.378125277916708e-06
2018,July,Humboldt (NC),SBUS,Gas,PMTW,PM10,3.378125277916708e-06
2018,July,Humboldt (NC),SBUS,Gas,PMTW,PM2_5,8.44531319479177e-07
2018,July,Humboldt (NC),SBUS,Gas,PMBW,PM,0.0003209218971794307
2018,July,Humboldt (NC),SBUS,Gas,PMBW,PM10,0.00031450345923584216
2018,July,Humboldt (NC),SBUS,Gas,PMBW,PM2_5,0.0001347871968153609
2018,July,Humboldt (NC),T6 Ag,Dsl,RUNEX,CO,8.183817796627754e-05
2018,July,Humboldt (NC),T6 Ag,Dsl,RUNEX,NOx,0.0005652422418940119
2018,July,Humboldt (NC),T6 Ag,Dsl,RUNEX,PM,1.6573370691309458e-05
2018,July,Humboldt (NC),T6 Ag,Dsl,RUNEX,PM10,1.6473930467161598e-05
2018,July,Humboldt (NC),T6 Ag,Dsl,RUNEX,PM2_5,1.5761275527435296e-05
2018,July,Humboldt (NC),T6 Ag,Dsl,IDLEX,CO,8.538507784199273e-06
2018,July,Humboldt (NC),T6 Ag,Dsl,IDLEX,NOx,3.663959531879464e-05
2018,July,Humboldt (NC),T6 Ag,Dsl,IDLEX,PM,3.75618672378273e-07
2018,July,Humboldt (NC),T6 Ag,Dsl,IDLEX,PM10,3.733649603440032e-07
2018,July,Humboldt (NC),T6 Ag,Dsl,IDLEX,PM2_5,3.5721335743173747e-07
2018,July,Humboldt (NC),T6 Ag,Dsl,STREX,NOx,5.082191409420935e-06
2018,July,Humboldt (NC),T6 Ag,Dsl,PMTW,PM,5.918110398882787e-07
2018,July,Humboldt (NC),T6 Ag,Dsl,PMTW,PM10,5.918110398882787e-07
2018,July,Humboldt (NC),T6 Ag,Dsl,PMTW,PM2_5,1.4795275997206968e-07
2018,July,Humboldt (NC),T6 Ag,Dsl,PMBW,PM,6.5592390254284185e-06
2018,July,Humboldt (NC),T6 Ag,Dsl,PMBW,PM10,6.428054244919855e-06
2018,July,Humboldt (NC),T6 Ag,Dsl,PMBW,PM2_5,2.7548803906799357e-06
2018,July,Humboldt (NC),T6 Public,Dsl,RUNEX,CO,0.0005802164906735307
2018,July,Humboldt (NC),T6 Public,Dsl,RUNEX,NOx,0.01702727444795492
2018,July,Humboldt (NC),T6 Public,Dsl,RUNEX,PM,0.00012510697436366922
2018,July,Humboldt (NC),T6 Public,Dsl,RUNEX,PM10,0.00012435633251748737
2018,July,Humboldt (NC),T6 Public,Dsl,RUNEX,PM2_5,0.00011897673261984949
2018,July,Humboldt (NC),T6 Public,Dsl,IDLEX,CO,0.0005690410429883222
2018,July,Humboldt (NC),T6 Public,Dsl,IDLEX,NOx,0.006354427654800999
2018,July,Humboldt (NC),T6 Public,Dsl,IDLEX,PM,1.696258743973063e-05
2018,July,Humboldt (NC),T6 Public,Dsl,IDLEX,PM10,1.6860811915092254e-05
2018,July,Humboldt (NC),T6 Public,Dsl,IDLEX,PM2_5,1.613142065518383e-05
2018,July,Humboldt (NC),T6 Public,Dsl,STREX,NOx,0.00025512063345456925
2018,July,Humboldt (NC),T6 Public,Dsl,PMTW,PM,2.3411804305932775e-05
2018,July,Humboldt (NC),T6 Public,Dsl,PMTW,PM10,2.3411804305932775e-05
2018,July,Humboldt (NC),T6 Public,Dsl,PMTW,PM2_5,5.852951076483194e-06
2018,July,Humboldt (NC),T6 Public,Dsl,PMBW,PM,0.00025948083105742164
2018,July,Humboldt (NC),T6 Public,Dsl,PMBW,PM10,0.0002542912144362733
2018,July,Humboldt (NC),T6 Public,Dsl,PMBW,PM2_5,0.00010898194904411714
2018,July,Humboldt (NC),T6 CAIRP Small,Dsl,RUNEX,CO,0.00012026511164576914
2018,July,Humboldt (NC),T6 CAIRP Small,Dsl,RUNEX,NOx,0.0006292830157227088
2018,July,Humboldt (NC),T6 CAIRP Small,Dsl,RUNEX,PM,2.541552393608537e-05
2018,July,Humboldt (NC),T6 CAIRP Small,Dsl,RUNEX,PM10,2.526303079246887e-05
2018,July,Humboldt (NC),T6 CAIRP Small,Dsl,RUNEX,PM2_5,2.4170163263217192e-05
2018,July,Humboldt (NC),T6 CAIRP Small,Dsl,IDLEX,CO,9.336103340764382e-06
