calendar_year,season_month,sub_area,vehicle_class,fuel,process,pollutant,emission
2018,July,Imperial (SS),SBUS,Gas,RUNEX,CO,0.003270738993048367
2018,July,Imperial (SS),SBUS,Gas,RUNEX,NOx,0.00030770809769833755
2018,July,Imperial (SS),SBUS,Gas,RUNEX,SOx,1.2904892191222994e-05
2018,July,Imperial (SS),SBUS,Gas,RUNEX,PM,1.7154882998703369e-06
2018,July,Imperial (SS),SBUS,Gas,RUNEX,TOG,0.00019410379979295712
2018,July,Imperial (SS),SBUS,Gas,RUNEX,PM10,1.5336465400840814e-06
2018,July,Imperial (SS),SBUS,Gas,RUNEX,PM2_5,1.4101313824934168e-06
2018,July,Imperial (SS),SBUS,Gas,IDLEX,CO,0.001996362558820373
2018,July,Imperial (SS),SBUS,Gas,IDLEX,NOx,2.2493239012940014e-05
2018,July,Imperial (SS),SBUS,Gas,IDLEX,SOx,6.428797407333373e-07
2018,July,Imperial (SS),SBUS,Gas,IDLEX,TOG,0.0003765749546281978
2018,July,Imperial (SS),SBUS,Gas,STREX,CO,0.0004956360364634441
2018,July,Imperial (SS),SBUS,Gas,STREX,NOx,5.01865514907837e-05
2018,July,Imperial (SS),SBUS,Gas,STREX,SOx,4.2413768978824396e-08
2018,July,Imperial (SS),SBUS,Gas,STREX,PM,4.2837328435683394e-08
2018,July,Imperial (SS),SBUS,Gas,STREX,TOG,2.693216894209313e-05
2018,July,Imperial (SS),SBUS,Gas,STREX,PM10,3.829657162150093e-08
2018,July,Imperial (SS),SBUS,Gas,STREX,PM2_5,3.5212283974131735e-08
2018,July,Imperial (SS),SBUS,Gas,HOTSOAK,TOG,8.629087023413898e-06
2018,July,Imperial (SS),SBUS,Gas,RUNLOSS,TOG,7.632014676849101e-05
2018,July,Imperial (SS),SBUS,Gas,RESTLOSS,TOG,1.316945560087689e-06
2018,July,Imperial (SS),SBUS,Gas,DIURN,TOG,3.2750579291758707e-06
2018,July,Imperial (SS),SBUS,Gas,PMTW,PM,1.1612804795434842e-05
2018,July,Imperial (SS),SBUS,Gas,PMTW,PM10,1.1612804795434842e-05
2018,July,Imperial (SS),SBUS,Gas,PMTW,PM2_5,2.9032011988587105e-06
2018,July,Imperial (SS),SBUS,Gas,PMBW,PM,0.0011032164410503045
2018,July,Imperial (SS),SBUS,Gas,PMBW,PM10,0.0010811521122292974
2018,July,Imperial (SS),SBUS,Gas,PMBW,PM2_5,0.00046335090524112757
2018,July,Imperial (SS),T6 Ag,Dsl,RUNEX,CO,0.00045889208904478454
2018,July,Imperial (SS),T6 Ag,Dsl,RUNEX,NOx,0.002155897465280819
2018,July,Imperial (SS),T6 Ag,Dsl,RUNEX,PM,0.00010754927605152991
2018,July,Imperial (SS),T6 Ag,Dsl,RUNEX,PM10,0.00010690398039522074
2018,July,Imperial (SS),T6 Ag,Dsl,RUNEX,PM2_5,0.00010227936152500502
2018,July,Imperial (SS),T6 Ag,Dsl,IDLEX,CO,4.010058486547976e-05
2018,July,Imperial (SS),T6 Ag,Dsl,IDLEX,NOx,0.0001417985858324285
2018,July,Imperial (SS),T6 Ag,Dsl,IDLEX,PM,2.176291825335663e-06
2018,July,Imperial (SS),T6 Ag,Dsl,IDLEX,PM10,2.163234074383647e-06
2018,July,Imperial (SS),T6 Ag,Dsl,IDLEX,PM2_5,2.0696535258942145e-06
2018,July,Imperial (SS),T6 Ag,Dsl,STREX,NOx,3.311200870354346e-05
2018,July,Imperial (SS),T6 Ag,Dsl,PMTW,PM,3.1150477183926704e-06
2018,July,Imperial (SS),T6 Ag,Dsl,PMTW,PM10,3.1150477183926704e-06
2018,July,Imperial (SS),T6 Ag,Dsl,PMTW,PM2_5,7.787619295981676e-07
2018,July,Imperial (SS),T6 Ag,Dsl,PMBW,PM,3.452511221218542e-05
2018,July,Imperial (SS),T6 Ag,Dsl,PMBW,PM10,3.3834609967941745e-05
2018,July,Imperial (SS),T6 Ag,Dsl,PMBW,PM2_5,1.4500547129117885e-05
2018,July,Imperial (SS),T6 Public,Dsl,RUNEX,CO,0.0005955968930614665
2018,July,Imperial (SS),T6 Public,Dsl,RUNEX,NOx,0.022965680307273483
2018,July,Imperial (SS),T6 Public,Dsl,RUNEX,PM,0.0001596137695821422
2018,July,Imperial (SS),T6 Public,Dsl,RUNEX,PM10,0.00015865608696464942
2018,July,Imperial (SS),T6 Public,Dsl,RUNEX,PM2_5,0.00015179269487261725
2018,July,Imperial (SS),T6 Public,Dsl,IDLEX,CO,0.0018973858963390229
2018,July,Imperial (SS),T6 Public,Dsl,IDLEX,NOx,0.012878483609183205
2018,July,Imperial (SS),T6 Public,Dsl,IDLEX,PM,2.4469828535874477e-05
2018,July,Imperial (SS),T6 Public,Dsl,IDLEX,PM10,2.4323009564659277e-05
2018,July,Imperial (SS),T6 Public,Dsl,IDLEX,PM2_5,2.327080693761663e-05
2018,July,Imperial (SS),T6 Public,Dsl,STREX,NOx,0.001282294275879846
2018,July,Imperial (SS),T6 Public,Dsl,PMTW,PM,6.151414090605281e-05
2018,July,Imperial (SS),T6 Public,Dsl,PMTW,PM10,6.151414090605281e-05
2018,July,Imperial (SS),T6 Public,Dsl,PMTW,PM2_5,1.5378535226513203e-05
2018,July,Imperial (SS),T6 Public,Dsl,PMBW,PM,0.0006817817283754183
2018,July,Imperial (SS),T6 Public,Dsl,PMBW,PM10,0.0006681460938079103
2018,July,Imperial (SS),T6 Public,Dsl,PMBW,PM2_5,0.0002863483259176756
2018,July,Imperial (SS),T6 CAIRP Small,Dsl,RUNEX,CO,0.0005114342162939165
2018,July,Imperial (SS),T6 CAIRP Small,Dsl,RUNEX,NOx,0.0026819977805954257
2018,July,Imperial (SS),T6 CAIRP Small,Dsl,RUNEX,PM,0.00011923490500307395
2018,July,Imperial (SS),T6 CAIRP Small,Dsl,RUNEX,PM10,0.00011851949557305545
2018,July,Imperial (SS),T6 CAIRP Small,Dsl,RUNEX,PM2_5,0.0001133923946579232
2018,July,Imperial (SS),T6 CAIRP Small,Dsl,IDLEX,CO,4.708519150502088e-05
2018,July,Imperial (SS),T6 CAIRP Small,Dsl,IDLEX,NOx,0.00014864550107765366
2018,July,Imperial (SS),T6 CAIRP Small,Dsl,IDLEX,PM,4.789021416971717e-07
2018,July,Imperial (SS),T6 CAIRP Small,Dsl,IDLEX,PM10,4.760287288469893e-07
2018,July,Imperial (SS),T6 CAIRP Small,Dsl,IDLEX,PM2_5,4.554359367540103e-07
2018,July,Imperial (SS),T6 CAIRP Small,Dsl,STREX,NOx,0.00031832773316172646
2018,July,Imperial (SS),T6 CAIRP Small,Dsl,PMTW,PM,1.6192535456845645e-05
2018,July,Imperial (SS),T6 CAIRP Small,Dsl,PMTW,PM10,1.6192535456845645e-05
2018,July,Imperial (SS),T6 CAIRP Small,Dsl,PMTW,PM2_5,4.048133864211411e-06
2018,July,Imperial (SS),T6 CAIRP Small,Dsl,PMBW,PM,0.00017946726798003928
2018,July,Imperial (SS),T6 CAIRP Small,Dsl,PMBW,PM10,0.00017587792262043842
2018,July,Imperial (SS),T6 CAIRP Small,Dsl,PMBW,PM2_5,7.537625255161645e-05
2018,July,Imperial (SS),T6 CAIRP Heavy,Dsl,RUNEX,CO,0.002023843614276019
2018,July,Imperial (SS),T6 CAIRP Heavy,Dsl,RUNEX,NOx,0.014958915071776062
2018,July,Imperial (SS),T6 CAIRP Heavy,Dsl,RUNEX,PM,0.0004616663339597429
2018,July,Imperial (SS),T6 CAIRP Heavy,Dsl,RUNEX,PM10,0.00045889633595598464
2018,July,Imperial (SS),T6 CAIRP Heavy,Dsl,RUNEX,PM2_5,0.00043904468359571577
2018,July,Imperial (SS),T6 CAIRP Heavy,Dsl,IDLEX,CO,8.451171726309471e-05
2018,July,Imperial (SS),T6 CAIRP Heavy,Dsl,IDLEX,NOx,0.0002421487915639405
2018,July,Imperial (SS),T6 CAIRP Heavy,Dsl,IDLEX,PM,6.496145677052817e-07
2018,July,Imperial (SS),T6 CAIRP Heavy,Dsl,IDLEX,PM10,6.457168802990509e-07
2018,July,Imperial (SS),T6 CAIRP Heavy,Dsl,IDLEX,PM2_5,6.177834538877232e-07
2018,July,Imperial (SS),T6 CAIRP Heavy,Dsl,STREX,NOx,0.000627498038951493
2018,July,Imperial (SS),T6 CAIRP Heavy,Dsl,PMTW,PM,0.00011191594430029172
2018,July,Imperial (SS),T6 CAIRP Heavy,Dsl,PMTW,PM10,0.00011191594430029172
2018,July,Imperial (SS),T6 CAIRP Heavy,Dsl,PMTW,PM2_5,2.797898607507293e-05
2018,July,Imperial (SS),T6 CAIRP Heavy,Dsl,PMBW,PM,0.0012404017159949013
2018,July,Imperial (SS),T6 CAIRP Heavy,Dsl,PMBW,PM10,0.0012155936816750023
2018,July,Imperial (SS),T6 CAIRP Heavy,Dsl,PMBW,PM2_5,0.0005209687207178581
2018,July,Imperial (SS),T6 Instate Construction Small,Dsl,RUNEX,CO,0.017114023269243026
2018,July,Imperial (SS),T6 Instate Construction Small,Dsl,RUNEX,NOx,0.08195827355640478
2018,July,Imperial (SS),T6 Instate Construction Small,Dsl,RUNEX,PM,0.003926782496301454
2018,July,Imperial (SS),T6 Instate Construction Small,Dsl,RUNEX,PM10,0.003903221801323649
2018,July,Imperial (SS),T6 Instate Construction Small,Dsl,RUNEX,PM2_5,0.0037343701539826815
2018,July,Imperial (SS),T6 Instate Construction Small,Dsl,IDLEX,CO,0.0009108049589301272
2018,July,Imperial (SS),T6 Instate Construction Small,Dsl,IDLEX,NOx,0.003951392575734258
2018,July,Imperial (SS),T6 Instate Construction Small,Dsl,IDLEX,PM,1.786840368555683e-05
2018,July,Imperial (SS),T6 Instate Construction Small,Dsl,IDLEX,PM10,1.7761193263443475e-05
2018,July,Imperial (SS),T6 Instate Construction Small,Dsl,IDLEX,PM2_5,1.699285190496454e-05
2018,July,Imperial (SS),T6 Instate Construction Small,Dsl,STREX,NOx,0.0026607698356181974
2018,July,Imperial (SS),T6 Instate Construction Small,Dsl,PMTW,PM,0.0002908103431817167
2018,July,Imperial (SS),T6 Instate Construction Small,Dsl,PMTW,PM10,0.0002908103431817167
2018,July,Imperial (SS),T6 Instate Construction Small,Dsl,PMTW,PM2_5,7.270258579542917e-05
2018,July,Imperial (SS),T6 Instate Construction Small,Dsl,PMBW,PM,0.0032231479702640236
2018,July,Imperial (SS),T6 Instate Construction Small,Dsl,PMBW,PM10,0.003158685010858746
2018,July,Imperial (SS),T6 Instate Construction Small,Dsl,PMBW,PM2_5,0.001353722147510891
2018,July,Imperial (SS),T6 Instate Construction Heavy,Dsl,RUNEX,CO,0.006621437139408041
2018,July,Imperial (SS),T6 Instate Construction Heavy,Dsl,RUNEX,NOx,0.04140932859362461
2018,July,Imperial (SS),T6 Instate Construction Heavy,Dsl,RUNEX,PM,0.001533803354576893
2018,July,Imperial (SS),T6 Instate Construction Heavy,Dsl,RUNEX,PM10,0.0015246005344494331
2018,July,Imperial (SS),T6 Instate Construction Heavy,Dsl,RUNEX,PM2_5,0.0014586469902026263
2018,July,Imperial (SS),T6 Instate Construction Heavy,Dsl,IDLEX,CO,0.000292756501401291
2018,July,Imperial (SS),T6 Instate Construction Heavy,Dsl,IDLEX,NOx,0.001161712083154709
2018,July,Imperial (SS),T6 Instate Construction Heavy,Dsl,IDLEX,PM,9.534401188992196e-06
2018,July,Imperial (SS),T6 Instate Construction Heavy,Dsl,IDLEX,PM10,9.47719478185824e-06
2018,July,Imperial (SS),T6 Instate Construction Heavy,Dsl,IDLEX,PM2_5,9.067215530731574e-06
2018,July,Imperial (SS),T6 Instate Construction Heavy,Dsl,STREX,NOx,0.0006658790304637538
2018,July,Imperial (SS),T6 Instate Construction Heavy,Dsl,PMTW,PM,0.00011574495349259915
2018,July,Imperial (SS),T6 Instate Construction Heavy,Dsl,PMTW,PM10,0.00011574495349259915
2018,July,Imperial (SS),T6 Instate Construction Heavy,Dsl,PMTW,PM2_5,2.8936238373149787e-05
2018,July,Imperial (SS),T6 Instate Construction Heavy,Dsl,PMBW,PM,0.00128283990120964
2018,July,Imperial (SS),T6 Instate Construction Heavy,Dsl,PMBW,PM10,0.0012571831031854479
2018,July,Imperial (SS),T6 Instate Construction Heavy,Dsl,PMBW,PM2_5,0.0005387927585080489
2018,July,Imperial (SS),T6 Instate Small,Dsl,RUNEX,CO,0.018132940261917144
2018,July,Imperial (SS),T6 Instate Small,Dsl,RUNEX,NOx,0.08576879866278952
2018,July,Imperial (SS),T6 Instate Small,Dsl,RUNEX,PM,0.0041581638765468614
2018,July,Imperial (SS),T6 Instate Small,Dsl,RUNEX,PM10,0.004133214893287585
2018,July,Imperial (SS),T6 Instate Small,Dsl,RUNEX,PM2_5,0.00395441384659606
2018,July,Imperial (SS),T6 Instate Small,Dsl,IDLEX,CO,0.0008947584954122577
2018,July,Imperial (SS),T6 Instate Small,Dsl,IDLEX,NOx,0.004193799513233437
2018,July,Imperial (SS),T6 Instate Small,Dsl,IDLEX,PM,2.0396739667672204e-05
2018,July,Imperial (SS),T6 Instate Small,Dsl,IDLEX,PM10,2.0274359229666138e-05
2018,July,Imperial (SS),T6 Instate Small,Dsl,IDLEX,PM2_5,1.9397299423956286e-05
2018,July,Imperial (SS),T6 Instate Small,Dsl,STREX,NOx,0.004499005037576388
2018,July,Imperial (SS),T6 Instate Small,Dsl,PMTW,PM,0.0002583944191834858
2018,July,Imperial (SS),T6 Instate Small,Dsl,PMTW,PM10,0.0002583944191834858
2018,July,Imperial (SS),T6 Instate Small,Dsl,PMTW,PM2_5,6.459860479587145e-05
2018,July,Imperial (SS),T6 Instate Small,Dsl,PMBW,PM,0.002863871479283637
2018,July,Imperial (SS),T6 Instate Small,Dsl,PMBW,PM10,0.0028065940496979623
2018,July,Imperial (SS),T6 Instate Small,Dsl,PMBW,PM2_5,0.0012028260212991273
2018,July,Imperial (SS),T6 Instate Heavy,Dsl,RUNEX,CO,0.022871490549678047
2018,July,Imperial (SS),T6 Instate Heavy,Dsl,RUNEX,NOx,0.14548870069934958
2018,July,Imperial (SS),T6 Instate Heavy,Dsl,RUNEX,PM,0.005324875884684679
2018,July,Imperial (SS),T6 Instate Heavy,Dsl,RUNEX,PM10,0.0052929266293765785
2018,July,Imperial (SS),T6 Instate Heavy,Dsl,RUNEX,PM2_5,0.00506395696633513
2018,July,Imperial (SS),T6 Instate Heavy,Dsl,IDLEX,CO,0.00046994604279673724
2018,July,Imperial (SS),T6 Instate Heavy,Dsl,IDLEX,NOx,0.0021718563212743546
2018,July,Imperial (SS),T6 Instate Heavy,Dsl,IDLEX,PM,1.3939286432545974e-05
2018,July,Imperial (SS),T6 Instate Heavy,Dsl,IDLEX,PM10,1.3855650713950692e-05
2018,July,Imperial (SS),T6 Instate Heavy,Dsl,IDLEX,PM2_5,1.325626139735125e-05
2018,July,Imperial (SS),T6 Instate Heavy,Dsl,STREX,NOx,0.002187729511561621
2018,July,Imperial (SS),T6 Instate Heavy,Dsl,PMTW,PM,0.0003847040850762885
