calendar_year,season_month,sub_area,vehicle_class,fuel,process,pollutant,emission
2018,July,Inyo (GBV),SBUS,Gas,RUNEX,CO,8.004331093876949e-05
2018,July,Inyo (GBV),SBUS,Gas,RUNEX,NOx,4.17623667869571e-05
2018,July,Inyo (GBV),SBUS,Gas,RUNEX,SOx,3.281244033568947e-06
2018,July,Inyo (GBV),SBUS,Gas,RUNEX,PM,1.8702057485235955e-07
2018,July,Inyo (GBV),SBUS,Gas,RUNEX,TOG,6.910515611629325e-06
2018,July,Inyo (GBV),SBUS,Gas,RUNEX,PM10,1.6719639391800944e-07
2018,July,Inyo (GBV),SBUS,Gas,RUNEX,PM2_5,1.5373091252863952e-07
2018,July,Inyo (GBV),SBUS,Gas,IDLEX,CO,0.0005997811965961631
2018,July,Inyo (GBV),SBUS,Gas,IDLEX,NOx,6.757169039768524e-06
2018,July,Inyo (GBV),SBUS,Gas,IDLEX,SOx,1.9363828956251725e-07
2018,July,Inyo (GBV),SBUS,Gas,IDLEX,TOG,0.00011324598739476314
2018,July,Inyo (GBV),SBUS,Gas,STREX,CO,0.00014946507325030596
2018,July,Inyo (GBV),SBUS,Gas,STREX,NOx,1.4189355333273369e-05
2018,July,Inyo (GBV),SBUS,Gas,STREX,SOx,1.2767471864962563e-08
2018,July,Inyo (GBV),SBUS,Gas,STREX,PM,5.89164718093943e-09
2018,July,Inyo (GBV),SBUS,Gas,STREX,TOG,7.710672795779172e-06
2018,July,Inyo (GBV),SBUS,Gas,STREX,PM10,5.267132579759852e-09
2018,July,Inyo (GBV),SBUS,Gas,STREX,PM2_5,4.842933982732211e-09
2018,July,Inyo (GBV),SBUS,Gas,HOTSOAK,TOG,1.4546656027373714e-06
2018,July,Inyo (GBV),SBUS,Gas,RUNLOSS,TOG,1.1892981997402989e-05
2018,July,Inyo (GBV),SBUS,Gas,RESTLOSS,TOG,1.755511301372028e-07
2018,July,Inyo (GBV),SBUS,Gas,DIURN,TOG,4.6889970128094066e-07
2018,July,Inyo (GBV),SBUS,Gas,PMTW,PM,2.949295310183992e-06
2018,July,Inyo (GBV),SBUS,Gas,PMTW,PM10,2.949295310183992e-06
2018,July,Inyo (GBV),SBUS,Gas,PMTW,PM2_5,7.37323827545998e-07
2018,July,Inyo (GBV),SBUS,Gas,PMBW,PM,0.00028018305078086013
2018,July,Inyo (GBV),SBUS,Gas,PMBW,PM10,0.000274579389765243
2018,July,Inyo (GBV),SBUS,Gas,PMBW,PM2_5,0.00011767688132796126
2018,July,Inyo (GBV),T6 Public,Dsl,RUNEX,CO,0.00026454814554610997
2018,July,Inyo (GBV),T6 Public,Dsl,RUNEX,NOx,0.00770713692378827
2018,July,Inyo (GBV),T6 Public,Dsl,RUNEX,PM,5.530403432353191e-05
2018,July,Inyo (GBV),T6 Public,Dsl,RUNEX,PM10,5.4972210117590666e-05
2018,July,Inyo (GBV),T6 Public,Dsl,RUNEX,PM2_5,5.259413664167889e-05
2018,July,Inyo (GBV),T6 Public,Dsl,IDLEX,CO,0.00034865099335609274
2018,July,Inyo (GBV),T6 Public,Dsl,IDLEX,NOx,0.002749798027830786
