calendar_year,season_month,sub_area,vehicle_class,fuel,process,pollutant,emission
2018,July,Kern (MD),SBUS,Gas,RUNEX,CO,0.0013525005524652781
2018,July,Kern (MD),SBUS,Gas,RUNEX,NOx,0.00023783704528524888
2018,July,Kern (MD),SBUS,Gas,RUNEX,SOx,4.9069858072945875e-06
2018,July,Kern (MD),SBUS,Gas,RUNEX,PM,1.8019873017893456e-06
2018,July,Kern (MD),SBUS,Gas,RUNEX,TOG,9.108747289445952e-05
2018,July,Kern (MD),SBUS,Gas,RUNEX,PM10,1.6109766477996743e-06
2018,July,Kern (MD),SBUS,Gas,RUNEX,PM2_5,1.481233562070842e-06
2018,July,Kern (MD),SBUS,Gas,IDLEX,CO,0.000527934192954254
2018,July,Kern (MD),SBUS,Gas,IDLEX,NOx,5.950804654930039e-06
2018,July,Kern (MD),SBUS,Gas,IDLEX,SOx,1.7067466352926886e-07
2018,July,Kern (MD),SBUS,Gas,IDLEX,TOG,9.915192784212533e-05
2018,July,Kern (MD),SBUS,Gas,STREX,CO,0.00013967696907896788
2018,July,Kern (MD),SBUS,Gas,STREX,NOx,1.4296698444657778e-05
2018,July,Kern (MD),SBUS,Gas,STREX,SOx,1.1392656550498747e-08
2018,July,Kern (MD),SBUS,Gas,STREX,PM,3.1843057942732435e-08
2018,July,Kern (MD),SBUS,Gas,STREX,TOG,7.226668962733466e-06
2018,July,Kern (MD),SBUS,Gas,STREX,PM10,2.8467693800802784e-08
2018,July,Kern (MD),SBUS,Gas,STREX,PM2_5,2.617499362892606e-08
2018,July,Kern (MD),SBUS,Gas,HOTSOAK,TOG,6.294855808189758e-06
2018,July,Kern (MD),SBUS,Gas,RUNLOSS,TOG,6.38774018003523e-05
2018,July,Kern (MD),SBUS,Gas,RESTLOSS,TOG,6.071848074639778e-07
2018,July,Kern (MD),SBUS,Gas,DIURN,TOG,1.8055256574846821e-06
2018,July,Kern (MD),SBUS,Gas,PMTW,PM,4.498765962583019e-06
2018,July,Kern (MD),SBUS,Gas,PMTW,PM10,4.498765962583019e-06
