calendar_year,season_month,sub_area,vehicle_class,fuel,process,pollutant,emission
2018,July,Kern (SJV),SBUS,Gas,RUNEX,CO,0.054370661543515136
2018,July,Kern (SJV),SBUS,Gas,RUNEX,NOx,0.010975626196037057
2018,July,Kern (SJV),SBUS,Gas,RUNEX,SOx,4.868439694256786e-05
2018,July,Kern (SJV),SBUS,Gas,RUNEX,PM,3.0413567025294785e-05
2018,July,Kern (SJV),SBUS,Gas,RUNEX,TOG,0.003549884357604634
2018,July,Kern (SJV),SBUS,Gas,RUNEX,PM10,2.7189728920613546e-05
2018,July,Kern (SJV),SBUS,Gas,RUNEX,PM2_5,2.4999952094792324e-05
2018,July,Kern (SJV),SBUS,Gas,IDLEX,CO,0.006475660153452411
2018,July,Kern (SJV),SBUS,Gas,IDLEX,NOx,7.297613395380864e-05
2018,July,Kern (SJV),SBUS,Gas,IDLEX,SOx,2.2305296835228813e-06
2018,July,Kern (SJV),SBUS,Gas,IDLEX,TOG,0.0012003517720514556
2018,July,Kern (SJV),SBUS,Gas,STREX,CO,0.004068591890663611
2018,July,Kern (SJV),SBUS,Gas,STREX,NOx,0.00016496596953327985
2018,July,Kern (SJV),SBUS,Gas,STREX,SOx,1.875249142388723e-07
2018,July,Kern (SJV),SBUS,Gas,STREX,PM,4.934211774811313e-07
2018,July,Kern (SJV),SBUS,Gas,STREX,TOG,0.00019063980824074385
2018,July,Kern (SJV),SBUS,Gas,STREX,PM10,4.4111853266813164e-07
2018,July,Kern (SJV),SBUS,Gas,STREX,PM2_5,4.0559220788948966e-07
2018,July,Kern (SJV),SBUS,Gas,HOTSOAK,TOG,0.0002001017085150241
2018,July,Kern (SJV),SBUS,Gas,RUNLOSS,TOG,0.0011090959669670217
2018,July,Kern (SJV),SBUS,Gas,RESTLOSS,TOG,2.5832849485131194e-05
2018,July,Kern (SJV),SBUS,Gas,DIURN,TOG,6.651131957769814e-05
2018,July,Kern (SJV),SBUS,Gas,PMTW,PM,4.309323074442945e-05
2018,July,Kern (SJV),SBUS,Gas,PMTW,PM10,4.309323074442945e-05
2018,July,Kern (SJV),SBUS,Gas,PMTW,PM2_5,1.0773307686107363e-05
2018,July,Kern (SJV),SBUS,Gas,PMBW,PM,0.004093856866854254
2018,July,Kern (SJV),SBUS,Gas,PMBW,PM10,0.004011979729517165
2018,July,Kern (SJV),SBUS,Gas,PMBW,PM2_5,0.0017194198840787868
2018,July,Kern (SJV),T6 Ag,Dsl,RUNEX,CO,0.0030111014482726243
2018,July,Kern (SJV),T6 Ag,Dsl,RUNEX,NOx,0.016863733034720545
2018,July,Kern (SJV),T6 Ag,Dsl,RUNEX,PM,0.0006872529952379495
2018,July,Kern (SJV),T6 Ag,Dsl,RUNEX,PM10,0.0006831294772665216
2018,July,Kern (SJV),T6 Ag,Dsl,RUNEX,PM2_5,0.00065357759847129
2018,July,Kern (SJV),T6 Ag,Dsl,IDLEX,CO,0.0002664222977572391
2018,July,Kern (SJV),T6 Ag,Dsl,IDLEX,NOx,0.001110786796779948
2018,July,Kern (SJV),T6 Ag,Dsl,IDLEX,PM,1.2325391620008594e-05
2018,July,Kern (SJV),T6 Ag,Dsl,IDLEX,PM10,1.2251439270288513e-05
2018,July,Kern (SJV),T6 Ag,Dsl,IDLEX,PM2_5,1.1721447430628155e-05
2018,July,Kern (SJV),T6 Ag,Dsl,STREX,NOx,0.00024317342554629163
2018,July,Kern (SJV),T6 Ag,Dsl,PMTW,PM,2.2151944668941618e-05
2018,July,Kern (SJV),T6 Ag,Dsl,PMTW,PM10,2.2151944668941618e-05
2018,July,Kern (SJV),T6 Ag,Dsl,PMTW,PM2_5,5.5379861672354045e-06
2018,July,Kern (SJV),T6 Ag,Dsl,PMBW,PM,0.00024551738674743616
2018,July,Kern (SJV),T6 Ag,Dsl,PMBW,PM10,0.0002406070390124875
2018,July,Kern (SJV),T6 Ag,Dsl,PMBW,PM2_5,0.00010311730243392313
2018,July,Kern (SJV),T6 Public,Dsl,RUNEX,CO,0.0021352269821730174
2018,July,Kern (SJV),T6 Public,Dsl,RUNEX,NOx,0.0544382050919627
2018,July,Kern (SJV),T6 Public,Dsl,RUNEX,PM,0.00039090245291057004
2018,July,Kern (SJV),T6 Public,Dsl,RUNEX,PM10,0.00038855703819310703
2018,July,Kern (SJV),T6 Public,Dsl,RUNEX,PM2_5,0.00037174823271795247
2018,July,Kern (SJV),T6 Public,Dsl,IDLEX,CO,0.0028615574739009127
2018,July,Kern (SJV),T6 Public,Dsl,IDLEX,NOx,0.023601836575020223
2018,July,Kern (SJV),T6 Public,Dsl,IDLEX,PM,5.458271428637739e-05
2018,July,Kern (SJV),T6 Public,Dsl,IDLEX,PM10,5.42552180006591e-05
2018,July,Kern (SJV),T6 Public,Dsl,IDLEX,PM2_5,5.190816128634485e-05
2018,July,Kern (SJV),T6 Public,Dsl,STREX,NOx,0.0016779486961262136
2018,July,Kern (SJV),T6 Public,Dsl,PMTW,PM,0.0001019100918100868
2018,July,Kern (SJV),T6 Public,Dsl,PMTW,PM10,0.0001019100918100868
2018,July,Kern (SJV),T6 Public,Dsl,PMTW,PM2_5,2.54775229525217e-05
2018,July,Kern (SJV),T6 Public,Dsl,PMBW,PM,0.0011295035175617957
2018,July,Kern (SJV),T6 Public,Dsl,PMBW,PM10,0.0011069134472105596
2018,July,Kern (SJV),T6 Public,Dsl,PMBW,PM2_5,0.0004743914773759538
2018,July,Kern (SJV),T6 CAIRP Small,Dsl,RUNEX,CO,0.0014528544971960879
2018,July,Kern (SJV),T6 CAIRP Small,Dsl,RUNEX,NOx,0.007400310591239424
2018,July,Kern (SJV),T6 CAIRP Small,Dsl,RUNEX,PM,0.00030629224197376
2018,July,Kern (SJV),T6 CAIRP Small,Dsl,RUNEX,PM10,0.0003044544885219172
2018,July,Kern (SJV),T6 CAIRP Small,Dsl,RUNEX,PM2_5,0.0002912839221170451
2018,July,Kern (SJV),T6 CAIRP Small,Dsl,IDLEX,CO,0.00011457833202297673
2018,July,Kern (SJV),T6 CAIRP Small,Dsl,IDLEX,NOx,0.00036652576846119196
2018,July,Kern (SJV),T6 CAIRP Small,Dsl,IDLEX,PM,1.1921483830425715e-06
2018,July,Kern (SJV),T6 CAIRP Small,Dsl,IDLEX,PM10,1.1849954927443173e-06
2018,July,Kern (SJV),T6 CAIRP Small,Dsl,IDLEX,PM2_5,1.1337331122734848e-06
2018,July,Kern (SJV),T6 CAIRP Small,Dsl,STREX,NOx,0.0007677337868628634
2018,July,Kern (SJV),T6 CAIRP Small,Dsl,PMTW,PM,3.936022201391853e-05
2018,July,Kern (SJV),T6 CAIRP Small,Dsl,PMTW,PM10,3.936022201391853e-05
2018,July,Kern (SJV),T6 CAIRP Small,Dsl,PMTW,PM2_5,9.840055503479632e-06
2018,July,Kern (SJV),T6 CAIRP Small,Dsl,PMBW,PM,0.0004362424606542639
2018,July,Kern (SJV),T6 CAIRP Small,Dsl,PMBW,PM10,0.0004275176114411789
2018,July,Kern (SJV),T6 CAIRP Small,Dsl,PMBW,PM2_5,0.00018322183347479088
2018,July,Kern (SJV),T6 CAIRP Heavy,Dsl,RUNEX,CO,0.005878398341265657
2018,July,Kern (SJV),T6 CAIRP Heavy,Dsl,RUNEX,NOx,0.0421348070777902
2018,July,Kern (SJV),T6 CAIRP Heavy,Dsl,RUNEX,PM,0.0011921092328648897
2018,July,Kern (SJV),T6 CAIRP Heavy,Dsl,RUNEX,PM10,0.0011849565774676996
2018,July,Kern (SJV),T6 CAIRP Heavy,Dsl,RUNEX,PM2_5,0.0011336958804545087
2018,July,Kern (SJV),T6 CAIRP Heavy,Dsl,IDLEX,CO,0.0002137491784513025
2018,July,Kern (SJV),T6 CAIRP Heavy,Dsl,IDLEX,NOx,0.0006069596056758363
2018,July,Kern (SJV),T6 CAIRP Heavy,Dsl,IDLEX,PM,1.6215403654584615e-06
2018,July,Kern (SJV),T6 CAIRP Heavy,Dsl,IDLEX,PM10,1.6118111232657093e-06
2018,July,Kern (SJV),T6 CAIRP Heavy,Dsl,IDLEX,PM2_5,1.5420848875509957e-06
2018,July,Kern (SJV),T6 CAIRP Heavy,Dsl,STREX,NOx,0.0015931795523421767
2018,July,Kern (SJV),T6 CAIRP Heavy,Dsl,PMTW,PM,0.00028335313549384024
2018,July,Kern (SJV),T6 CAIRP Heavy,Dsl,PMTW,PM10,0.00028335313549384024
2018,July,Kern (SJV),T6 CAIRP Heavy,Dsl,PMTW,PM2_5,7.083828387346006e-05
2018,July,Kern (SJV),T6 CAIRP Heavy,Dsl,PMBW,PM,0.0031404972517233972
2018,July,Kern (SJV),T6 CAIRP Heavy,Dsl,PMBW,PM10,0.0030776873066889286
2018,July,Kern (SJV),T6 CAIRP Heavy,Dsl,PMBW,PM2_5,0.001319008845723827
2018,July,Kern (SJV),T6 Instate Construction Small,Dsl,RUNEX,CO,0.10642314980428773
2018,July,Kern (SJV),T6 Instate Construction Small,Dsl,RUNEX,NOx,0.39067809013254656
2018,July,Kern (SJV),T6 Instate Construction Small,Dsl,RUNEX,PM,0.0158416414450987
2018,July,Kern (SJV),T6 Instate Construction Small,Dsl,RUNEX,PM10,0.01574659159642809
2018,July,Kern (SJV),T6 Instate Construction Small,Dsl,RUNEX,PM2_5,0.015065401014288838
2018,July,Kern (SJV),T6 Instate Construction Small,Dsl,IDLEX,CO,0.0029481144748393136
2018,July,Kern (SJV),T6 Instate Construction Small,Dsl,IDLEX,NOx,0.012789958524137132
2018,July,Kern (SJV),T6 Instate Construction Small,Dsl,IDLEX,PM,5.783686071443907e-05
2018,July,Kern (SJV),T6 Instate Construction Small,Dsl,IDLEX,PM10,5.7489839550152446e-05
2018,July,Kern (SJV),T6 Instate Construction Small,Dsl,IDLEX,PM2_5,5.5002854539431525e-05
2018,July,Kern (SJV),T6 Instate Construction Small,Dsl,STREX,NOx,0.008612441104642252
2018,July,Kern (SJV),T6 Instate Construction Small,Dsl,PMTW,PM,0.0009413016187066872
2018,July,Kern (SJV),T6 Instate Construction Small,Dsl,PMTW,PM10,0.0009413016187066872
2018,July,Kern (SJV),T6 Instate Construction Small,Dsl,PMTW,PM2_5,0.0002353254046766718
2018,July,Kern (SJV),T6 Instate Construction Small,Dsl,PMBW,PM,0.010432759607332453
2018,July,Kern (SJV),T6 Instate Construction Small,Dsl,PMBW,PM10,0.010224104415185809
2018,July,Kern (SJV),T6 Instate Construction Small,Dsl,PMBW,PM2_5,0.004381759035079624
2018,July,Kern (SJV),T6 Instate Construction Heavy,Dsl,RUNEX,CO,0.057296984827144945
2018,July,Kern (SJV),T6 Instate Construction Heavy,Dsl,RUNEX,NOx,0.25551229756656535
2018,July,Kern (SJV),T6 Instate Construction Heavy,Dsl,RUNEX,PM,0.009866845082928977
2018,July,Kern (SJV),T6 Instate Construction Heavy,Dsl,RUNEX,PM10,0.00980764401243139
2018,July,Kern (SJV),T6 Instate Construction Heavy,Dsl,RUNEX,PM2_5,0.00938336967386544
2018,July,Kern (SJV),T6 Instate Construction Heavy,Dsl,IDLEX,CO,0.0012719330013650268
