calendar_year,season_month,sub_area,vehicle_class,fuel,process,pollutant,emission
2018,July,Kings (SJV),SBUS,Gas,RUNEX,CO,0.009182444845517076
2018,July,Kings (SJV),SBUS,Gas,RUNEX,NOx,0.0013067176759013056
2018,July,Kings (SJV),SBUS,Gas,RUNEX,SOx,6.933868444753911e-06
2018,July,Kings (SJV),SBUS,Gas,RUNEX,PM,5.812649118271896e-06
2018,July,Kings (SJV),SBUS,Gas,RUNEX,TOG,0.0005816188727868372
2018,July,Kings (SJV),SBUS,Gas,RUNEX,PM10,5.1965083117350725e-06
2018,July,Kings (SJV),SBUS,Gas,RUNEX,PM2_5,4.777997575219497e-06
2018,July,Kings (SJV),SBUS,Gas,IDLEX,CO,0.0008824818662713431
2018,July,Kings (SJV),SBUS,Gas,IDLEX,NOx,9.956486861781282e-06
2018,July,Kings (SJV),SBUS,Gas,IDLEX,SOx,3.0214207959190684e-07
2018,July,Kings (SJV),SBUS,Gas,IDLEX,TOG,0.00016360840096229446
2018,July,Kings (SJV),SBUS,Gas,STREX,CO,0.0004332504197231226
2018,July,Kings (SJV),SBUS,Gas,STREX,NOx,2.808685922518925e-05
2018,July,Kings (SJV),SBUS,Gas,STREX,SOx,2.3463923186357412e-08
2018,July,Kings (SJV),SBUS,Gas,STREX,PM,1.208981729228125e-07
2018,July,Kings (SJV),SBUS,Gas,STREX,TOG,2.3103926230068228e-05
2018,July,Kings (SJV),SBUS,Gas,STREX,PM10,1.0808296659299437e-07
2018,July,Kings (SJV),SBUS,Gas,STREX,PM2_5,9.937829814255189e-08
2018,July,Kings (SJV),SBUS,Gas,HOTSOAK,TOG,3.250043884383359e-05
2018,July,Kings (SJV),SBUS,Gas,RUNLOSS,TOG,0.00031317980405023266
2018,July,Kings (SJV),SBUS,Gas,RESTLOSS,TOG,2.903341187513183e-06
2018,July,Kings (SJV),SBUS,Gas,DIURN,TOG,1.1874641037095097e-05
2018,July,Kings (SJV),SBUS,Gas,PMTW,PM,6.128024776713479e-06
2018,July,Kings (SJV),SBUS,Gas,PMTW,PM10,6.128024776713479e-06
2018,July,Kings (SJV),SBUS,Gas,PMTW,PM2_5,1.5320061941783698e-06
2018,July,Kings (SJV),SBUS,Gas,PMBW,PM,0.00058216234612775
2018,July,Kings (SJV),SBUS,Gas,PMBW,PM10,0.0005705190992051946
2018,July,Kings (SJV),SBUS,Gas,PMBW,PM2_5,0.00024450818537365485
2018,July,Kings (SJV),T6 Ag,Dsl,RUNEX,CO,0.0009541042833148079
2018,July,Kings (SJV),T6 Ag,Dsl,RUNEX,NOx,0.004644538300647309
2018,July,Kings (SJV),T6 Ag,Dsl,RUNEX,PM,0.00022818394508543482
2018,July,Kings (SJV),T6 Ag,Dsl,RUNEX,PM10,0.00022681484141492234
2018,July,Kings (SJV),T6 Ag,Dsl,RUNEX,PM2_5,0.00021700293177624852
2018,July,Kings (SJV),T6 Ag,Dsl,IDLEX,CO,0.00011743260137087245
2018,July,Kings (SJV),T6 Ag,Dsl,IDLEX,NOx,0.00043309470136916915
2018,July,Kings (SJV),T6 Ag,Dsl,IDLEX,PM,6.753153411283977e-06
2018,July,Kings (SJV),T6 Ag,Dsl,IDLEX,PM10,6.712634490816261e-06
2018,July,Kings (SJV),T6 Ag,Dsl,IDLEX,PM2_5,6.4222488941310544e-06
2018,July,Kings (SJV),T6 Ag,Dsl,STREX,NOx,3.385788959843828e-05
2018,July,Kings (SJV),T6 Ag,Dsl,PMTW,PM,5.663127084727193e-06
2018,July,Kings (SJV),T6 Ag,Dsl,PMTW,PM10,5.663127084727193e-06
2018,July,Kings (SJV),T6 Ag,Dsl,PMTW,PM2_5,1.4157817711817982e-06
2018,July,Kings (SJV),T6 Ag,Dsl,PMBW,PM,6.276632518905976e-05
2018,July,Kings (SJV),T6 Ag,Dsl,PMBW,PM10,6.151099868527856e-05
2018,July,Kings (SJV),T6 Ag,Dsl,PMBW,PM2_5,2.636185657940509e-05
2018,July,Kings (SJV),T6 Public,Dsl,RUNEX,CO,0.0002934220713506519
2018,July,Kings (SJV),T6 Public,Dsl,RUNEX,NOx,0.008493042704894815
2018,July,Kings (SJV),T6 Public,Dsl,RUNEX,PM,6.195401383351655e-05
2018,July,Kings (SJV),T6 Public,Dsl,RUNEX,PM10,6.158228975051547e-05
2018,July,Kings (SJV),T6 Public,Dsl,RUNEX,PM2_5,5.891826715567429e-05
2018,July,Kings (SJV),T6 Public,Dsl,IDLEX,CO,0.0002520908624729641
2018,July,Kings (SJV),T6 Public,Dsl,IDLEX,NOx,0.0034413017048115
2018,July,Kings (SJV),T6 Public,Dsl,IDLEX,PM,8.795706431580562e-06
2018,July,Kings (SJV),T6 Public,Dsl,IDLEX,PM10,8.742932192991076e-06
2018,July,Kings (SJV),T6 Public,Dsl,IDLEX,PM2_5,8.364716816433133e-06
2018,July,Kings (SJV),T6 Public,Dsl,STREX,NOx,9.180456869727229e-05
2018,July,Kings (SJV),T6 Public,Dsl,PMTW,PM,1.1810381813846665e-05
2018,July,Kings (SJV),T6 Public,Dsl,PMTW,PM10,1.1810381813846665e-05
2018,July,Kings (SJV),T6 Public,Dsl,PMTW,PM2_5,2.9525954534616662e-06
2018,July,Kings (SJV),T6 Public,Dsl,PMBW,PM,0.00013089839843680035
2018,July,Kings (SJV),T6 Public,Dsl,PMBW,PM10,0.00012828043046806447
2018,July,Kings (SJV),T6 Public,Dsl,PMBW,PM2_5,5.497732734345622e-05
2018,July,Kings (SJV),T6 CAIRP Small,Dsl,RUNEX,CO,0.0001665402306558968
2018,July,Kings (SJV),T6 CAIRP Small,Dsl,RUNEX,NOx,0.0008630972172831685
2018,July,Kings (SJV),T6 CAIRP Small,Dsl,RUNEX,PM,3.496343308671891e-05
2018,July,Kings (SJV),T6 CAIRP Small,Dsl,RUNEX,PM10,3.475365248819848e-05
2018,July,Kings (SJV),T6 CAIRP Small,Dsl,RUNEX,PM2_5,3.325022486546969e-05
2018,July,Kings (SJV),T6 CAIRP Small,Dsl,IDLEX,CO,1.4002123696885618e-05
2018,July,Kings (SJV),T6 CAIRP Small,Dsl,IDLEX,NOx,4.29127465316506e-05
2018,July,Kings (SJV),T6 CAIRP Small,Dsl,IDLEX,PM,1.353775065710876e-07
