calendar_year,season_month,sub_area,vehicle_class,fuel,process,pollutant,emission
2018,July,Lake (LC),SBUS,Gas,RUNEX,CO,7.360327691329891e-05
2018,July,Lake (LC),SBUS,Gas,RUNEX,NOx,4.3297430223956086e-05
2018,July,Lake (LC),SBUS,Gas,RUNEX,SOx,3.2707531712017613e-06
2018,July,Lake (LC),SBUS,Gas,RUNEX,PM,4.276110822336141e-07
2018,July,Lake (LC),SBUS,Gas,RUNEX,TOG,7.158622614926822e-06
2018,July,Lake (LC),SBUS,Gas,RUNEX,PM10,3.822843075168511e-07
2018,July,Lake (LC),SBUS,Gas,RUNEX,PM2_5,3.5149630959603077e-07
2018,July,Lake (LC),SBUS,Gas,IDLEX,CO,0.000634301509138828
2018,July,Lake (LC),SBUS,Gas,IDLEX,NOx,7.146076842280856e-06
2018,July,Lake (LC),SBUS,Gas,IDLEX,SOx,1.996722726383565e-07
2018,July,Lake (LC),SBUS,Gas,IDLEX,TOG,0.00011976384240798405
2018,July,Lake (LC),SBUS,Gas,STREX,CO,0.0002570468438891359
2018,July,Lake (LC),SBUS,Gas,STREX,NOx,1.7046072225275395e-05
2018,July,Lake (LC),SBUS,Gas,STREX,SOx,1.4823177197564067e-08
2018,July,Lake (LC),SBUS,Gas,STREX,PM,1.546696516886467e-08
2018,July,Lake (LC),SBUS,Gas,STREX,TOG,1.000559075963854e-05
2018,July,Lake (LC),SBUS,Gas,STREX,PM10,1.3827466860965021e-08
2018,July,Lake (LC),SBUS,Gas,STREX,PM2_5,1.271384536880676e-08
2018,July,Lake (LC),SBUS,Gas,HOTSOAK,TOG,4.859275518022123e-07
2018,July,Lake (LC),SBUS,Gas,RUNLOSS,TOG,4.242492378761104e-06
2018,July,Lake (LC),SBUS,Gas,RESTLOSS,TOG,4.08332981085278e-08
2018,July,Lake (LC),SBUS,Gas,DIURN,TOG,9.240915668126201e-08
2018,July,Lake (LC),SBUS,Gas,PMTW,PM,3.0200858976872996e-06
2018,July,Lake (LC),SBUS,Gas,PMTW,PM10,3.0200858976872996e-06
2018,July,Lake (LC),SBUS,Gas,PMTW,PM2_5,7.550214744218249e-07
2018,July,Lake (LC),SBUS,Gas,PMBW,PM,0.0002869081565051862
2018,July,Lake (LC),SBUS,Gas,PMBW,PM10,0.00028116999337508223
2018,July,Lake (LC),SBUS,Gas,PMBW,PM2_5,0.00012050142573217813
2018,July,Lake (LC),T6 Ag,Dsl,RUNEX,CO,4.380529674782665e-05
2018,July,Lake (LC),T6 Ag,Dsl,RUNEX,NOx,0.00030661307200323265
2018,July,Lake (LC),T6 Ag,Dsl,RUNEX,PM,1.4676188667044157e-05
2018,July,Lake (LC),T6 Ag,Dsl,RUNEX,PM10,1.4588131535041886e-05
2018,July,Lake (LC),T6 Ag,Dsl,RUNEX,PM2_5,1.395705542235899e-05
2018,July,Lake (LC),T6 Ag,Dsl,IDLEX,CO,3.1515827782770107e-06
2018,July,Lake (LC),T6 Ag,Dsl,IDLEX,NOx,7.74751422846351e-06
2018,July,Lake (LC),T6 Ag,Dsl,IDLEX,PM,1.4594326981693739e-07
2018,July,Lake (LC),T6 Ag,Dsl,IDLEX,PM10,1.4506761019803577e-07
2018,July,Lake (LC),T6 Ag,Dsl,IDLEX,PM2_5,1.3879204959590743e-07
2018,July,Lake (LC),T6 Ag,Dsl,STREX,NOx,4.922720354396079e-06
2018,July,Lake (LC),T6 Ag,Dsl,PMTW,PM,3.599999912819273e-07
2018,July,Lake (LC),T6 Ag,Dsl,PMTW,PM10,3.599999912819273e-07
