calendar_year,season_month,sub_area,vehicle_class,fuel,process,pollutant,emission
2018,July,Lassen (NEP),SBUS,Gas,RUNEX,CO,0.0048453591121868315
2018,July,Lassen (NEP),SBUS,Gas,RUNEX,NOx,0.000422497687176668
2018,July,Lassen (NEP),SBUS,Gas,RUNEX,SOx,1.703207453582067e-06
2018,July,Lassen (NEP),SBUS,Gas,RUNEX,PM,2.281377727677904e-06
2018,July,Lassen (NEP),SBUS,Gas,RUNEX,TOG,0.00029312742018852207
2018,July,Lassen (NEP),SBUS,Gas,RUNEX,PM10,2.039551688544046e-06
2018,July,Lassen (NEP),SBUS,Gas,RUNEX,PM2_5,1.875292492151237e-06
2018,July,Lassen (NEP),SBUS,Gas,IDLEX,CO,0.00027133839705430673
2018,July,Lassen (NEP),SBUS,Gas,IDLEX,NOx,3.0655058352998507e-06
2018,July,Lassen (NEP),SBUS,Gas,IDLEX,SOx,9.542766284839015e-08
2018,July,Lassen (NEP),SBUS,Gas,IDLEX,TOG,4.9752009154959066e-05
2018,July,Lassen (NEP),SBUS,Gas,STREX,CO,0.00020418468635371805
2018,July,Lassen (NEP),SBUS,Gas,STREX,NOx,8.114802389343164e-06
2018,July,Lassen (NEP),SBUS,Gas,STREX,SOx,8.622738721787836e-09
2018,July,Lassen (NEP),SBUS,Gas,STREX,PM,6.264132982291727e-08
2018,July,Lassen (NEP),SBUS,Gas,STREX,TOG,1.2105609454842702e-05
2018,July,Lassen (NEP),SBUS,Gas,STREX,PM10,5.6001348861688025e-08
2018,July,Lassen (NEP),SBUS,Gas,STREX,PM2_5,5.1491173114437976e-08
2018,July,Lassen (NEP),SBUS,Gas,HOTSOAK,TOG,1.2931176771165621e-05
2018,July,Lassen (NEP),SBUS,Gas,RUNLOSS,TOG,0.0001740352011135345
2018,July,Lassen (NEP),SBUS,Gas,RESTLOSS,TOG,1.0504809566139105e-06
2018,July,Lassen (NEP),SBUS,Gas,DIURN,TOG,3.266469916519588e-06
2018,July,Lassen (NEP),SBUS,Gas,PMTW,PM,1.4590466070999326e-06
2018,July,Lassen (NEP),SBUS,Gas,PMTW,PM10,1.4590466070999326e-06
2018,July,Lassen (NEP),SBUS,Gas,PMTW,PM2_5,3.6476165177498316e-07
2018,July,Lassen (NEP),SBUS,Gas,PMBW,PM,0.00013860942585068538
2018,July,Lassen (NEP),SBUS,Gas,PMBW,PM10,0.00013583723733367168
2018,July,Lassen (NEP),SBUS,Gas,PMBW,PM2_5,5.821595885728784e-05
2018,July,Lassen (NEP),T6 Public,Dsl,RUNEX,CO,0.0004282607510915521
2018,July,Lassen (NEP),T6 Public,Dsl,RUNEX,NOx,0.012875313173879426
2018,July,Lassen (NEP),T6 Public,Dsl,RUNEX,PM,0.00010360430218584437
2018,July,Lassen (NEP),T6 Public,Dsl,RUNEX,PM10,0.0001029826763727292
2018,July,Lassen (NEP),T6 Public,Dsl,RUNEX,PM2_5,9.852769137873798e-05
2018,July,Lassen (NEP),T6 Public,Dsl,IDLEX,CO,0.0002667079989714405
2018,July,Lassen (NEP),T6 Public,Dsl,IDLEX,NOx,0.003790027848625406
2018,July,Lassen (NEP),T6 Public,Dsl,IDLEX,PM,1.7125967440344438e-05
2018,July,Lassen (NEP),T6 Public,Dsl,IDLEX,PM10,1.702321163570236e-05
2018,July,Lassen (NEP),T6 Public,Dsl,IDLEX,PM2_5,1.628679503576756e-05
2018,July,Lassen (NEP),T6 Public,Dsl,STREX,NOx,2.6462064588791992e-05
2018,July,Lassen (NEP),T6 Public,Dsl,PMTW,PM,1.2573284432104317e-05
2018,July,Lassen (NEP),T6 Public,Dsl,PMTW,PM10,1.2573284432104317e-05
2018,July,Lassen (NEP),T6 Public,Dsl,PMTW,PM2_5,3.1433211080260793e-06
2018,July,Lassen (NEP),T6 Public,Dsl,PMBW,PM,0.00013935390245582287
2018,July,Lassen (NEP),T6 Public,Dsl,PMBW,PM10,0.00013656682440670658
2018,July,Lassen (NEP),T6 Public,Dsl,PMBW,PM2_5,5.852863903144559e-05
2018,July,Lassen (NEP),T6 CAIRP Small,Dsl,RUNEX,CO,0.00013322695988949703
2018,July,Lassen (NEP),T6 CAIRP Small,Dsl,RUNEX,NOx,0.0007051936419811016
2018,July,Lassen (NEP),T6 CAIRP Small,Dsl,RUNEX,PM,2.8169040014176235e-05
2018,July,Lassen (NEP),T6 CAIRP Small,Dsl,RUNEX,PM10,2.8000025774091184e-05
2018,July,Lassen (NEP),T6 CAIRP Small,Dsl,RUNEX,PM2_5,2.6788757053481612e-05
2018,July,Lassen (NEP),T6 CAIRP Small,Dsl,IDLEX,CO,1.0166526459771738e-05
2018,July,Lassen (NEP),T6 CAIRP Small,Dsl,IDLEX,NOx,3.3275432798991486e-05
2018,July,Lassen (NEP),T6 CAIRP Small,Dsl,IDLEX,PM,1.0936669997514234e-07
2018,July,Lassen (NEP),T6 CAIRP Small,Dsl,IDLEX,PM10,1.0871049977529148e-07
2018,July,Lassen (NEP),T6 CAIRP Small,Dsl,IDLEX,PM2_5,1.0400773167636039e-07
2018,July,Lassen (NEP),T6 CAIRP Small,Dsl,STREX,NOx,6.716560705964195e-05
2018,July,Lassen (NEP),T6 CAIRP Small,Dsl,PMTW,PM,3.4949258802076417e-06
2018,July,Lassen (NEP),T6 CAIRP Small,Dsl,PMTW,PM10,3.4949258802076417e-06
2018,July,Lassen (NEP),T6 CAIRP Small,Dsl,PMTW,PM2_5,8.737314700519104e-07
2018,July,Lassen (NEP),T6 CAIRP Small,Dsl,PMBW,PM,3.8735428505634724e-05
2018,July,Lassen (NEP),T6 CAIRP Small,Dsl,PMBW,PM10,3.796071993552202e-05
2018,July,Lassen (NEP),T6 CAIRP Small,Dsl,PMBW,PM2_5,1.6268879972366588e-05
2018,July,Lassen (NEP),T6 CAIRP Heavy,Dsl,RUNEX,CO,0.0005518631634232336
2018,July,Lassen (NEP),T6 CAIRP Heavy,Dsl,RUNEX,NOx,0.004179739804502078
2018,July,Lassen (NEP),T6 CAIRP Heavy,Dsl,RUNEX,PM,0.00011104608230347922
2018,July,Lassen (NEP),T6 CAIRP Heavy,Dsl,RUNEX,PM10,0.00011037980580965841
2018,July,Lassen (NEP),T6 CAIRP Heavy,Dsl,RUNEX,PM2_5,0.00010560482427060885
2018,July,Lassen (NEP),T6 CAIRP Heavy,Dsl,IDLEX,CO,2.104336092933845e-05
2018,July,Lassen (NEP),T6 CAIRP Heavy,Dsl,IDLEX,NOx,5.792271421615134e-05
2018,July,Lassen (NEP),T6 CAIRP Heavy,Dsl,IDLEX,PM,1.492532878115898e-07
2018,July,Lassen (NEP),T6 CAIRP Heavy,Dsl,IDLEX,PM10,1.483577680847205e-07
2018,July,Lassen (NEP),T6 CAIRP Heavy,Dsl,IDLEX,PM2_5,1.4193987670882212e-07
2018,July,Lassen (NEP),T6 CAIRP Heavy,Dsl,STREX,NOx,0.00015934905162981523
2018,July,Lassen (NEP),T6 CAIRP Heavy,Dsl,PMTW,PM,2.807726871121839e-05
2018,July,Lassen (NEP),T6 CAIRP Heavy,Dsl,PMTW,PM10,2.807726871121839e-05
2018,July,Lassen (NEP),T6 CAIRP Heavy,Dsl,PMTW,PM2_5,7.019317177804597e-06
2018,July,Lassen (NEP),T6 CAIRP Heavy,Dsl,PMBW,PM,0.00031118972821600406
2018,July,Lassen (NEP),T6 CAIRP Heavy,Dsl,PMBW,PM10,0.0003049659336516838
2018,July,Lassen (NEP),T6 CAIRP Heavy,Dsl,PMBW,PM2_5,0.00013069968585072177
2018,July,Lassen (NEP),T6 Instate Construction Small,Dsl,RUNEX,CO,0.0013162913943962436
2018,July,Lassen (NEP),T6 Instate Construction Small,Dsl,RUNEX,NOx,0.005049747694684363
2018,July,Lassen (NEP),T6 Instate Construction Small,Dsl,RUNEX,PM,0.00019593684593663591
2018,July,Lassen (NEP),T6 Instate Construction Small,Dsl,RUNEX,PM10,0.00019476122486101615
2018,July,Lassen (NEP),T6 Instate Construction Small,Dsl,RUNEX,PM2_5,0.0001863359404857411
2018,July,Lassen (NEP),T6 Instate Construction Small,Dsl,IDLEX,CO,3.6463661525357726e-05
2018,July,Lassen (NEP),T6 Instate Construction Small,Dsl,IDLEX,NOx,0.00015819220132994342
2018,July,Lassen (NEP),T6 Instate Construction Small,Dsl,IDLEX,PM,7.153533998694255e-07
2018,July,Lassen (NEP),T6 Instate Construction Small,Dsl,IDLEX,PM10,7.110612794702092e-07
2018,July,Lassen (NEP),T6 Instate Construction Small,Dsl,IDLEX,PM2_5,6.803010832758224e-07
2018,July,Lassen (NEP),T6 Instate Construction Small,Dsl,STREX,NOx,0.00010652270799758204
2018,July,Lassen (NEP),T6 Instate Construction Small,Dsl,PMTW,PM,1.1642459582463404e-05
2018,July,Lassen (NEP),T6 Instate Construction Small,Dsl,PMTW,PM10,1.1642459582463404e-05
2018,July,Lassen (NEP),T6 Instate Construction Small,Dsl,PMTW,PM2_5,2.910614895615851e-06
2018,July,Lassen (NEP),T6 Instate Construction Small,Dsl,PMBW,PM,0.0001290372603723026
2018,July,Lassen (NEP),T6 Instate Construction Small,Dsl,PMBW,PM10,0.00012645651516485663
2018,July,Lassen (NEP),T6 Instate Construction Small,Dsl,PMBW,PM2_5,5.419564935636714e-05
2018,July,Lassen (NEP),T6 Instate Construction Heavy,Dsl,RUNEX,CO,2.374263512037129e-05
2018,July,Lassen (NEP),T6 Instate Construction Heavy,Dsl,RUNEX,NOx,0.00011065460221640774
2018,July,Lassen (NEP),T6 Instate Construction Heavy,Dsl,RUNEX,PM,4.088607861302806e-06
2018,July,Lassen (NEP),T6 Instate Construction Heavy,Dsl,RUNEX,PM10,4.064076214134989e-06
2018,July,Lassen (NEP),T6 Instate Construction Heavy,Dsl,RUNEX,PM2_5,3.888266076098958e-06
2018,July,Lassen (NEP),T6 Instate Construction Heavy,Dsl,IDLEX,CO,5.270616113583257e-07
2018,July,Lassen (NEP),T6 Instate Construction Heavy,Dsl,IDLEX,NOx,2.091478206465747e-06
2018,July,Lassen (NEP),T6 Instate Construction Heavy,Dsl,IDLEX,PM,1.7165175939572863e-08
2018,July,Lassen (NEP),T6 Instate Construction Heavy,Dsl,IDLEX,PM10,1.706218488393541e-08
2018,July,Lassen (NEP),T6 Instate Construction Heavy,Dsl,IDLEX,PM2_5,1.632408231853377e-08
2018,July,Lassen (NEP),T6 Instate Construction Heavy,Dsl,STREX,NOx,1.1988094989729162e-06
2018,July,Lassen (NEP),T6 Instate Construction Heavy,Dsl,PMTW,PM,2.0838041649767671e-07
2018,July,Lassen (NEP),T6 Instate Construction Heavy,Dsl,PMTW,PM10,2.0838041649767671e-07
2018,July,Lassen (NEP),T6 Instate Construction Heavy,Dsl,PMTW,PM2_5,5.209510412441918e-08
2018,July,Lassen (NEP),T6 Instate Construction Heavy,Dsl,PMBW,PM,2.309549616182586e-06
2018,July,Lassen (NEP),T6 Instate Construction Heavy,Dsl,PMBW,PM10,2.2633586238589343e-06
2018,July,Lassen (NEP),T6 Instate Construction Heavy,Dsl,PMBW,PM2_5,9.700108387966861e-07
2018,July,Lassen (NEP),T6 Instate Small,Dsl,RUNEX,CO,0.003708611082527284
2018,July,Lassen (NEP),T6 Instate Small,Dsl,RUNEX,NOx,0.017766835826653945
2018,July,Lassen (NEP),T6 Instate Small,Dsl,RUNEX,PM,0.0005855835699219762
2018,July,Lassen (NEP),T6 Instate Small,Dsl,RUNEX,PM10,0.0005820700685024449
2018,July,Lassen (NEP),T6 Instate Small,Dsl,RUNEX,PM2_5,0.0005568899749957991
2018,July,Lassen (NEP),T6 Instate Small,Dsl,IDLEX,CO,0.0001483635452062589
2018,July,Lassen (NEP),T6 Instate Small,Dsl,IDLEX,NOx,0.0006474379555527507
2018,July,Lassen (NEP),T6 Instate Small,Dsl,IDLEX,PM,2.8432488343270374e-06
2018,July,Lassen (NEP),T6 Instate Small,Dsl,IDLEX,PM10,2.8261893413210762e-06
2018,July,Lassen (NEP),T6 Instate Small,Dsl,IDLEX,PM2_5,2.703929641445014e-06
2018,July,Lassen (NEP),T6 Instate Small,Dsl,STREX,NOx,0.0008830680508894326
2018,July,Lassen (NEP),T6 Instate Small,Dsl,PMTW,PM,4.690039848505545e-05
2018,July,Lassen (NEP),T6 Instate Small,Dsl,PMTW,PM10,4.690039848505545e-05
2018,July,Lassen (NEP),T6 Instate Small,Dsl,PMTW,PM2_5,1.1725099621263862e-05
2018,July,Lassen (NEP),T6 Instate Small,Dsl,PMBW,PM,0.0005198127498760311
2018,July,Lassen (NEP),T6 Instate Small,Dsl,PMBW,PM10,0.00050941649487851
2018,July,Lassen (NEP),T6 Instate Small,Dsl,PMBW,PM2_5,0.00021832135494793305
2018,July,Lassen (NEP),T6 Instate Heavy,Dsl,RUNEX,CO,0.0039678717458723
2018,July,Lassen (NEP),T6 Instate Heavy,Dsl,RUNEX,NOx,0.019345178503418648
2018,July,Lassen (NEP),T6 Instate Heavy,Dsl,RUNEX,PM,0.000767843751546071
2018,July,Lassen (NEP),T6 Instate Heavy,Dsl,RUNEX,PM10,0.0007632366890367948
2018,July,Lassen (NEP),T6 Instate Heavy,Dsl,RUNEX,PM2_5,0.0007302194077203131
2018,July,Lassen (NEP),T6 Instate Heavy,Dsl,IDLEX,CO,5.462193773184367e-05
2018,July,Lassen (NEP),T6 Instate Heavy,Dsl,IDLEX,NOx,0.0002451229928776976
2018,July,Lassen (NEP),T6 Instate Heavy,Dsl,IDLEX,PM,2.1005639261044845e-06
2018,July,Lassen (NEP),T6 Instate Heavy,Dsl,IDLEX,PM10,2.0879605425478583e-06
2018,July,Lassen (NEP),T6 Instate Heavy,Dsl,IDLEX,PM2_5,1.9976362937253617e-06
2018,July,Lassen (NEP),T6 Instate Heavy,Dsl,STREX,NOx,0.0002101459592662943
2018,July,Lassen (NEP),T6 Instate Heavy,Dsl,PMTW,PM,3.642108069753487e-05
2018,July,Lassen (NEP),T6 Instate Heavy,Dsl,PMTW,PM10,3.642108069753487e-05
2018,July,Lassen (NEP),T6 Instate Heavy,Dsl,PMTW,PM2_5,9.105270174383718e-06
2018,July,Lassen (NEP),T6 Instate Heavy,Dsl,PMBW,PM,0.0004036669777310119
2018,July,Lassen (NEP),T6 Instate Heavy,Dsl,PMBW,PM10,0.00039559363817639147
2018,July,Lassen (NEP),T6 Instate Heavy,Dsl,PMBW,PM2_5,0.00016954013064702505
2018,July,Lassen (NEP),T6 OOS Small,Dsl,RUNEX,CO,7.809058731391349e-05
2018,July,Lassen (NEP),T6 OOS Small,Dsl,RUNEX,NOx,0.0004087873769008113
2018,July,Lassen (NEP),T6 OOS Small,Dsl,RUNEX,PM,1.6528787049546187e-05
2018,July,Lassen (NEP),T6 OOS Small,Dsl,RUNEX,PM10,1.642961432724891e-05
2018,July,Lassen (NEP),T6 OOS Small,Dsl,RUNEX,PM2_5,1.5718876484118395e-05
2018,July,Lassen (NEP),T6 OOS Small,Dsl,IDLEX,CO,5.82170822785716e-06
2018,July,Lassen (NEP),T6 OOS Small,Dsl,IDLEX,NOx,1.931548197010174e-05
2018,July,Lassen (NEP),T6 OOS Small,Dsl,IDLEX,PM,6.450812806022744e-08
2018,July,Lassen (NEP),T6 OOS Small,Dsl,IDLEX,PM10,6.4121079291866e-08
2018,July,Lassen (NEP),T6 OOS Small,Dsl,IDLEX,PM2_5,6.134722978527622e-08
2018,July,Lassen (NEP),T6 OOS Small,Dsl,STREX,NOx,3.800622329639972e-05
2018,July,Lassen (NEP),T6 OOS Small,Dsl,PMTW,PM,1.988410224013953e-06
2018,July,Lassen (NEP),T6 OOS Small,Dsl,PMTW,PM10,1.988410224013953e-06
2018,July,Lassen (NEP),T6 OOS Small,Dsl,PMTW,PM2_5,4.971025560034882e-07
2018,July,Lassen (NEP),T6 OOS Small,Dsl,PMBW,PM,2.2038213316154635e-05
2018,July,Lassen (NEP),T6 OOS Small,Dsl,PMBW,PM10,2.159744904983155e-05
2018,July,Lassen (NEP),T6 OOS Small,Dsl,PMBW,PM2_5,9.256049592784954e-06
2018,July,Lassen (NEP),T6 OOS Heavy,Dsl,RUNEX,CO,0.0003231461337148957
2018,July,Lassen (NEP),T6 OOS Heavy,Dsl,RUNEX,NOx,0.0023308860966111873
2018,July,Lassen (NEP),T6 OOS Heavy,Dsl,RUNEX,PM,6.499007962626954e-05
2018,July,Lassen (NEP),T6 OOS Heavy,Dsl,RUNEX,PM10,6.460013914851203e-05
2018,July,Lassen (NEP),T6 OOS Heavy,Dsl,RUNEX,PM2_5,6.180556572458237e-05
2018,July,Lassen (NEP),T6 OOS Heavy,Dsl,IDLEX,CO,1.1932955084984067e-05
2018,July,Lassen (NEP),T6 OOS Heavy,Dsl,IDLEX,NOx,3.253133886833693e-05
2018,July,Lassen (NEP),T6 OOS Heavy,Dsl,IDLEX,PM,8.186018370727637e-08
2018,July,Lassen (NEP),T6 OOS Heavy,Dsl,IDLEX,PM10,8.136902260503261e-08
2018,July,Lassen (NEP),T6 OOS Heavy,Dsl,IDLEX,PM2_5,7.784903470561967e-08
2018,July,Lassen (NEP),T6 OOS Heavy,Dsl,STREX,NOx,9.012539079348038e-05
2018,July,Lassen (NEP),T6 OOS Heavy,Dsl,PMTW,PM,1.5793715193539665e-05
2018,July,Lassen (NEP),T6 OOS Heavy,Dsl,PMTW,PM10,1.5793715193539665e-05
2018,July,Lassen (NEP),T6 OOS Heavy,Dsl,PMTW,PM2_5,3.948428798384916e-06
2018,July,Lassen (NEP),T6 OOS Heavy,Dsl,PMBW,PM,0.00017504701006173127
2018,July,Lassen (NEP),T6 OOS Heavy,Dsl,PMBW,PM10,0.00017154606986049671
2018,July,Lassen (NEP),T6 OOS Heavy,Dsl,PMBW,PM2_5,7.351974422592711e-05
2018,July,Lassen (NEP),T6 Utility,Dsl,RUNEX,CO,5.852368476986904e-06
2018,July,Lassen (NEP),T6 Utility,Dsl,RUNEX,NOx,9.652352294087753e-05
2018,July,Lassen (NEP),T6 Utility,Dsl,RUNEX,PM,4.6280786722450544e-07
2018,July,Lassen (NEP),T6 Utility,Dsl,RUNEX,PM10,4.60031020021158e-07
2018,July,Lassen (NEP),T6 Utility,Dsl,RUNEX,PM2_5,4.401302817305039e-07
2018,July,Lassen (NEP),T6 Utility,Dsl,IDLEX,CO,1.1416365971253133e-05
2018,July,Lassen (NEP),T6 Utility,Dsl,IDLEX,NOx,3.683667076385271e-05
2018,July,Lassen (NEP),T6 Utility,Dsl,IDLEX,PM,1.6016402900448888e-08
2018,July,Lassen (NEP),T6 Utility,Dsl,IDLEX,PM10,1.592030448304621e-08
2018,July,Lassen (NEP),T6 Utility,Dsl,IDLEX,PM2_5,1.5231599158326914e-08
2018,July,Lassen (NEP),T6 Utility,Dsl,STREX,NOx,4.182260784875489e-05
2018,July,Lassen (NEP),T6 Utility,Dsl,PMTW,PM,5.330715247114343e-07
2018,July,Lassen (NEP),T6 Utility,Dsl,PMTW,PM10,5.330715247114343e-07
2018,July,Lassen (NEP),T6 Utility,Dsl,PMTW,PM2_5,1.3326788117785857e-07
2018,July,Lassen (NEP),T6 Utility,Dsl,PMBW,PM,5.90820939888507e-06
2018,July,Lassen (NEP),T6 Utility,Dsl,PMBW,PM10,5.790045210907368e-06
2018,July,Lassen (NEP),T6 Utility,Dsl,PMBW,PM2_5,2.481447947531728e-06
2018,July,Lassen (NEP),T7 Ag,Dsl,RUNEX,CO,0.0001655389410491356
2018,July,Lassen (NEP),T7 Ag,Dsl,RUNEX,NOx,0.00032180351675496223
2018,July,Lassen (NEP),T7 Ag,Dsl,RUNEX,PM,3.0499057590228705e-05
2018,July,Lassen (NEP),T7 Ag,Dsl,RUNEX,PM10,3.0316063244687332e-05
2018,July,Lassen (NEP),T7 Ag,Dsl,RUNEX,PM2_5,2.9004603768307488e-05
2018,July,Lassen (NEP),T7 Ag,Dsl,IDLEX,CO,2.3402632016939998e-05
2018,July,Lassen (NEP),T7 Ag,Dsl,IDLEX,NOx,5.130428940182724e-05
2018,July,Lassen (NEP),T7 Ag,Dsl,IDLEX,PM,1.4914943915604854e-06
2018,July,Lassen (NEP),T7 Ag,Dsl,IDLEX,PM10,1.4825454252111225e-06
2018,July,Lassen (NEP),T7 Ag,Dsl,IDLEX,PM2_5,1.4184111663740217e-06
2018,July,Lassen (NEP),T7 Ag,Dsl,PMTW,PM,6.138265140654901e-07
2018,July,Lassen (NEP),T7 Ag,Dsl,PMTW,PM10,6.138265140654901e-07
2018,July,Lassen (NEP),T7 Ag,Dsl,PMTW,PM2_5,1.5345662851637254e-07
2018,July,Lassen (NEP),T7 Ag,Dsl,PMBW,PM,1.0741963996146081e-06
2018,July,Lassen (NEP),T7 Ag,Dsl,PMBW,PM10,1.0527124716223157e-06
2018,July,Lassen (NEP),T7 Ag,Dsl,PMBW,PM2_5,4.511624878381353e-07
2018,July,Lassen (NEP),T7 Public,Dsl,RUNEX,CO,0.0011044598235616897
2018,July,Lassen (NEP),T7 Public,Dsl,RUNEX,NOx,0.024875114879706093
2018,July,Lassen (NEP),T7 Public,Dsl,RUNEX,PM,0.00016514932157511518
2018,July,Lassen (NEP),T7 Public,Dsl,RUNEX,PM10,0.0001641584256456638
2018,July,Lassen (NEP),T7 Public,Dsl,RUNEX,PM2_5,0.000157057004817934
2018,July,Lassen (NEP),T7 Public,Dsl,IDLEX,CO,0.0007750515049768951
2018,July,Lassen (NEP),T7 Public,Dsl,IDLEX,NOx,0.003595252344709663
2018,July,Lassen (NEP),T7 Public,Dsl,IDLEX,PM,1.1504714435526752e-05
2018,July,Lassen (NEP),T7 Public,Dsl,IDLEX,PM10,1.1435686148913628e-05
2018,July,Lassen (NEP),T7 Public,Dsl,IDLEX,PM2_5,1.0940983428185976e-05
2018,July,Lassen (NEP),T7 Public,Dsl,STREX,NOx,0.0005285583591488675
2018,July,Lassen (NEP),T7 Public,Dsl,PMTW,PM,7.01260533891724e-05
2018,July,Lassen (NEP),T7 Public,Dsl,PMTW,PM10,7.01260533891724e-05
2018,July,Lassen (NEP),T7 Public,Dsl,PMTW,PM2_5,1.75315133472931e-05
2018,July,Lassen (NEP),T7 Public,Dsl,PMBW,PM,0.00012272059343105185
2018,July,Lassen (NEP),T7 Public,Dsl,PMBW,PM10,0.0001202661815624309
2018,July,Lassen (NEP),T7 Public,Dsl,PMBW,PM2_5,5.154264924104186e-05
2018,July,Lassen (NEP),PTO,Dsl,RUNEX,CO,0.002545773047070601
2018,July,Lassen (NEP),PTO,Dsl,RUNEX,NOx,0.006166037512258715
