calendar_year,season_month,sub_area,vehicle_class,fuel,process,pollutant,emission
2018,July,Los Angeles (MD),SBUS,Gas,RUNEX,CO,0.0014140600661503278
2018,July,Los Angeles (MD),SBUS,Gas,RUNEX,NOx,0.00039333540189350825
2018,July,Los Angeles (MD),SBUS,Gas,RUNEX,SOx,7.910200799898006e-06
2018,July,Los Angeles (MD),SBUS,Gas,RUNEX,PM,1.7364576927847333e-06
2018,July,Los Angeles (MD),SBUS,Gas,RUNEX,TOG,0.00010608950947563625
2018,July,Los Angeles (MD),SBUS,Gas,RUNEX,PM10,1.5523931773495505e-06
2018,July,Los Angeles (MD),SBUS,Gas,RUNEX,PM2_5,1.42736822346905e-06
2018,July,Los Angeles (MD),SBUS,Gas,IDLEX,CO,0.0008096535021701024
2018,July,Los Angeles (MD),SBUS,Gas,IDLEX,NOx,9.121575663365917e-06
2018,July,Los Angeles (MD),SBUS,Gas,IDLEX,SOx,2.573843108437304e-07
2018,July,Los Angeles (MD),SBUS,Gas,IDLEX,TOG,0.00015243531874120015
2018,July,Los Angeles (MD),SBUS,Gas,STREX,CO,0.00025684314434688
2018,July,Los Angeles (MD),SBUS,Gas,STREX,NOx,2.040361483619759e-05
2018,July,Los Angeles (MD),SBUS,Gas,STREX,SOx,1.7944939237562874e-08
2018,July,Los Angeles (MD),SBUS,Gas,STREX,PM,2.5648960836974538e-08
2018,July,Los Angeles (MD),SBUS,Gas,STREX,TOG,1.2754845190433735e-05
2018,July,Los Angeles (MD),SBUS,Gas,STREX,PM10,2.293017098825524e-08
2018,July,Los Angeles (MD),SBUS,Gas,STREX,PM2_5,2.108344580799307e-08
2018,July,Los Angeles (MD),SBUS,Gas,HOTSOAK,TOG,4.0674157902001e-06
2018,July,Los Angeles (MD),SBUS,Gas,RUNLOSS,TOG,2.273477807223518e-05
2018,July,Los Angeles (MD),SBUS,Gas,RESTLOSS,TOG,3.084672542869119e-07
2018,July,Los Angeles (MD),SBUS,Gas,DIURN,TOG,1.2332111242189436e-06
2018,July,Los Angeles (MD),SBUS,Gas,PMTW,PM,7.282387756891355e-06
2018,July,Los Angeles (MD),SBUS,Gas,PMTW,PM10,7.282387756891355e-06
2018,July,Los Angeles (MD),SBUS,Gas,PMTW,PM2_5,1.8205969392228387e-06
2018,July,Los Angeles (MD),SBUS,Gas,PMBW,PM,0.0006918268278016938
2018,July,Los Angeles (MD),SBUS,Gas,PMBW,PM10,0.0006779902912456597
2018,July,Los Angeles (MD),SBUS,Gas,PMBW,PM2_5,0.00029056726767671135
2018,July,Los Angeles (MD),T6 Public,Dsl,RUNEX,CO,0.0001722430361248516
2018,July,Los Angeles (MD),T6 Public,Dsl,RUNEX,NOx,0.006670987107519605
2018,July,Los Angeles (MD),T6 Public,Dsl,RUNEX,PM,4.072569945424917e-05
2018,July,Los Angeles (MD),T6 Public,Dsl,RUNEX,PM10,4.048134525752369e-05
2018,July,Los Angeles (MD),T6 Public,Dsl,RUNEX,PM2_5,3.873014018099095e-05
2018,July,Los Angeles (MD),T6 Public,Dsl,IDLEX,CO,0.0004225188113548361
2018,July,Los Angeles (MD),T6 Public,Dsl,IDLEX,NOx,0.0038233006211914346
2018,July,Los Angeles (MD),T6 Public,Dsl,IDLEX,PM,5.947292444709199e-06
2018,July,Los Angeles (MD),T6 Public,Dsl,IDLEX,PM10,5.911608690040934e-06
2018,July,Los Angeles (MD),T6 Public,Dsl,IDLEX,PM2_5,5.655875114918442e-06
2018,July,Los Angeles (MD),T6 Public,Dsl,STREX,NOx,0.0002678309333058578
2018,July,Los Angeles (MD),T6 Public,Dsl,PMTW,PM,1.562527996226621e-05
2018,July,Los Angeles (MD),T6 Public,Dsl,PMTW,PM10,1.562527996226621e-05
2018,July,Los Angeles (MD),T6 Public,Dsl,PMTW,PM2_5,3.9063199905665525e-06
2018,July,Los Angeles (MD),T6 Public,Dsl,PMBW,PM,0.00017318018624845036
2018,July,Los Angeles (MD),T6 Public,Dsl,PMBW,PM10,0.00016971658252348153
2018,July,Los Angeles (MD),T6 Public,Dsl,PMBW,PM2_5,7.273567822434917e-05
2018,July,Los Angeles (MD),T6 CAIRP Small,Dsl,RUNEX,CO,0.0007811999458709014
2018,July,Los Angeles (MD),T6 CAIRP Small,Dsl,RUNEX,NOx,0.004048656640338764
2018,July,Los Angeles (MD),T6 CAIRP Small,Dsl,RUNEX,PM,0.00016074131141615943
2018,July,Los Angeles (MD),T6 CAIRP Small,Dsl,RUNEX,PM10,0.00015977686354766242
2018,July,Los Angeles (MD),T6 CAIRP Small,Dsl,RUNEX,PM2_5,0.00015286498715676755
2018,July,Los Angeles (MD),T6 CAIRP Small,Dsl,IDLEX,CO,6.863893198781069e-05
2018,July,Los Angeles (MD),T6 CAIRP Small,Dsl,IDLEX,NOx,0.00021893248757330662
2018,July,Los Angeles (MD),T6 CAIRP Small,Dsl,IDLEX,PM,7.102954588444776e-07
2018,July,Los Angeles (MD),T6 CAIRP Small,Dsl,IDLEX,PM10,7.060336860914108e-07
2018,July,Los Angeles (MD),T6 CAIRP Small,Dsl,IDLEX,PM2_5,6.75490981361099e-07
2018,July,Los Angeles (MD),T6 CAIRP Small,Dsl,STREX,NOx,0.0004608960375667747
2018,July,Los Angeles (MD),T6 CAIRP Small,Dsl,PMTW,PM,2.359512018837454e-05
2018,July,Los Angeles (MD),T6 CAIRP Small,Dsl,PMTW,PM10,2.359512018837454e-05
2018,July,Los Angeles (MD),T6 CAIRP Small,Dsl,PMTW,PM2_5,5.898780047093635e-06
2018,July,Los Angeles (MD),T6 CAIRP Small,Dsl,PMBW,PM,0.0002615125820878178
