calendar_year,season_month,sub_area,vehicle_class,fuel,process,pollutant,emission
2018,July,Los Angeles (SC),SBUS,Gas,RUNEX,CO,0.09255679272997676
2018,July,Los Angeles (SC),SBUS,Gas,RUNEX,NOx,0.019427620994216396
2018,July,Los Angeles (SC),SBUS,Gas,RUNEX,SOx,0.0004129494501869611
2018,July,Los Angeles (SC),SBUS,Gas,RUNEX,PM,5.6422105462360276e-05
2018,July,Los Angeles (SC),SBUS,Gas,RUNEX,TOG,0.006043318611769595
2018,July,Los Angeles (SC),SBUS,Gas,RUNEX,PM10,5.044136228335013e-05
2018,July,Los Angeles (SC),SBUS,Gas,RUNEX,PM2_5,4.637897069006019e-05
2018,July,Los Angeles (SC),SBUS,Gas,IDLEX,CO,0.08804138332956214
2018,July,Los Angeles (SC),SBUS,Gas,IDLEX,NOx,0.0009919245300873283
2018,July,Los Angeles (SC),SBUS,Gas,IDLEX,SOx,2.8488325608664166e-05
2018,July,Los Angeles (SC),SBUS,Gas,IDLEX,TOG,0.016599504977206556
2018,July,Los Angeles (SC),SBUS,Gas,STREX,CO,0.027253697042231684
2018,July,Los Angeles (SC),SBUS,Gas,STREX,NOx,0.0023672686334946774
2018,July,Los Angeles (SC),SBUS,Gas,STREX,SOx,1.968597934802407e-06
2018,July,Los Angeles (SC),SBUS,Gas,STREX,PM,1.866090498045928e-06
2018,July,Los Angeles (SC),SBUS,Gas,STREX,TOG,0.0013777014278908081
2018,July,Los Angeles (SC),SBUS,Gas,STREX,PM10,1.6682849052530614e-06
2018,July,Los Angeles (SC),SBUS,Gas,STREX,PM2_5,1.5339263893937532e-06
2018,July,Los Angeles (SC),SBUS,Gas,HOTSOAK,TOG,0.00036666285938945307
2018,July,Los Angeles (SC),SBUS,Gas,RUNLOSS,TOG,0.0025460701067701453
2018,July,Los Angeles (SC),SBUS,Gas,RESTLOSS,TOG,3.4055180782646325e-05
2018,July,Los Angeles (SC),SBUS,Gas,DIURN,TOG,5.908149015888583e-05
2018,July,Los Angeles (SC),SBUS,Gas,PMTW,PM,0.0003707876892627123
2018,July,Los Angeles (SC),SBUS,Gas,PMTW,PM10,0.0003707876892627123
2018,July,Los Angeles (SC),SBUS,Gas,PMTW,PM2_5,9.269692231567808e-05
2018,July,Los Angeles (SC),SBUS,Gas,PMBW,PM,0.03522483001647303
2018,July,Los Angeles (SC),SBUS,Gas,PMBW,PM10,0.0345203334161436
2018,July,Los Angeles (SC),SBUS,Gas,PMBW,PM2_5,0.014794428606918682
2018,July,Los Angeles (SC),T6 Ag,Dsl,RUNEX,CO,0.00020128545658907882
2018,July,Los Angeles (SC),T6 Ag,Dsl,RUNEX,NOx,0.0008776973222573274
2018,July,Los Angeles (SC),T6 Ag,Dsl,RUNEX,PM,3.650873616474606e-05
2018,July,Los Angeles (SC),T6 Ag,Dsl,RUNEX,PM10,3.628968374775755e-05
2018,July,Los Angeles (SC),T6 Ag,Dsl,RUNEX,PM2_5,3.4719808092673476e-05
2018,July,Los Angeles (SC),T6 Ag,Dsl,IDLEX,CO,2.2715769393397167e-05
2018,July,Los Angeles (SC),T6 Ag,Dsl,IDLEX,NOx,0.00010820362137811348
2018,July,Los Angeles (SC),T6 Ag,Dsl,IDLEX,PM,1.0888375001804218e-06
2018,July,Los Angeles (SC),T6 Ag,Dsl,IDLEX,PM10,1.0823044751793406e-06
2018,July,Los Angeles (SC),T6 Ag,Dsl,IDLEX,PM2_5,1.035484462671581e-06
2018,July,Los Angeles (SC),T6 Ag,Dsl,STREX,NOx,2.986751404598901e-06
2018,July,Los Angeles (SC),T6 Ag,Dsl,PMTW,PM,1.0330356449617704e-06
2018,July,Los Angeles (SC),T6 Ag,Dsl,PMTW,PM10,1.0330356449617704e-06
2018,July,Los Angeles (SC),T6 Ag,Dsl,PMTW,PM2_5,2.582589112404426e-07
2018,July,Los Angeles (SC),T6 Ag,Dsl,PMBW,PM,1.144947839832628e-05
2018,July,Los Angeles (SC),T6 Ag,Dsl,PMBW,PM10,1.1220488830359757e-05
2018,July,Los Angeles (SC),T6 Ag,Dsl,PMBW,PM2_5,4.808780927297037e-06
2018,July,Los Angeles (SC),T6 Public,Dsl,RUNEX,CO,0.008914794422315065
2018,July,Los Angeles (SC),T6 Public,Dsl,RUNEX,NOx,0.30875817635951686
2018,July,Los Angeles (SC),T6 Public,Dsl,RUNEX,PM,0.001971464827924803
2018,July,Los Angeles (SC),T6 Public,Dsl,RUNEX,PM10,0.0019596360389572526
2018,July,Los Angeles (SC),T6 Public,Dsl,RUNEX,PM2_5,0.0018748630513564918
