calendar_year,season_month,sub_area,vehicle_class,fuel,process,pollutant,emission
2018,July,Madera (SJV),SBUS,Gas,RUNEX,CO,0.008851113215540283
2018,July,Madera (SJV),SBUS,Gas,RUNEX,NOx,0.002031208445978135
2018,July,Madera (SJV),SBUS,Gas,RUNEX,SOx,3.8888118399579716e-05
2018,July,Madera (SJV),SBUS,Gas,RUNEX,PM,8.280908477321356e-06
2018,July,Madera (SJV),SBUS,Gas,RUNEX,TOG,0.0005814858488410735
2018,July,Madera (SJV),SBUS,Gas,RUNEX,PM10,7.403132178725295e-06
2018,July,Madera (SJV),SBUS,Gas,RUNEX,PM2_5,6.8069067683581586e-06
2018,July,Madera (SJV),SBUS,Gas,IDLEX,CO,0.004077843127596964
2018,July,Madera (SJV),SBUS,Gas,IDLEX,NOx,4.59489444966796e-05
2018,July,Madera (SJV),SBUS,Gas,IDLEX,SOx,1.3268505977487756e-06
2018,July,Madera (SJV),SBUS,Gas,IDLEX,TOG,0.000767359645017305
2018,July,Madera (SJV),SBUS,Gas,STREX,CO,0.001196509318448558
2018,July,Madera (SJV),SBUS,Gas,STREX,NOx,9.920130595506505e-05
2018,July,Madera (SJV),SBUS,Gas,STREX,SOx,9.044260529099726e-08
2018,July,Madera (SJV),SBUS,Gas,STREX,PM,1.350471972900299e-07
2018,July,Madera (SJV),SBUS,Gas,STREX,TOG,5.9803889711776885e-05
2018,July,Madera (SJV),SBUS,Gas,STREX,PM10,1.2073219437728673e-07
2018,July,Madera (SJV),SBUS,Gas,STREX,PM2_5,1.1100879617240457e-07
2018,July,Madera (SJV),SBUS,Gas,HOTSOAK,TOG,2.9538769889441794e-05
2018,July,Madera (SJV),SBUS,Gas,RUNLOSS,TOG,0.00023249813461311767
2018,July,Madera (SJV),SBUS,Gas,RESTLOSS,TOG,1.9706933926620437e-06
2018,July,Madera (SJV),SBUS,Gas,DIURN,TOG,1.1642302067212126e-05
2018,July,Madera (SJV),SBUS,Gas,PMTW,PM,3.529127773806e-05
2018,July,Madera (SJV),SBUS,Gas,PMTW,PM10,3.529127773806e-05
2018,July,Madera (SJV),SBUS,Gas,PMTW,PM2_5,8.822819434515e-06
