calendar_year,season_month,sub_area,vehicle_class,fuel,process,pollutant,emission
2018,July,Marin (SF),SBUS,Gas,RUNEX,CO,0.005107061600936442
2018,July,Marin (SF),SBUS,Gas,RUNEX,NOx,0.0012305069120406434
2018,July,Marin (SF),SBUS,Gas,RUNEX,SOx,9.881209314947434e-06
2018,July,Marin (SF),SBUS,Gas,RUNEX,PM,3.039381258596039e-06
2018,July,Marin (SF),SBUS,Gas,RUNEX,TOG,0.0003125853999890618
2018,July,Marin (SF),SBUS,Gas,RUNEX,PM10,2.7172068451848583e-06
2018,July,Marin (SF),SBUS,Gas,RUNEX,PM2_5,2.4983713945659437e-06
2018,July,Marin (SF),SBUS,Gas,IDLEX,CO,0.00173940789820291
2018,July,Marin (SF),SBUS,Gas,IDLEX,NOx,1.9596164244421832e-05
2018,July,Marin (SF),SBUS,Gas,IDLEX,SOx,5.569098792736536e-07
2018,July,Marin (SF),SBUS,Gas,IDLEX,TOG,0.0003267190109116577
2018,July,Marin (SF),SBUS,Gas,STREX,CO,0.0010859872743355153
2018,July,Marin (SF),SBUS,Gas,STREX,NOx,4.4464947406460324e-05
2018,July,Marin (SF),SBUS,Gas,STREX,SOx,4.759453778168547e-08
2018,July,Marin (SF),SBUS,Gas,STREX,PM,7.878035827136362e-08
2018,July,Marin (SF),SBUS,Gas,STREX,TOG,4.187562971337993e-05
2018,July,Marin (SF),SBUS,Gas,STREX,PM10,7.042964029459907e-08
2018,July,Marin (SF),SBUS,Gas,STREX,PM2_5,6.475745449906088e-08
2018,July,Marin (SF),SBUS,Gas,HOTSOAK,TOG,1.2437650508197477e-05
2018,July,Marin (SF),SBUS,Gas,RUNLOSS,TOG,7.915985865754703e-05
2018,July,Marin (SF),SBUS,Gas,RESTLOSS,TOG,5.445556346902619e-07
2018,July,Marin (SF),SBUS,Gas,DIURN,TOG,1.7719882139887484e-06
2018,July,Marin (SF),SBUS,Gas,PMTW,PM,9.143590312576468e-06
2018,July,Marin (SF),SBUS,Gas,PMTW,PM10,9.143590312576468e-06
2018,July,Marin (SF),SBUS,Gas,PMTW,PM2_5,2.285897578144117e-06
2018,July,Marin (SF),SBUS,Gas,PMBW,PM,0.0008686410682652765
2018,July,Marin (SF),SBUS,Gas,PMBW,PM10,0.0008512682468999707
2018,July,Marin (SF),SBUS,Gas,PMBW,PM2_5,0.00036482924867141614
2018,July,Marin (SF),T6 Public,Dsl,RUNEX,CO,0.0007229995079690274
2018,July,Marin (SF),T6 Public,Dsl,RUNEX,NOx,0.021460244408803397
2018,July,Marin (SF),T6 Public,Dsl,RUNEX,PM,0.00011948103905773867
2018,July,Marin (SF),T6 Public,Dsl,RUNEX,PM10,0.00011876415282339224
2018,July,Marin (SF),T6 Public,Dsl,RUNEX,PM2_5,0.0001136264681439094
2018,July,Marin (SF),T6 Public,Dsl,IDLEX,CO,0.0012177179976970856
2018,July,Marin (SF),T6 Public,Dsl,IDLEX,NOx,0.009843343006894436
2018,July,Marin (SF),T6 Public,Dsl,IDLEX,PM,1.304609345938266e-05
2018,July,Marin (SF),T6 Public,Dsl,IDLEX,PM10,1.2967816898626371e-05
2018,July,Marin (SF),T6 Public,Dsl,IDLEX,PM2_5,1.2406834879872914e-05
2018,July,Marin (SF),T6 Public,Dsl,STREX,NOx,0.0008223055020960018
2018,July,Marin (SF),T6 Public,Dsl,PMTW,PM,4.258181955193096e-05
2018,July,Marin (SF),T6 Public,Dsl,PMTW,PM10,4.258181955193096e-05
2018,July,Marin (SF),T6 Public,Dsl,PMTW,PM2_5,1.064545488798274e-05
2018,July,Marin (SF),T6 Public,Dsl,PMBW,PM,0.0004719485000339013
2018,July,Marin (SF),T6 Public,Dsl,PMBW,PM10,0.0004625095300332237
2018,July,Marin (SF),T6 Public,Dsl,PMBW,PM2_5,0.00019821837001423884
2018,July,Marin (SF),T6 CAIRP Small,Dsl,RUNEX,CO,4.7766081524627696e-05
2018,July,Marin (SF),T6 CAIRP Small,Dsl,RUNEX,NOx,0.00024075890790267745
2018,July,Marin (SF),T6 CAIRP Small,Dsl,RUNEX,PM,1.0201625553346813e-05
2018,July,Marin (SF),T6 CAIRP Small,Dsl,RUNEX,PM10,1.0140415800026733e-05
2018,July,Marin (SF),T6 CAIRP Small,Dsl,RUNEX,PM2_5,9.70174590123282e-06
2018,July,Marin (SF),T6 CAIRP Small,Dsl,IDLEX,CO,3.0592083702283422e-06
2018,July,Marin (SF),T6 CAIRP Small,Dsl,IDLEX,NOx,1.131971729673055e-05
2018,July,Marin (SF),T6 CAIRP Small,Dsl,IDLEX,PM,4.000791717813846e-08
2018,July,Marin (SF),T6 CAIRP Small,Dsl,IDLEX,PM10,3.976786967506964e-08
2018,July,Marin (SF),T6 CAIRP Small,Dsl,IDLEX,PM2_5,3.8047529236409685e-08
2018,July,Marin (SF),T6 CAIRP Small,Dsl,STREX,NOx,1.8384346982742305e-05
